TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.7275,0.73,0.72,0.726,447000
2023-01-04,0.7295,0.73,0.722,0.723,261000
2023-01-05,0.724,0.7375,0.722,0.7255,712000
2023-01-06,0.728,0.7605,0.7275,0.7605,4072000
2023-01-09,0.7535,0.79,0.7535,0.785,1453000
2023-01-10,0.7805,0.785,0.7705,0.7835,343000
2023-01-11,0.785,0.7915,0.76,0.78,924000
2023-01-12,0.784,0.808,0.784,0.7985,1031000
2023-01-13,0.8,0.8145,0.8,0.8125,853000
2023-01-16,0.8145,0.8505,0.813,0.846,1133000
2023-01-17,0.8375,0.8615,0.8315,0.836,568000
2023-01-18,0.833,0.86,0.825,0.856,1111000
2023-01-19,0.852,0.86,0.8315,0.836,2082000
2023-01-20,0.8335,0.8445,0.818,0.818,1552000
2023-01-23,0.818,0.835,0.818,0.835,362000
2023-01-24,0.835,0.8595,0.8305,0.8305,286000
2023-01-25,0.8365,0.8455,0.825,0.8255,298000
2023-01-26,0.826,0.826,0.808,0.81,1576000
2023-01-27,0.808,0.818,0.795,0.7965,1060000
2023-01-30,0.8005,0.8145,0.7975,0.8015,221000
2023-01-31,0.8075,0.8095,0.796,0.8065,480000
2023-02-01,0.8125,0.815,0.8015,0.805,276000
2023-02-02,0.808,0.83,0.8015,0.8075,588000
2023-02-03,0.808,0.815,0.804,0.8145,459000
2023-02-06,0.815,0.8295,0.8095,0.824,451000
2023-02-07,0.824,0.855,0.8205,0.8225,524000
2023-02-08,0.832,0.8595,0.824,0.8305,550000
2023-02-09,0.8295,0.869,0.827,0.855,1088000
2023-02-10,0.854,0.9405,0.835,0.895,2500000
2023-02-13,0.8995,0.92,0.858,0.872,965000
2023-02-14,0.86,0.9495,0.81,0.9,5319000
2023-02-15,0.881,0.895,0.855,0.856,1068000
2023-02-16,0.8565,0.899,0.8555,0.886,901000
2023-02-17,0.9,0.9235,0.883,0.9075,1348000
2023-02-20,0.9095,1.0575,0.8965,0.903,36994000
2023-02-21,0.9225,0.98,0.894,0.931,4036000
2023-02-22,0.931,0.935,0.921,0.935,252000
2023-02-24,0.927,0.938,0.9205,0.9335,446000
2023-02-27,0.916,0.996,0.916,0.98,1504000
2023-02-28,0.979,1.028,0.9575,0.993,2634000
2023-03-01,1.008,1.18,1.008,1.0205,8299000
2023-03-02,1.0215,1.024,0.9835,1.0005,1112000
2023-03-03,1.0045,1.0315,0.9955,1.02,414000
2023-03-06,1.0275,1.0595,1.0105,1.03,664000
2023-03-07,1.0305,1.0575,1.0305,1.035,185000
2023-03-09,1.049,1.063,1.0375,1.0555,419000
2023-03-10,1.0575,1.0605,1.0395,1.0515,273000
2023-03-13,1.0465,1.09,1.0345,1.0835,1310000
2023-03-14,1.062,1.103,1.0605,1.076,308000
2023-03-15,1.1,1.12,1.086,1.0905,1251000
2023-03-16,1.1185,1.17,1.085,1.0985,5520000
2023-03-17,1.1005,1.1135,1.055,1.1135,729000
2023-03-20,1.1115,1.1275,1.096,1.1055,1040000
2023-03-21,1.119,1.1195,1.1075,1.115,320000
2023-03-22,1.1115,1.12,1.1,1.12,583000
2023-03-23,1.125,1.148,1.117,1.131,302000
2023-03-24,1.1235,1.19,1.1175,1.1315,4969000
2023-03-27,1.1315,1.159,1.114,1.12,3156000
2023-03-28,1.13,1.1345,1.121,1.13,153000
2023-03-29,1.1275,1.156,1.1275,1.1465,359000
2023-03-30,1.147,1.1705,1.12,1.157,2376000
2023-03-31,1.188,1.188,1.1435,1.1725,891000
2023-04-03,1.174,1.245,1.151,1.164,3688000
2023-04-04,1.1795,1.18,1.1695,1.177,1107000
2023-04-05,1.177,1.1965,1.1695,1.1965,848000
2023-04-06,1.1965,1.202,1.1855,1.2015,730000
2023-04-07,1.2015,1.2395,1.1915,1.2105,2714000
2023-04-10,1.235,1.28,1.212,1.263,3944000
2023-04-11,1.254,1.34,1.254,1.2965,3333000
2023-04-12,1.299,1.306,1.261,1.2835,399000
2023-04-13,1.29,1.3525,1.276,1.3045,2606000
2023-04-14,1.334,1.3375,1.3045,1.33,2517000
2023-04-17,1.392,1.438,1.3535,1.4185,4615000
2023-04-18,1.4245,1.4255,1.3535,1.4095,2317000
2023-04-19,1.409,1.416,1.34,1.3785,1216000
2023-04-20,1.378,1.385,1.3215,1.371,2194000
2023-04-21,1.38,1.38,1.3085,1.3795,2268000
2023-04-24,1.3795,1.473,1.363,1.37,11032000
2023-04-25,1.3955,1.485,1.3705,1.4165,6417000
2023-04-26,1.419,1.419,1.381,1.3975,2156000
2023-04-27,1.391,1.516,1.387,1.463,9975000
2023-04-28,1.4705,1.4705,1.393,1.437,4639000
2023-05-02,1.4445,1.51,1.411,1.4495,6365000
2023-05-03,1.45,1.45,1.4115,1.439,1393000
2023-05-04,1.42,1.4465,1.4155,1.431,1336000
2023-05-05,1.4435,1.471,1.42,1.4695,1485000
2023-05-08,1.4235,1.475,1.4235,1.4545,717000
2023-05-10,1.435,1.495,1.4275,1.4865,1540000
2023-05-11,1.4865,1.501,1.47,1.5,1437000
2023-05-12,1.4815,1.5,1.4715,1.495,506000
2023-05-15,1.4845,1.5255,1.481,1.5155,1848000
2023-05-16,1.52,1.5545,1.45,1.518,1779000
2023-05-17,1.536,1.602,1.52,1.554,4524000
2023-05-18,1.5565,2.173,1.524,1.922,21195000
2023-05-19,1.924,1.9395,1.7015,1.84,8133000
2023-05-22,1.8415,1.8435,1.711,1.7775,3733000
2023-05-23,1.7985,1.9045,1.741,1.87,3437000
2023-05-24,1.8945,1.9795,1.771,1.87,3159000
2023-05-25,1.8975,1.9405,1.8635,1.885,1111000
2023-05-26,1.887,1.99,1.852,1.945,2779000
2023-05-29,1.945,2.001,1.9,1.952,1782000
2023-05-30,1.95,1.9575,1.91,1.9435,1691000
2023-05-31,1.9565,1.9665,1.9015,1.9205,2198000
2023-06-01,1.9295,1.94,1.9215,1.9295,739000
2023-06-02,1.9235,1.98,1.802,1.8995,7291000
2023-06-05,1.8995,1.939,1.899,1.931,1916000
2023-06-06,1.9445,2.1685,1.856,1.94,12168000
2023-06-07,1.968,2.029,1.9165,1.9835,2575000
2023-06-08,1.988,2.048,1.9615,2.029,1728000
2023-06-09,2.025,2.062,1.819,1.981,6268000
2023-06-13,1.981,1.9985,1.95,1.99,1688000
2023-06-14,1.98,2.005,1.98,1.995,1070000
2023-06-15,2.002,2.039,2.0,2.0385,1306000
2023-06-16,2.04,2.1275,2.024,2.1055,3074000
2023-06-19,2.13,2.38,2.0545,2.187,14841000
2023-06-20,2.217,2.217,2.1105,2.179,3435000
2023-06-21,2.181,2.2445,2.1605,2.195,2666000
2023-06-22,2.2395,2.2495,2.2,2.2115,1724000
2023-06-23,2.22,2.2365,2.11,2.171,3708000
2023-06-26,2.1795,2.207,2.02,2.19,5994000
2023-06-27,2.19,2.1995,2.101,2.1535,2897000
2023-06-28,2.16,2.3495,2.143,2.19,18738000
2023-06-29,2.2395,2.25,2.138,2.1555,4619000
2023-06-30,2.138,2.152,2.057,2.1325,7170000
2023-07-03,2.133,2.4895,2.0705,2.1485,74855000
2023-07-04,1.934,2.0445,1.85,1.982,14167000
2023-07-05,1.9815,2.064,1.9815,2.0205,3238000
2023-07-06,2.0015,2.094,2.0015,2.062,2872000
2023-07-07,2.0815,2.0815,2.004,2.061,1872000
2023-07-10,2.056,2.063,2.01,2.042,2558000
