TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-05-27,56.35,56.5,35.4,55.95,32152
2024-05-28,56.05,56.05,53.8,55.5,7335
2024-05-29,55.5,56.3,51.55,56.3,8236
2024-05-30,57.0,57.0,53.6,53.6,5197
2024-05-31,53.6,54.85,46.45,49.85,15690
2024-06-03,50.55,57.0,42.55,57.0,70121
2024-06-04,56.0,56.5,48.85,55.95,24570
2024-06-05,55.95,56.5,52.35,54.5,29103
2024-06-06,54.05,54.4,52.45,53.15,4933
2024-06-07,53.15,53.8,51.75,53.3,8154
2024-06-10,53.5,54.1,52.85,52.85,4028
2024-06-11,54.75,56.3,52.0,53.15,6861
2024-06-13,52.05,52.35,49.5,52.35,7113
2024-06-14,52.8,55.3,50.05,53.95,15915
2024-06-17,54.3,55.0,52.7,53.5,6463
2024-06-18,52.9,53.9,52.5,52.5,3002
2024-06-19,52.65,52.65,51.4,51.85,4272
2024-06-20,51.45,52.35,50.5,51.0,2724
2024-06-21,51.65,53.2,50.5,51.9,6508
2024-06-24,50.9,53.0,46.0,48.8,9528
2024-06-25,51.2,61.05,49.55,57.4,44302
2024-06-26,57.95,59.0,53.6,56.2,26932
2024-06-27,55.95,60.55,54.15,55.5,9128
2024-06-28,55.0,57.6,51.8,55.6,22376
2024-07-01,55.6,57.0,54.25,54.5,10429
2024-07-02,54.65,57.05,53.6,55.0,17615
2024-07-03,55.0,56.6,53.85,54.9,17614
2024-07-04,54.8,56.4,52.65,54.7,16652
2024-07-05,55.15,55.25,53.5,55.0,27980
2024-07-08,55.0,56.2,53.75,55.5,32649
2024-07-09,54.9,54.9,48.25,49.95,50674
2024-07-10,50.4,53.45,49.5,49.5,27031
2024-07-11,49.5,51.35,49.3,50.0,5527
2024-07-12,50.25,51.15,49.1,49.65,3626
2024-07-15,50.4,52.0,49.0,51.4,21569
2024-07-16,51.65,53.45,49.75,51.8,21293
2024-07-17,52.0,53.05,48.2,51.4,25839
2024-07-18,51.65,52.0,49.0,50.7,20115
2024-07-19,51.2,51.95,50.0,51.0,13910
2024-07-22,51.05,51.45,48.95,50.55,49051
2024-07-23,51.0,51.5,49.15,50.1,28602
2024-07-24,49.95,53.45,49.85,50.95,35155
2024-07-25,51.1,53.3,50.1,51.65,44257
2024-07-26,52.3,52.3,48.9,50.8,36727
2024-07-29,50.0,50.7,47.7,47.8,17756
2024-07-30,48.6,49.2,45.05,46.5,48542
2024-07-31,47.05,47.75,44.7,45.5,62527
2024-08-01,46.25,46.7,44.45,44.85,51119
2024-08-02,44.85,48.8,43.25,43.7,111995
2024-08-05,43.95,44.8,42.7,43.6,62810
2024-08-06,43.65,44.4,42.5,43.2,75312
2024-08-07,43.75,43.95,42.85,43.4,35814
2024-08-08,42.9,43.95,42.7,42.95,38719
2024-08-09,43.2,43.3,42.3,43.2,34255
2024-08-12,43.2,43.85,41.5,42.45,64713
2024-08-13,42.75,43.05,41.65,42.6,52048
2024-08-14,43.0,43.45,41.65,41.95,41191
2024-08-15,42.3,44.75,40.7,41.25,78489
2024-08-16,41.35,42.5,39.25,39.9,62840
2024-08-19,40.1,40.95,38.65,39.25,55566
2024-08-20,39.95,40.05,38.6,38.6,52663
2024-08-21,39.15,39.4,37.6,37.6,56018
2024-08-22,38.35,38.35,36.3,36.3,55209
2024-08-23,37.15,38.0,34.15,38.0,73047
2024-08-26,38.0,39.7,37.45,37.75,46490
2024-08-27,38.5,39.2,36.5,36.8,58790
2024-08-28,37.4,38.95,36.5,37.35,59601
2024-08-29,38.2,39.05,35.4,38.3,56838
2024-08-30,38.7,39.5,36.25,36.9,54612
2024-09-02,36.95,37.1,35.05,36.05,7644
2024-09-03,36.15,36.55,35.0,35.65,3302
2024-09-04,35.65,36.45,35.65,36.15,3364
2024-09-05,36.15,37.3,35.35,35.6,53390
2024-09-06,35.75,35.95,34.2,34.55,60116
2024-09-09,35.0,36.0,34.5,35.05,67583
2024-09-10,35.15,37.4,34.1,37.3,66644
2024-09-11,37.3,37.5,34.5,34.7,131194
2024-09-12,34.75,34.95,32.5,33.75,96479
2024-09-13,33.8,34.4,32.5,33.75,65901
2024-09-16,33.75,35.8,32.0,33.3,182460
2024-09-17,33.5,34.1,32.8,33.3,72114
