TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.00541,0.00553,0.0054,0.00548,74300000
2023-01-04,0.00545,0.00553,0.00545,0.00549,77900000
2023-01-05,0.0055,0.00647,0.00547,0.00575,2251400000
2023-01-06,0.00575,0.00674,0.00559,0.00591,3419800000
2023-01-09,0.00596,0.00649,0.00585,0.00634,1964100000
2023-01-10,0.00649,0.00649,0.00609,0.00618,414200000
2023-01-11,0.00616,0.00714,0.00616,0.00669,1657600000
2023-01-12,0.00688,0.00738,0.00656,0.0068,1637800000
2023-01-13,0.00685,0.00698,0.0067,0.00674,168200000
2023-01-16,0.00685,0.00685,0.00621,0.0066,1724600000
2023-01-17,0.00652,0.00657,0.00629,0.00637,408500000
2023-01-18,0.0065,0.0065,0.00635,0.00639,77300000
2023-01-19,0.00643,0.00731,0.00643,0.00655,2922100000
2023-01-20,0.00657,0.00657,0.0064,0.00645,143200000
2023-01-23,0.00645,0.00662,0.00626,0.00654,425300000
2023-01-24,0.0066,0.00697,0.00632,0.0065,601600000
2023-01-25,0.00656,0.00656,0.00638,0.00646,131000000
2023-01-26,0.0064,0.00647,0.00638,0.00641,111500000
2023-01-27,0.00653,0.00668,0.00633,0.00643,420000000
2023-01-30,0.0065,0.007,0.00641,0.00652,956300000
2023-01-31,0.00663,0.00713,0.00651,0.00674,1519400000
2023-02-01,0.0068,0.00686,0.00642,0.00668,499300000
2023-02-02,0.00672,0.00676,0.00644,0.00665,302100000
2023-02-03,0.00662,0.00666,0.00645,0.00656,73800000
2023-02-06,0.00657,0.00706,0.00656,0.00674,2124400000
2023-02-07,0.0068,0.00685,0.00665,0.00683,310900000
2023-02-08,0.00694,0.00704,0.00663,0.00675,509100000
2023-02-09,0.0068,0.00782,0.0068,0.00687,5134100000
2023-02-10,0.00705,0.00969,0.00685,0.00969,38640900000
2023-02-13,0.01066,0.01355,0.00952,0.00975,27047500000
2023-02-14,0.00983,0.00985,0.0085,0.00906,4372500000
2023-02-15,0.0085,0.00916,0.00834,0.00861,1177100000
2023-02-16,0.0087,0.0091,0.00831,0.00856,1774900000
2023-02-17,0.00858,0.0094,0.00844,0.00873,2632500000
2023-02-20,0.0088,0.00898,0.00843,0.00848,492200000
2023-02-21,0.00859,0.00864,0.00845,0.00846,615700000
2023-02-22,0.00845,0.0114,0.00845,0.0098,54139000000
2023-02-24,0.0099,0.0101,0.00903,0.00937,5712300000
2023-02-27,0.00943,0.0115,0.00905,0.01095,34303600000
2023-02-28,0.01068,0.01243,0.01042,0.01195,33038000000
2023-03-01,0.01196,0.01325,0.01196,0.0126,17590900000
2023-03-02,0.01264,0.01295,0.0111,0.0116,4653500000
2023-03-03,0.0118,0.01248,0.01127,0.01157,3770000000
2023-03-06,0.01161,0.01189,0.01129,0.01158,1652800000
2023-03-07,0.01208,0.01235,0.0115,0.0119,5207100000
2023-03-09,0.01191,0.01202,0.01142,0.01174,844500000
2023-03-10,0.01177,0.01183,0.0116,0.01163,419400000
2023-03-13,0.01173,0.01218,0.01163,0.01178,1575500000
2023-03-14,0.01181,0.01181,0.01151,0.01163,456000000
2023-03-15,0.01163,0.01168,0.0113,0.01144,825900000
2023-03-16,0.01132,0.0115,0.01078,0.01116,561800000
2023-03-17,0.0111,0.0112,0.0109,0.01098,667700000
2023-03-20,0.01098,0.01165,0.01078,0.01104,2416300000
2023-03-21,0.01104,0.01123,0.01084,0.01094,519500000
2023-03-22,0.0109,0.01138,0.01084,0.01106,1466500000
2023-03-23,0.01122,0.01142,0.01096,0.01115,1051700000
2023-03-24,0.01114,0.01129,0.01104,0.01105,257800000
2023-03-27,0.0114,0.0114,0.01111,0.01117,641900000
2023-03-28,0.01126,0.01136,0.01101,0.01117,321500000
2023-03-29,0.0113,0.0113,0.01104,0.0112,245500000
2023-03-30,0.0113,0.01169,0.01121,0.01138,3483600000
2023-03-31,0.0114,0.0115,0.01102,0.0111,802700000
2023-04-03,0.01122,0.01122,0.01082,0.01109,640600000
2023-04-04,0.01113,0.01125,0.01108,0.01115,360000000
