TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,881.5,881.5,870.0,878.0,321
2023-01-04,882.0,882.0,872.0,876.5,342
2023-01-05,877.5,877.5,872.5,875.0,194
2023-01-06,875.0,878.5,873.0,875.5,275
2023-01-09,875.5,884.5,875.0,879.5,538
2023-01-10,877.0,878.0,870.0,871.5,470
2023-01-11,873.0,879.0,866.0,878.5,663
2023-01-12,875.0,877.5,871.0,876.0,301
2023-01-13,875.0,876.0,871.0,876.0,461
2023-01-16,880.0,912.5,875.0,899.5,1851
2023-01-17,906.0,906.0,885.0,887.0,822
2023-01-18,885.5,889.0,877.0,884.5,779
2023-01-19,884.5,884.5,860.0,869.5,1182
2023-01-20,870.5,871.0,856.5,867.0,947
2023-01-23,872.0,886.0,870.0,883.5,956
2023-01-24,876.0,887.5,876.0,880.0,481
2023-01-25,880.0,880.0,872.0,875.0,421
2023-01-26,876.0,878.0,863.5,872.0,766
2023-01-27,866.0,877.5,866.0,877.5,525
2023-01-30,878.5,883.5,873.0,882.5,625
2023-01-31,880.5,900.5,880.5,893.0,1347
2023-02-01,899.0,905.0,891.0,897.5,1254
2023-02-02,901.0,901.5,891.5,896.0,764
2023-02-03,897.0,897.0,887.5,890.5,652
2023-02-06,887.0,899.5,885.5,896.0,685
2023-02-07,899.0,944.0,896.5,936.5,6181
2023-02-08,937.0,940.0,915.0,921.0,2049
2023-02-09,925.0,928.0,915.0,920.5,725
2023-02-10,920.5,925.0,916.0,922.5,464
2023-02-13,924.0,924.0,920.0,920.0,773
2023-02-14,928.0,928.0,901.0,904.0,1388
2023-02-15,901.5,903.0,870.5,881.0,1731
2023-02-16,882.5,904.5,882.5,896.0,1057
2023-02-17,897.5,899.5,889.0,894.5,513
2023-02-20,900.0,902.5,883.5,894.5,618
2023-02-21,897.0,915.0,893.5,909.0,1343
2023-02-22,909.0,909.0,898.5,908.5,404
2023-02-24,905.0,909.5,901.5,909.0,214
2023-02-27,908.0,915.0,905.5,914.0,744
2023-02-28,914.5,920.0,910.5,916.5,687
2023-03-01,919.5,926.0,917.0,924.0,996
2023-03-02,929.0,929.0,906.0,913.0,925
2023-03-03,910.5,917.5,897.5,917.0,1407
2023-03-06,921.0,924.0,908.5,919.5,1399
2023-03-07,920.0,925.5,915.0,919.0,990
2023-03-09,920.0,924.5,918.0,922.5,663
2023-03-10,921.5,924.0,917.0,921.0,814
2023-03-13,923.5,933.5,916.5,928.0,1513
2023-03-14,929.0,940.0,926.0,935.0,1727
2023-03-15,935.0,957.0,931.5,942.0,2578
2023-03-16,944.0,950.0,930.0,940.0,1983
2023-03-17,941.0,1009.5,941.0,991.0,11173
2023-03-20,996.0,1085.5,990.0,1072.5,13729
2023-03-21,1083.0,1085.0,1045.0,1052.0,9402
2023-03-22,1055.5,1056.0,1022.5,1041.5,9847
2023-03-23,1042.0,1072.0,1036.5,1059.0,5294
2023-03-24,1060.0,1067.0,1056.0,1063.0,2645
2023-03-27,1071.0,1079.5,1065.5,1071.5,3695
2023-03-28,1072.5,1073.0,1055.5,1065.0,2389
