TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,7190,7290,7190,7290,52
2023-01-04,7270,7880,7270,7340,4499
2023-01-05,7360,7600,7310,7580,1105
2023-01-06,7510,7650,7400,7440,680
2023-01-09,7460,7780,7440,7530,805
2023-01-10,7560,7660,7360,7460,427
2023-01-11,7450,7570,7400,7440,183
2023-01-12,7440,7490,7360,7380,348
2023-01-13,7390,7440,7370,7440,96
2023-01-16,7430,7500,7390,7420,228
2023-01-17,7820,9290,7430,8140,13399
2023-01-18,8010,8410,7590,7920,4102
2023-01-19,7920,8000,7650,7650,1701
2023-01-20,7660,8700,7590,7830,7940
2023-01-23,7880,10380,7880,9770,49697
2023-01-24,9650,10300,9210,9350,15434
2023-01-25,9390,12700,9130,12390,55817
2023-01-26,12880,14900,11760,12230,49343
2023-01-27,12230,13200,10250,10750,17821
2023-01-30,11000,11550,9880,10500,6047
2023-01-31,10250,11100,10050,10420,5111
2023-02-01,10500,10500,10050,10160,2444
2023-02-02,10200,10870,10020,10420,10386
2023-02-03,10490,10600,10090,10130,2835
2023-02-06,10220,10510,10070,10230,2213
2023-02-07,10350,11480,10140,10720,17298
2023-02-08,10730,11290,10450,10750,6658
2023-02-09,11000,11550,10700,10900,5097
2023-02-10,10900,10900,10620,10650,1003
2023-02-13,10760,10900,10520,10600,1353
2023-02-14,10620,10630,9640,10190,3656
2023-02-15,10130,10250,9000,9440,1986
2023-02-16,9210,10390,9190,9700,3376
2023-02-17,9720,10150,9700,9940,1451
2023-02-20,10070,10070,9640,9830,586
2023-02-21,9800,10070,9720,9870,860
2023-02-22,9880,9940,9800,9810,249
2023-02-24,9850,9890,9550,9630,525
2023-02-27,9710,9760,9550,9600,312
2023-02-28,9660,10230,9600,9880,3841
2023-03-01,9950,10180,9900,10010,1161
2023-03-02,10150,10150,9690,9790,919
2023-03-03,9870,9920,9710,9850,511
2023-03-06,9950,10250,9820,10020,1474
2023-03-07,10080,10080,9820,10000,362
2023-03-09,9900,10030,9900,10000,228
2023-03-10,10010,10450,9950,10050,2705
2023-03-13,10110,10220,9870,10080,718
2023-03-14,10050,10120,9900,9990,359
2023-03-15,9910,10020,9900,9900,161
2023-03-16,9910,9930,9650,9750,557
