TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1.354,1.369,1.351,1.365,16730000
2023-01-04,1.365,1.388,1.355,1.359,21433000
2023-01-05,1.359,1.37,1.35,1.355,13023000
2023-01-06,1.365,1.37,1.355,1.362,12761000
2023-01-09,1.375,1.38,1.364,1.374,23567000
2023-01-10,1.384,1.384,1.365,1.367,16815000
2023-01-11,1.368,1.407,1.364,1.401,60869000
2023-01-12,1.409,1.419,1.392,1.397,38103000
2023-01-13,1.401,1.412,1.396,1.407,45414000
2023-01-16,1.42,1.448,1.409,1.437,59432000
2023-01-17,1.436,1.445,1.406,1.417,52108000
2023-01-18,1.412,1.429,1.38,1.412,35374000
2023-01-19,1.412,1.417,1.386,1.389,37937000
2023-01-20,1.389,1.396,1.366,1.394,33854000
2023-01-23,1.402,1.42,1.394,1.403,32835000
2023-01-24,1.409,1.412,1.394,1.403,19035000
2023-01-25,1.403,1.404,1.383,1.397,18147000
2023-01-26,1.4,1.406,1.39,1.4,14282000
2023-01-27,1.403,1.433,1.398,1.426,42966000
2023-01-30,1.43,1.455,1.43,1.45,51187000
2023-01-31,1.454,1.497,1.44,1.48,73895000
2023-02-01,1.49,1.537,1.474,1.512,141208000
2023-02-02,1.515,1.525,1.491,1.491,54051000
2023-02-03,1.5,1.5,1.46,1.488,40886000
2023-02-06,1.492,1.528,1.489,1.522,43898000
2023-02-07,1.527,1.535,1.51,1.514,39423000
2023-02-08,1.514,1.555,1.514,1.538,132289000
2023-02-09,1.545,1.555,1.525,1.534,30097000
2023-02-10,1.534,1.552,1.519,1.546,37351000
2023-02-13,1.564,1.612,1.551,1.612,156776000
2023-02-14,1.619,1.62,1.56,1.57,130113000
2023-02-15,1.555,1.59,1.475,1.511,159894000
2023-02-16,1.528,1.585,1.511,1.528,101752000
2023-02-17,1.527,1.608,1.511,1.575,273017000
2023-02-20,1.574,1.585,1.53,1.555,105094000
2023-02-21,1.571,1.594,1.522,1.565,101301000
2023-02-22,1.55,1.588,1.55,1.572,47943000
2023-02-24,1.572,1.58,1.557,1.567,33855000
2023-02-27,1.558,1.579,1.532,1.571,51823000
2023-02-28,1.58,1.609,1.572,1.6,90881000
2023-03-01,1.61,1.648,1.6,1.616,176319000
2023-03-02,1.616,1.632,1.58,1.602,88104000
2023-03-03,1.611,1.62,1.6,1.615,31136000
2023-03-06,1.626,1.648,1.622,1.643,59336000
2023-03-07,1.647,1.685,1.636,1.676,77119000
2023-03-09,1.692,1.7,1.668,1.687,93573000
2023-03-10,1.679,1.687,1.67,1.68,42693000
2023-03-13,1.683,1.7,1.63,1.679,86352000
2023-03-14,1.671,1.679,1.66,1.673,33134000
2023-03-15,1.675,1.68,1.64,1.647,53610000
2023-03-16,1.647,1.665,1.62,1.651,44368000
2023-03-17,1.658,1.698,1.653,1.681,93960000
2023-03-20,1.702,1.722,1.68,1.72,85173000
2023-03-21,1.725,1.754,1.701,1.723,96006000
2023-03-22,1.723,1.751,1.719,1.747,33616000
2023-03-23,1.75,1.778,1.74,1.768,59897000
2023-03-24,1.772,1.853,1.768,1.843,214405000
2023-03-27,1.85,1.9,1.809,1.897,132601000
2023-03-28,1.901,2.041,1.886,1.996,469575000
2023-03-29,2.0,2.0,1.94,1.958,233484000
2023-03-30,1.958,1.963,1.927,1.943,106747000
2023-03-31,1.943,1.947,1.829,1.928,156403000
2023-04-03,1.928,1.94,1.899,1.923,70892000
2023-04-04,1.93,1.96,1.907,1.924,95709000
2023-04-05,1.916,1.923,1.891,1.902,79806000
2023-04-06,1.905,1.921,1.897,1.902,81443000
2023-04-07,1.908,1.912,1.8,1.882,125015000
2023-04-10,1.891,1.929,1.88,1.928,96108000
2023-04-11,1.93,1.93,1.872,1.893,100805000
2023-04-12,1.9,1.91,1.882,1.905,37547000
2023-04-13,1.905,1.945,1.899,1.919,119350000
2023-04-14,1.933,1.933,1.9,1.911,46661000
2023-04-17,1.915,1.931,1.903,1.922,62623000
2023-04-18,1.924,1.927,1.905,1.92,53717000
2023-04-19,1.922,1.924,1.89,1.906,51309000
2023-04-20,1.904,1.911,1.87,1.899,52632000
2023-04-21,1.9,1.909,1.89,1.902,32434000
2023-04-24,1.906,2.0,1.906,1.979,547460000
2023-04-25,1.988,2.149,1.944,2.139,621734000
2023-04-26,2.151,2.25,2.034,2.083,1585777000
2023-04-27,2.077,2.116,2.038,2.059,521967000
2023-04-28,2.065,2.068,1.963,1.964,383048000
2023-05-02,1.97,1.97,1.737,1.826,569897000
2023-05-03,1.84,1.869,1.773,1.792,448355000
2023-05-04,1.79,1.819,1.781,1.809,137252000
2023-05-05,1.816,1.834,1.775,1.782,124064000
2023-05-08,1.774,1.796,1.718,1.733,82846000
2023-05-10,1.734,1.899,1.707,1.881,532013000
2023-05-11,1.889,1.979,1.8,1.886,588030000
