TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,160.6,168.6,160.6,164.6,4
2023-01-04,161.6,168.8,161.6,166.0,5
2023-01-05,168.8,169.0,168.4,168.4,3
2023-01-06,169.8,177.8,161.4,167.0,31
2023-01-09,175.2,177.8,168.0,168.4,18
2023-01-10,168.8,171.4,168.2,168.2,8
2023-01-11,168.2,177.8,168.0,172.8,21
2023-01-12,174.8,176.6,166.4,171.0,25
2023-01-13,167.0,177.8,158.2,159.2,395
2023-01-16,162.6,162.6,155.4,162.2,74
2023-01-17,162.0,162.2,159.0,161.4,26
2023-01-18,158.4,161.4,158.2,160.2,13
2023-01-19,160.6,160.6,157.8,160.4,14
2023-01-20,159.0,160.8,159.0,160.8,8
2023-01-23,160.8,160.8,155.0,160.8,50
2023-01-24,162.4,162.4,155.0,161.0,119
2023-01-25,160.0,162.0,160.0,160.6,23
2023-01-26,161.8,166.0,160.8,166.0,60
2023-01-27,165.8,170.0,163.8,169.4,127
2023-01-30,169.8,171.8,169.8,170.8,39
2023-01-31,173.2,173.2,170.2,171.6,17
2023-02-01,172.0,174.0,170.5,170.5,91
2023-02-02,170.5,170.5,169.0,169.0,33
2023-02-03,169.0,169.0,168.0,168.0,8
2023-02-06,163.5,169.0,162.0,167.0,31
2023-02-07,168.0,169.5,166.0,168.0,29
2023-02-08,167.5,172.5,167.5,172.5,46
2023-02-09,173.0,179.0,173.0,175.0,61
2023-02-10,174.0,177.0,174.0,177.0,15
2023-02-13,178.5,179.5,174.0,174.0,27
2023-02-14,175.0,175.0,172.0,175.0,14
2023-02-15,173.0,173.0,168.5,168.5,30
2023-02-16,171.0,171.5,169.0,169.0,8
2023-02-17,171.0,171.0,170.0,170.0,3
2023-02-20,170.0,178.5,169.5,178.0,35
2023-02-21,177.5,177.5,174.5,175.0,30
2023-02-22,175.5,175.5,174.5,174.5,3
2023-02-24,175.0,175.0,171.5,173.0,4
2023-02-27,175.5,176.0,175.0,175.0,5
2023-02-28,176.0,178.5,176.0,178.5,16
2023-03-01,178.5,178.5,174.5,174.5,42
2023-03-02,177.5,177.5,171.0,174.5,108
2023-03-03,176.5,210.0,176.5,198.0,318
2023-03-06,196.0,196.5,185.0,195.0,48
2023-03-07,192.0,198.0,192.0,198.0,30
2023-03-09,198.0,198.0,190.0,194.5,23
2023-03-10,194.5,194.5,191.0,191.5,11
2023-03-13,192.5,192.5,188.5,188.5,14
2023-03-14,192.0,193.0,187.5,192.5,7
2023-03-15,190.5,193.5,190.5,193.0,4
2023-03-16,193.0,205.0,193.0,195.0,117
2023-03-17,200.0,205.0,195.0,200.0,37
2023-03-20,199.5,200.5,197.5,198.0,13
2023-03-21,198.0,203.5,198.0,199.5,29
2023-03-22,202.0,250.0,200.0,216.5,910
2023-03-23,230.5,240.5,220.0,232.5,428
2023-03-24,232.5,235.5,226.0,233.0,57
2023-03-27,234.0,234.5,228.5,229.0,371
2023-03-28,228.5,230.5,227.0,228.5,63
2023-03-29,229.0,231.5,228.5,231.5,23
2023-03-30,228.5,231.0,228.5,231.0,25
2023-03-31,228.5,228.5,227.5,227.5,15
2023-04-03,227.5,230.0,226.0,228.0,35
2023-04-04,227.5,228.5,225.5,228.5,24
2023-04-05,227.5,229.5,226.0,227.0,21
2023-04-06,226.5,230.5,224.5,226.5,32
2023-04-07,224.5,225.5,223.0,225.5,20
2023-04-10,226.5,230.0,223.5,229.5,99
2023-04-11,229.5,231.0,227.0,227.0,14
2023-04-12,227.0,228.5,225.0,227.5,166
2023-04-13,227.5,227.5,225.0,227.0,61
2023-04-14,227.5,239.0,226.5,226.5,29
2023-04-17,236.0,236.0,226.5,226.5,43
2023-04-18,231.5,233.0,226.5,226.5,41
2023-04-19,227.5,229.0,224.0,226.5,67
2023-04-20,225.5,229.5,225.5,226.0,17
2023-04-21,226.0,233.5,226.0,227.5,33
2023-04-24,226.5,233.5,226.5,228.0,23
2023-04-25,230.5,231.0,228.0,228.5,9
2023-04-26,228.5,270.0,228.5,245.0,391
2023-04-27,242.5,242.5,233.5,236.5,23
2023-04-28,235.0,240.0,230.0,233.5,27
2023-05-02,237.0,238.0,231.0,238.0,41
2023-05-03,239.5,239.5,232.0,232.0,22
2023-05-04,239.0,254.5,225.0,228.0,71
2023-05-05,231.0,231.5,228.0,230.5,14
2023-05-08,234.5,234.5,231.5,231.5,6
2023-05-10,231.5,231.5,220.5,228.0,27
2023-05-11,229.5,230.0,225.5,226.0,9
2023-05-12,226.0,228.5,221.0,225.0,20
2023-05-15,222.5,226.5,221.0,224.0,36
2023-05-16,223.0,223.0,220.0,221.5,54
2023-05-17,224.0,224.0,215.0,218.0,44
2023-05-18,218.5,218.5,216.0,218.0,8
2023-05-19,216.0,217.5,215.5,216.5,12
2023-05-22,216.0,223.0,215.5,223.0,32
2023-05-23,222.0,222.0,220.0,220.0,3
2023-05-24,222.0,222.5,220.5,222.0,16
2023-05-25,220.5,222.0,220.0,222.0,3
2023-05-26,221.5,223.0,221.5,223.0,6
2023-05-29,220.5,223.5,220.5,223.0,9
2023-05-30,223.0,235.0,223.0,229.0,101
2023-05-31,227.5,230.0,226.5,226.5,20
2023-06-01,226.5,229.0,225.0,225.0,9
2023-06-02,225.5,225.5,225.0,225.0,30
2023-06-05,226.5,226.5,225.0,225.0,96
2023-06-06,226.0,226.0,225.0,225.0,32
2023-06-07,225.5,226.0,225.5,226.0,2
2023-06-08,225.0,226.0,225.0,225.0,7
2023-06-09,226.0,227.0,225.5,225.5,6
2023-06-13,225.5,226.5,225.5,226.0,6
2023-06-14,229.0,229.0,226.0,226.0,2
2023-06-15,228.5,229.0,225.5,225.5,9
2023-06-16,227.5,230.0,225.5,229.5,22
2023-06-19,230.0,235.0,230.0,231.0,78
2023-06-20,229.0,230.0,229.0,230.0,9
2023-06-21,230.5,249.5,229.0,230.0,370
2023-06-22,231.5,244.0,230.0,233.0,550
2023-06-23,234.5,240.0,232.5,232.5,195
2023-06-26,233.5,240.0,233.5,240.0,48
2023-06-27,240.0,248.5,240.0,247.5,16
2023-06-28,252.0,260.0,236.5,255.5,132
2023-06-29,250.5,257.0,248.0,252.5,25
2023-06-30,252.5,257.0,250.0,257.0,25
2023-07-03,256.5,257.0,252.5,257.0,35
2023-07-04,250.5,254.0,242.0,252.5,9
2023-07-05,254.5,254.5,253.0,253.0,17
2023-07-06,253.5,253.5,251.0,251.0,7
2023-07-07,252.5,271.0,251.5,254.0,164
2023-07-10,258.0,267.0,258.0,261.0,17
2023-07-11,260.0,269.5,251.5,254.0,44
2023-07-12,281.0,300.0,257.5,280.0,196
2023-07-13,280.0,284.0,276.0,281.5,21
2023-07-14,285.0,288.0,282.0,283.0,7
2023-07-17,284.5,289.0,284.5,285.5,8
2023-07-18,284.5,288.0,274.5,283.5,20
2023-07-19,286.0,287.5,283.0,287.0,7
2023-07-20,283.5,290.0,283.5,288.0,17
2023-07-21,287.0,289.0,287.0,287.5,4
2023-07-24,287.0,287.0,283.5,284.0,31
2023-07-25,285.5,287.0,284.5,287.0,6
2023-07-26,282.0,290.0,281.5,284.5,24
2023-07-27,284.5,292.0,274.0,284.0,93
2023-07-28,280.5,287.5,275.0,282.5,37
2023-07-31,279.0,282.5,270.5,278.5,101
2023-08-01,281.5,285.0,279.5,280.0,18
2023-08-02,283.0,292.5,280.5,287.0,111
2023-08-03,286.0,291.0,286.0,287.0,13
2023-08-04,286.0,289.0,284.5,285.0,25
2023-08-07,285.0,291.5,280.0,291.5,46
2023-08-08,294.0,294.0,285.0,289.5,39
2023-08-09,294.0,294.0,285.0,290.0,41
2023-08-10,287.0,291.0,286.5,290.5,14
2023-08-11,293.5,314.5,286.5,307.5,76
2023-08-14,326.0,434.0,316.0,316.0,351
2023-08-15,322.0,350.0,306.0,336.0,193
2023-08-16,346.5,348.5,300.0,312.5,184
2023-08-17,313.5,315.0,303.0,310.5,53
2023-08-18,320.5,339.5,313.0,319.0,80
2023-08-21,329.0,343.0,322.0,325.5,60
2023-08-22,329.5,334.5,320.0,325.0,70
2023-08-23,329.0,329.5,321.0,321.0,34
2023-08-24,322.0,328.5,322.0,327.0,55
2023-08-25,327.0,335.0,323.5,323.5,55
2023-08-28,324.0,335.0,323.0,329.0,59
2023-08-29,330.5,354.0,325.0,325.0,121
2023-08-30,339.5,347.5,327.5,335.0,48
2023-08-31,328.5,337.0,325.5,325.5,51
2023-09-01,345.0,368.0,336.0,348.5,475
2023-09-04,348.5,362.0,348.0,351.0,146
2023-09-05,355.0,439.0,355.0,400.5,768
2023-09-06,401.0,426.0,380.0,392.0,226
2023-09-07,392.0,395.0,360.0,370.0,133
2023-09-08,370.0,381.0,340.0,361.0,99
2023-09-11,361.0,393.0,361.0,377.5,66
2023-09-12,383.5,384.5,358.5,361.0,75
2023-09-13,370.0,388.0,366.5,388.0,53
2023-09-14,370.5,376.0,331.0,355.0,201
2023-09-15,359.0,368.5,350.0,360.0,51
2023-09-18,364.0,369.0,360.0,361.5,35
2023-09-19,361.0,361.0,340.5,343.0,35
2023-09-20,341.5,345.5,320.0,331.5,39
2023-09-21,340.0,340.0,325.5,329.0,10
2023-09-22,320.5,335.0,320.0,333.0,23
2023-09-25,333.5,350.5,332.0,350.0,19
