TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,71.7,72.8,70.45,72.25,1770
2023-01-04,71.85,74.0,71.85,73.15,2950
2023-01-05,73.25,80.0,72.6,75.3,53120
2023-01-06,76.75,78.0,74.0,74.0,12250
2023-01-09,74.75,95.0,74.25,82.9,311320
2023-01-10,83.95,91.75,80.3,82.6,90180
2023-01-11,83.15,84.45,80.35,83.0,18430
2023-01-12,82.15,86.8,82.15,83.55,23550
2023-01-13,83.45,87.0,83.45,84.9,11020
2023-01-16,83.75,90.0,83.65,87.0,30270
2023-01-17,86.1,87.95,83.95,83.95,11560
2023-01-18,84.9,87.5,84.0,84.6,11900
2023-01-19,84.75,85.5,82.0,82.7,30340
2023-01-20,82.65,83.85,80.0,82.0,17540
2023-01-23,82.0,82.75,81.25,82.75,1860
2023-01-24,81.7,88.0,80.7,86.05,43140
2023-01-25,86.05,95.5,85.95,87.0,155580
2023-01-26,87.2,87.85,86.0,87.0,12740
2023-01-27,87.0,88.0,86.05,86.9,12580
2023-01-30,86.05,93.95,86.05,88.8,19750
2023-01-31,89.95,92.0,87.4,89.0,14000
2023-02-01,89.3,96.95,88.5,91.4,34210
2023-02-02,91.95,94.8,87.8,92.1,27430
2023-02-03,91.7,92.25,90.55,90.85,3320
2023-02-06,91.5,91.65,89.1,90.85,6310
2023-02-07,90.85,90.85,80.3,89.2,22590
2023-02-08,89.4,124.8,89.35,119.0,339350
2023-02-09,122.65,122.65,105.0,109.6,103680
2023-02-10,107.5,107.5,99.25,104.5,40120
2023-02-13,100.0,105.5,100.0,103.9,7500
2023-02-14,104.95,105.0,100.1,101.1,13890
2023-02-15,100.65,102.05,96.6,97.2,15330
2023-02-16,97.5,129.0,97.25,115.0,503630
2023-02-17,105.1,116.15,105.0,106.35,179550
2023-02-20,107.55,112.0,100.85,102.1,33120
2023-02-21,102.1,104.4,101.45,103.05,26020
2023-02-22,104.5,105.85,102.05,103.1,7920
2023-02-24,102.65,103.0,99.0,100.7,35220
2023-02-27,100.9,111.45,99.7,104.2,107040
2023-02-28,104.65,106.85,102.0,103.0,41450
2023-03-01,103.0,104.75,102.05,103.8,22160
2023-03-02,104.75,108.7,102.6,103.7,39420
2023-03-03,104.4,106.6,103.25,105.0,13740
2023-03-06,105.9,106.7,103.85,106.3,12050
2023-03-07,106.95,113.95,106.0,107.5,54790
2023-03-09,108.6,109.95,107.0,108.8,10050
2023-03-10,108.6,119.4,106.05,109.0,88810
2023-03-13,108.95,111.0,108.05,108.9,13420
2023-03-14,108.3,108.4,106.05,107.05,18850
2023-03-15,107.8,108.85,105.1,105.95,14490
2023-03-16,105.65,106.55,105.2,106.0,8890
2023-03-17,106.85,106.85,105.0,106.25,8190
2023-03-20,106.25,106.25,104.0,105.9,16630
2023-03-21,106.3,107.9,105.25,106.0,7320
2023-03-22,105.6,108.95,105.1,106.0,12410
2023-03-23,105.85,109.9,105.85,108.65,18430
2023-03-24,109.1,139.9,107.25,119.6,666500
2023-03-27,121.95,139.0,121.5,127.05,280960
2023-03-28,127.5,128.5,120.1,123.6,80040
2023-03-29,121.5,126.95,121.5,124.05,30080
2023-03-30,124.0,124.85,119.6,122.95,26980
2023-03-31,124.65,125.9,121.0,122.2,21540
2023-04-03,120.65,125.45,120.6,124.05,35970
2023-04-04,124.45,127.3,123.0,124.2,26580
2023-04-05,124.9,128.95,123.05,127.15,18930
2023-04-06,127.95,132.95,123.15,131.15,43000
2023-04-07,132.0,149.75,132.0,138.1,163020
2023-04-10,140.85,146.5,140.3,143.9,21470
2023-04-11,146.1,146.4,132.5,140.95,32290
2023-04-12,140.5,147.8,137.85,143.9,24390
2023-04-13,143.9,148.0,138.0,140.4,16410
2023-04-14,140.45,145.6,140.0,144.0,10550
2023-04-17,145.0,146.5,141.9,143.65,10320
2023-04-18,145.95,184.4,144.05,165.05,1007960
2023-04-19,165.05,165.85,144.7,155.2,306710
2023-04-20,156.25,156.25,146.9,152.25,35310
2023-04-21,152.35,153.25,145.15,150.45,16950
2023-04-24,148.0,153.0,148.0,150.7,23920
2023-04-25,150.05,157.5,150.05,152.25,57690
2023-04-26,152.25,154.9,148.0,149.55,39700
2023-04-27,149.0,149.1,144.3,145.05,26200
2023-04-28,146.7,147.65,142.4,147.65,20930
2023-05-02,147.0,150.6,130.95,134.1,52670
2023-05-03,137.65,141.75,130.65,134.15,27540
2023-05-04,134.75,148.9,134.0,137.5,43330
2023-05-05,137.7,140.7,134.05,135.85,15450
2023-05-08,135.2,136.95,132.15,136.25,7350
2023-05-10,136.0,140.95,134.2,137.65,11800
2023-05-11,137.85,149.5,137.65,142.3,21790
2023-05-12,143.0,152.2,139.3,148.7,21280
2023-05-15,149.15,153.0,140.05,148.4,25910
2023-05-16,148.45,160.0,148.45,150.4,54440
2023-05-17,151.9,167.0,148.5,154.95,114420
2023-05-18,154.9,156.55,148.65,150.75,35950
2023-05-19,148.1,149.8,144.0,145.85,33350
2023-05-22,146.6,146.85,144.0,145.0,7240
2023-05-23,144.1,144.25,142.85,143.95,8420
