TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,4540,4800,4500,4760,15
2023-01-04,4800,4960,4760,4960,52
2023-01-05,4960,4960,4780,4940,23
2023-01-06,4980,5040,4720,5000,30
2023-01-09,4900,5040,4740,4880,28
2023-01-10,5060,5060,4760,4840,12
2023-01-11,5000,5180,4900,5000,89
2023-01-12,4920,5040,4840,4880,25
2023-01-13,4940,5000,4780,4900,51
2023-01-16,4880,5000,4820,4860,70
2023-01-17,4840,5420,4680,4800,628
2023-01-18,4960,4980,4700,4780,138
2023-01-19,4720,4880,4520,4740,145
2023-01-20,4540,4840,4540,4840,44
2023-01-23,4760,5500,4660,5040,770
2023-01-24,4940,5220,4880,4980,74
2023-01-25,4980,5100,4820,4920,69
2023-01-26,4920,5180,4800,5140,162
2023-01-27,5320,5400,4860,5260,135
2023-01-30,5120,5400,5000,5240,82
2023-01-31,5300,5320,4940,5080,252
2023-02-01,5100,6800,5080,6000,5498
2023-02-02,5820,8260,5580,6900,7375
2023-02-03,6720,7220,6220,6800,1336
2023-02-06,6680,7040,6440,6700,288
2023-02-07,6700,6700,6340,6520,281
2023-02-08,6040,6520,6040,6300,298
2023-02-09,6300,6300,5920,6140,599
2023-02-10,6120,6120,5840,6000,126
2023-02-13,5900,6820,5820,6080,834
2023-02-14,6220,6220,5680,5780,322
2023-02-15,5660,6000,5400,5600,252
2023-02-16,5620,5940,5480,5580,76
2023-02-17,5500,5680,5420,5680,32
2023-02-20,5520,5760,5500,5680,31
2023-02-21,5820,6860,5620,6040,4395
2023-02-22,6040,6340,5800,5880,411
2023-02-24,5880,5920,5680,5740,106
2023-02-27,5680,5940,5600,5760,112
2023-02-28,5720,6040,5720,5760,196
2023-03-01,5820,6920,5820,6340,2299
2023-03-02,6380,6440,6040,6300,224
2023-03-03,6400,6460,6100,6300,232
2023-03-06,6380,6500,6180,6300,348
2023-03-07,6460,7000,6380,6460,654
2023-03-09,6600,6840,6440,6440,209
2023-03-10,6520,6560,6400,6420,30
2023-03-13,6460,6560,6200,6380,188
2023-03-14,6300,6400,6120,6380,123
2023-03-15,6380,6400,6260,6340,39
2023-03-16,6340,6380,6220,6300,132
2023-03-17,6240,6320,6220,6300,38
2023-03-20,6260,6300,6140,6300,60
2023-03-21,6180,6340,6180,6300,45
2023-03-22,6220,6400,6180,6280,58
2023-03-23,6320,6500,6220,6300,95
2023-03-24,6340,6500,6240,6340,168
2023-03-27,6320,6560,6260,6420,196
2023-03-28,6440,6680,6440,6540,233
2023-03-29,6520,6700,6420,6580,72
2023-03-30,6600,6700,6540,6680,63
2023-03-31,6660,6700,6460,6520,97
2023-04-03,6600,6680,6520,6620,231
2023-04-04,6620,6700,6400,6580,122
2023-04-05,6580,6640,6420,6640,120
2023-04-06,6640,6740,6540,6640,68
2023-04-07,6680,6680,6500,6660,84
2023-04-10,6680,6780,6540,6700,201
2023-04-11,6640,7180,6540,6720,465
2023-04-12,6900,7020,6600,6860,429
2023-04-13,6880,7240,6780,6800,413
2023-04-14,6780,6980,6780,6960,140
2023-04-17,7060,7060,6800,6980,151
2023-04-18,7000,7000,6820,6920,102
2023-04-19,6920,7180,6880,6960,238
2023-04-20,6980,6980,6800,6900,78
2023-04-21,6860,6900,6780,6900,59
2023-04-24,6820,7040,6800,6940,84
2023-04-25,6920,7060,6840,7060,62
2023-04-26,7060,7160,6900,7000,113
2023-04-27,7000,7080,6940,6940,24
2023-04-28,6940,6940,6800,6840,61
2023-05-02,6880,6880,6620,6620,101
2023-05-03,6620,6640,6420,6460,95
2023-05-04,6460,6480,6460,6460,5
2023-05-05,6500,6500,6340,6380,34
2023-05-08,6420,6420,6340,6400,7
2023-05-10,6400,6460,6360,6400,82
2023-05-11,6380,6700,6380,6700,253
2023-05-12,6660,6880,6520,6740,121
2023-05-15,6840,6860,6640,6700,65
2023-05-16,6640,6740,6640,6660,16
2023-05-17,6660,6700,6600,6700,20
2023-05-18,6660,6720,6540,6600,37
2023-05-19,6540,6660,6520,6520,27
2023-05-22,6560,6720,6460,6700,64
2023-05-23,6640,6640,6460,6600,30
2023-05-24,6620,6700,6620,6700,15
2023-05-25,6620,6800,6620,6800,27
2023-05-26,6740,6760,6720,6760,40
2023-05-29,6700,6800,6680,6780,20
2023-05-30,6700,6780,6660,6740,32
2023-05-31,6640,6700,6460,6700,46
2023-06-01,6700,6700,6640,6700,15
2023-06-02,6620,6680,6540,6680,37
2023-06-05,6680,6760,6620,6660,55
2023-06-06,6640,6720,6620,6700,12
2023-06-07,6700,6760,6640,6720,32
2023-06-08,6740,6780,6680,6680,23
2023-06-09,6760,6960,6680,6940,289
2023-06-13,6940,6980,6800,6840,92
2023-06-14,7000,7080,6740,6840,226
2023-06-15,6760,6900,6720,6820,54
2023-06-16,6840,7200,6800,7160,188
2023-06-19,7180,7700,6840,7020,290
2023-06-20,6980,7180,6840,7180,94
2023-06-21,7200,7440,7020,7160,168
2023-06-22,7160,7220,6940,7080,148
2023-06-23,7080,8600,7080,7480,1041
2023-06-26,8080,10460,7900,10460,2651
2023-06-27,11500,13240,9300,9460,3227
2023-06-28,9460,9920,8900,9180,609
2023-06-29,9300,9880,9000,9800,1141
2023-06-30,9740,9740,9200,9380,301
2023-07-03,9160,9560,9140,9260,153
2023-07-04,9160,9340,8960,9100,158
2023-07-05,9140,9300,9000,9060,130
2023-07-06,9000,9080,8620,9000,167
2023-07-07,9040,9060,8620,8800,157
2023-07-10,8680,8900,8540,8820,180
2023-07-11,8820,9020,8680,8860,84
2023-07-12,8840,8980,8760,8980,58
2023-07-13,8960,8960,8860,8960,31
2023-07-14,8760,8960,8760,8920,41
2023-07-17,8880,9000,8740,8900,275
2023-07-18,9160,11400,9120,10180,4675
2023-07-19,10220,10380,9620,9940,275
2023-07-20,9920,9960,9380,9780,202
2023-07-21,9880,9940,9580,9700,102
2023-07-24,9900,10180,9700,9980,99
2023-07-25,9960,10200,9780,10000,138
2023-07-26,10160,10180,9700,9980,93
2023-07-27,9980,10140,9800,10080,171
2023-07-28,10020,10020,9880,9960,63
2023-07-31,10020,10280,9920,10280,91
2023-08-01,10120,10700,10060,10460,214
2023-08-02,10520,10880,10240,10540,397
2023-08-03,10620,10640,10380,10380,125
2023-08-04,10380,11000,9840,10020,493
2023-08-07,10240,11000,10080,10460,591
2023-08-08,10480,10820,10140,10160,122
2023-08-09,10160,10500,10100,10440,128
2023-08-10,10200,14600,10200,14600,5035
2023-08-11,16060,19620,14060,17200,5525
2023-08-14,17200,17200,15040,15960,1393
2023-08-15,15600,16240,14520,15400,430
2023-08-16,15500,15980,14400,14740,383
2023-08-17,14780,16200,14780,16200,638
2023-08-18,16620,17320,15480,16000,571
2023-08-21,16520,16560,16000,16100,84
2023-08-22,16020,16260,15820,16060,67
2023-08-23,16100,16260,15980,16100,72
2023-08-24,16200,16460,15640,15960,261
2023-08-25,16160,16340,16000,16000,84
2023-08-28,16200,16460,16060,16240,164
2023-08-29,16560,18000,16500,16800,1008
2023-08-30,16840,16920,15800,16660,227
2023-08-31,16720,16760,16200,16460,133
2023-09-01,16480,17300,16120,17080,392
2023-09-04,17480,18500,17000,17820,571
2023-09-05,18360,18380,17700,17980,185
2023-09-06,17700,18000,17320,17320,95
2023-09-07,17800,18100,16460,16460,241
2023-09-08,17260,20500,16760,16900,2704
2023-09-11,17300,17300,16200,16540,386
2023-09-12,16640,18400,16640,17580,1010
2023-09-13,17600,18200,17000,17360,277
2023-09-14,17960,17980,10420,15200,709
2023-09-15,13740,16800,13740,16180,383
2023-09-18,17040,17060,15660,15960,184
2023-09-19,15760,15760,14700,15140,114
2023-09-20,14620,15760,13420,15760,188
2023-09-21,15760,16440,14040,14800,237
2023-09-22,14120,15600,13820,15020,198
2023-09-25,15020,15400,14500,15400,90
2023-09-26,15300,15360,14480,15080,125
2023-09-27,15040,15300,14900,15040,73
2023-09-28,15140,15340,14920,14920,56
2023-09-29,15240,15260,14380,14660,69
2023-10-02,14960,14960,14720,14940,84
2023-10-03,14780,14860,14380,14760,84
2023-10-04,14540,14900,14540,14900,42
2023-10-05,14940,16000,14940,15260,268
2023-10-06,15840,17040,14800,15480,613
2023-10-09,15820,16100,15220,15660,98
2023-10-10,16040,16040,15500,15860,117
2023-10-11,15760,15800,15200,15700,55
2023-10-12,15700,15700,14820,14940,119
2023-10-13,14860,15640,14820,15280,77
2023-10-16,15040,15500,14660,15240,156
2023-10-17,15160,15900,15140,15720,172
2023-10-18,15720,16040,15440,15780,108
2023-10-19,15980,16180,15340,15480,49
2023-10-20,15640,15860,15260,15480,58
2023-10-23,15680,16100,15640,15640,37
2023-10-24,15820,16060,15400,15900,56
2023-10-25,15880,16100,15520,15800,105
2023-10-26,15880,15900,15300,15300,56
2023-10-27,15700,15760,15040,15200,62
2023-10-30,15200,15440,15120,15320,34
2023-10-31,15180,15180,14640,14900,56
2023-11-01,14860,15680,14860,15480,80
2023-11-02,15460,15600,15020,15060,34
