TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,7.6,7.94,7.6,7.74,23800
2023-01-04,7.76,8.7,7.6,7.92,143200
2023-01-05,8.0,10.0,7.8,9.02,420200
2023-01-06,8.76,9.46,7.92,8.4,356200
2023-01-09,8.52,8.8,8.18,8.2,68400
2023-01-10,8.22,8.4,8.06,8.2,15800
2023-01-11,8.28,8.32,8.08,8.24,18300
2023-01-12,8.22,8.38,8.1,8.32,29900
2023-01-13,8.5,8.7,8.22,8.34,85300
2023-01-16,8.38,8.56,8.04,8.36,42400
2023-01-17,8.4,8.4,8.08,8.26,19800
2023-01-18,8.28,8.3,8.12,8.3,14300
2023-01-19,8.3,8.3,8.14,8.18,10300
2023-01-20,8.3,8.3,8.14,8.28,6000
2023-01-23,8.16,8.4,8.16,8.24,21100
2023-01-24,8.4,10.36,8.34,9.44,1159700
2023-01-25,9.52,9.52,8.9,9.1,159800
2023-01-26,9.2,9.28,8.66,9.0,99800
2023-01-27,8.88,9.06,8.68,8.92,27900
2023-01-30,9.0,9.4,8.86,9.36,46200
2023-01-31,9.04,9.48,8.78,9.06,118700
2023-02-01,9.06,9.2,8.84,9.06,40900
2023-02-02,9.06,9.18,9.06,9.08,12400
2023-02-03,9.12,9.14,9.04,9.04,19800
2023-02-06,9.12,9.2,8.98,9.14,12800
2023-02-07,9.24,9.24,9.0,9.12,55100
2023-02-08,9.08,9.12,8.78,9.0,180100
2023-02-09,8.9,9.0,8.9,8.96,52000
2023-02-10,8.98,9.08,8.88,8.98,172400
2023-02-13,9.0,9.18,8.9,9.14,137400
2023-02-14,9.14,9.14,8.88,8.94,66100
2023-02-15,8.92,9.0,8.4,8.46,139900
2023-02-16,8.48,8.62,8.22,8.54,30500
2023-02-17,8.48,8.58,8.34,8.44,61300
2023-02-20,8.44,9.18,8.28,8.5,113300
2023-02-21,8.56,8.98,8.36,8.78,81900
2023-02-22,8.7,9.42,8.5,8.76,84500
2023-02-24,8.78,8.82,8.66,8.76,13500
2023-02-27,8.8,8.98,8.78,8.92,22400
2023-02-28,8.82,9.0,8.82,8.94,24100
2023-03-01,8.94,9.38,8.94,9.2,82200
2023-03-02,9.1,9.18,9.0,9.04,44700
2023-03-03,9.04,9.6,8.9,9.16,107400
2023-03-06,9.2,9.52,9.14,9.36,95800
2023-03-07,9.46,9.68,8.96,9.24,69900
2023-03-09,9.24,9.5,9.18,9.26,99800
2023-03-10,9.2,9.98,8.94,9.44,110200
2023-03-13,9.62,10.18,9.32,9.6,234500
2023-03-14,9.6,9.96,9.3,9.62,75200
2023-03-15,10.12,10.4,9.64,9.86,522000
2023-03-16,9.96,10.1,9.66,9.78,30300
2023-03-17,9.8,9.9,9.42,9.8,134000
2023-03-20,9.58,10.02,9.52,10.02,142100
2023-03-21,10.06,10.34,9.8,9.94,111600
2023-03-22,9.98,10.24,9.88,10.02,43000
2023-03-23,10.02,10.12,9.68,9.84,43200
