TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2025-01-09,2690.0,3000.0,2670.0,2803.0,6661057
2025-01-10,2800.0,2975.0,2783.0,2945.0,3454995
2025-01-13,2962.0,2999.5,2882.0,2905.0,2120539
2025-01-14,2920.0,2933.0,2884.0,2929.0,911219
2025-01-15,2936.5,2949.5,2891.0,2904.5,694614
2025-01-16,2905.0,2948.0,2883.0,2910.0,1282730
2025-01-17,2905.0,2911.5,2858.5,2898.0,1161953
2025-01-20,2900.5,2914.5,2866.0,2866.0,885908
2025-01-21,2885.0,2935.0,2837.0,2930.0,1407145
2025-01-22,2933.0,2947.0,2908.0,2914.0,860496
2025-01-23,2913.5,2914.0,2886.0,2900.0,626933
2025-01-24,2912.0,2919.0,2897.0,2909.5,786697
2025-01-27,2911.0,2950.0,2892.5,2919.5,1017938
2025-01-28,2921.0,3145.0,2911.0,3130.5,3609641
2025-01-29,3132.0,3190.0,3085.0,3169.0,2062314
2025-01-30,3169.0,3298.0,3166.0,3259.0,2894288
2025-01-31,3261.0,3294.0,3192.5,3232.0,1560315
2025-02-03,3232.5,3274.0,3172.5,3240.0,1014890
2025-02-04,3241.0,3291.5,3226.5,3268.5,1275542
2025-02-05,3267.0,3305.0,3241.5,3276.5,1275707
2025-02-06,3283.0,3295.0,3234.5,3264.5,1121689
2025-02-07,3268.0,3276.5,3245.0,3266.0,613710
2025-02-10,3266.5,3357.0,3266.5,3267.5,1723277
2025-02-11,3285.0,3353.0,3275.0,3318.5,1076594
2025-02-12,3323.0,3450.0,3318.5,3440.0,2008114
2025-02-13,3440.0,3675.5,3364.0,3419.0,2621433
2025-02-14,3419.5,3493.5,3350.0,3406.5,1877552
2025-02-17,3425.0,3480.0,3415.0,3470.0,1201150
2025-02-18,3470.0,3470.0,3406.5,3430.0,811061
2025-02-19,3438.0,3466.0,3380.5,3445.0,648394
2025-02-20,3450.0,3489.5,3350.5,3449.5,647881
2025-02-21,3448.0,3470.0,3432.0,3448.5,334231
2025-02-24,3448.5,3468.5,3414.5,3438.5,772397
2025-02-25,3440.0,3460.0,3385.0,3414.5,939476
2025-02-26,3414.5,3437.5,3276.0,3299.0,1419337
2025-02-27,3295.5,3362.5,3202.0,3222.5,1495848
2025-02-28,3220.0,3349.5,3175.0,3334.0,1370411
2025-03-01,3340.0,3352.0,3325.5,3333.5,25308
2025-03-02,3336.0,3349.0,3303.5,3320.0,33952
2025-03-03,3318.0,3340.0,3191.0,3257.0,1034661
2025-03-04,3260.0,3389.0,3260.0,3348.5,1112001
2025-03-05,3351.0,3380.0,3300.0,3322.5,912139
2025-03-06,3304.5,3343.5,3277.5,3337.5,513723
2025-03-07,3337.0,3433.5,3322.5,3393.0,1348015
2025-03-10,3393.5,3495.0,3393.0,3464.5,1244368
2025-03-11,3465.0,3565.0,3457.0,3547.5,1651586
2025-03-12,3550.0,3565.0,3440.0,3518.0,1093014
2025-03-13,3518.5,3547.5,3425.0,3513.0,1465422
2025-03-14,3511.0,3615.5,3487.5,3610.0,1182982
2025-03-15,3616.0,3640.0,3610.0,3630.5,54462
2025-03-16,3605.0,3645.0,3605.0,3644.5,47953
2025-03-17,3640.0,3666.0,3592.0,3648.0,1766147
2025-03-18,3648.5,3663.0,3580.0,3608.0,977770
2025-03-19,3618.0,3744.0,3601.0,3736.0,1268630
2025-03-20,3745.0,3764.0,3654.0,3694.0,1154985
2025-03-21,3695.0,3719.0,3610.0,3648.0,3192225
2025-03-24,3653.0,3663.0,3570.0,3589.5,1438070
2025-03-25,3590.0,3609.0,3541.0,3587.5,1019240
2025-03-26,3598.0,3615.0,3472.0,3487.5,1383765
2025-03-27,3488.0,3546.0,3454.0,3503.0,1695045
2025-03-28,3501.0,3549.5,3475.5,3508.0,1340007
2025-03-29,3520.0,3524.5,3475.5,3487.0,79743
2025-03-30,3487.0,3505.0,3422.5,3426.0,149830
2025-03-31,3443.5,3524.0,3415.0,3507.5,1067893
2025-04-01,3507.5,3535.0,3424.0,3443.0,1302258
2025-04-02,3440.0,3462.0,3390.5,3418.0,903705
2025-04-03,3415.0,3447.0,3300.0,3350.0,1386844
2025-04-04,3364.0,3375.0,3218.0,3246.5,1540020
2025-04-05,3246.5,3313.5,3181.0,3284.5,246557
2025-04-06,3287.0,3356.5,3277.5,3349.5,224148
2025-04-07,3300.0,3350.0,3190.0,3227.0,1931310
2025-04-08,3231.5,3285.5,3200.0,3209.5,1061580
2025-04-09,3212.0,3298.0,3090.0,3294.5,1807907
2025-04-10,3299.5,3303.0,3224.0,3235.0,689845
2025-04-11,3242.0,3331.5,3235.0,3325.5,755328
2025-04-12,3335.0,3355.0,3331.0,3351.0,107102
2025-04-13,3351.0,3388.5,3344.0,3375.5,127100
2025-04-14,3380.0,3389.0,3310.0,3351.0,751987
2025-04-15,3351.0,3377.0,3323.5,3347.0,323642
2025-04-16,3351.0,3414.5,3301.5,3388.0,733990
2025-04-17,3390.5,3414.5,3372.0,3404.0,575909
2025-04-18,3397.0,3400.0,3310.5,3350.0,581168
2025-04-21,3373.0,3408.0,3360.0,3398.0,466104
2025-04-22,3398.0,3420.0,3376.0,3400.0,676572
2025-04-23,3400.5,3418.0,3354.5,3383.0,490973
2025-04-24,3384.5,3439.5,3378.0,3390.0,756717
2025-04-25,3399.0,3424.5,3389.0,3416.5,603494
2025-04-26,3424.0,3452.0,3418.5,3439.0,192827
2025-04-27,3440.0,3455.0,3440.0,3445.0,52318
2025-04-28,3445.0,3462.0,3392.5,3407.0,714572
2025-04-29,3407.0,3419.0,3317.0,3357.0,576775
2025-04-30,3357.0,3358.0,3309.0,3341.0,682500
2025-05-02,3341.0,3348.5,3265.5,3283.5,309149
2025-05-03,3283.5,3306.5,3281.0,3300.0,43620
2025-05-04,3300.0,3368.0,3299.0,3315.0,79137
2025-05-05,3321.5,3334.5,3200.0,3237.0,848443
2025-05-06,3239.5,3266.5,3201.5,3238.5,575476
2025-05-07,3239.0,3260.0,3205.0,3219.5,511993
2025-05-08,3219.0,3232.5,3213.5,3223.5,251330
2025-05-10,3231.0,3235.5,3216.0,3224.5,42630
2025-05-11,3236.0,3262.0,3236.0,3253.5,80348
2025-05-12,3270.0,3304.5,3257.0,3290.5,481177
2025-05-13,3290.5,3300.0,3262.0,3282.0,304151
2025-05-14,3283.0,3324.0,3266.0,3286.0,447407
2025-05-15,3280.0,3308.5,3245.0,3286.5,379784
2025-05-16,3287.0,3303.0,3230.0,3278.0,456043
2025-05-17,3280.0,3308.5,3278.5,3301.0,61935
2025-05-18,3310.5,3338.0,3310.5,3324.0,58172
2025-05-19,3320.0,3330.0,3292.0,3307.0,294984
2025-05-20,3323.5,3325.0,3272.0,3285.5,397130
2025-05-21,3289.0,3292.5,3243.5,3249.5,359889
2025-05-22,3250.0,3258.5,3200.0,3210.0,496338
2025-05-23,3210.0,3270.0,3196.5,3233.5,314986
2025-05-26,3233.5,3234.0,3160.0,3168.0,545384
2025-05-27,3168.0,3239.5,3102.5,3236.5,590556
2025-05-28,3228.5,3277.5,3228.5,3274.0,414561
2025-05-29,3275.0,3280.0,3212.5,3213.5,360189
2025-05-30,3219.5,3265.0,3206.5,3251.5,298853
2025-05-31,3257.0,3266.5,3254.0,3261.0,24926
2025-06-01,3261.0,3268.0,3200.0,3225.0,98272
2025-06-02,3225.0,3279.0,3200.5,3266.5,412611
2025-06-03,3266.0,3340.0,3266.0,3325.0,540210
2025-06-04,3336.0,3408.0,3311.0,3369.0,901006
2025-06-05,3369.0,3412.0,3369.0,3384.5,421032
2025-06-06,3390.0,3410.0,3327.5,3362.0,719535
2025-06-07,3370.0,3389.0,3364.0,3379.0,30040
2025-06-08,3379.0,3385.0,3366.0,3373.5,26920
2025-06-09,3375.0,3389.5,3272.5,3317.5,690036
2025-06-10,3331.5,3331.5,3286.0,3299.5,326438
2025-06-11,3312.5,3316.0,3245.5,3278.0,455800
2025-06-13,3278.5,3298.5,3275.0,3287.0,139678
2025-06-14,3288.0,3298.5,3282.0,3293.0,27944
2025-06-15,3300.0,3308.5,3286.0,3299.0,40585
2025-06-16,3291.5,3300.0,3271.5,3287.5,291906
2025-06-17,3287.0,3303.0,3272.0,3292.0,321863
2025-06-18,3294.0,3369.0,3292.0,3335.0,526035
2025-06-19,3335.5,3386.0,3335.5,3373.5,452607
2025-06-20,3376.0,3399.0,3355.0,3381.0,483473
2025-06-23,3385.0,3469.5,3385.0,3463.5,1014902
2025-06-24,3464.0,3517.0,3439.0,3494.5,800772
2025-06-25,3495.0,3510.0,3462.0,3484.5,659070
2025-06-26,3490.0,3495.0,3454.0,3476.0,426521
2025-06-27,3481.0,3497.5,3468.5,3494.0,506244
2025-06-28,3497.0,3504.0,3495.0,3499.5,49158
2025-06-29,3499.5,3505.0,3494.0,3502.5,56773
2025-06-30,3498.0,3524.5,3472.5,3520.0,895244
2025-07-01,3528.0,3530.0,3490.0,3502.0,924811
2025-07-02,3502.0,3514.5,3414.0,3460.0,726782
2025-07-03,3460.0,3478.0,3417.0,3431.0,795965
2025-07-04,3430.0,3430.0,3357.5,3369.0,693331
2025-07-05,3375.0,3378.0,3370.0,3375.5,49217
2025-07-06,3381.0,3408.0,3372.5,3397.5,80529
2025-07-07,3400.0,3419.0,3366.5,3377.5,952940
2025-07-08,3364.0,3450.0,3325.0,3446.5,2057517
2025-07-09,3084.5,3084.5,2804.0,2870.5,3561015
2025-07-10,2871.0,2967.0,2850.0,2885.5,1331231
2025-07-11,2896.5,2906.5,2805.5,2816.0,700503
2025-07-12,2819.0,2846.5,2815.0,2820.0,50572
2025-07-13,2825.5,2830.0,2789.5,2811.0,97133
2025-07-14,2800.0,2867.0,2755.0,2860.0,912764
2025-07-15,2865.0,2922.0,2847.5,2909.5,848244
2025-07-16,2910.5,2940.0,2905.5,2922.0,709803
2025-07-17,2931.0,2984.5,2925.5,2932.0,767271
2025-07-18,2934.0,3000.0,2934.0,2994.0,787950
2025-07-19,3029.0,3075.0,3025.5,3069.0,182340
2025-07-20,3077.5,3083.0,3069.0,3079.5,102661
2025-07-21,3070.0,3130.0,3031.5,3075.0,982303
2025-07-22,3074.5,3077.5,3032.0,3053.5,487512
2025-07-23,3053.5,3074.0,3021.0,3049.5,613700
2025-07-24,3049.0,3060.0,3020.0,3029.0,337280
2025-07-25,3025.0,3065.0,2965.5,3008.0,827555
2025-07-26,3021.0,3050.0,3010.5,3020.0,55688
2025-07-27,3020.0,3021.0,3011.0,3014.5,19585
2025-07-28,3012.0,3022.0,2905.5,2925.0,726452
2025-07-29,2925.0,2980.0,2920.0,2935.0,497613
2025-07-30,2935.5,2965.0,2900.5,2909.0,411560
2025-07-31,2914.5,2932.0,2873.0,2883.5,574467
2025-08-01,2885.0,2909.0,2856.0,2876.0,467385
2025-08-04,2880.0,2965.0,2875.0,2961.0,781293
2025-08-05,2964.5,2978.5,2938.5,2969.0,573320
2025-08-06,2970.0,3041.5,2940.0,3016.0,830395
2025-08-07,3016.0,3056.0,2982.5,3008.5,1282458
2025-08-08,3015.5,3040.0,2990.0,3013.0,685345
2025-08-11,3027.5,3077.0,3022.5,3066.5,997894
2025-08-12,3070.0,3076.5,3037.0,3052.5,624228
2025-08-13,3055.0,3075.0,3002.0,3015.0,1396445
2025-08-14,3023.0,3047.0,2967.0,3022.5,1064542
2025-08-15,3026.0,3035.0,3001.0,3019.0,539446
2025-08-16,3006.0,3008.0,2925.5,2998.5,121811
2025-08-17,2999.5,3010.0,2995.5,2996.0,33143
2025-08-18,2996.0,3033.0,2980.5,3022.5,567846
2025-08-19,3022.0,3037.0,3003.0,3014.5,433077
2025-08-20,3014.5,3021.5,2976.5,2996.5,326072
2025-08-21,2996.5,3003.0,2941.0,2950.0,453109
2025-08-22,2955.0,2965.0,2912.5,2940.5,462386
2025-08-23,2940.5,2948.0,2937.5,2945.5,30130
2025-08-24,2945.5,2947.5,2934.5,2941.0,22574
2025-08-25,2941.5,2955.5,2918.5,2946.5,477091
2025-08-26,2940.0,2973.0,2936.0,2956.0,407842
2025-08-27,2956.0,2963.0,2932.0,2942.0,363574
2025-08-28,2945.0,2951.5,2916.0,2924.5,350248
2025-08-29,2934.5,2966.0,2889.0,2909.0,897715
2025-08-30,2910.0,2919.5,2907.0,2914.5,27267
2025-08-31,2914.5,2924.5,2901.0,2924.5,28729
2025-09-01,2925.0,2947.0,2917.0,2926.5,327138
2025-09-02,2927.0,2937.0,2870.0,2911.5,496356
2025-09-03,2914.0,2919.5,2877.5,2915.5,244761
2025-09-04,2915.5,2916.0,2885.5,2895.0,294527
2025-09-05,2900.0,2920.0,2888.5,2911.5,530237
2025-09-06,2912.0,2912.0,2902.0,2911.0,19423
2025-09-07,2911.0,2919.5,2906.0,2917.0,22192
2025-09-08,2920.0,2969.0,2910.0,2957.0,577529
2025-09-09,2958.0,2978.0,2940.5,2950.5,360401
2025-09-10,2947.5,2954.0,2912.0,2927.5,348902
2025-09-11,2927.5,2938.5,2901.5,2922.5,346757
2025-09-12,2922.5,2927.0,2890.5,2898.5,423822
2025-09-13,2898.0,2905.0,2896.5,2898.0,21901
2025-09-14,2898.5,2909.0,2895.5,2905.0,24533
2025-09-15,2905.0,2944.5,2880.0,2894.0,675961
2025-09-16,2894.0,2909.0,2862.5,2886.5,637444
2025-09-17,2889.5,2924.0,2866.5,2924.0,568092
2025-09-18,2925.0,2965.5,2901.0,2930.0,1718304
2025-09-19,2931.0,2953.0,2897.0,2906.5,875592
2025-09-22,2908.0,2920.0,2865.0,2911.0,638318
2025-09-23,2911.0,2920.0,2865.0,2878.5,566683
2025-09-24,2886.0,2888.5,2855.0,2864.5,463946
