TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.2635,0.2695,0.252,0.2625,1000000
2023-01-04,0.261,0.2625,0.259,0.259,140000
2023-01-05,0.2615,0.2615,0.2595,0.2605,80000
2023-01-06,0.264,0.2645,0.263,0.264,110000
2023-01-09,0.266,0.266,0.26,0.2625,540000
2023-01-10,0.268,0.268,0.263,0.265,290000
2023-01-11,0.266,0.266,0.264,0.266,270000
2023-01-12,0.269,0.276,0.264,0.2695,600000
2023-01-13,0.2695,0.278,0.2685,0.2685,480000
2023-01-16,0.269,0.2715,0.2685,0.2715,720000
2023-01-17,0.2765,0.2845,0.27,0.2715,1480000
2023-01-18,0.272,0.272,0.27,0.27,240000
2023-01-19,0.2705,0.274,0.2705,0.271,450000
2023-01-20,0.2735,0.2735,0.2715,0.273,40000
2023-01-23,0.2715,0.274,0.271,0.271,240000
2023-01-24,0.2735,0.2765,0.2725,0.2735,350000
2023-01-25,0.2725,0.2765,0.2725,0.273,160000
2023-01-26,0.274,0.274,0.255,0.271,1000000
2023-01-27,0.27,0.273,0.27,0.273,260000
2023-01-30,0.276,0.286,0.2745,0.277,510000
2023-01-31,0.28,0.2825,0.276,0.2815,530000
2023-02-01,0.2785,0.281,0.2765,0.278,470000
2023-02-02,0.2765,0.2805,0.2765,0.2775,130000
2023-02-03,0.2785,0.2805,0.2785,0.279,110000
2023-02-06,0.2805,0.2805,0.2785,0.2805,300000
2023-02-07,0.2785,0.2975,0.278,0.2835,1000000
2023-02-08,0.2935,0.2935,0.282,0.282,450000
2023-02-09,0.2885,0.311,0.2885,0.294,1650000
2023-02-10,0.2995,0.311,0.2975,0.3015,1380000
2023-02-13,0.3045,0.305,0.298,0.298,310000
2023-02-14,0.2985,0.2985,0.293,0.293,260000
2023-02-15,0.293,0.293,0.2835,0.285,950000
2023-02-16,0.2835,0.2865,0.268,0.278,1140000
2023-02-17,0.274,0.278,0.274,0.278,930000
2023-02-20,0.272,0.276,0.268,0.276,270000
2023-02-21,0.2725,0.2835,0.258,0.2795,2550000
2023-02-22,0.2785,0.282,0.278,0.2785,170000
2023-02-24,0.276,0.2795,0.2755,0.278,70000
2023-02-27,0.2735,0.279,0.2735,0.279,50000
2023-02-28,0.2815,0.2815,0.28,0.28,70000
2023-03-01,0.281,0.283,0.28,0.282,210000
2023-03-02,0.2825,0.29,0.281,0.281,570000
2023-03-03,0.283,0.29,0.28,0.2895,1090000
2023-03-06,0.282,0.306,0.282,0.297,1660000
2023-03-07,0.298,0.298,0.2945,0.295,50000
2023-03-09,0.295,0.301,0.295,0.297,300000
2023-03-10,0.297,0.3035,0.2965,0.299,350000
2023-03-13,0.2985,0.2995,0.2925,0.296,690000
2023-03-14,0.2985,0.299,0.296,0.296,310000
2023-03-15,0.2955,0.3005,0.2955,0.297,200000
2023-03-16,0.295,0.297,0.294,0.295,130000
2023-03-17,0.294,0.296,0.2825,0.2905,1010000
2023-03-20,0.2925,0.318,0.2925,0.297,4120000
2023-03-21,0.298,0.2995,0.2955,0.298,160000
2023-03-22,0.2985,0.299,0.293,0.298,250000
2023-03-23,0.3,0.304,0.2985,0.304,470000
2023-03-24,0.304,0.309,0.3,0.305,710000
2023-03-27,0.309,0.3295,0.309,0.312,5040000
2023-03-28,0.3155,0.3195,0.31,0.3105,670000
2023-03-29,0.3115,0.313,0.309,0.3095,360000
2023-03-30,0.3095,0.313,0.306,0.3105,500000
2023-03-31,0.311,0.3125,0.304,0.3075,430000
2023-04-03,0.3085,0.3175,0.3085,0.3175,1790000
2023-04-04,0.3175,0.3175,0.3125,0.3145,580000
2023-04-05,0.3115,0.326,0.31,0.326,2780000
2023-04-06,0.3255,0.328,0.3215,0.3275,1150000
2023-04-07,0.327,0.334,0.324,0.3295,1780000
2023-04-10,0.3385,0.35,0.325,0.338,1840000
2023-04-11,0.348,0.3485,0.3375,0.339,2160000
2023-04-12,0.336,0.3485,0.3295,0.3455,1520000
2023-04-13,0.3495,0.42,0.3355,0.375,48320000
2023-04-14,0.379,0.3915,0.36,0.371,9230000
2023-04-17,0.389,0.4005,0.368,0.3845,10220000
2023-04-18,0.381,0.41,0.3725,0.3855,5710000
2023-04-19,0.3955,0.399,0.371,0.38,5960000
2023-04-20,0.387,0.387,0.371,0.3725,990000
2023-04-21,0.383,0.4395,0.371,0.3995,23170000
2023-04-24,0.4035,0.4085,0.3595,0.386,28030000
2023-04-25,0.3855,0.3965,0.375,0.395,7600000
2023-04-26,0.391,0.391,0.381,0.3855,1740000
2023-04-27,0.3905,0.396,0.383,0.387,4620000
2023-04-28,0.387,0.391,0.364,0.37,5410000
2023-05-02,0.3715,0.3735,0.334,0.344,5300000
2023-05-03,0.352,0.352,0.3225,0.3375,2110000
2023-05-04,0.3355,0.3355,0.331,0.3345,980000
2023-05-05,0.334,0.339,0.3315,0.3385,520000
2023-05-08,0.3395,0.3455,0.3305,0.3455,1240000
2023-05-10,0.3465,0.364,0.343,0.358,3050000
2023-05-11,0.362,0.373,0.3465,0.361,1880000
2023-05-12,0.367,0.369,0.3605,0.365,490000
2023-05-15,0.3685,0.369,0.361,0.3615,1290000
2023-05-16,0.3625,0.366,0.358,0.362,870000
2023-05-17,0.3635,0.365,0.348,0.363,790000
2023-05-18,0.3665,0.3705,0.363,0.369,1160000
2023-05-19,0.37,0.3965,0.361,0.375,6090000
2023-05-22,0.3785,0.3995,0.37,0.3785,4560000
2023-05-23,0.3775,0.386,0.3735,0.378,770000
2023-05-24,0.398,0.4,0.3695,0.3835,7210000
2023-05-25,0.3745,0.386,0.3745,0.3745,690000
2023-05-26,0.382,0.39,0.377,0.3845,820000
2023-05-29,0.378,0.389,0.3605,0.38,2580000
2023-05-30,0.3785,0.39,0.3685,0.3725,1480000
2023-05-31,0.373,0.3745,0.3685,0.369,410000
2023-06-01,0.37,0.3705,0.361,0.364,870000
2023-06-02,0.363,0.3715,0.3605,0.3715,670000
2023-06-05,0.3735,0.383,0.3725,0.3785,1450000
2023-06-06,0.376,0.3835,0.3685,0.3835,1000000
2023-06-07,0.3835,0.39,0.373,0.381,2670000
2023-06-08,0.3815,0.3815,0.368,0.3735,1480000
2023-06-09,0.372,0.3735,0.368,0.3685,520000
2023-06-13,0.3655,0.373,0.363,0.3725,550000
2023-06-14,0.372,0.38,0.372,0.377,640000
2023-06-15,0.376,0.3985,0.376,0.396,7180000
2023-06-16,0.397,0.401,0.387,0.3935,1100000
2023-06-19,0.3935,0.3935,0.384,0.391,1640000
2023-06-20,0.3875,0.486,0.3875,0.418,59530000
2023-06-21,0.43,0.43,0.4025,0.415,8520000
2023-06-22,0.4225,0.4745,0.421,0.421,21820000
2023-06-23,0.421,0.455,0.419,0.4385,6500000
2023-06-26,0.4335,0.4395,0.4115,0.422,4210000
2023-06-27,0.417,0.425,0.405,0.4185,4830000
2023-06-28,0.4205,0.422,0.405,0.407,4490000
2023-06-29,0.4125,0.4485,0.41,0.419,9860000
2023-06-30,0.4325,0.4335,0.4095,0.4155,1960000
2023-07-03,0.4205,0.424,0.4115,0.4225,2200000
2023-07-04,0.415,0.4265,0.4105,0.419,1630000
2023-07-05,0.419,0.419,0.403,0.4065,4690000
2023-07-06,0.4095,0.4095,0.405,0.405,990000
2023-07-07,0.408,0.4295,0.408,0.4145,5270000
2023-07-10,0.414,0.4245,0.404,0.4105,3100000
2023-07-11,0.409,0.4135,0.4075,0.411,510000
2023-07-12,0.4145,0.416,0.4,0.4115,2650000
2023-07-13,0.4145,0.415,0.4065,0.4105,670000
2023-07-14,0.41,0.4285,0.408,0.412,5090000
2023-07-17,0.412,0.4205,0.4115,0.4185,1060000
2023-07-18,0.421,0.421,0.4155,0.419,1770000
2023-07-19,0.4255,0.442,0.424,0.4345,4950000
2023-07-20,0.438,0.445,0.43,0.443,3340000
2023-07-21,0.448,0.448,0.4315,0.439,2270000
2023-07-24,0.439,0.441,0.43,0.44,5010000
2023-07-25,0.438,0.445,0.437,0.44,2280000
2023-07-26,0.439,0.4475,0.434,0.439,3600000
2023-07-27,0.4455,0.455,0.436,0.4415,8810000
2023-07-28,0.4395,0.4475,0.436,0.4475,1740000
2023-07-31,0.4545,0.4545,0.442,0.447,2560000
2023-08-01,0.443,0.47,0.4425,0.467,4560000
2023-08-02,0.4675,0.49,0.4605,0.476,5720000
2023-08-03,0.487,0.5,0.4705,0.499,5890000
2023-08-04,0.5,0.624,0.5,0.573,34220000
2023-08-07,0.63,0.762,0.5815,0.72,70070000
2023-08-08,0.762,0.83,0.6605,0.783,54050000
2023-08-09,0.8,0.91,0.753,0.8995,36500000
2023-08-10,0.93,0.94,0.61,0.7185,29540000
2023-08-11,0.661,0.7775,0.6515,0.725,9960000
2023-08-14,0.7425,0.778,0.726,0.76,6670000
2023-08-15,0.728,0.772,0.7,0.724,3970000
2023-08-16,0.7165,0.721,0.614,0.645,11290000
2023-08-17,0.631,0.66,0.611,0.643,4420000
2023-08-18,0.65,0.66,0.64,0.642,2120000
2023-08-21,0.656,0.814,0.65,0.745,36280000
2023-08-22,0.7675,0.78,0.7155,0.774,10950000
2023-08-23,0.779,0.79,0.7105,0.731,15170000
2023-08-24,0.732,0.7405,0.702,0.7215,2660000
2023-08-25,0.7485,0.7495,0.723,0.744,3120000
2023-08-28,0.768,0.8195,0.7385,0.7795,76320000
2023-08-29,0.7875,0.788,0.7365,0.765,12210000
2023-08-30,0.7515,0.7585,0.7285,0.746,7130000
2023-08-31,0.75,0.77,0.73,0.746,6990000
2023-09-01,0.7575,0.8245,0.7135,0.778,51700000
2023-09-04,0.7875,0.84,0.778,0.819,39300000
2023-09-05,0.83,0.869,0.792,0.81,24260000
2023-09-06,0.8205,0.841,0.806,0.8245,10840000
2023-09-07,0.8365,0.8425,0.718,0.761,32250000
2023-09-08,0.7885,0.793,0.6995,0.75,12200000
2023-09-11,0.7675,0.7835,0.7505,0.7505,4390000
2023-09-12,0.75,0.8025,0.75,0.77,6260000
2023-09-13,0.7735,0.85,0.76,0.777,35740000
2023-09-14,0.788,0.789,0.588,0.688,12920000
2023-09-15,0.6445,0.7265,0.6445,0.71,5500000
2023-09-18,0.729,0.729,0.675,0.6765,4710000
2023-09-19,0.728,0.833,0.6505,0.7065,43230000
2023-09-20,0.6855,0.6855,0.618,0.6505,9560000
2023-09-21,0.65,0.661,0.6015,0.611,7110000
2023-09-22,0.631,0.6315,0.6055,0.619,3190000
2023-09-25,0.6385,0.6495,0.6115,0.6295,2360000
2023-09-26,0.6295,0.6435,0.6225,0.6375,1910000
2023-09-27,0.6365,0.649,0.6245,0.647,2060000
2023-09-28,0.647,0.69,0.6315,0.6625,3340000
2023-09-29,0.651,0.672,0.637,0.645,1260000
2023-10-02,0.6535,0.668,0.6415,0.6615,1130000
2023-10-03,0.6615,0.6615,0.635,0.651,1550000
2023-10-04,0.647,0.6595,0.637,0.646,1300000
2023-10-05,0.6455,0.6665,0.6425,0.6665,870000
2023-10-06,0.6665,0.6665,0.649,0.663,5080000
2023-10-09,0.67,0.674,0.648,0.6715,1110000
2023-10-10,0.679,0.721,0.662,0.7085,4290000
2023-10-11,0.705,0.705,0.6855,0.692,1910000
2023-10-12,0.7075,0.739,0.684,0.7385,5240000
2023-10-13,0.7385,0.7895,0.707,0.779,14980000
2023-10-16,0.779,0.84,0.7585,0.826,19590000
2023-10-17,0.83,0.84,0.805,0.8395,3160000
2023-10-18,0.8475,0.8475,0.8115,0.8165,3930000
2023-10-19,0.8295,0.839,0.8145,0.8145,2530000
2023-10-20,0.818,0.823,0.8105,0.8135,2090000
2023-10-23,0.822,0.849,0.814,0.8305,3480000
2023-10-24,0.8205,0.841,0.8205,0.837,1620000
2023-10-25,0.8375,0.8375,0.8255,0.8255,1330000
2023-10-26,0.8225,0.825,0.79,0.794,2040000
2023-10-27,0.8005,0.805,0.7615,0.7715,1800000
2023-10-30,0.7875,0.7975,0.7605,0.766,1890000
2023-10-31,0.7715,0.7775,0.756,0.7595,1120000
2023-11-01,0.76,0.825,0.7515,0.8105,2810000
2023-11-02,0.8495,0.8495,0.808,0.8125,3960000
2023-11-03,0.8025,0.8285,0.783,0.799,340000
2023-11-06,0.7865,0.8185,0.7845,0.8005,830000
2023-11-07,0.8075,0.814,0.801,0.8025,340000
2023-11-08,0.8075,0.8075,0.75,0.7525,5500000
2023-11-09,0.7525,0.7625,0.7525,0.759,820000
2023-11-10,0.753,0.753,0.6895,0.7075,1950000
2023-11-13,0.707,0.7215,0.613,0.6305,3940000
2023-11-14,0.6245,0.645,0.609,0.609,3230000
2023-11-15,0.605,0.6625,0.5925,0.657,1850000
2023-11-16,0.662,0.7165,0.662,0.7,1790000
2023-11-17,0.694,0.75,0.6755,0.75,1150000
2023-11-20,0.768,0.768,0.7165,0.7315,700000
2023-11-21,0.7675,0.7675,0.6615,0.687,7910000
2023-11-22,0.7025,0.7025,0.677,0.685,1810000
2023-11-23,0.6885,0.6885,0.6265,0.6495,1960000
2023-11-24,0.63,0.651,0.6215,0.6505,1550000
2023-11-27,0.6335,0.648,0.62,0.627,2350000
2023-11-28,0.604,0.673,0.604,0.667,1190000
2023-11-29,0.6705,0.679,0.6465,0.662,1410000
2023-11-30,0.644,0.6725,0.643,0.6675,1430000
2023-12-01,0.6485,0.6895,0.6485,0.689,2470000
2023-12-04,0.671,0.684,0.6,0.615,6510000
2023-12-05,0.6165,0.6305,0.6045,0.6225,1100000
2023-12-06,0.6355,0.6355,0.6015,0.602,550000
2023-12-07,0.607,0.607,0.5725,0.58,1260000
2023-12-08,0.5895,0.617,0.5775,0.609,1510000
2023-12-11,0.6015,0.606,0.5795,0.592,700000
2023-12-12,0.5965,0.5965,0.552,0.58,1110000
2023-12-13,0.574,0.606,0.574,0.5995,1150000
2023-12-14,0.6065,0.608,0.575,0.582,510000
2023-12-15,0.5785,0.5985,0.5785,0.5985,330000
2023-12-18,0.603,0.617,0.603,0.6155,490000
2023-12-19,0.6175,0.6415,0.6175,0.6325,390000
2023-12-20,0.6285,0.68,0.627,0.675,1310000
2023-12-21,0.677,0.679,0.657,0.6685,1420000
2023-12-22,0.678,0.678,0.6525,0.6625,760000
2023-12-25,0.677,0.677,0.6495,0.6695,1370000
2023-12-26,0.6505,0.6685,0.65,0.6565,330000
2023-12-27,0.6515,0.6595,0.6435,0.6445,890000
2023-12-28,0.6415,0.646,0.607,0.6245,1930000
2023-12-29,0.6265,0.627,0.61,0.61,1010000
2024-01-03,0.6255,0.638,0.612,0.626,690000
2024-01-04,0.63,0.644,0.6275,0.631,600000
2024-01-05,0.631,0.644,0.631,0.6435,490000
2024-01-08,0.644,0.6555,0.637,0.651,1540000
2024-01-09,0.651,0.6755,0.65,0.6675,1290000
2024-01-10,0.682,0.701,0.668,0.685,2000000
2024-01-11,0.6995,0.6995,0.641,0.6675,4440000
2024-01-12,0.685,0.747,0.6825,0.707,17440000
2024-01-15,0.7135,0.755,0.662,0.7,15290000
2024-01-16,0.7,0.71,0.674,0.6905,2960000
2024-01-17,0.688,0.7,0.67,0.69,1960000
2024-01-18,0.6985,0.712,0.6985,0.7025,1650000
2024-01-19,0.6995,0.714,0.69,0.703,590000
2024-01-22,0.703,0.7095,0.692,0.703,1290000
2024-01-23,0.6965,0.7145,0.6965,0.7075,1580000
2024-01-24,0.7075,0.712,0.702,0.7065,650000
2024-01-25,0.705,0.7065,0.6975,0.705,940000
2024-01-26,0.707,0.707,0.6865,0.692,2190000
2024-01-29,0.6995,0.6995,0.6845,0.6895,1940000
2024-01-30,0.6975,0.698,0.6785,0.683,1850000
2024-01-31,0.686,0.686,0.67,0.6755,1690000
2024-02-01,0.677,0.687,0.675,0.678,1510000
2024-02-02,0.682,0.682,0.671,0.675,860000
2024-02-05,0.681,0.681,0.66,0.666,2050000
2024-02-06,0.664,0.672,0.664,0.668,670000
2024-02-07,0.67,0.672,0.662,0.67,950000
2024-02-08,0.672,0.681,0.665,0.673,2060000
2024-02-09,0.672,0.672,0.649,0.66,2680000
2024-02-12,0.655,0.657,0.65,0.653,570000
2024-02-13,0.653,0.662,0.648,0.662,760000
2024-02-14,0.663,0.665,0.654,0.66,660000
2024-02-15,0.658,0.673,0.652,0.669,970000
2024-02-16,0.663,0.669,0.649,0.652,1270000
2024-02-19,0.657,0.657,0.65,0.65,240000
2024-02-20,0.651,0.651,0.619,0.631,2670000
2024-02-21,0.629,0.629,0.582,0.6,4410000
