TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,82.5,84.0,81.5,82.5,550
2023-01-04,83.0,83.5,82.0,82.5,1490
2023-01-05,83.5,83.5,81.0,82.5,420
2023-01-06,82.0,84.5,80.0,84.5,2520
2023-01-09,83.5,84.0,83.5,83.5,70
2023-01-10,83.5,84.0,80.0,83.5,1170
2023-01-11,82.5,84.0,81.0,83.5,1740
2023-01-12,81.5,85.5,80.5,84.0,4440
2023-01-13,84.0,85.0,83.0,84.0,960
2023-01-16,86.0,86.0,81.5,84.5,1870
2023-01-17,85.0,85.5,83.5,84.0,160
2023-01-18,84.5,84.5,83.5,84.5,70
2023-01-19,84.5,84.5,82.0,83.0,450
2023-01-20,83.5,101.0,82.5,83.0,47320
2023-01-23,84.0,85.0,82.5,83.0,3150
2023-01-24,83.5,86.0,82.5,86.0,4650
2023-01-25,86.5,87.0,81.5,85.5,3830
2023-01-26,85.0,89.0,84.0,86.5,4230
2023-01-27,86.0,87.0,85.0,85.5,370
2023-01-30,85.5,88.5,85.5,87.5,770
2023-01-31,87.5,89.5,84.0,86.5,1490
2023-02-01,86.0,89.5,86.0,87.5,710
2023-02-02,88.5,88.5,87.0,87.0,390
2023-02-03,87.0,90.0,84.5,85.5,2170
2023-02-06,86.0,86.5,85.5,86.0,410
2023-02-07,86.5,90.5,86.0,86.0,1990
2023-02-08,86.5,92.0,86.0,88.5,2140
2023-02-09,88.5,89.0,84.5,87.0,2730
2023-02-10,87.0,88.5,87.0,87.5,610
2023-02-13,88.5,93.5,85.0,88.0,23220
2023-02-14,88.0,110.0,88.0,94.0,91370
2023-02-15,91.5,102.0,88.5,92.5,9420
2023-02-16,95.0,95.5,89.5,92.0,3710
2023-02-17,90.0,92.0,86.5,88.0,5890
2023-02-20,88.0,96.0,88.0,90.0,3980
2023-02-21,89.5,103.5,88.5,90.0,30050
2023-02-22,90.5,100.0,89.0,98.0,31210
2023-02-24,95.0,99.5,93.5,96.0,5750
2023-02-27,96.0,97.0,95.0,97.0,3470
2023-02-28,97.0,99.5,96.0,97.0,1730
2023-03-01,97.5,99.0,96.5,96.5,1060
2023-03-02,97.0,97.5,95.0,95.5,3110
2023-03-03,96.5,97.0,96.5,96.5,880
2023-03-06,96.5,97.0,96.5,97.0,210
2023-03-07,96.5,97.0,96.0,96.5,1950
2023-03-09,96.5,96.5,91.0,95.0,5400
2023-03-10,95.5,96.0,93.0,94.0,2930
2023-03-13,94.0,95.5,93.5,94.0,1240
2023-03-14,94.0,94.5,93.5,93.5,240
2023-03-15,94.0,94.0,91.5,93.0,1970
2023-03-16,92.0,93.0,90.0,93.0,3530
2023-03-17,93.0,93.0,91.0,91.5,790
2023-03-20,91.5,94.5,91.5,93.0,1620
2023-03-21,93.5,94.5,93.0,93.5,1290
2023-03-22,94.0,94.5,93.5,93.5,1740
2023-03-23,94.5,95.0,94.0,94.5,480
2023-03-24,94.5,95.0,94.5,94.5,160
2023-03-27,94.0,95.5,94.0,95.0,930
2023-03-28,95.5,98.0,95.0,95.5,3510
2023-03-29,96.0,97.0,95.5,95.5,460
2023-03-30,96.0,97.0,95.5,97.0,470
2023-03-31,96.0,98.0,95.0,96.0,1470
2023-04-03,96.0,97.5,95.5,97.5,1230
2023-04-04,96.5,97.5,96.5,97.0,370
2023-04-05,97.0,97.5,96.5,96.5,900
2023-04-06,97.0,104.5,92.5,98.5,45830
2023-04-07,100.5,117.0,99.0,99.0,47770
2023-04-10,103.5,103.5,97.0,103.0,12080
2023-04-11,103.5,107.0,99.0,99.5,10460
2023-04-12,100.5,107.0,100.5,103.5,5630
2023-04-13,105.0,107.0,100.0,103.0,7310
2023-04-14,103.5,123.5,103.5,108.0,55330
2023-04-17,108.0,114.5,106.5,111.0,8360
2023-04-18,114.5,115.0,106.0,108.5,13380
2023-04-19,109.0,111.0,106.0,106.5,14700
2023-04-20,108.5,110.5,106.0,106.0,4000
2023-04-21,108.5,111.0,102.5,106.0,10520
2023-04-24,108.0,123.0,108.0,121.5,35540
2023-04-25,123.5,140.0,116.0,124.5,39090
2023-04-26,127.5,163.0,121.0,145.0,71920
2023-04-27,145.0,149.0,125.0,131.0,45120
2023-04-28,134.5,179.0,134.5,154.0,197350
2023-05-02,156.0,163.0,134.5,137.0,27700
2023-05-03,144.0,144.0,133.0,137.0,2470
2023-05-04,137.5,154.5,132.0,132.5,18390
2023-05-05,133.5,134.5,123.0,129.0,10370
2023-05-08,130.5,134.0,130.5,134.0,1120
2023-05-10,133.5,137.0,131.0,137.0,1590
2023-05-11,140.0,147.0,137.0,140.0,3700
2023-05-12,143.0,145.0,138.0,140.5,4010
2023-05-15,136.5,141.5,130.5,135.5,7000
2023-05-16,135.0,139.0,132.0,137.5,3660
2023-05-17,137.5,139.0,132.0,135.0,7040
2023-05-18,137.0,176.0,137.0,142.5,83380
2023-05-19,143.5,144.0,133.0,138.0,15160
2023-05-22,139.0,141.5,129.0,133.0,13300
2023-05-23,133.5,138.0,133.5,135.0,1900
2023-05-24,138.0,141.0,133.0,136.5,3370
2023-05-25,136.5,149.0,132.0,139.0,13020
2023-05-26,139.0,145.0,138.0,138.0,3930
2023-05-29,143.0,143.0,138.0,139.5,1870
2023-05-30,138.0,138.5,134.5,134.5,1310
2023-05-31,135.5,173.5,135.5,139.5,71830
2023-06-01,137.5,140.5,133.0,134.0,16120
2023-06-02,135.0,139.5,134.0,138.0,3870
2023-06-05,137.0,138.5,136.0,138.5,1670
2023-06-06,139.0,139.0,135.5,138.0,1010
2023-06-07,138.0,138.0,133.5,137.0,3190
2023-06-08,137.5,138.0,134.0,136.5,1390
2023-06-09,138.0,139.5,136.0,137.0,3360
2023-06-13,139.5,139.5,136.5,138.5,1450
2023-06-14,138.0,143.5,137.5,143.0,7090
