TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-04-12,235.0,239.9,228.0,234.9,5550150
2024-04-15,235.0,236.05,232.0,234.2,797690
2024-04-16,234.2,234.2,231.05,233.85,1066570
2024-04-17,233.9,234.95,231.0,232.2,475700
2024-04-18,232.2,236.75,230.95,235.05,631300
2024-04-19,235.7,249.95,233.6,243.1,1710920
2024-04-22,243.1,243.95,237.85,241.45,1602950
2024-04-23,241.5,248.95,237.15,238.05,1184190
2024-04-24,238.0,238.0,230.0,235.05,559310
2024-04-25,235.0,236.5,232.05,235.45,487600
2024-04-26,235.0,235.35,232.0,233.15,804570
2024-04-27,233.0,235.0,232.1,234.5,225250
2024-04-29,234.7,235.65,232.3,232.6,96460
2024-04-30,232.6,233.25,232.0,232.0,77990
2024-05-02,232.45,234.0,231.0,232.0,145220
2024-05-03,231.5,234.1,231.5,232.5,156230
2024-05-06,232.5,235.0,232.0,232.15,139000
2024-05-07,232.15,235.0,231.85,234.0,161240
2024-05-08,233.0,233.8,231.7,231.75,205540
2024-05-10,231.8,232.35,230.7,231.1,77100
2024-05-13,231.2,234.7,230.9,231.15,168140
2024-05-14,231.8,233.45,228.2,228.75,168060
2024-05-15,228.75,230.7,224.0,225.4,348970
2024-05-16,225.4,227.15,220.0,221.05,305230
2024-05-17,221.1,222.8,217.1,221.7,459390
2024-05-20,221.05,222.75,216.5,217.0,273750
2024-05-21,217.0,218.25,215.0,215.65,198580
2024-05-22,214.8,216.5,210.25,211.55,261020
2024-05-23,211.55,213.55,204.2,208.95,300970
2024-05-24,208.95,215.9,202.75,204.05,271470
2024-05-27,209.0,209.0,191.3,199.95,279520
2024-05-28,199.5,207.0,197.0,201.2,136660
2024-05-29,205.0,205.0,198.0,198.95,118710
2024-05-30,199.0,203.95,194.05,194.6,142900
2024-05-31,194.7,197.3,190.0,190.1,98090
2024-06-03,190.1,193.5,177.0,188.5,197150
2024-06-04,191.7,202.2,188.5,193.7,160580
2024-06-05,194.95,204.5,194.0,198.0,155380
2024-06-06,196.8,202.95,189.0,189.5,187370
2024-06-07,184.75,188.0,184.4,186.25,350140
2024-06-10,189.5,189.5,181.95,182.9,171460
2024-06-11,182.9,183.0,178.55,179.65,136950
2024-06-13,177.45,182.95,170.0,181.15,111110
2024-06-14,181.15,182.6,178.85,180.65,75710
2024-06-17,180.65,181.55,177.0,177.4,57220
2024-06-18,178.0,178.5,171.45,172.55,123910
2024-06-19,172.65,173.85,160.7,163.7,193500
2024-06-20,163.7,172.2,160.35,166.6,145840
2024-06-21,166.6,169.9,165.45,167.0,106650
2024-06-24,167.4,173.8,167.35,171.15,168400
2024-06-25,171.2,188.0,170.8,182.6,536100
2024-06-26,182.8,204.4,182.8,201.6,692390
2024-06-27,202.0,202.2,188.6,196.95,422300
2024-06-28,197.0,202.05,193.85,199.5,242220
2024-07-01,199.65,200.05,195.95,198.1,58680
2024-07-02,195.5,199.1,192.35,193.7,59670
2024-07-03,193.7,193.7,190.7,190.95,46540
2024-07-04,190.85,197.2,189.65,194.0,109760
2024-07-05,194.1,194.15,189.8,191.2,67390
2024-07-08,191.2,192.4,185.3,186.6,77390
