TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,3.76,3.76,3.675,3.74,12000
2023-01-04,3.745,3.745,3.715,3.715,5000
2023-01-05,3.72,3.76,3.66,3.73,15000
2023-01-06,3.715,3.735,3.7,3.73,22000
2023-01-09,3.73,3.9,3.73,3.775,125000
2023-01-10,3.705,3.9,3.705,3.785,239000
2023-01-11,3.8,4.0,3.75,3.86,431000
2023-01-12,3.99,4.05,3.87,3.965,450000
2023-01-13,4.025,4.45,3.99,4.015,3453000
2023-01-16,4.135,4.195,3.99,4.005,397000
2023-01-17,4.1,4.32,3.9,4.0,2678000
2023-01-18,4.025,4.045,3.9,3.925,396000
2023-01-19,3.98,4.3,3.825,3.89,1751000
2023-01-20,3.905,4.0,3.85,3.895,211000
2023-01-23,3.93,4.07,3.85,3.98,204000
2023-01-24,3.985,4.36,3.885,4.355,1233000
2023-01-25,4.42,4.595,4.195,4.505,3496000
2023-01-26,4.695,4.695,4.255,4.36,1494000
2023-01-27,4.205,4.43,4.205,4.28,448000
2023-01-30,4.365,4.365,4.27,4.31,194000
2023-01-31,4.345,4.405,4.155,4.345,498000
2023-02-01,4.23,4.8,4.23,4.7,3374000
2023-02-02,4.75,4.89,4.445,4.54,1894000
2023-02-03,4.54,4.67,4.465,4.485,431000
2023-02-06,4.485,4.57,4.45,4.57,360000
2023-02-07,4.535,4.64,4.51,4.56,222000
2023-02-08,4.565,4.655,4.505,4.6,611000
2023-02-09,4.685,4.685,4.5,4.56,456000
2023-02-10,4.45,4.53,4.31,4.475,420000
2023-02-13,4.505,4.58,4.44,4.44,204000
2023-02-14,4.45,4.45,4.275,4.335,382000
2023-02-15,4.36,4.375,4.065,4.19,583000
2023-02-16,4.03,4.265,4.03,4.23,211000
2023-02-17,4.265,4.31,4.145,4.195,116000
2023-02-20,4.24,4.27,4.135,4.195,100000
2023-02-21,4.205,4.8,4.1,4.325,1647000
2023-02-22,4.4,4.4,4.33,4.33,99000
2023-02-24,4.355,4.835,4.325,4.505,2451000
2023-02-27,4.505,4.615,4.355,4.45,1766000
2023-02-28,4.485,5.255,4.45,4.85,14152000
2023-03-01,4.98,6.7,4.84,5.82,40932000
2023-03-02,5.815,5.89,5.1,5.4,5294000
2023-03-03,5.585,5.585,5.105,5.4,2134000
2023-03-06,5.39,5.78,5.33,5.45,2781000
2023-03-07,5.55,5.55,5.39,5.455,668000
2023-03-09,5.515,5.515,5.375,5.415,386000
2023-03-10,5.365,5.7,5.3,5.495,1650000
2023-03-13,5.465,5.64,5.42,5.46,537000
2023-03-14,5.495,5.495,5.315,5.355,323000
2023-03-15,5.395,5.55,5.165,5.27,421000
2023-03-16,5.31,5.355,5.2,5.32,194000
2023-03-17,5.31,5.345,5.155,5.205,334000
2023-03-20,5.27,5.36,5.08,5.225,433000
2023-03-21,5.34,6.08,5.34,5.58,7582000
2023-03-22,5.64,6.05,5.22,5.765,3978000
2023-03-23,5.84,5.985,5.455,5.645,2178000
2023-03-24,5.705,6.28,5.5,5.825,2143000
2023-03-27,5.89,6.005,5.58,5.75,1392000
2023-03-28,5.8,6.315,5.62,5.83,3702000
2023-03-29,5.835,6.035,5.755,5.935,1466000
2023-03-30,6.085,6.085,5.755,5.91,913000
2023-03-31,5.89,5.925,5.74,5.795,438000
2023-04-03,5.8,5.97,5.79,5.8,662000
2023-04-04,5.84,6.045,5.8,5.825,1317000
2023-04-05,5.9,5.9,5.75,5.87,444000
2023-04-06,5.89,5.895,5.82,5.895,263000
2023-04-07,5.92,6.08,5.805,5.885,834000
2023-04-10,5.95,5.985,5.88,5.94,434000
2023-04-11,6.0,6.02,5.7,5.84,777000
2023-04-12,5.83,5.84,5.58,5.73,881000
