TRADEDATE,OPEN,CLOSE,HIGH,LOW
2023-01-03,2157.18,2172.68,2174.23,2157.18
2023-01-04,2171.54,2168.42,2179.56,2162.06
2023-01-05,2170.4,2156.67,2171.94,2154.16
2023-01-06,2157.32,2156.39,2160.08,2153.32
2023-01-09,2163.43,2163.5,2169.71,2162.01
2023-01-10,2162.7,2159.51,2162.92,2145.14
2023-01-11,2156.28,2186.98,2190.4,2153.55
2023-01-12,2193.53,2185.93,2194.8,2177.36
2023-01-13,2188.6,2199.94,2204.18,2179.82
2023-01-16,2204.64,2224.9,2224.9,2204.46
2023-01-17,2225.26,2196.84,2226.49,2196.84
2023-01-18,2188.9,2196.26,2206.66,2177.65
2023-01-19,2190.02,2168.83,2193.93,2162.11
2023-01-20,2167.61,2166.69,2173.71,2154.37
2023-01-23,2167.92,2185.31,2186.85,2164.89
2023-01-24,2191.64,2172.75,2199.29,2172.75
2023-01-25,2168.48,2170.15,2176.61,2160.76
2023-01-26,2181.96,2166.92,2183.77,2166.92
2023-01-27,2174.85,2189.35,2189.35,2167.33
2023-01-30,2193.99,2204.41,2204.41,2189.12
2023-01-31,2203.57,2225.6,2225.6,2202.76
2023-02-01,2232.02,2230.15,2247.12,2224.95
2023-02-02,2243.04,2243.54,2249.56,2228.56
2023-02-03,2239.1,2248.3,2253.7,2216.63
2023-02-06,2245.93,2272.37,2276.5,2243.77
2023-02-07,2281.69,2267.69,2290.51,2262.3
2023-02-08,2273.59,2251.97,2283.49,2244.52
2023-02-09,2258.97,2262.45,2269.96,2241.02
2023-02-10,2253.51,2261.58,2264.39,2249.62
2023-02-13,2262.65,2264.27,2271.0,2261.37
2023-02-14,2256.59,2232.23,2256.96,2225.94
2023-02-15,2216.69,2166.46,2216.69,2164.7
2023-02-16,2169.39,2153.96,2186.64,2150.17
2023-02-17,2157.5,2168.88,2180.96,2147.31
2023-02-20,2172.53,2183.57,2186.39,2140.78
2023-02-21,2184.6,2212.42,2227.82,2184.51
2023-02-22,2215.43,2212.4,2215.58,2194.99
2023-02-24,2209.1,2208.03,2223.23,2202.25
2023-02-27,2194.39,2241.1,2241.1,2188.95
2023-02-28,2246.26,2253.16,2258.68,2239.59
2023-03-01,2258.89,2279.65,2287.48,2255.45
2023-03-02,2284.87,2254.3,2286.27,2235.43
2023-03-03,2250.12,2272.2,2273.52,2249.81
2023-03-06,2286.2,2294.12,2297.86,2283.4
2023-03-07,2294.32,2295.6,2298.93,2281.46
2023-03-09,2295.03,2290.14,2302.1,2278.95
2023-03-10,2272.61,2276.25,2283.18,2266.33
2023-03-13,2279.13,2269.47,2289.7,2250.14
2023-03-14,2266.78,2290.32,2290.32,2261.65
2023-03-15,2287.16,2262.07,2295.06,2257.0
2023-03-16,2262.61,2258.22,2269.01,2236.77
2023-03-17,2284.78,2322.78,2322.78,2275.48
2023-03-20,2337.83,2397.16,2397.16,2332.8
2023-03-21,2417.43,2398.15,2431.23,2383.08
2023-03-22,2387.81,2393.88,2398.76,2374.46
2023-03-23,2386.7,2388.35,2396.5,2379.88
2023-03-24,2386.53,2391.53,2394.03,2384.29
2023-03-27,2400.84,2440.68,2440.68,2400.84
2023-03-28,2453.26,2442.19,2458.37,2421.39
2023-03-29,2449.96,2460.87,2468.48,2437.52
2023-03-30,2458.06,2465.93,2467.97,2450.46
2023-03-31,2470.12,2450.67,2472.53,2424.45
2023-04-03,2474.37,2473.32,2482.54,2463.0
2023-04-04,2483.47,2480.45,2511.49,2479.24
2023-04-05,2489.18,2500.8,2500.8,2465.77
2023-04-06,2504.06,2498.3,2521.81,2498.3
2023-04-07,2504.04,2508.39,2511.95,2491.37
2023-04-10,2523.2,2547.35,2548.41,2523.2
2023-04-11,2560.04,2533.69,2577.51,2515.83
2023-04-12,2538.62,2538.47,2554.77,2520.65
2023-04-13,2546.98,2544.28,2557.58,2528.06
2023-04-14,2546.93,2554.85,2554.85,2532.39
2023-04-17,2572.54,2596.11,2596.45,2572.54
2023-04-18,2601.34,2615.62,2615.62,2586.05
2023-04-19,2617.91,2606.55,2629.01,2584.96
2023-04-20,2600.71,2637.85,2640.78,2565.61
2023-04-21,2640.99,2639.95,2648.21,2626.94
2023-04-24,2636.76,2635.43,2651.8,2609.4
2023-04-25,2639.67,2626.86,2642.12,2619.67
2023-04-26,2625.62,2620.33,2631.13,2614.98
2023-04-27,2620.65,2646.18,2646.18,2617.04
2023-04-28,2653.93,2634.94,2657.9,2608.02
2023-05-02,2623.29,2580.51,2635.53,2560.09
2023-05-03,2585.4,2532.42,2586.17,2532.42
2023-05-04,2524.97,2524.51,2547.2,2524.36
2023-05-05,2544.47,2538.24,2555.39,2529.08
2023-05-08,2528.74,2527.59,2538.23,2513.84
2023-05-10,2483.92,2548.63,2556.67,2483.79
2023-05-11,2573.41,2595.12,2610.8,2567.98
2023-05-12,2570.65,2565.17,2584.91,2552.05
2023-05-15,2581.64,2611.07,2611.71,2581.64
2023-05-16,2645.94,2633.71,2655.73,2621.59
2023-05-17,2637.51,2634.48,2646.61,2623.15
2023-05-18,2650.12,2632.91,2658.57,2624.49
2023-05-19,2627.59,2626.16,2635.8,2612.47
2023-05-22,2648.3,2633.26,2652.97,2622.35
2023-05-23,2641.05,2641.66,2648.69,2607.63
2023-05-24,2643.73,2654.99,2659.68,2626.43
2023-05-25,2662.85,2649.98,2663.51,2631.03
2023-05-26,2650.38,2682.03,2685.14,2645.54
