TRADEDATE,OPEN,CLOSE,HIGH,LOW
2023-01-03,966.38,963.08,979.85,957.53
2023-01-04,954.36,949.91,966.4,946.34
2023-01-05,953.11,940.85,961.56,940.14
2023-01-06,943.68,942.73,951.1,938.46
2023-01-09,957.66,977.79,984.58,957.66
2023-01-10,983.29,974.51,983.6,969.55
2023-01-11,975.7,1002.62,1005.02,970.99
2023-01-12,1014.56,1015.94,1022.56,1008.66
2023-01-13,1017.81,1010.4,1029.63,1003.24
2023-01-16,1012.39,1024.44,1029.81,1012.18
2023-01-17,1022.85,1002.85,1023.35,1002.85
2023-01-18,999.07,1006.35,1010.75,992.14
2023-01-19,1002.8,993.08,1004.27,988.55
2023-01-20,995.53,991.88,996.52,987.81
2023-01-23,995.01,998.69,1003.83,994.94
2023-01-24,1003.68,990.41,1008.56,990.41
2023-01-25,991.01,987.02,994.41,984.77
2023-01-26,990.1,985.85,996.12,985.39
2023-01-27,987.76,992.37,993.2,984.97
2023-01-30,993.04,987.39,997.22,984.65
2023-01-31,984.95,1001.23,1003.62,983.83
2023-02-01,999.86,1002.47,1010.43,997.55
2023-02-02,1011.98,1004.08,1012.53,1001.07
2023-02-03,1002.46,1002.52,1007.96,991.09
2023-02-06,1002.52,1007.15,1013.39,1001.19
2023-02-07,1011.68,1004.37,1018.7,1003.92
2023-02-08,1007.13,981.82,1009.25,981.82
2023-02-09,974.28,977.98,982.1,967.02
2023-02-10,975.01,971.95,979.31,970.5
2023-02-13,972.57,965.86,974.38,965.25
2023-02-14,964.9,952.85,964.9,950.01
2023-02-15,945.14,914.94,945.14,914.2
2023-02-16,913.31,906.71,922.89,905.59
2023-02-17,904.22,920.19,923.63,900.08
2023-02-20,927.7,921.51,927.9,907.99
2023-02-21,921.02,928.98,941.89,916.94
2023-02-22,932.99,929.43,933.38,923.13
2023-02-24,924.12,914.16,931.92,910.26
2023-02-27,911.07,945.29,945.29,908.67
2023-02-28,948.83,946.23,952.06,941.32
2023-03-01,945.75,955.81,958.53,944.48
2023-03-02,954.39,942.61,955.42,932.27
2023-03-03,937.84,945.41,948.54,937.64
2023-03-06,950.31,958.26,960.56,949.11
2023-03-07,959.78,951.38,960.09,951.38
2023-03-09,952.3,950.93,955.08,945.59
2023-03-10,943.18,942.75,947.5,940.29
2023-03-13,948.46,954.0,958.96,943.25
2023-03-14,951.46,957.88,958.7,948.91
2023-03-15,955.74,936.95,958.89,935.62
2023-03-16,934.76,927.3,938.97,922.45
2023-03-17,940.63,948.97,951.88,937.16
2023-03-20,956.43,979.83,979.83,954.04
2023-03-21,985.5,983.95,997.79,976.05
2023-03-22,979.41,980.02,984.77,970.38
2023-03-23,980.85,989.43,991.85,979.72
2023-03-24,988.26,977.75,990.1,976.27
2023-03-27,983.86,1001.94,1002.29,983.86
2023-03-28,1009.9,999.83,1012.15,995.81
2023-03-29,1001.65,1004.56,1009.32,996.01
2023-03-30,1002.28,1006.43,1008.84,1000.45
2023-03-31,1008.48,996.76,1010.76,985.06
2023-04-03,1005.2,988.8,1008.36,988.8
2023-04-04,987.73,983.46,1001.28,982.88
2023-04-05,988.61,987.51,988.61,976.23
2023-04-06,984.51,967.11,989.15,967.11
2023-04-07,960.23,974.52,976.54,945.6
2023-04-10,979.11,983.86,984.65,973.6
2023-04-11,984.95,973.39,989.93,965.92
2023-04-12,972.36,975.46,980.12,965.8
2023-04-13,977.01,982.94,983.01,975.73
2023-04-14,985.94,982.94,986.94,978.59
2023-04-17,987.44,1004.62,1004.62,987.44
2023-04-18,1005.16,1010.87,1011.3,998.34
2023-04-19,1008.07,1004.59,1015.38,995.31
2023-04-20,1002.07,1018.6,1021.16,990.15
2023-04-21,1018.59,1019.2,1022.96,1012.53
2023-04-24,1019.48,1020.88,1029.89,1008.49
2023-04-25,1023.25,1013.87,1023.31,1011.15
2023-04-26,1014.09,1011.06,1016.16,1008.76
2023-04-27,1009.45,1024.44,1025.06,1007.47
2023-04-28,1025.41,1033.57,1046.62,1022.67
2023-05-02,1028.65,1019.67,1034.99,1011.03
2023-05-03,1022.34,1008.49,1027.6,1008.05
2023-05-04,1005.22,1018.72,1026.57,1004.3
2023-05-05,1036.95,1033.68,1050.91,1030.61
2023-05-08,1034.85,1019.29,1040.23,1014.83
2023-05-10,1005.78,1052.44,1060.55,1005.74
2023-05-11,1067.43,1064.56,1091.91,1053.62
2023-05-12,1059.87,1038.32,1061.33,1034.36
2023-05-15,1038.4,1037.13,1046.31,1030.51
2023-05-16,1040.55,1030.68,1050.24,1030.68
2023-05-17,1031.13,1039.58,1039.76,1023.17
2023-05-18,1039.91,1033.36,1047.27,1029.18
2023-05-19,1031.98,1036.6,1039.43,1028.54
2023-05-22,1044.87,1035.8,1046.69,1032.45
2023-05-23,1036.49,1038.0,1040.5,1024.56
2023-05-24,1039.42,1043.95,1047.56,1034.82
2023-05-25,1047.03,1040.48,1047.47,1037.15
2023-05-26,1043.25,1055.63,1057.73,1041.3
