SECID,BOARDID,NAME
ABIO,TQBR,iАРТГЕН ао
ABRD,TQBR,АбрауДюрсо
AFKS,TQBR,Система ао
AFLT,TQBR,Аэрофлот
AKRN,TQBR,Акрон
ALRS,TQBR,АЛРОСА ао
AMEZ,SMAL,АшинскийМЗ
APRI,TQBR,АПРИ
APTK,TQBR,Аптеки36и6
AQUA,TQBR,ИНАРКТИКА
ARSA,TQBR,Арсагера
ASSB,TQBR,АстрЭнСб
ASTR,TQBR,Астра ао
AVAN,TQBR,Авангрд-ао
BANE,TQBR,Башнефт ао
BANEP,TQBR,Башнефт ап
BELU,TQBR,НоваБев ао
BISVP,TQBR,БашИнСв ап
BLNG,TQBR,Белон ао
BRZL,TQBR,БурЗолото
BSPB,TQBR,БСП ао
BSPBP,TQBR,БСП ап
CARM,TQBR,СТГ
CBOM,TQBR,МКБ ао
CHGZ,TQBR,РН-ЗапСиб
CHKZ,TQBR,ЧКПЗ ао
CHMF,TQBR,СевСт-ао
CHMK,TQBR,ЧМК ао
CNRU,TQBR,Циан
CNTL,TQBR,Телеграф
CNTLP,TQBR,Телеграф-п
DATA,TQBR,iАренадата
DELI,TQBR,iКаршеринг
DIAS,TQBR,iДиасофт
DIOD,TQBR,ЗаводДИОД
DVEC,TQBR,ДЭК ао
DZRD,TQBR,ДонскЗР
DZRDP,TQBR,ДонскЗР п
EELT,TQBR,ЕвроЭлтех
ELFV,TQBR,ЭЛ5Энер ао
ELMT,TQBR,Элемент
ENPG,TQBR,ЭН+ГРУП ао
ETLN,TQBR,ЭталонГруп
EUTR,TQBR,ЕвроТранс
FEES,TQBR,Россети
FESH,TQBR,ДВМП ао
FIXR,TQBR,Фикс Прайс
FLOT,TQBR,Совкомфлот
GAZA,TQBR,ГАЗ ао
GAZAP,TQBR,ГАЗ ап
GAZC,SMAL,ГАЗКОН-ао
GAZP,TQBR,ГАЗПРОМ ао
GAZS,SMAL,ГАЗ-сервис
GAZT,SMAL,ГАЗ-Тек ао
GCHE,TQBR,ЧеркизГ-ао
GECO,TQBR,iГЕНЕТИКО
GEMA,TQBR,iММЦБ ао
GEMC,TQBR,МКПАО ЮМГ
GMKN,TQBR,ГМКНорНик
GTRK,TQBR,ГТМ ао
HEAD,TQBR,Хэдхантер
HIMCP,TQBR,Химпром ап
HNFG,TQBR,ХЭНДЕРСОН
HYDR,TQBR,РусГидро
IGST,TQBR,Ижсталь2ао
IGSTP,TQBR,Ижсталь ап
IRAO,TQBR,ИнтерРАОао
IRKT,TQBR,Яковлев-3
IVAT,TQBR,iИВА
JNOS,TQBR,Славн-ЯНОС
JNOSP,TQBR,Слав-ЯНОСп
KAZT,TQBR,Куйбазот
KAZTP,TQBR,Куйбазот-п
KBSB,TQBR,ТНСэКубань
KCHE,TQBR,КамчатЭ ао
KCHEP,TQBR,КамчатЭ ап
KFBA,TQBR,ИНГРАД ао
KGKC,SMAL,КурганГКао
KGKCP,SMAL,КурганГКап
KLSB,TQBR,КалужскСК
KLVZ,TQBR,Кристалл
KMAZ,TQBR,КАМАЗ
KMEZ,TQBR,КМЗ
KOGK,TQBR,КоршГОК ао
KRKN,TQBR,СаратНПЗ
KRKNP,TQBR,СаратНПЗ-п
KRKOP,TQBR,ТКЗКК ап
KROT,TQBR,КрасОкт-ао
KROTP,TQBR,КрасОкт-1п
KRSB,TQBR,Красэсб ао
KRSBP,TQBR,Красэсб ап
KUZB,TQBR,КузнецкийБ
KZOS,TQBR,ОргСинт ао
KZOSP,TQBR,ОргСинт ап
LEAS,TQBR,Европлан
LENT,TQBR,Лента ао
LIFE,TQBR,Фармсинтез
LKOH,TQBR,ЛУКОЙЛ
LMBZ,TQBR,Ламбумиз
LNZL,TQBR,Лензолото
LNZLP,TQBR,Лензол. ап
LPSB,TQBR,ЛЭСК ао
LSNG,TQBR,РСетиЛЭ
LSNGP,TQBR,РСетиЛЭ-п
LSRG,TQBR,ЛСР ао
LVHK,TQBR,Левенгук
MAGE,TQBR,МагадЭн ао
MAGEP,TQBR,МагадЭн ап
MAGN,TQBR,ММК
MBNK,TQBR,МТС Банк
MDMG,TQBR,MDMG-ао
MFGS,TQBR,Мегион-ао
MFGSP,TQBR,Мегион-ап
MGKL,TQBR,МГКЛ
MGNT,TQBR,Магнит ао
MGNZ,TQBR,СМЗ-ао
MGTS,TQBR,МГТС-5ао
MGTSP,TQBR,МГТС-4ап
MISB,TQBR,ТНСэнМарЭл
MISBP,TQBR,ТНСэМаЭл-п
MOEX,TQBR,МосБиржа
MRKC,TQBR,РоссЦентр
MRKK,TQBR,Россети СК
MRKP,TQBR,РСетиЦП ао
MRKS,TQBR,РсетСиб ао
MRKU,TQBR,Россети Ур
MRKV,TQBR,РсетВол ао
MRKY,TQBR,РоссЮг ао
MRKZ,TQBR,РСетиСЗ ао
MRSB,TQBR,МордЭнСб
MSNG,TQBR,+МосЭнерго
MSRS,TQBR,РСетиМР ао
MSTT,TQBR,Мостотрест
MTLR,TQBR,Мечел ао
MTLRP,TQBR,Мечел ап
MTSS,TQBR,МТС-ао
MVID,TQBR,М.видео
NAUK,TQBR,iНПОНаука
NFAZ,TQBR,НЕФАЗ
NKHP,TQBR,НКХП ао
NKNC,TQBR,НКНХ ао
NKNCP,TQBR,НКНХ ап
NKSH,TQBR,Нижкамшина
NLMK,TQBR,НЛМК ао
NMTP,TQBR,НМТП ао
NNSB,TQBR,ТНСэнНН ао
NNSBP,TQBR,ТНСэнНН ап
NSVZ,TQBR,iНаукаСвяз
NVTK,TQBR,Новатэк ао
OGKB,TQBR,ОГК-2 ао
OKEY,TQBR,OKEY-гдр
OMZZP,TQBR,ОМЗ-ап
OZON,TQBR,OZON-адр
OZPH,TQBR,iОзонФарм
PAZA,TQBR,ПавлАвт ао
PHOR,TQBR,ФосАгро ао
PIKK,TQBR,ПИК ао
PLZL,TQBR,Полюс
PMSB,TQBR,ПермьЭнСб
PMSBP,TQBR,ПермьЭнС-п
POSI,TQBR,iПозитив
PRFN,TQBR,ТЕПЛАНТ ао
PRMB,TQBR,Приморье
PRMD,TQBR,iПРОМОМЕД
QIWI,TQBR,iNanduQPLC
RAGR,TQBR,Русагро
RASP,TQBR,Распадская
RBCM,TQBR,ГК РБК ао
RDRB,TQBR,РДБанк ао
RENI,TQBR,Ренессанс
RGSS,TQBR,РГС СК ао
RKKE,TQBR,ЭнергияРКК
RNFT,TQBR,РуссНфт ао
ROLO,TQBR,Русолово
ROSN,TQBR,Роснефть
ROST,TQBR,РОСИНТЕРао
RTGZ,TQBR,ГР Ростов
RTKM,TQBR,Ростел -ао
RTKMP,TQBR,Ростел -ап
RTSB,TQBR,ТНСэнРст
RTSBP,TQBR,ТНСэнРст-п
RUAL,TQBR,РУСАЛ ао
RUSI,TQBR,ИКРУСС-ИНВ
RZSB,TQBR,РязЭнСб
SAGO,TQBR,СамарЭн-ао
SAGOP,TQBR,СамарЭн-ап
SARE,TQBR,СаратЭн-ао
SAREP,TQBR,СаратЭн-ап
SBER,TQBR,Сбербанк
SBERP,TQBR,Сбербанк-п
SELG,TQBR,Селигдар
SFIN,TQBR,ЭсЭфАй ао
SGZH,TQBR,Сегежа
SIBN,TQBR,Газпрнефть
SLEN,TQBR,Сахэнер ао
SMLT,TQBR,Самолет ао
SNGS,TQBR,Сургнфгз
SNGSP,TQBR,Сургнфгз-п
SOFL,TQBR,iСофтлайн
SPBE,TQBR,СПБ Биржа
STSB,TQBR,СтаврЭнСб
STSBP,TQBR,СтаврЭнСбп
SVAV,TQBR,СОЛЛЕРС
SVCB,TQBR,Совкомбанк
SVET,TQBR,Светофор
SVETP,TQBR,Светофор п
T,TQBR,Т-Техно ао
TASB,TQBR,ТамбЭнСб
TASBP,TQBR,ТамбЭнСб-п
TATN,TQBR,Татнфт 3ао
TATNP,TQBR,Татнфт 3ап
TGKA,TQBR,ТГК-1
TGKB,TQBR,ТГК-2
TGKBP,TQBR,ТГК-2 ап
TGKN,TQBR,ТГК-14
TNSE,TQBR,ТНСэнрг ао
TORS,TQBR,РСТомск ао
TORSP,TQBR,РСТомск ап
TRMK,TQBR,ТМК ао
TRNFP,TQBR,Транснф ап
TTLK,TQBR,Таттел. ао
TUZA,TQBR,ТЗА ао
UGLD,TQBR,ЮГК
UKUZ,TQBR,ЮжКузб. ао
UNAC,TQBR,iАвиастКао
UNKL,TQBR,ЮУНК ао
UPRO,TQBR,Юнипро ао
URKZ,TQBR,УрКузница
USBN,TQBR,УралСиб ао
UTAR,TQBR,ЮТэйр ао
UWGN,TQBR,ОВК ао
VEON-RX,TQBR,VEON
VGSB,TQBR,ВолгЭнСб
VGSBP,TQBR,ВолгЭнСб-п
VJGZ,TQBR,Варьеган
VJGZP,TQBR,Варьеган-п
VKCO,TQBR,"МКПАО ""ВК"""
VLHZ,TQBR,ВХЗ-ао
VRSB,TQBR,ТНСэнВорон
VRSBP,TQBR,ТНСэнВор-п
VSEH,TQBR,ВИ.ру
