TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,24.74,24.8,24.6,24.64,1945760
2023-01-04,24.64,25.08,24.62,25.04,3071600
2023-01-05,25.02,25.9,25.0,25.6,11309040
2023-01-06,25.7,25.7,25.3,25.46,4009450
2023-01-09,25.5,26.28,25.5,26.08,10996420
2023-01-10,26.08,26.88,25.8,26.72,14265710
2023-01-11,26.8,27.9,26.72,27.68,20633050
2023-01-12,27.74,27.92,27.16,27.52,12463500
2023-01-13,27.52,28.18,27.26,27.68,9939670
2023-01-16,27.8,28.96,27.7,28.78,20464250
2023-01-17,28.84,29.12,27.22,27.44,25779550
2023-01-18,27.46,27.98,27.16,27.56,11822140
2023-01-19,27.5,27.62,26.7,27.48,17308700
2023-01-20,27.48,27.9,27.04,27.8,8036120
2023-01-23,27.86,28.14,27.7,27.8,6141650
2023-01-24,27.82,27.94,27.1,27.34,7773450
2023-01-25,27.18,27.44,27.0,27.42,3863710
2023-01-26,27.42,27.48,27.1,27.3,6203280
2023-01-27,27.26,27.94,27.06,27.7,9009700
2023-01-30,27.86,28.46,27.68,27.86,10579860
2023-01-31,27.9,28.04,27.64,28.0,11700760
2023-02-01,28.05,28.49,27.7,28.01,15964080
2023-02-02,28.09,28.89,27.2,28.24,24406150
2023-02-03,28.27,28.3,27.46,27.85,10951720
2023-02-06,27.8,28.38,27.8,28.27,7338040
2023-02-07,28.28,28.72,28.24,28.67,9754950
2023-02-08,28.75,29.55,28.52,29.43,25472960
2023-02-09,29.59,29.93,29.19,29.4,17045400
2023-02-10,29.4,29.43,27.98,28.82,13853610
2023-02-13,28.94,28.96,28.22,28.32,10212080
2023-02-14,28.28,28.3,27.71,27.77,8021050
2023-02-15,27.59,27.61,26.15,26.65,18997540
2023-02-16,26.9,27.69,26.75,27.43,16921360
2023-02-17,27.41,27.67,27.1,27.54,7203460
2023-02-20,27.64,27.67,26.99,27.4,7455500
2023-02-21,27.42,28.15,27.22,27.78,10653170
2023-02-22,27.8,28.12,27.57,27.97,7625710
2023-02-24,27.84,28.25,27.75,28.16,4668650
2023-02-27,28.0,28.48,27.96,28.32,6516240
2023-02-28,28.39,28.49,28.1,28.2,6061360
2023-03-01,28.28,28.5,28.21,28.35,7275360
2023-03-02,28.43,28.43,27.86,28.0,8970470
2023-03-03,27.92,28.22,27.92,28.16,4654240
2023-03-06,28.24,28.77,28.18,28.58,8118200
2023-03-07,28.59,28.59,28.24,28.45,4263240
2023-03-09,28.46,28.7,28.35,28.55,4179920
2023-03-10,28.38,28.51,28.18,28.27,4064690
2023-03-13,28.27,28.44,27.96,28.08,5282240
2023-03-14,28.08,28.38,27.97,28.25,3603820
2023-03-15,28.25,28.73,28.0,28.15,10304910
2023-03-16,28.1,28.34,28.03,28.26,4408240
2023-03-17,28.29,28.6,28.16,28.45,7119090
2023-03-20,28.5,29.76,28.48,29.66,25134690
2023-03-21,29.86,29.88,28.7,29.25,12583200
2023-03-22,29.16,29.24,28.67,28.94,8027180
2023-03-23,28.88,29.43,28.86,29.3,6400570
2023-03-24,29.3,29.73,29.16,29.61,9396020
2023-03-27,29.83,33.3,29.72,32.92,132509160
2023-03-28,33.25,33.83,31.84,32.36,68176530
2023-03-29,32.44,32.48,31.95,32.27,15762630
2023-03-30,32.21,32.99,32.15,32.74,20038320
2023-03-31,32.85,32.94,30.64,31.65,66978590
2023-04-03,31.5,32.1,31.3,32.03,14790120
2023-04-04,32.03,32.87,32.0,32.16,18827920
2023-04-05,32.09,32.5,31.55,32.27,12663680
2023-04-06,32.35,32.83,32.18,32.39,12037620
2023-04-07,32.45,32.94,32.24,32.79,9712830
2023-04-10,32.9,35.28,32.89,34.84,84986580
2023-04-11,34.96,35.06,33.62,34.08,49050280
2023-04-12,34.15,34.81,34.06,34.49,17893530
2023-04-13,34.63,34.63,34.09,34.3,8364620
2023-04-14,34.35,34.72,34.05,34.65,8946690
2023-04-17,34.9,36.4,34.86,36.26,42857460
2023-04-18,36.28,36.86,35.62,36.36,32024390
2023-04-19,36.47,37.84,35.65,37.45,47396930
2023-04-20,37.71,39.8,36.72,39.21,93756090
2023-04-21,39.2,39.9,38.38,38.97,44267930
2023-04-24,38.95,39.34,38.05,38.9,24460080
2023-04-25,39.07,39.07,37.81,38.02,17982120
2023-04-26,37.98,39.4,37.52,39.25,29235100
2023-04-27,39.07,40.47,38.86,40.05,45613740
2023-04-28,40.25,40.71,39.05,40.24,42125410
