TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,58.83,59.53,58.83,59.35,4531120
2023-01-04,59.48,59.48,59.09,59.28,2070960
2023-01-05,59.36,59.36,58.58,58.89,3964010
2023-01-06,58.8,58.99,58.72,58.83,1772130
2023-01-09,59.09,59.25,58.75,59.16,5887570
2023-01-10,59.28,59.83,58.87,59.81,7763120
2023-01-11,59.9,60.8,59.85,60.75,12277940
2023-01-12,60.8,60.86,59.87,60.1,8473450
2023-01-13,60.05,60.41,59.77,60.09,7023410
2023-01-16,60.2,62.6,60.0,62.52,29510150
2023-01-17,63.1,63.68,61.6,61.79,37352570
2023-01-18,61.92,62.7,61.1,61.68,16028880
2023-01-19,61.52,61.62,59.8,60.3,28384560
2023-01-20,60.41,60.62,59.9,60.16,10513190
2023-01-23,60.49,61.88,60.09,61.54,17817580
2023-01-24,61.78,61.85,60.56,60.7,15293940
2023-01-25,60.7,60.93,60.11,60.87,7451180
2023-01-26,60.92,61.09,60.22,60.44,7853530
2023-01-27,60.5,61.11,60.18,60.78,7778880
2023-01-30,61.2,61.69,60.91,61.55,10455620
2023-01-31,61.68,62.48,61.56,62.0,13182260
2023-02-01,62.1,62.4,61.24,61.73,12458700
2023-02-02,61.9,61.94,61.16,61.62,8598930
2023-02-03,61.55,61.99,60.85,61.72,8867240
2023-02-06,61.98,62.88,61.73,62.55,15179230
2023-02-07,62.5,63.41,61.9,62.34,12584710
2023-02-08,62.44,62.8,61.3,61.99,11383330
2023-02-09,62.05,62.07,61.53,61.78,6511270
2023-02-10,61.67,62.06,61.53,61.82,4213400
2023-02-13,61.82,62.19,61.61,61.73,4888880
2023-02-14,61.65,61.79,59.25,60.39,14547150
2023-02-15,60.19,60.19,58.12,58.88,14857930
2023-02-16,59.07,59.59,58.53,58.94,8155960
2023-02-17,58.7,59.49,58.7,59.39,5764210
2023-02-20,59.66,59.88,58.25,59.05,18673980
2023-02-21,58.9,60.3,58.81,59.88,12713610
2023-02-22,60.0,60.15,59.45,59.95,4392510
2023-02-24,60.2,60.8,58.61,59.39,24663190
2023-02-27,59.1,60.3,59.01,60.22,7371170
2023-02-28,60.4,60.65,60.13,60.52,7260900
2023-03-01,60.7,61.53,60.4,61.35,10271660
2023-03-02,61.35,61.77,59.96,60.45,10988710
2023-03-03,60.84,62.3,60.8,62.18,29189980
2023-03-06,62.29,62.82,61.72,61.88,11846310
2023-03-07,61.71,61.99,61.3,61.6,7162570
2023-03-09,61.75,62.35,61.43,61.5,5230320
2023-03-10,61.35,61.74,61.0,61.55,4410790
2023-03-13,61.63,62.18,60.6,61.05,8864140
2023-03-14,61.06,61.66,60.75,61.35,5451820
2023-03-15,61.5,61.7,60.31,60.69,8941060
2023-03-16,60.65,60.96,59.88,60.4,8084680
2023-03-17,60.4,60.95,60.3,60.8,10899820
2023-03-20,60.9,63.23,60.85,63.12,23968450
2023-03-21,63.4,65.8,62.85,64.24,46991020
2023-03-22,64.3,64.9,63.59,63.79,13568900
2023-03-23,63.93,64.1,63.07,63.79,11811790
2023-03-24,63.79,63.92,63.21,63.54,6417990
2023-03-27,63.7,65.6,63.7,65.44,20175300
2023-03-28,65.65,65.9,64.1,64.87,12132550
2023-03-29,64.99,65.11,64.21,64.56,8026010
2023-03-30,64.37,67.2,64.2,66.51,28787700
2023-03-31,66.55,66.9,64.7,65.99,21859080
2023-04-03,66.92,67.37,66.18,66.78,17101390
2023-04-04,67.0,67.15,65.61,66.26,17444690
2023-04-05,66.25,67.05,65.25,66.55,11975920
2023-04-06,66.7,67.78,65.81,65.99,22974200
2023-04-07,66.1,66.84,66.02,66.64,12644420
2023-04-10,66.88,67.95,66.77,67.79,16823460
2023-04-11,67.98,68.74,66.3,66.8,23630320
2023-04-12,66.96,67.44,66.01,66.57,16943900
2023-04-13,66.37,66.49,65.32,65.96,11495290
2023-04-14,65.92,66.48,65.53,66.4,6563390
2023-04-17,66.57,67.3,66.53,67.07,8504000
2023-04-18,67.24,67.58,66.63,67.22,9830170
2023-04-19,67.37,67.79,66.3,66.68,15442300
2023-04-20,66.7,67.69,65.71,67.19,12921570
2023-04-21,67.36,68.78,66.93,68.17,18951770
2023-04-24,68.0,69.09,67.56,68.11,14388390
2023-04-25,68.24,68.49,67.38,67.55,8339940
2023-04-26,67.76,68.65,67.4,68.04,10128940
2023-04-27,68.11,68.54,67.56,68.34,11553100
2023-04-28,68.51,68.97,66.86,67.75,11705440
2023-05-02,67.95,68.2,66.17,66.7,9607820
2023-05-03,66.74,67.51,64.81,65.4,15610090
2023-05-04,65.56,66.11,65.05,65.86,6600090
2023-05-05,65.94,66.4,64.67,64.79,7576600
2023-05-08,64.7,65.06,64.1,64.53,3392950
2023-05-10,65.7,66.5,64.56,65.96,20405830
2023-05-11,66.1,66.97,64.58,65.49,14550150
2023-05-12,65.5,65.95,65.01,65.65,6388620
2023-05-15,65.65,67.5,65.65,67.4,9977860
2023-05-16,67.51,67.9,66.65,67.36,7861210
2023-05-17,67.82,68.42,67.05,67.7,13601550
2023-05-18,67.72,67.97,66.71,66.89,11814350
2023-05-19,66.0,66.44,65.44,66.25,13887370
2023-05-22,66.5,66.92,65.9,66.81,6520970
2023-05-23,66.95,66.95,66.0,66.63,5826970
2023-05-24,66.5,67.35,66.12,66.95,7443660
2023-05-25,67.0,67.15,65.8,66.34,7031850
2023-05-26,66.2,66.95,66.06,66.78,5982860
2023-05-29,67.0,67.88,66.61,66.94,16236800
2023-05-30,66.59,71.44,66.13,67.53,148679510
2023-05-31,64.37,65.96,64.0,65.79,57055900
2023-06-01,66.0,66.81,65.28,65.5,11218980
2023-06-02,65.54,66.17,65.3,66.08,13331750
2023-06-05,66.35,66.94,65.6,65.8,16271200
2023-06-06,65.51,66.17,65.21,66.1,9201810
2023-06-07,66.11,66.36,65.73,65.98,6353960
2023-06-08,66.1,66.22,65.76,66.05,3594030
2023-06-09,66.05,67.5,65.87,66.93,18168910
2023-06-13,67.09,67.75,67.09,67.62,10781650
2023-06-14,67.73,68.36,67.0,68.36,15294750
2023-06-15,68.53,68.75,67.05,67.44,23859760
2023-06-16,67.5,67.64,66.7,67.04,12377690
2023-06-19,69.75,69.8,68.01,69.3,49391720
2023-06-20,69.19,69.71,67.8,68.86,19157610
2023-06-21,68.87,69.09,68.3,68.81,8093120
2023-06-22,68.59,68.97,68.29,68.38,8589810
2023-06-23,68.29,68.65,66.4,66.89,20228420
2023-06-26,67.28,67.53,66.1,67.07,16063520
2023-06-27,67.24,67.87,67.1,67.61,7032870
