TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-10-13,466.2,466.2,466.2,466.2,854970
2023-10-16,512.8,651.7,502.0,560.0,19488378
2023-10-17,569.65,590.0,524.0,531.6,5739684
2023-10-18,531.6,536.3,502.35,506.0,3334286
2023-10-19,506.0,514.5,495.15,502.7,1643222
2023-10-20,505.9,506.1,480.1,480.75,1345640
2023-10-23,477.0,522.8,467.0,497.7,3655751
2023-10-24,498.05,512.65,495.0,501.0,1154452
2023-10-25,501.2,515.0,491.0,505.5,871663
2023-10-26,505.5,521.2,503.0,503.45,1037604
2023-10-27,503.45,507.75,493.5,499.1,411928
2023-10-30,497.2,500.05,480.2,491.0,438334
2023-10-31,491.0,504.7,475.05,488.0,512710
2023-11-01,491.0,504.8,488.0,493.25,321887
2023-11-02,495.95,506.0,490.4,490.5,516333
2023-11-03,493.25,501.6,491.0,496.0,222588
2023-11-06,497.95,518.0,496.2,516.95,675679
2023-11-07,518.95,531.9,511.0,515.15,893920
2023-11-08,515.4,517.0,507.4,510.25,200775
2023-11-09,508.0,511.0,500.0,505.75,202443
2023-11-10,505.75,508.75,496.5,507.05,288738
2023-11-13,509.0,511.75,500.0,501.5,254515
2023-11-14,501.5,511.9,490.0,502.85,486941
2023-11-15,502.0,505.7,497.0,503.7,255628
2023-11-16,500.05,519.85,500.05,516.45,984324
2023-11-17,517.3,540.0,509.0,533.45,1374837
2023-11-20,537.3,550.0,512.0,517.15,1586643
2023-11-21,513.5,522.0,506.0,515.15,489635
2023-11-22,515.15,516.9,509.0,513.35,316507
2023-11-23,513.35,513.35,506.05,509.45,283370
2023-11-24,511.75,511.75,501.05,508.2,236478
2023-11-27,508.0,508.15,480.0,492.5,594848
2023-11-28,490.5,494.0,481.3,492.45,459986
2023-11-29,492.45,493.9,485.0,485.65,221533
2023-11-30,488.05,488.05,478.55,481.0,285992
2023-12-01,483.05,483.05,470.0,476.4,289104
2023-12-04,476.0,477.95,461.0,464.4,299503
2023-12-05,464.45,477.95,464.45,477.9,242551
2023-12-06,478.7,480.9,459.05,461.8,346340
2023-12-07,461.8,480.0,450.0,467.05,705572
2023-12-08,466.85,473.25,460.0,461.9,216319
2023-12-11,464.2,468.6,444.0,450.0,372445
2023-12-12,453.0,454.8,445.0,450.2,320893
2023-12-13,450.0,464.5,446.7,463.9,275147
2023-12-14,466.0,477.3,460.3,470.0,368015
2023-12-15,470.0,487.4,458.25,474.7,333832
2023-12-18,476.0,494.3,476.0,493.0,459518
2023-12-19,492.0,499.55,487.5,495.9,478325
2023-12-20,499.6,523.7,496.3,517.0,1007447
2023-12-21,517.0,519.0,505.65,511.0,362284
2023-12-22,508.0,523.7,507.7,516.4,229934
2023-12-25,517.4,529.55,507.15,519.3,482548
2023-12-26,522.8,522.8,507.05,510.3,191738
2023-12-27,510.05,512.3,500.4,503.7,167527
2023-12-28,503.75,517.0,493.05,496.6,230872
2023-12-29,501.5,507.1,497.85,501.5,121887
2024-01-03,506.35,515.9,502.25,513.1,158386
2024-01-04,515.15,516.8,506.0,512.0,105504
2024-01-05,513.0,518.95,508.1,514.6,155010
2024-01-08,514.05,521.6,510.65,520.25,216047
2024-01-09,520.3,541.8,513.3,533.0,1040106
2024-01-10,533.0,544.0,522.85,525.6,475176
2024-01-11,528.0,531.15,515.25,522.1,360168
2024-01-12,523.7,533.75,516.55,524.9,338344
