TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,9.33,9.39,9.02,9.32,313800
2023-01-04,9.32,9.38,9.13,9.21,172100
2023-01-05,9.3,9.49,9.13,9.45,711900
2023-01-06,9.26,9.48,9.26,9.3,134700
2023-01-09,9.38,9.49,9.29,9.38,228300
2023-01-10,9.42,9.47,9.2,9.41,629500
2023-01-11,9.44,9.66,9.4,9.54,1112000
2023-01-12,9.04,9.05,8.32,8.7,1230400
2023-01-13,8.71,8.71,8.48,8.58,245000
2023-01-16,8.59,8.59,8.12,8.41,401000
2023-01-17,8.47,8.47,8.35,8.38,44400
2023-01-18,8.36,8.48,8.36,8.45,43500
2023-01-19,8.47,8.47,8.36,8.38,40300
2023-01-20,8.41,8.44,8.33,8.36,72800
2023-01-23,8.35,8.41,8.3,8.38,77700
2023-01-24,8.29,8.39,8.29,8.34,56500
2023-01-25,8.34,8.43,8.3,8.33,55800
2023-01-26,8.38,8.38,8.3,8.32,67100
2023-01-27,8.31,8.37,8.3,8.31,100500
2023-01-30,8.3,8.33,8.2,8.31,108500
2023-01-31,8.25,8.33,8.24,8.32,67500
2023-02-01,8.3,8.39,8.28,8.35,67100
2023-02-02,8.38,8.42,8.26,8.39,105400
2023-02-03,8.37,8.96,8.36,8.47,599600
2023-02-06,8.45,8.63,8.39,8.5,75200
2023-02-07,8.5,8.62,8.4,8.62,93300
2023-02-08,8.63,8.9,8.51,8.72,279000
2023-02-09,8.72,8.81,8.49,8.64,184400
2023-02-10,8.62,8.94,8.45,8.64,360600
2023-02-13,8.65,8.8,8.56,8.65,62400
2023-02-14,8.63,8.65,8.5,8.53,62200
2023-02-15,8.59,8.59,8.26,8.28,142100
2023-02-16,8.31,8.38,8.26,8.3,47600
2023-02-17,8.39,8.42,8.27,8.3,47100
2023-02-20,8.31,8.41,8.2,8.39,61500
2023-02-21,8.31,8.56,8.31,8.49,69400
2023-02-22,8.55,8.55,8.37,8.48,38200
2023-02-24,8.54,8.54,8.37,8.42,32800
2023-02-27,8.47,8.55,8.41,8.43,32400
2023-02-28,8.43,8.65,8.35,8.58,106900
2023-03-01,8.63,8.63,8.44,8.57,86100
2023-03-02,8.57,8.7,8.52,8.57,67000
2023-03-03,8.55,8.65,8.53,8.61,62800
2023-03-06,8.54,8.69,8.53,8.65,25800
2023-03-07,8.66,9.11,8.65,8.85,268800
2023-03-09,8.7,9.22,8.67,8.83,201100
2023-03-10,8.84,8.96,8.75,8.89,64400
2023-03-13,8.88,8.88,8.71,8.8,58600
2023-03-14,8.82,8.88,8.7,8.75,33100
2023-03-15,8.78,9.01,8.63,8.73,110300
2023-03-16,8.67,8.76,8.67,8.7,26400
2023-03-17,8.74,9.0,8.64,8.82,59800
2023-03-20,8.86,8.95,8.76,8.9,52700
2023-03-21,8.9,8.9,8.78,8.81,42600
2023-03-22,8.77,9.07,8.77,8.81,52100
2023-03-23,8.88,9.4,8.77,9.11,339200
2023-03-24,9.27,9.79,9.02,9.1,397600
2023-03-27,9.16,9.22,9.11,9.14,34100
2023-03-28,9.11,9.18,9.04,9.14,19600
2023-03-29,9.14,9.41,9.12,9.24,77100
2023-03-30,9.14,9.42,9.14,9.32,68400
2023-03-31,9.35,9.35,9.07,9.15,81100
2023-04-03,9.21,9.3,9.08,9.2,57800
2023-04-04,9.18,9.3,9.15,9.24,69200
2023-04-05,9.16,9.28,9.1,9.22,66100
2023-04-06,9.23,9.27,9.14,9.23,51300
2023-04-07,9.27,9.31,9.19,9.28,33900
2023-04-10,9.65,9.65,9.28,9.39,119800
2023-04-11,9.43,9.43,9.2,9.25,71300
2023-04-12,9.26,9.31,9.0,9.21,120200
2023-04-13,9.13,9.22,9.08,9.2,26000
2023-04-14,9.19,9.64,9.15,9.43,157100
2023-04-17,9.4,9.63,9.31,9.58,91500
2023-04-18,9.64,9.65,9.31,9.54,108400
2023-04-19,9.52,9.54,9.32,9.49,54200
2023-04-20,9.5,9.5,9.31,9.47,67700
2023-04-21,9.43,9.5,9.43,9.49,20400
2023-04-24,9.5,10.01,9.44,9.72,481000
2023-04-25,9.68,9.95,9.56,9.71,42100
2023-04-26,9.79,9.95,9.68,9.79,53500
2023-04-27,9.73,9.87,9.7,9.74,46200
2023-04-28,9.77,11.7,9.72,10.3,1626500
2023-05-02,10.3,12.16,9.02,10.2,1887300
2023-05-03,10.23,11.5,9.52,9.8,491300
2023-05-04,9.82,11.32,9.7,9.99,665300
2023-05-05,10.09,10.35,9.91,9.98,101600
2023-05-08,10.08,10.08,9.72,9.74,44200
2023-05-10,9.7,10.12,9.23,9.81,264300
2023-05-11,9.85,9.95,9.76,9.87,88300
2023-05-12,9.91,9.93,9.69,9.82,38000
2023-05-15,9.81,10.0,9.77,9.89,65800
2023-05-16,9.85,10.49,9.81,10.18,300200
2023-05-17,10.31,10.46,10.16,10.2,87400
2023-05-18,10.31,10.39,10.12,10.38,110700
2023-05-19,10.24,10.75,9.81,9.81,93000
2023-05-22,9.95,10.53,9.94,10.18,131000
2023-05-23,10.25,10.25,9.9,10.2,58600
2023-05-24,10.08,14.0,10.08,12.0,5418100
2023-05-25,12.0,12.98,11.2,11.85,1208900
2023-05-26,11.85,12.15,11.33,12.0,195200
2023-05-29,12.0,12.0,11.59,11.78,185900
