TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,10.305,10.88,9.81,10.45,4093100
2023-01-04,10.5,11.075,10.105,10.485,5225800
2023-01-05,10.56,10.97,10.455,10.645,2673500
2023-01-06,10.65,11.1,10.425,10.555,2778000
2023-01-09,10.62,10.735,10.34,10.455,1383800
2023-01-10,10.51,12.4,10.415,10.67,24775300
2023-01-11,10.67,11.08,10.46,10.705,4343200
2023-01-12,10.68,11.84,10.68,10.88,9714500
2023-01-13,10.975,11.75,10.51,11.0,5661500
2023-01-16,11.08,11.25,10.94,11.1,1729800
2023-01-17,11.13,11.18,10.815,10.815,684800
2023-01-18,10.845,11.095,10.7,10.995,866800
2023-01-19,11.095,11.2,10.745,10.775,594200
2023-01-20,10.775,10.885,10.7,10.72,341000
2023-01-23,10.805,11.25,10.755,10.925,1054700
2023-01-24,10.98,10.995,10.82,10.9,441700
2023-01-25,10.9,11.56,10.78,10.905,3185700
2023-01-26,11.035,11.44,10.93,11.17,2694000
2023-01-27,11.27,11.45,11.065,11.3,1298100
2023-01-30,11.495,13.245,11.22,11.615,26570400
2023-01-31,11.84,12.315,11.58,11.87,4613600
2023-02-01,12.04,12.05,11.56,11.72,1470800
2023-02-02,11.7,11.81,11.625,11.7,561000
2023-02-03,11.72,11.8,11.59,11.63,547800
2023-02-06,11.635,12.72,11.55,11.965,7495500
2023-02-07,12.195,12.195,11.71,11.865,1332800
2023-02-08,11.87,23.72,11.87,23.445,223858400
2023-02-09,23.05,23.135,16.605,16.65,58198900
2023-02-10,15.35,16.18,13.8,14.55,19469500
2023-02-13,14.85,16.055,14.695,16.055,17215100
2023-02-14,16.0,16.045,14.755,15.03,5434000
2023-02-15,15.03,15.64,13.72,14.32,6708900
2023-02-16,14.21,14.955,13.575,14.555,3844600
2023-02-17,14.555,15.995,14.125,15.395,18764000
2023-02-20,15.45,15.8,14.285,14.74,4388200
2023-02-21,14.825,16.05,14.74,15.4,9934500
2023-02-22,15.4,16.85,15.4,15.5,14750400
2023-02-24,15.77,16.4,15.12,15.695,2957300
2023-02-27,15.5,16.08,15.23,15.87,1695500
2023-02-28,15.92,17.45,15.875,17.27,19783300
2023-03-01,17.44,18.7,17.405,18.695,20283800
2023-03-02,18.7,18.73,17.02,17.41,10268100
2023-03-03,19.15,24.365,19.15,21.735,131725700
2023-03-06,23.8,25.34,22.35,23.16,42222000
2023-03-07,23.6,23.84,21.0,22.09,12209600
