TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,926,965,916,948,2310
2023-01-04,948,985,944,980,2123
2023-01-05,966,991,929,954,2138
2023-01-06,957,966,943,949,386
2023-01-09,960,967,945,960,1163
2023-01-10,961,1009,961,988,2216
2023-01-11,989,1021,970,981,1456
2023-01-12,982,993,957,979,3689
2023-01-13,985,1138,985,1017,20329
2023-01-16,1019,1050,1007,1015,2390
2023-01-17,1022,1022,986,998,1955
2023-01-18,994,1022,994,1009,2061
2023-01-19,1018,1018,989,996,1697
2023-01-20,995,999,987,992,803
2023-01-23,1018,1021,987,1002,2986
2023-01-24,1014,1048,1006,1012,2826
2023-01-25,1022,1045,1005,1022,3199
2023-01-26,1035,1038,1021,1027,2008
2023-01-27,1030,1040,1014,1020,1177
2023-01-30,1029,1050,1016,1047,2159
2023-01-31,1051,1053,1023,1038,1984
2023-02-01,1029,1051,1025,1036,2193
2023-02-02,1049,1203,1040,1078,46039
2023-02-03,1078,1084,1040,1055,4563
2023-02-06,1061,1061,1037,1050,2291
2023-02-07,1053,1056,1037,1037,1490
2023-02-08,1038,1068,1025,1037,2657
2023-02-09,1037,1054,1022,1043,2364
2023-02-10,1039,1042,1020,1036,857
2023-02-13,1034,1052,1022,1041,1183
2023-02-14,1041,1041,1014,1024,1200
2023-02-15,1019,1188,1003,1045,18365
2023-02-16,1065,1090,1029,1040,4932
2023-02-17,1050,1080,1031,1046,1772
2023-02-20,1068,1089,1039,1060,1364
2023-02-21,1058,1130,1040,1084,6523
2023-02-22,1097,1097,1060,1063,1546
2023-02-24,1069,1078,1060,1071,558
2023-02-27,1069,1079,1055,1076,1023
2023-02-28,1076,1079,1066,1066,825
2023-03-01,1076,1147,1063,1116,5549
2023-03-02,1091,1160,1090,1131,3892
2023-03-03,1131,1164,1112,1126,1630
2023-03-06,1133,1149,1113,1140,909
2023-03-07,1134,1157,1126,1130,514
2023-03-09,1129,1150,1115,1126,1385
2023-03-10,1135,1172,1122,1143,2421
2023-03-13,1136,1209,1130,1177,9041
2023-03-14,1210,1469,1180,1211,91923
2023-03-15,1270,1270,1178,1228,18165
2023-03-16,1232,1240,1191,1240,8963
2023-03-17,1195,1246,1195,1237,6034
2023-03-20,1240,1275,1235,1238,4790
2023-03-21,1249,1260,1235,1248,10559
2023-03-22,1256,1275,1248,1268,2525
2023-03-23,1295,1340,1270,1292,7007
2023-03-24,1293,1320,1262,1283,3234
2023-03-27,1305,1305,1266,1285,2496
2023-03-28,1275,1297,1269,1283,904
2023-03-29,1284,1290,1269,1275,1929
2023-03-30,1283,1283,1256,1269,2383
2023-03-31,1268,1270,1253,1262,1446
2023-04-03,1258,1292,1237,1268,4050
2023-04-04,1282,1310,1270,1296,3226
2023-04-05,1310,1343,1300,1308,5107
2023-04-06,1309,1318,1296,1300,1533
2023-04-07,1298,1322,1285,1290,1467
2023-04-10,1300,1340,1298,1308,1693
2023-04-11,1301,1335,1280,1294,2048
2023-04-12,1294,1309,1288,1298,732
2023-04-13,1302,1326,1276,1294,2542
2023-04-14,1299,1310,1246,1290,1241
2023-04-17,1289,1320,1289,1293,1279
2023-04-18,1309,1345,1286,1306,2200
2023-04-19,1307,1307,1286,1293,1135
2023-04-20,1293,1300,1263,1300,976
2023-04-21,1301,1301,1259,1290,2019
2023-04-24,1293,1298,1281,1286,975
2023-04-25,1296,1297,1276,1278,491
2023-04-26,1279,1290,1244,1265,1644
2023-04-27,1263,1278,1263,1268,319
2023-04-28,1268,1271,1260,1264,393
2023-05-02,1260,1264,1182,1241,2182
2023-05-03,1242,1248,1207,1223,605
2023-05-04,1221,1245,1221,1245,1302
2023-05-05,1245,1279,1222,1233,953
2023-05-08,1262,1262,1228,1233,387
2023-05-10,1259,1259,1234,1248,289
2023-05-11,1243,1258,1243,1248,491
2023-05-12,1245,1249,1207,1227,574
2023-05-15,1237,1239,1218,1234,1049
2023-05-16,1228,1230,1211,1221,696
2023-05-17,1227,1229,1213,1228,358
2023-05-18,1224,1228,1218,1219,311
2023-05-19,1219,1227,1200,1200,539
2023-05-22,1190,1219,1166,1205,295
2023-05-23,1207,1229,1177,1206,711
2023-05-24,1200,1235,1200,1228,1109
2023-05-25,1227,1227,1212,1224,217
2023-05-26,1226,1226,1210,1223,869
2023-05-29,1216,1225,1215,1225,302
2023-05-30,1216,1224,1205,1210,469
2023-05-31,1219,1221,1203,1205,362
2023-06-01,1210,1214,1205,1214,85
2023-06-02,1214,1215,1207,1210,314
2023-06-05,1213,1260,1210,1227,1211
2023-06-06,1227,1280,1220,1245,1497
2023-06-07,1264,1290,1234,1236,821
2023-06-08,1242,1243,1234,1236,225
2023-06-09,1238,1238,1210,1225,1107
2023-06-13,1229,1239,1210,1230,968
2023-06-14,1230,1239,1210,1222,941
2023-06-15,1228,1233,1207,1218,1770
2023-06-16,1228,1228,1202,1225,724
2023-06-19,1224,1224,1190,1205,3905
2023-06-20,1211,1223,1190,1196,4553
2023-06-21,1200,1210,1180,1205,3403
2023-06-22,1198,1207,1192,1198,699
2023-06-23,1198,1198,1190,1194,359
2023-06-26,1186,1198,1161,1179,664
2023-06-27,1180,1188,1150,1171,868
2023-06-28,1171,1171,1163,1171,792
2023-06-29,1167,1169,1154,1169,346
2023-06-30,1168,1181,1164,1179,597
2023-07-03,1198,1201,1181,1191,1373
2023-07-04,1199,1203,1193,1199,1231
2023-07-05,1199,1204,1196,1200,497
2023-07-06,1199,1210,1178,1180,1688
2023-07-07,1182,1199,1181,1196,380
2023-07-10,1195,1203,1185,1194,1742
2023-07-11,1189,1313,1171,1209,16163
2023-07-12,1249,1249,1204,1216,3338
2023-07-13,1227,1227,1198,1213,2458
2023-07-14,1216,1222,1201,1222,576
2023-07-17,1219,1259,1213,1233,3812
2023-07-18,1231,1284,1223,1254,3749
2023-07-19,1254,1285,1224,1244,2371
2023-07-20,1244,1263,1231,1258,760
2023-07-21,1260,1370,1238,1311,18130
2023-07-24,1330,1400,1312,1395,13411
2023-07-25,1395,1425,1358,1395,7488
2023-07-26,1420,1430,1355,1369,9260
2023-07-27,1381,1394,1366,1378,2376
2023-07-28,1378,1390,1350,1385,2762
2023-07-31,1390,1408,1364,1383,1947
2023-08-01,1384,1397,1370,1375,1089
2023-08-02,1373,1384,1338,1362,3278
2023-08-03,1362,1364,1337,1356,5075
2023-08-04,1370,1370,1341,1347,3072
2023-08-07,1347,1364,1335,1351,2841
2023-08-08,1341,1355,1312,1330,2082
2023-08-09,1337,1338,1327,1334,658
2023-08-10,1333,1358,1329,1353,1096
2023-08-11,1357,1366,1337,1353,1141
2023-08-14,1353,1365,1340,1348,2057
2023-08-15,1334,1370,1301,1359,2159
2023-08-16,1365,1365,1315,1326,1466
2023-08-17,1352,1368,1315,1328,900
2023-08-18,1328,1337,1316,1335,537
2023-08-21,1336,1359,1330,1357,1172
2023-08-22,1359,1362,1339,1339,868
2023-08-23,1354,1355,1334,1338,830
2023-08-24,1338,1355,1338,1354,664
2023-08-25,1355,1365,1354,1358,1420
2023-08-28,1362,1370,1351,1361,1273
2023-08-29,1361,1421,1355,1399,9631
2023-08-30,1420,1420,1367,1376,2719
2023-08-31,1376,1598,1367,1474,29715
2023-09-01,1490,1510,1430,1469,3073
2023-09-04,1469,1500,1436,1463,3635
2023-09-05,1476,1950,1450,1813,123825
2023-09-06,1838,1850,1680,1721,15804
2023-09-07,1704,1835,1665,1682,17093
2023-09-08,1709,1709,1636,1680,3530
2023-09-11,1675,1818,1637,1725,13576
2023-09-12,1749,1809,1720,1730,5394
2023-09-13,1765,1770,1614,1674,7303
2023-09-14,1668,1674,1450,1595,11246
2023-09-15,1590,1667,1590,1629,4064
2023-09-18,1649,1679,1612,1660,2006
2023-09-19,1628,1670,1501,1543,4504
2023-09-20,1543,1590,1500,1571,1614
2023-09-21,1580,1580,1507,1512,960
2023-09-22,1506,1577,1500,1535,1745
2023-09-25,1549,1567,1502,1528,1691
2023-09-26,1550,1700,1550,1650,9984
2023-09-27,1668,1669,1620,1621,2146
2023-09-28,1635,1649,1592,1595,1073
2023-09-29,1591,1667,1591,1623,4354
2023-10-02,1623,1635,1595,1613,2277
2023-10-03,1632,1739,1618,1682,6850
2023-10-04,1682,1699,1630,1678,2570
2023-10-05,1680,1701,1641,1662,3431
2023-10-06,1662,1670,1601,1624,2561
2023-10-09,1645,1699,1621,1666,1462
2023-10-10,1652,1698,1651,1673,1452
2023-10-11,1677,1711,1659,1676,1515
2023-10-12,1666,1671,1634,1646,645
2023-10-13,1656,1659,1621,1626,895
2023-10-16,1627,1657,1612,1629,1575
2023-10-17,1626,1688,1626,1644,1806
2023-10-18,1672,1719,1645,1701,4407
2023-10-19,1711,1748,1670,1694,2325
2023-10-20,1734,1751,1635,1695,4243
2023-10-23,1708,1708,1654,1670,1033
2023-10-24,1698,1698,1640,1668,1837
2023-10-25,1668,1697,1640,1678,1337
2023-10-26,1679,1680,1600,1630,3195
2023-10-27,1630,1649,1551,1609,2404
2023-10-30,1571,1633,1571,1595,1217
2023-10-31,1602,1635,1586,1600,1130
2023-11-01,1602,1610,1580,1596,477
2023-11-02,1596,1615,1585,1597,745
2023-11-03,1599,1628,1575,1589,869
2023-11-06,1582,1609,1570,1590,561
2023-11-07,1590,1640,1590,1624,1781
2023-11-08,1636,1637,1602,1612,909
2023-11-09,1634,1634,1575,1586,1100
2023-11-10,1585,1600,1562,1585,750
2023-11-13,1600,1600,1510,1510,1352
2023-11-14,1513,1513,1451,1478,1858
2023-11-15,1471,1568,1467,1533,559
2023-11-16,1525,1565,1472,1505,925
2023-11-17,1485,1519,1485,1490,736
2023-11-20,1502,1516,1485,1492,505
2023-11-21,1497,1592,1497,1529,1599
2023-11-22,1536,1550,1510,1510,422
2023-11-23,1522,1522,1451,1468,1712
2023-11-24,1474,1489,1373,1407,2171
2023-11-27,1419,1441,1376,1433,1610
2023-11-28,1452,1502,1396,1425,2009
2023-11-29,1443,1448,1394,1404,696
2023-11-30,1404,1436,1396,1410,422
2023-12-01,1408,1413,1383,1393,1059
2023-12-04,1401,1696,1401,1615,38156
2023-12-05,1595,1749,1450,1490,29877
2023-12-06,1543,1543,1400,1419,13918
2023-12-07,1428,1447,1400,1431,2025
2023-12-08,1423,1500,1409,1442,2187
2023-12-11,1442,1447,1360,1392,2333
2023-12-12,1393,1426,1388,1398,603
2023-12-13,1393,1425,1372,1404,1765
2023-12-14,1446,1446,1387,1387,2042
2023-12-15,1409,1428,1386,1411,1165
2023-12-18,1426,1454,1401,1450,2899
2023-12-19,1452,1538,1417,1499,3923
2023-12-20,1494,1562,1485,1557,4363
2023-12-21,1558,1593,1550,1556,1349
2023-12-22,1556,1586,1556,1560,1109
2023-12-25,1566,1566,1525,1548,967
2023-12-26,1556,1560,1527,1536,694
2023-12-27,1532,1549,1511,1528,515
2023-12-28,1530,1535,1460,1490,1273
2023-12-29,1506,1557,1494,1514,860
2024-01-03,1558,1570,1525,1556,551
2024-01-04,1531,1555,1517,1530,965
2024-01-05,1520,1545,1520,1529,212
2024-01-08,1534,1558,1523,1545,541
2024-01-09,1537,1553,1536,1552,385
2024-01-10,1552,1623,1535,1602,2268
2024-01-11,1605,1672,1580,1617,3134
2024-01-12,1603,1670,1591,1640,1835
2024-01-15,1646,1669,1613,1645,1018
2024-01-16,1646,1656,1626,1630,378
2024-01-17,1630,1635,1605,1616,689
2024-01-18,1623,1644,1585,1607,1264
2024-01-19,1607,1629,1575,1625,1523
2024-01-22,1625,1628,1589,1605,686
2024-01-23,1599,1621,1590,1610,866
2024-01-24,1602,1618,1596,1618,320
2024-01-25,1617,1617,1598,1613,1060
2024-01-26,1613,1613,1575,1575,1415
2024-01-29,1594,1594,1546,1576,2075
2024-01-30,1586,1592,1555,1568,793
2024-01-31,1568,1584,1563,1570,816
2024-02-01,1574,1641,1570,1604,5943
2024-02-02,1609,1609,1570,1591,988
2024-02-05,1595,1627,1579,1614,1758
2024-02-06,1615,1635,1590,1608,1020
2024-02-07,1608,1614,1588,1601,481
2024-02-08,1602,1605,1542,1564,956
2024-02-09,1571,1579,1543,1555,626
2024-02-12,1565,1569,1492,1560,1292
2024-02-13,1555,1564,1512,1555,975
2024-02-14,1550,1559,1530,1549,911
2024-02-15,1553,1556,1530,1553,745
2024-02-16,1553,1557,1531,1542,517
2024-02-19,1539,1540,1518,1540,643
2024-02-20,1539,1539,1470,1499,2243
2024-02-21,1499,1507,1422,1462,2177
2024-02-22,1470,1499,1448,1468,676
2024-02-26,1483,1495,1442,1487,1121
2024-02-27,1495,1527,1472,1500,1349
2024-02-28,1500,1514,1467,1484,795
2024-02-29,1495,1529,1480,1484,1224
2024-03-01,1492,1549,1437,1470,4042
2024-03-04,1473,1525,1462,1509,2911
2024-03-05,1512,1563,1481,1534,4295
2024-03-06,1559,1578,1493,1550,3366
2024-03-07,1550,1619,1550,1561,7514
2024-03-11,1573,1615,1573,1585,3164
2024-03-12,1585,1596,1546,1546,2116
2024-03-13,1540,1569,1540,1561,1526
2024-03-14,1571,1571,1541,1548,1243
2024-03-15,1555,1559,1542,1552,744
2024-03-18,1557,1565,1526,1546,1283
2024-03-19,1537,1587,1530,1540,2008
2024-03-20,1530,1555,1499,1521,1646
2024-03-21,1560,1580,1500,1534,3288
2024-03-22,1540,1540,1501,1512,1550
2024-03-25,1499,1540,1495,1517,847
2024-03-26,1530,1563,1515,1530,1149
2024-03-27,1529,1545,1514,1532,626
2024-03-28,1543,1560,1532,1537,813
2024-03-29,1582,1630,1548,1591,5627
2024-04-01,1602,1683,1590,1609,10229
