TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,6700,6740,6700,6720,10
2023-01-04,6700,6700,6640,6680,19
2023-01-05,6660,7320,6660,6980,230
2023-01-06,7020,7620,6740,6880,342
2023-01-09,6920,6980,6900,6920,28
2023-01-10,6940,7280,6940,7040,148
2023-01-11,7080,7080,6700,6900,491
2023-01-12,6960,7000,6840,6940,19
2023-01-13,6880,6920,6720,6860,32
2023-01-16,6900,6980,6900,6920,24
2023-01-17,6940,7500,6780,6860,313
2023-01-18,6900,7360,6880,6960,233
2023-01-19,7060,7080,6820,6880,90
2023-01-20,6880,6980,6880,6900,17
2023-01-23,6900,7160,6900,6920,52
2023-01-24,6920,6980,6900,6980,23
2023-01-25,6980,7120,6940,6940,23
2023-01-26,6980,8000,6920,7600,1446
2023-01-27,7320,7780,6960,7580,631
2023-01-30,7560,7560,7300,7420,24
2023-01-31,7480,7600,7400,7500,73
2023-02-01,7400,7640,7200,7380,74
2023-02-02,7280,7780,7280,7600,146
2023-02-03,7520,7600,7240,7360,67
2023-02-06,7440,7580,7300,7300,116
2023-02-07,7500,10380,7500,10380,3630
2023-02-08,11400,14520,11400,14520,2576
2023-02-09,15960,15960,10140,11500,2912
2023-02-10,11540,11540,9760,11000,300
2023-02-13,10340,11220,10340,10780,104
2023-02-14,10580,11600,10380,10600,201
2023-02-15,10620,10620,9500,10080,102
2023-02-16,9820,11060,9820,10820,176
2023-02-17,10900,10900,10420,10660,74
2023-02-20,10540,10540,9880,10340,96
2023-02-21,10420,11100,10200,10620,89
2023-02-22,10420,11180,10300,10720,50
2023-02-24,10740,11400,10720,11120,85
2023-02-27,11260,11700,10920,11140,110
2023-02-28,11280,11600,11100,11180,105
2023-03-01,11180,11260,10920,11240,77
2023-03-02,11140,11140,10900,10900,37
2023-03-03,11400,13900,11280,12140,1493
2023-03-06,12380,13000,12120,12220,273
2023-03-07,12260,12600,12240,12240,42
2023-03-09,12260,13000,12240,12480,139
2023-03-10,12480,12580,12000,12200,123
2023-03-13,12360,12360,11980,11980,69
2023-03-14,12000,12100,11980,12020,20
2023-03-15,12120,12120,11880,11880,52
2023-03-16,11820,12180,11460,11460,96
2023-03-17,11580,11860,11280,11520,167
2023-03-20,11520,11680,11260,11560,88
2023-03-21,11460,12040,11460,12000,154
2023-03-22,12020,12300,11800,12060,177
2023-03-23,12280,12300,12000,12240,56
2023-03-24,12300,12320,11900,12060,105
2023-03-27,12060,12340,12040,12280,67
2023-03-28,12140,12240,12120,12120,33
2023-03-29,12140,12140,11840,11940,99
2023-03-30,12120,12460,12020,12040,124
2023-03-31,12180,12800,11720,12680,189
2023-04-03,12280,14900,12160,13400,1010
2023-04-04,13680,16740,13680,14660,2233
2023-04-05,15220,15220,13320,14000,436
2023-04-06,14360,14420,13500,14060,137
2023-04-07,14340,14340,13500,13800,130
2023-04-10,14080,14220,13640,14040,83
2023-04-11,14140,14140,13700,13720,91
2023-04-12,13840,13860,13400,13600,122
2023-04-13,13780,13780,13400,13500,35
2023-04-14,13700,13840,13560,13620,36
2023-04-17,13600,13760,13340,13380,424
2023-04-18,13440,13500,13160,13440,155
2023-04-19,13340,13500,13000,13160,134
2023-04-20,13220,14220,12480,12980,667
2023-04-21,13020,13040,12800,12800,43
2023-04-24,12950,13250,12700,13150,68
2023-04-25,13200,13300,12950,12950,39
2023-04-26,12900,13100,12600,12900,46
2023-04-27,13000,13300,12700,12900,62
2023-04-28,12900,12950,12750,12750,27
2023-05-02,12800,13500,12600,12950,172
2023-05-03,12950,13200,12800,12800,30
2023-05-04,12900,13050,12800,12800,11
2023-05-05,12850,12850,12250,12550,49
2023-05-08,12550,12700,12500,12600,7
2023-05-10,12950,13050,12650,13050,13
2023-05-11,13150,13500,12950,12950,28
2023-05-12,12950,13000,12800,12950,16
2023-05-15,12900,13600,12700,13200,108
2023-05-16,13350,13350,12900,13000,39
2023-05-17,13100,14300,12700,13400,209
2023-05-18,13200,13650,13200,13500,84
2023-05-19,13250,13650,13200,13450,24
2023-05-22,13250,13550,13250,13500,24
2023-05-23,13500,13500,12800,13100,55
2023-05-24,13100,13300,11900,12600,197
2023-05-25,12800,13100,12600,12900,71
2023-05-26,12850,12950,12700,12700,29
2023-05-29,12700,12700,12700,12700,1
2023-05-30,12650,12850,12600,12650,11
2023-05-31,12700,12800,12400,12500,11
2023-06-01,12500,12550,12100,12450,17
2023-06-02,12450,13250,12150,12600,136
