TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,3550,3620,3530,3575,646
2023-01-04,3575,3765,3560,3595,1748
2023-01-05,3620,5030,3610,5030,55627
2023-01-06,5040,6550,4720,5055,121341
2023-01-09,5050,6050,5015,5290,27911
2023-01-10,5385,5415,4700,4925,12852
2023-01-11,4920,5170,4760,4770,4725
2023-01-12,4895,4895,4760,4830,2222
2023-01-13,4800,5090,4800,4820,5814
2023-01-16,4885,4960,4705,4805,2535
2023-01-17,4805,5070,4750,4785,5744
2023-01-18,4800,5010,4725,4870,7266
2023-01-19,4885,4895,4785,4820,1305
2023-01-20,4800,4975,4740,4835,3041
2023-01-23,4890,5200,4800,5060,9721
2023-01-24,5155,5490,5075,5415,18630
2023-01-25,5475,5490,5110,5315,5165
2023-01-26,5330,5780,5270,5415,18872
2023-01-27,5495,5495,5130,5240,2981
2023-01-30,5285,5620,5250,5420,8530
2023-01-31,5600,5600,5250,5375,3220
2023-02-01,5435,5440,5225,5260,2417
2023-02-02,5260,5370,5215,5270,1661
2023-02-03,5270,5360,5220,5285,1724
2023-02-06,5250,5375,5225,5285,1886
2023-02-07,5325,5430,5255,5310,3065
2023-02-08,5320,6400,5310,5885,52853
2023-02-09,5895,6080,5410,5555,5827
2023-02-10,5505,5550,5305,5430,2268
2023-02-13,5470,5545,5390,5490,1128
2023-02-14,5455,5510,5260,5295,1533
2023-02-15,5350,5350,4995,5000,2300
2023-02-16,5000,5295,4910,5130,2050
2023-02-17,5115,5220,4965,5035,1492
2023-02-20,4990,5255,4910,4915,2220
2023-02-21,4965,5150,4925,5060,1143
2023-02-22,5100,5100,4985,5065,467
2023-02-24,5055,5200,4995,5020,1106
2023-02-27,4990,5250,4955,5070,2063
2023-02-28,5095,5400,5085,5395,4971
2023-03-01,5410,5450,5270,5310,1713
2023-03-02,5350,5475,5185,5225,4066
2023-03-03,5300,5450,5255,5300,2288
2023-03-06,5340,5490,5300,5390,2471
2023-03-07,5390,5400,5335,5350,826
2023-03-09,5390,5550,5335,5410,4060
2023-03-10,5350,5390,5310,5325,565
2023-03-13,5385,5475,5320,5355,2319
2023-03-14,5355,5360,5300,5315,377
2023-03-15,5370,5395,5040,5225,1174
2023-03-16,5225,5265,5190,5225,571
2023-03-17,5270,5425,5225,5305,2553
2023-03-20,5340,5410,5315,5350,1495
2023-03-21,5310,5380,5310,5345,862
2023-03-22,5345,5365,5060,5300,2168
2023-03-23,5315,5400,5255,5300,947
2023-03-24,5280,5520,5280,5360,3955
2023-03-27,5350,5495,5350,5490,1760
2023-03-28,5525,5670,5375,5440,5892
2023-03-29,5440,5475,5385,5425,1314
2023-03-30,5390,5460,5385,5405,701
2023-03-31,5400,5415,5340,5360,900
2023-04-03,5320,5500,5320,5500,1409
2023-04-04,5700,7500,5530,6585,120734
2023-04-05,6545,6600,6235,6385,10165
2023-04-06,6500,6500,6265,6325,2183
2023-04-07,6370,6450,6290,6345,2158
2023-04-10,6345,6440,6305,6380,2977
2023-04-11,6445,6445,5770,6190,3872
2023-04-12,6190,6500,5940,6390,5945
2023-04-13,6295,6750,6295,6470,8693
2023-04-14,6495,6545,6315,6325,1289
2023-04-17,6380,6535,6315,6400,1687
2023-04-18,6400,6750,6400,6490,4033
2023-04-19,6535,6535,6355,6410,1740
2023-04-20,6465,6465,6260,6360,1073
2023-04-21,6325,6365,6275,6300,610
2023-04-24,6300,6365,6260,6285,1050
2023-04-25,6300,6435,6205,6270,1165
2023-04-26,6295,6445,6270,6375,1516
2023-04-27,6435,6475,6375,6380,815
2023-04-28,6380,6410,6125,6205,1189
2023-05-02,6205,6205,5470,5790,1948
2023-05-03,5785,5880,5500,5565,1049
2023-05-04,5525,6250,5515,6090,6055
2023-05-05,6080,6240,5850,5885,2227
2023-05-08,5975,6095,5915,5995,447
2023-05-10,6085,6345,5810,6190,1770
2023-05-11,6195,6215,6005,6115,1806
2023-05-12,6015,6290,5990,6000,1291
2023-05-15,6075,6075,5945,5975,816
2023-05-16,6000,6115,5950,5995,789
2023-05-17,6035,6035,5955,5995,289
2023-05-18,5995,6035,5940,6015,295
2023-05-19,5945,6030,5945,5980,270
2023-05-22,5905,5990,5905,5945,297
2023-05-23,5950,5955,5810,5890,397
2023-05-24,5905,6045,5805,6000,381
2023-05-25,6045,6045,5970,6030,202
2023-05-26,6005,6100,5970,6015,936
2023-05-29,6000,6100,5965,6000,497
2023-05-30,5985,6110,5985,6070,559
2023-05-31,6040,6070,5985,6015,322
2023-06-01,6030,6030,5975,5985,453
2023-06-02,6030,6065,5855,5975,839
2023-06-05,5920,6035,5920,5980,209
2023-06-06,5980,5980,5625,5885,383
2023-06-07,5895,6045,5880,5995,364
2023-06-08,5990,6050,5900,5980,260
2023-06-09,5975,6005,5945,6005,160
2023-06-13,6035,6395,5970,6210,2429
2023-06-14,6350,6390,6075,6100,720
2023-06-15,6125,6125,6000,6095,812
2023-06-16,6190,6190,6015,6045,529
2023-06-19,6010,6075,5990,6045,374
2023-06-20,6050,6100,5975,6035,459
2023-06-21,6005,6180,5995,6125,785
2023-06-22,6120,6520,6120,6200,4235
2023-06-23,6200,6455,6050,6290,2190
2023-06-26,6325,6440,6050,6170,2269
2023-06-27,6200,6735,6145,6345,5536
2023-06-28,6490,6625,6330,6420,1776
2023-06-29,6500,6500,6335,6440,745
2023-06-30,6405,6405,6310,6350,419
2023-07-03,6350,6515,6350,6420,753
2023-07-04,6495,6495,6300,6360,541
2023-07-05,6375,6415,6325,6335,461
2023-07-06,6335,6585,6240,6340,1194
2023-07-07,6385,6405,6305,6380,341
2023-07-10,6440,6530,6370,6450,1473
2023-07-11,6510,6530,6205,6410,1576
2023-07-12,6410,6650,6400,6505,1927
2023-07-13,6500,6530,6370,6445,434
2023-07-14,6505,6865,6455,6610,5840
2023-07-17,6610,6745,6480,6600,2041
2023-07-18,6650,6665,6525,6580,1311
2023-07-19,6680,7140,6600,6790,7883
2023-07-20,6845,6855,6555,6665,1450
2023-07-21,6640,6755,6600,6675,1677
2023-07-24,6720,7275,6695,7200,8958
2023-07-25,7275,7285,6895,7075,4545
2023-07-26,7135,7250,7015,7100,2184
2023-07-27,7100,7160,6905,7160,1522
2023-07-28,7130,7215,7030,7125,1106
2023-07-31,7200,7380,7095,7380,2221
2023-08-01,7410,7650,7290,7555,3000
2023-08-02,7665,14200,7400,12205,205290
2023-08-03,12345,13000,11105,11235,19857
2023-08-04,11675,11675,10820,11100,6286
2023-08-07,11235,11350,10885,11160,3369
2023-08-08,11240,11240,10780,10820,1636
2023-08-09,10900,11365,10755,11110,4132
2023-08-10,11110,12035,10895,11345,10299
2023-08-11,11550,13160,11230,12215,26038
2023-08-14,12530,13130,11320,11630,12653
2023-08-15,11665,12300,11000,11660,5026
2023-08-16,11760,11780,10525,11400,3285
2023-08-17,11550,12795,10855,12795,10140
2023-08-18,13400,14680,12625,13180,70162
2023-08-21,13420,13420,11950,12565,18873
2023-08-22,12585,12590,12065,12235,5692
2023-08-23,12410,12495,11780,12200,3834
2023-08-24,11835,12395,11835,12080,2451
2023-08-25,12080,12390,11920,12110,3139
2023-08-28,12190,12385,12130,12195,2198
2023-08-29,12245,12685,12130,12250,10934
2023-08-30,12375,12900,12205,12480,7348
2023-08-31,12505,12620,12210,12415,2116
2023-09-01,12485,12945,12420,12670,8080
2023-09-04,12885,13755,12795,13295,23498
