TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,7.3,7.76,7.22,7.36,2080300
2023-01-04,7.5,8.16,7.36,7.58,4969100
2023-01-05,7.6,7.68,7.38,7.46,717700
2023-01-06,7.42,7.64,7.26,7.46,839800
2023-01-09,7.5,7.86,7.34,7.62,2716400
2023-01-10,7.64,9.82,7.5,8.82,17501600
2023-01-11,8.82,9.08,7.96,8.3,5435100
2023-01-12,8.5,8.5,8.2,8.38,1347500
2023-01-13,8.42,8.7,8.3,8.4,1228300
2023-01-16,8.64,8.64,8.36,8.4,656600
2023-01-17,8.42,8.56,8.12,8.22,1723400
2023-01-18,8.22,8.38,8.12,8.3,900200
2023-01-19,8.3,8.42,8.26,8.34,608300
2023-01-20,8.34,8.5,8.26,8.28,272400
2023-01-23,8.36,8.94,8.24,8.42,3967700
2023-01-24,8.48,8.56,8.14,8.42,722100
2023-01-25,8.46,9.0,8.38,8.66,3033200
2023-01-26,8.68,8.8,8.32,8.5,1063100
2023-01-27,8.4,8.64,8.34,8.4,911100
2023-01-30,8.36,8.58,8.36,8.44,601100
2023-01-31,8.46,8.64,8.44,8.52,794800
2023-02-01,8.6,9.18,8.48,8.72,5089300
2023-02-02,8.74,8.9,8.48,8.56,1698000
2023-02-03,8.62,10.78,8.58,9.94,48411400
2023-02-06,10.5,10.98,9.88,10.14,21380000
2023-02-07,10.22,10.24,9.78,9.98,3274100
2023-02-08,10.0,10.14,9.76,9.88,1875800
2023-02-09,9.9,9.92,9.2,9.52,2487100
2023-02-10,9.54,9.56,9.26,9.38,966800
2023-02-13,9.38,9.9,9.34,9.62,2350100
2023-02-14,9.8,9.82,9.42,9.48,649300
2023-02-15,9.4,10.3,9.14,9.54,5012000
2023-02-16,9.76,9.82,8.74,9.02,3959200
2023-02-17,9.08,9.48,8.62,9.02,2826600
2023-02-20,8.98,11.18,8.98,9.5,55321800
2023-02-21,9.5,11.84,9.5,11.28,96862000
2023-02-22,11.32,11.38,10.28,10.34,18490100
2023-02-24,10.46,12.68,10.44,11.46,99039700
2023-02-27,11.64,13.48,11.56,13.46,76450800
2023-02-28,14.64,16.22,13.8,15.44,113354400
2023-03-01,15.7,15.74,14.34,14.56,26964100
2023-03-02,14.5,14.5,13.2,13.88,20207900
2023-03-03,13.9,13.9,13.36,13.5,7889500
2023-03-06,13.6,13.64,13.08,13.4,4007200
2023-03-07,13.48,14.62,13.1,13.8,40590400
2023-03-09,14.02,14.08,13.58,13.72,3383100
2023-03-10,13.62,14.1,13.4,13.6,4231000
2023-03-13,13.88,13.9,13.3,13.44,2621400
2023-03-14,13.48,13.6,12.88,13.06,5448300
2023-03-15,13.14,13.44,12.94,13.0,3015300
2023-03-16,13.04,13.04,12.7,12.84,1067200
2023-03-17,12.94,13.58,12.7,12.9,7411700
2023-03-20,12.7,12.94,12.7,12.82,1189400
2023-03-21,12.9,13.16,12.7,12.94,2405600
2023-03-22,13.2,13.36,12.84,13.08,4087900
2023-03-23,13.12,15.12,13.12,14.64,50142800
2023-03-24,14.4,15.06,13.92,14.24,9129500
2023-03-27,14.64,14.9,14.28,14.6,6231400
2023-03-28,14.9,14.9,14.26,14.48,2450000
2023-03-29,14.58,14.58,14.06,14.26,5201300
2023-03-30,14.44,14.46,14.0,14.2,4503600
2023-03-31,14.26,14.32,13.9,14.02,2609800
2023-04-03,14.36,14.7,13.9,14.7,6421000
2023-04-04,14.98,15.08,14.3,14.36,8365300
2023-04-05,14.52,15.48,14.38,14.56,30686000
2023-04-06,14.58,14.74,14.24,14.4,5880300
2023-04-07,14.66,15.54,14.34,14.5,30043200
2023-04-10,14.96,15.2,14.62,14.96,13381200
2023-04-11,15.02,15.16,14.02,14.52,7067300
2023-04-12,14.58,14.74,14.3,14.62,1768400
2023-04-13,14.62,15.06,14.5,14.58,4484100
2023-04-14,14.58,14.78,14.54,14.6,1265600
2023-04-17,14.74,14.74,14.54,14.66,1400900
2023-04-18,14.66,14.92,14.58,14.72,3966200
2023-04-19,14.76,14.88,14.02,14.4,2494400
2023-04-20,14.5,14.56,14.1,14.32,1435200
2023-04-21,14.44,14.66,14.1,14.22,2551100
2023-04-24,14.32,14.46,14.12,14.28,1480800
2023-04-25,14.42,14.42,14.1,14.18,1052700
2023-04-26,14.12,14.4,14.0,14.22,1972700
2023-04-27,14.28,14.28,14.0,14.08,1465600
2023-04-28,14.14,14.28,13.74,13.9,2494100
2023-05-02,13.86,13.94,11.52,12.62,4692800
2023-05-03,12.8,12.92,11.6,11.98,4394600
2023-05-04,11.96,13.78,11.8,12.68,9853100
2023-05-05,12.74,13.9,12.72,12.96,10576600
2023-05-08,13.16,13.22,12.54,12.62,971000
2023-05-10,12.76,13.8,12.68,13.44,6116000
2023-05-11,13.44,13.9,13.32,13.46,2432000
2023-05-12,13.3,13.52,13.1,13.14,1163400
2023-05-15,13.18,13.56,13.16,13.34,1554600
2023-05-16,13.22,13.66,12.94,13.36,3392400
2023-05-17,13.26,13.8,13.26,13.54,5382800
2023-05-18,13.58,13.64,13.3,13.48,1058700
2023-05-19,13.34,13.58,13.26,13.32,744000
2023-05-22,13.44,13.44,13.12,13.18,334100
