TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,7.68,7.77,7.67,7.76,30300
2023-01-04,7.76,7.94,7.7,7.89,76400
2023-01-05,7.89,7.94,7.76,7.85,37500
2023-01-06,7.89,7.9,7.81,7.87,38100
2023-01-09,7.83,8.1,7.81,7.94,181700
2023-01-10,7.95,8.09,7.78,7.89,94800
2023-01-11,7.9,8.4,7.88,8.16,447000
2023-01-12,8.2,8.27,8.06,8.1,88100
2023-01-13,8.16,8.3,8.01,8.25,56700
2023-01-16,8.33,8.35,7.9,8.13,196900
2023-01-17,8.03,8.12,7.94,8.04,67900
2023-01-18,7.98,8.24,7.98,8.13,48400
2023-01-19,8.13,8.13,7.9,8.1,67900
2023-01-20,8.04,8.14,7.94,8.0,106200
2023-01-23,8.07,8.07,7.91,7.98,74200
2023-01-24,8.0,8.03,7.92,7.99,39700
2023-01-25,8.0,8.17,7.77,8.01,159400
2023-01-26,7.97,8.14,7.94,7.98,69600
2023-01-27,7.98,8.93,7.96,8.46,1453700
2023-01-30,8.44,8.76,8.2,8.35,383100
2023-01-31,8.31,8.65,8.24,8.47,217700
2023-02-01,8.47,8.69,8.3,8.39,227300
2023-02-02,8.3,8.62,8.26,8.34,178000
2023-02-03,8.4,8.4,8.1,8.26,202700
2023-02-06,8.21,8.53,8.21,8.48,213800
2023-02-07,8.58,9.85,8.4,9.12,3961000
2023-02-08,9.16,9.37,8.62,9.27,1147000
2023-02-09,9.37,9.47,8.87,9.13,512500
2023-02-10,9.1,9.25,8.9,9.12,257200
2023-02-13,9.12,9.7,8.98,9.27,560200
2023-02-14,9.19,9.42,9.01,9.2,291700
2023-02-15,9.11,9.23,8.7,8.74,454200
2023-02-16,8.84,9.18,8.84,9.0,266500
2023-02-17,9.05,9.13,8.83,8.88,107500
2023-02-20,8.85,8.97,8.79,8.82,57200
2023-02-21,8.8,9.04,8.7,8.98,124800
2023-02-22,8.98,9.1,8.8,8.93,77000
2023-02-24,9.03,9.2,8.9,8.95,188300
2023-02-27,8.99,9.02,8.89,8.94,77100
2023-02-28,8.97,9.1,8.86,9.01,96200
2023-03-01,9.05,9.17,8.99,9.13,109900
2023-03-02,9.13,9.5,8.8,8.94,512700
2023-03-03,8.96,9.4,8.96,9.25,296400
2023-03-06,9.25,9.36,9.13,9.28,262100
2023-03-07,9.27,9.3,9.11,9.17,139300
2023-03-09,9.21,9.27,9.01,9.14,172000
2023-03-10,9.09,9.2,9.0,9.12,101200
2023-03-13,9.14,9.23,9.05,9.1,117800
2023-03-14,9.11,9.42,9.08,9.22,222900
2023-03-15,9.2,9.4,9.16,9.33,195100
2023-03-16,9.35,9.35,9.11,9.17,143600
2023-03-17,9.19,9.25,9.06,9.13,105600
2023-03-20,9.15,9.24,9.09,9.17,62600
2023-03-21,9.28,9.28,9.1,9.19,67200
2023-03-22,9.17,9.24,9.14,9.24,110700
2023-03-23,9.22,9.31,9.0,9.18,273100
2023-03-24,9.18,9.23,9.15,9.16,62400
2023-03-27,9.22,9.25,9.15,9.17,135600
2023-03-28,9.17,12.73,9.17,11.54,17543900
2023-03-29,11.34,12.22,10.71,11.05,3793200
2023-03-30,11.15,12.41,10.6,11.33,3448000
2023-03-31,11.48,13.02,11.39,12.2,7660900
2023-04-03,12.27,12.45,11.5,12.18,1647600
2023-04-04,12.22,12.44,11.8,11.96,864200
2023-04-05,11.96,12.04,11.6,11.83,511200
