TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.944,0.983,0.94,0.958,6729000
2023-01-04,0.965,0.965,0.951,0.957,1615000
2023-01-05,0.958,0.998,0.957,0.981,8412000
2023-01-06,0.988,1.058,0.982,1.015,13784000
2023-01-09,1.02,1.408,1.001,1.355,353386000
2023-01-10,1.383,1.636,1.272,1.304,229742000
2023-01-11,1.31,1.324,1.222,1.28,35754000
2023-01-12,1.301,1.71,1.253,1.339,472041000
2023-01-13,1.403,1.425,1.257,1.295,39919000
2023-01-16,1.316,1.44,1.31,1.337,43245000
2023-01-17,1.367,1.367,1.282,1.299,9440000
2023-01-18,1.295,1.537,1.288,1.359,150736000
2023-01-19,1.385,1.488,1.34,1.366,54710000
2023-01-20,1.38,1.42,1.318,1.347,21610000
2023-01-23,1.36,1.387,1.332,1.35,10857000
2023-01-24,1.368,1.368,1.337,1.356,10824000
2023-01-25,1.369,1.369,1.337,1.348,3844000
2023-01-26,1.349,1.352,1.306,1.326,6146000
2023-01-27,1.325,1.337,1.278,1.297,11845000
2023-01-30,1.303,1.308,1.28,1.282,6416000
2023-01-31,1.287,1.397,1.27,1.324,37652000
2023-02-01,1.33,1.334,1.303,1.32,6337000
2023-02-02,1.333,1.355,1.319,1.326,6264000
2023-02-03,1.348,1.477,1.344,1.355,117146000
2023-02-06,1.374,1.379,1.352,1.37,7552000
2023-02-07,1.374,1.398,1.356,1.368,4560000
2023-02-08,1.36,1.542,1.36,1.415,69233000
2023-02-09,1.415,1.488,1.373,1.427,23140000
2023-02-10,1.427,1.427,1.361,1.389,5250000
2023-02-13,1.375,1.411,1.375,1.397,2985000
2023-02-14,1.394,1.55,1.392,1.439,105807000
2023-02-15,1.437,1.463,1.265,1.305,19768000
2023-02-16,1.302,1.368,1.263,1.323,8767000
2023-02-17,1.337,1.4,1.322,1.337,12528000
2023-02-20,1.331,1.48,1.331,1.366,50335000
2023-02-21,1.372,1.398,1.355,1.389,8183000
2023-02-22,1.417,1.45,1.38,1.398,21163000
2023-02-24,1.4,1.577,1.392,1.443,144620000
2023-02-27,1.451,1.524,1.444,1.485,32073000
2023-02-28,1.493,1.547,1.476,1.505,31341000
2023-03-01,1.516,1.535,1.498,1.517,13263000
2023-03-02,1.517,1.684,1.471,1.556,133686000
2023-03-03,1.581,1.63,1.541,1.545,24476000
2023-03-06,1.55,1.623,1.548,1.587,28810000
2023-03-07,1.62,1.639,1.592,1.61,20527000
2023-03-09,1.627,1.627,1.575,1.591,10203000
2023-03-10,1.598,1.598,1.545,1.553,6939000
2023-03-13,1.553,1.62,1.532,1.563,12121000
2023-03-14,1.591,1.591,1.554,1.563,4157000
2023-03-15,1.576,1.578,1.511,1.536,6273000
2023-03-16,1.57,1.57,1.507,1.543,4782000
2023-03-17,1.569,1.609,1.536,1.55,21946000
2023-03-20,1.55,1.587,1.537,1.551,5728000
2023-03-21,1.56,1.573,1.535,1.543,3566000
2023-03-22,1.544,1.569,1.524,1.547,6657000
2023-03-23,1.54,1.557,1.54,1.549,2381000
2023-03-24,1.549,1.576,1.543,1.551,3025000
2023-03-27,1.56,1.599,1.546,1.592,16082000
2023-03-28,1.599,1.604,1.56,1.574,6211000
2023-03-29,1.584,1.599,1.566,1.58,5466000
2023-03-30,1.577,1.61,1.566,1.594,12629000
2023-03-31,1.6,1.609,1.56,1.574,8190000
2023-04-03,1.585,1.646,1.575,1.625,24819000
2023-04-04,1.63,1.64,1.588,1.61,12253000
2023-04-05,1.656,1.924,1.645,1.714,249382000
2023-04-06,1.722,1.726,1.651,1.685,22487000
2023-04-07,1.681,1.714,1.681,1.705,7592000
2023-04-10,1.71,1.741,1.71,1.724,8148000
2023-04-11,1.731,1.859,1.681,1.729,50059000
2023-04-12,1.728,1.847,1.7,1.777,29002000
2023-04-13,1.84,1.87,1.791,1.811,30215000
2023-04-14,1.814,1.834,1.75,1.775,8137000
2023-04-17,1.824,1.883,1.794,1.845,28112000
2023-04-18,1.845,1.854,1.806,1.843,13256000
2023-04-19,1.849,1.854,1.773,1.815,9053000
2023-04-20,1.827,1.827,1.759,1.79,6541000
2023-04-21,1.789,1.789,1.721,1.743,13175000
2023-04-24,1.761,1.761,1.74,1.741,5826000
2023-04-25,1.741,1.749,1.73,1.738,2954000
2023-04-26,1.74,1.764,1.733,1.741,3636000
2023-04-27,1.748,1.842,1.741,1.764,30024000
2023-04-28,1.786,1.786,1.7,1.714,7178000
2023-05-02,1.727,1.727,1.543,1.573,14730000
2023-05-03,1.574,1.635,1.5,1.517,13092000
2023-05-04,1.501,1.528,1.472,1.502,5093000
2023-05-05,1.559,1.559,1.487,1.518,3594000
2023-05-08,1.644,1.766,1.508,1.509,49861000
2023-05-10,1.549,1.566,1.505,1.554,8069000
2023-05-11,1.574,1.611,1.554,1.587,6782000
2023-05-12,1.588,1.588,1.54,1.561,3292000
2023-05-15,1.561,1.62,1.56,1.585,5420000
2023-05-16,1.595,1.617,1.587,1.606,3855000
2023-05-17,1.63,1.65,1.594,1.601,3773000
2023-05-18,1.615,1.615,1.581,1.585,2896000
2023-05-19,1.592,1.72,1.566,1.604,27875000
2023-05-22,1.61,1.7,1.55,1.638,13781000
2023-05-23,1.64,1.661,1.595,1.611,4139000
2023-05-24,1.562,1.613,1.562,1.598,3228000
2023-05-25,1.598,1.618,1.578,1.594,2776000
2023-05-26,1.605,1.619,1.579,1.582,1934000
2023-05-29,1.591,1.602,1.553,1.586,3177000
2023-05-30,1.557,1.588,1.557,1.571,2313000
2023-05-31,1.559,1.564,1.52,1.554,1886000
2023-06-01,1.563,1.563,1.536,1.539,862000
2023-06-02,1.539,1.585,1.525,1.566,2261000
2023-06-05,1.571,1.58,1.553,1.572,1352000
2023-06-06,1.568,1.568,1.525,1.546,2039000
2023-06-07,1.547,1.609,1.542,1.582,8407000
2023-06-08,1.576,1.606,1.561,1.597,2153000
2023-06-09,1.604,1.619,1.565,1.57,2020000
2023-06-13,1.576,1.595,1.57,1.586,1621000
2023-06-14,1.586,1.607,1.57,1.588,2252000
2023-06-15,1.588,1.698,1.588,1.62,16491000
2023-06-16,1.623,1.661,1.589,1.605,3638000
2023-06-19,1.65,1.65,1.588,1.601,2083000
2023-06-20,1.63,1.63,1.592,1.613,3131000
2023-06-21,1.628,1.628,1.592,1.623,2500000
2023-06-22,1.62,1.665,1.604,1.653,8762000
2023-06-23,1.658,1.658,1.612,1.64,3670000
2023-06-26,1.64,1.64,1.592,1.604,4672000
2023-06-27,1.612,1.647,1.607,1.617,1716000
2023-06-28,1.627,1.627,1.613,1.613,797000
2023-06-29,1.616,1.62,1.607,1.608,1027000
2023-06-30,1.68,1.68,1.608,1.61,3797000
2023-07-03,1.637,1.637,1.6,1.606,2534000
2023-07-04,1.607,1.616,1.553,1.59,3818000
2023-07-05,1.592,1.594,1.581,1.588,1167000
2023-07-06,1.589,1.646,1.585,1.608,4242000
2023-07-07,1.62,1.624,1.593,1.604,1349000
2023-07-10,1.605,1.634,1.597,1.615,1590000
2023-07-11,1.616,1.624,1.602,1.603,1193000
2023-07-12,1.612,1.637,1.61,1.629,3628000
2023-07-13,1.636,1.646,1.619,1.633,1841000
2023-07-14,1.639,1.64,1.62,1.629,1359000
