TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,2125,2285,2095,2200,55
2023-01-04,2205,2255,2195,2195,7
2023-01-05,2200,2220,2115,2150,31
2023-01-06,2165,2205,2120,2135,14
2023-01-09,2130,2190,2130,2185,48
2023-01-10,2160,2160,2150,2150,15
2023-01-11,2150,2150,2115,2145,70
2023-01-12,2115,2170,2115,2140,33
2023-01-13,2120,2125,2005,2085,91
2023-01-16,2090,2760,2090,2315,3587
2023-01-17,2350,2355,2200,2225,341
2023-01-18,2200,2310,2185,2210,211
2023-01-19,2205,3065,2205,2520,9398
2023-01-20,2585,2585,2370,2550,701
2023-01-23,2475,2900,2475,2620,1385
2023-01-24,2770,2770,2500,2625,832
2023-01-25,2665,2695,2520,2625,389
2023-01-26,2685,2685,2530,2595,264
2023-01-27,2595,2985,2530,2770,2401
2023-01-30,2800,2800,2530,2670,754
2023-01-31,2680,2800,2680,2725,269
2023-02-01,2725,2750,2660,2685,207
2023-02-02,2695,2940,2680,2850,354
2023-02-03,2840,3140,2735,2860,1967
2023-02-06,2835,3100,2835,2935,573
2023-02-07,2935,2940,2800,2875,454
2023-02-08,2930,2935,2770,2845,575
2023-02-09,2850,2910,2725,2800,546
2023-02-10,2770,2770,2680,2735,256
2023-02-13,2740,2775,2710,2720,63
2023-02-14,2715,2755,2605,2670,222
2023-02-15,2670,2670,2500,2540,219
2023-02-16,2545,2565,2525,2540,88
2023-02-17,2565,2590,2540,2540,16
2023-02-20,2540,2560,2460,2530,60
2023-02-21,2515,3030,2515,2630,1037
2023-02-22,2615,2635,2545,2600,81
2023-02-24,2630,2780,2630,2705,153
2023-02-27,2740,2945,2640,2725,506
2023-02-28,2720,2745,2720,2725,38
2023-03-01,2740,2760,2725,2735,12
2023-03-02,2725,2750,2725,2735,25
2023-03-03,2720,2750,2710,2750,21
2023-03-06,2760,2820,2710,2760,119
2023-03-07,2805,2865,2720,2780,110
2023-03-09,2745,2770,2725,2750,23
2023-03-10,2750,2865,2640,2865,249
2023-03-13,2850,2850,2755,2795,237
2023-03-14,2795,2795,2745,2745,37
2023-03-15,2745,2750,2700,2700,89
2023-03-16,2700,2725,2695,2695,19
2023-03-17,2730,2735,2665,2675,38
2023-03-20,2700,2715,2680,2710,43
2023-03-21,2725,2750,2720,2740,29
2023-03-22,2735,2810,2705,2735,65
2023-03-23,2735,2770,2735,2740,73
2023-03-24,2730,2940,2700,2905,778
2023-03-27,2855,3105,2810,2970,454
2023-03-28,2995,3190,2915,3075,1109
2023-03-29,3125,3150,2955,3005,339
2023-03-30,3010,3095,3000,3035,63
2023-03-31,3030,3030,2925,2925,198
2023-04-03,2960,3020,2940,3020,108
2023-04-04,3000,3140,2985,3105,223
2023-04-05,3150,3280,3060,3195,741
2023-04-06,3165,3210,3035,3135,586
2023-04-07,3135,3145,3020,3060,192
2023-04-10,3075,3105,3040,3100,137
2023-04-11,3110,3110,3055,3095,84
2023-04-12,3095,3195,3035,3100,197
2023-04-13,3080,3195,3040,3100,373
2023-04-14,3155,3190,3070,3145,122
2023-04-17,3165,3375,3165,3340,536
2023-04-18,3375,3380,3230,3315,206
2023-04-19,3320,3370,3185,3260,267
2023-04-20,3265,3265,3110,3210,506
2023-04-21,3155,3195,3100,3155,108
2023-04-24,3150,3200,3130,3200,107
2023-04-25,3225,3225,3090,3155,94
2023-04-26,3125,3165,3045,3140,120
2023-04-27,3115,3140,3050,3095,77
2023-04-28,3080,3140,3045,3140,84
2023-05-02,3105,3130,2915,3000,126
2023-05-03,3000,3000,2770,2800,168
2023-05-04,2785,2820,2705,2775,105
2023-05-05,2830,2925,2785,2790,82
2023-05-08,2790,2790,2780,2785,6
2023-05-10,2600,2865,2600,2855,74
2023-05-11,2865,3410,2865,3190,955
2023-05-12,3190,3195,2990,3115,308
2023-05-15,3115,3290,3050,3205,284
2023-05-16,3210,3295,3210,3280,149
2023-05-17,3260,3310,3105,3205,168
2023-05-18,3210,3215,3210,3210,103
2023-05-19,3165,3220,3160,3220,30
2023-05-22,3165,3220,3165,3215,14
2023-05-23,3200,3200,3155,3180,16
2023-05-24,3195,3270,3025,3090,225
2023-05-25,3090,3125,2970,3105,89
2023-05-26,3015,3155,3015,3115,65
2023-05-29,3110,3320,3050,3105,295
2023-05-30,3105,3230,3065,3200,122
2023-05-31,3150,3150,3020,3140,120
2023-06-01,3115,3140,2965,3025,66
2023-06-02,3060,3095,2950,3035,149
2023-06-05,3080,3785,3050,3370,1777
2023-06-06,3360,3360,3225,3265,169
2023-06-07,3275,3330,3165,3320,205
2023-06-08,3330,3455,3230,3455,377
2023-06-09,3470,3495,3205,3310,406
2023-06-13,3310,3360,3280,3350,155
2023-06-14,3355,3355,3270,3300,50
2023-06-15,3325,3340,3230,3315,26
2023-06-16,3305,3325,3270,3320,32
2023-06-19,3315,3340,3200,3295,144
2023-06-20,3295,3340,3295,3335,48
2023-06-21,3345,3700,3260,3345,2462
2023-06-22,3430,4500,3430,3715,3863
2023-06-23,3695,3695,3530,3625,627
2023-06-26,3575,3990,3560,3910,643
2023-06-27,3910,3965,3625,3795,734
2023-06-28,3880,4170,3710,3765,1246
2023-06-29,3800,3800,3660,3750,183
2023-06-30,3780,4020,3740,3805,969
2023-07-03,3865,3940,3785,3885,327
2023-07-04,3870,4005,3810,3825,363
2023-07-05,3830,3885,3750,3800,168
2023-07-06,3875,3980,3785,3835,270
2023-07-07,3805,3950,3790,3930,141
2023-07-10,3975,4095,3815,3910,475
2023-07-11,3920,4890,3920,4240,4845
2023-07-12,4265,4265,4100,4240,624
2023-07-13,4210,4630,4200,4365,964
2023-07-14,4370,4600,4275,4490,556
2023-07-17,4530,4530,4350,4475,181
2023-07-18,4500,4525,4355,4435,472
2023-07-19,4410,4460,4325,4450,126
2023-07-20,4380,4460,4340,4375,261
2023-07-21,4380,4620,4345,4470,300
2023-07-24,4475,4830,4350,4535,500
2023-07-25,4590,4750,4415,4525,454
2023-07-26,4595,4635,4560,4630,81
2023-07-27,4680,5100,4580,4795,1760
2023-07-28,4810,4950,4725,4775,252
2023-07-31,4780,4825,4725,4795,324
2023-08-01,4845,4935,4770,4860,215
2023-08-02,4870,4925,4805,4850,343
2023-08-03,4915,5195,4840,4950,843
2023-08-04,4990,4990,4750,4750,944
2023-08-07,4755,4895,4550,4845,421
2023-08-08,4830,4935,4570,4620,272
2023-08-09,4660,4890,4640,4790,265
2023-08-10,4910,5750,4755,5120,1397
2023-08-11,5120,5200,4870,5200,448
2023-08-14,5700,7155,5645,5820,3303
