TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,6.18,6.46,6.18,6.3,45890
2023-01-04,6.44,6.44,6.3,6.44,108290
2023-01-05,6.48,6.48,6.34,6.44,33460
2023-01-06,6.44,6.48,6.36,6.44,63230
2023-01-09,6.46,6.6,6.36,6.56,187280
2023-01-10,6.56,6.78,6.46,6.78,515240
2023-01-11,6.88,6.94,6.66,6.94,228460
2023-01-12,6.98,7.2,6.86,6.94,229000
2023-01-13,6.94,7.06,6.9,6.98,57090
2023-01-16,7.06,8.8,6.98,8.0,2344070
2023-01-17,8.02,8.8,8.02,8.26,1043390
2023-01-18,8.16,9.44,8.16,8.46,3708160
2023-01-19,8.54,8.74,8.32,8.44,249710
2023-01-20,8.66,8.76,8.44,8.6,266850
2023-01-23,8.76,8.8,8.46,8.48,246510
2023-01-24,8.56,8.56,8.36,8.46,81450
2023-01-25,8.5,8.5,8.02,8.24,6303270
2023-01-26,8.32,8.5,8.18,8.24,78960
2023-01-27,8.2,8.78,8.14,8.36,255480
2023-01-30,8.36,9.48,8.18,8.84,1499180
2023-01-31,8.84,9.28,8.52,8.86,792890
2023-02-01,9.2,9.22,8.82,8.98,246000
2023-02-02,9.0,9.08,8.94,9.02,80840
2023-02-03,9.18,9.2,8.86,9.02,115750
2023-02-06,9.06,9.06,8.88,8.98,119870
2023-02-07,8.92,9.0,8.7,8.94,55410
2023-02-08,8.82,9.04,8.82,9.0,165920
2023-02-09,9.04,9.1,8.98,9.04,101660
2023-02-10,9.92,11.98,9.26,9.46,3672800
2023-02-13,9.54,10.32,9.46,10.06,588000
2023-02-14,10.14,10.22,9.62,9.7,525490
2023-02-15,10.2,10.4,8.8,9.2,809650
2023-02-16,9.2,9.62,9.14,9.3,408920
2023-02-17,9.3,9.36,9.1,9.24,77870
2023-02-20,9.24,9.48,9.1,9.12,143260
2023-02-21,9.46,9.46,9.12,9.26,150360
2023-02-22,9.56,9.56,9.18,9.24,57220
2023-02-24,9.26,10.48,9.2,9.54,184060
2023-02-27,9.8,10.16,9.46,9.6,187360
2023-02-28,9.68,9.68,9.32,9.52,177290
2023-03-01,9.68,9.92,9.44,9.52,276920
2023-03-02,9.66,9.8,9.44,9.44,120760
2023-03-03,9.46,9.54,9.38,9.48,113090
2023-03-06,9.54,9.62,9.38,9.56,137710
2023-03-07,9.66,9.72,9.4,9.56,217770
2023-03-09,9.6,9.6,9.02,9.5,162630
2023-03-10,9.5,9.56,9.42,9.5,41310
2023-03-13,9.5,9.76,9.44,9.5,180060
2023-03-14,9.5,9.58,9.44,9.56,74320
2023-03-15,9.66,9.66,9.02,9.42,130240
2023-03-16,9.38,9.48,9.2,9.44,181280
2023-03-17,9.52,9.56,9.38,9.56,83020
2023-03-20,9.56,9.56,9.38,9.46,162260
2023-03-21,9.5,9.5,9.4,9.44,84300
2023-03-22,9.48,9.52,9.32,9.44,78310
2023-03-23,9.46,9.46,9.4,9.46,29190
2023-03-24,9.48,9.62,9.44,9.6,211060
2023-03-27,9.6,9.9,9.56,9.74,118530
2023-03-28,10.0,10.08,9.5,9.68,248760
2023-03-29,9.62,9.72,9.48,9.48,91200
2023-03-30,9.54,9.66,9.54,9.6,60960
2023-03-31,9.62,9.8,9.62,9.66,163900
2023-04-03,9.78,9.8,9.62,9.78,113720
2023-04-04,9.9,9.98,9.72,9.98,243180
2023-04-05,9.98,11.78,9.96,10.9,1161580
2023-04-06,10.9,12.54,10.68,11.72,2109600
2023-04-07,11.42,12.54,11.14,12.54,916230
2023-04-10,12.56,16.4,12.52,13.02,9371570
2023-04-11,13.14,13.3,12.52,12.6,1349230
2023-04-12,12.72,12.74,12.5,12.58,280400
2023-04-13,12.58,12.64,11.14,12.18,692610
2023-04-14,12.3,12.52,12.26,12.48,261190
2023-04-17,12.54,12.6,12.3,12.36,359790
2023-04-18,12.36,12.58,12.32,12.46,99730
2023-04-19,12.5,12.58,12.36,12.48,247630
2023-04-20,12.54,12.56,12.24,12.4,300470
2023-04-21,12.4,12.52,12.32,12.48,69260
2023-04-24,12.46,12.52,12.0,12.42,214720
2023-04-25,12.44,12.52,12.28,12.4,376480
2023-04-26,12.38,12.4,12.08,12.26,229040
2023-04-27,12.26,13.3,11.96,12.98,1513010
2023-04-28,13.0,13.4,11.54,12.5,2560530
2023-05-02,12.96,13.02,12.04,12.62,835600
2023-05-03,12.62,12.62,12.18,12.46,210480
2023-05-04,12.44,12.7,12.04,12.3,316780
2023-05-05,12.26,12.34,12.12,12.18,154760
2023-05-08,12.3,12.34,12.06,12.3,62680
2023-05-10,12.3,12.58,12.24,12.46,241670
2023-05-11,12.82,12.84,12.32,12.36,147720
2023-05-12,12.36,12.58,12.2,12.34,102600
2023-05-15,12.34,12.5,12.1,12.34,420560
2023-05-16,12.36,12.42,12.2,12.32,186850
2023-05-17,12.32,12.78,12.06,12.54,633680
2023-05-18,12.54,13.3,12.34,12.72,879580
2023-05-19,12.72,12.98,12.54,12.68,736790
2023-05-22,12.94,13.3,12.72,12.98,1116260
2023-05-23,12.9,13.22,12.62,12.72,506470
2023-05-24,12.74,12.96,12.4,12.6,1715750
2023-05-25,12.76,12.76,12.38,12.54,629480
2023-05-26,12.58,12.66,12.38,12.58,391480
2023-05-29,12.58,12.58,12.3,12.54,559480
2023-05-30,12.54,12.58,12.42,12.52,296400
2023-05-31,12.52,12.56,12.36,12.52,159420
2023-06-01,12.44,12.78,12.44,12.56,753430
2023-06-02,12.6,12.86,12.4,12.68,1190800
2023-06-05,12.74,13.0,12.58,12.8,2964440
2023-06-06,12.7,12.7,8.16,12.5,1110280
2023-06-07,12.38,12.66,12.38,12.56,218200
2023-06-08,12.58,12.6,12.4,12.46,219420
2023-06-09,12.46,12.68,12.36,12.5,621850
2023-06-13,12.52,12.64,12.48,12.54,262590
2023-06-14,12.54,12.58,12.4,12.52,314360
2023-06-15,12.58,12.68,12.38,12.48,677160
2023-06-16,12.52,12.6,12.48,12.54,232600
2023-06-19,12.52,12.54,12.38,12.5,291230
2023-06-20,12.5,12.58,12.36,12.44,315990
2023-06-21,12.46,12.5,12.3,12.48,220120
2023-06-22,12.48,12.58,12.42,12.54,527700
2023-06-23,12.52,12.58,12.34,12.58,330440
2023-06-26,13.18,13.18,12.12,12.5,1397990
2023-06-27,12.54,12.58,12.42,12.54,359820
2023-06-28,12.54,12.62,12.38,12.52,324220
2023-06-29,12.52,12.66,12.44,12.56,742980
2023-06-30,12.5,12.68,12.42,12.6,507390
2023-07-03,12.76,12.76,12.42,12.6,367050
2023-07-04,11.52,12.62,11.28,12.36,508450
2023-07-05,12.46,12.54,12.3,12.54,339580
2023-07-06,12.32,12.38,12.02,12.14,375410
2023-07-07,12.14,12.18,12.02,12.18,177350
2023-07-10,12.2,12.38,12.08,12.38,304420
2023-07-11,12.36,12.46,12.3,12.42,189990
2023-07-12,12.46,12.5,12.42,12.5,191510
2023-07-13,12.52,12.68,12.46,12.52,764250
2023-07-14,12.56,12.56,12.48,12.52,143290
2023-07-17,12.42,12.6,12.42,12.58,424560
2023-07-18,12.6,12.6,12.48,12.58,256830
2023-07-19,12.58,12.6,12.46,12.56,474000
2023-07-20,12.56,12.64,12.06,12.46,806700
2023-07-21,12.48,12.5,12.3,12.36,264440
2023-07-24,12.48,12.98,12.38,12.66,2341370
2023-07-25,12.8,13.76,12.54,13.0,5767920
2023-07-26,13.08,13.18,12.76,12.94,838070
2023-07-27,12.94,13.38,12.8,13.26,1309500
2023-07-28,13.4,13.6,12.92,13.06,1181450
2023-07-31,13.06,13.4,12.66,13.26,1674010
2023-08-01,13.38,13.78,12.94,13.68,2629240
2023-08-02,13.68,13.78,13.3,13.58,1822200
2023-08-03,13.6,13.8,13.4,13.78,1444100
2023-08-04,13.8,14.2,12.5,13.14,3561140
2023-08-07,13.2,13.4,13.1,13.16,815460
2023-08-08,13.14,13.2,12.72,13.18,884420
2023-08-09,13.04,13.38,12.96,13.22,784100
2023-08-10,13.3,13.48,13.14,13.46,471860
2023-08-11,13.46,13.5,13.26,13.42,274270
2023-08-14,13.42,13.42,12.94,13.04,1006330
2023-08-15,13.36,13.36,12.54,13.1,1244370
2023-08-16,12.88,13.16,12.08,12.46,1627990
2023-08-17,12.56,13.1,12.46,12.7,941130
2023-08-18,12.78,12.94,12.54,12.76,492530
2023-08-21,12.86,12.96,12.66,12.96,600370
2023-08-22,13.16,13.28,12.8,13.1,535820
2023-08-23,13.14,13.14,12.8,13.02,377310
2023-08-24,12.9,12.96,12.52,12.9,738340
2023-08-25,12.96,13.88,12.84,13.64,3219240
2023-08-28,13.8,14.1,13.5,14.1,2959110
2023-08-29,14.28,14.4,13.82,14.16,1163640
2023-08-30,14.38,15.78,13.36,15.5,8156080
2023-08-31,15.8,16.2,14.3,14.5,3938170
2023-09-01,14.6,14.64,13.6,14.2,3914920
2023-09-04,14.36,15.4,14.2,14.7,1612020
2023-09-05,15.1,15.14,14.36,14.54,1632170
2023-09-06,14.72,14.74,14.22,14.38,1141510
2023-09-07,14.38,15.0,13.86,13.98,1558550
2023-09-08,13.9,14.6,13.8,14.14,1197760
2023-09-11,14.18,14.22,13.88,14.14,695330
2023-09-12,14.1,15.0,14.02,14.5,1287420
2023-09-13,14.58,14.9,14.06,14.16,713060
2023-09-14,14.16,14.34,13.0,13.8,2455520
2023-09-15,13.8,13.88,13.4,13.74,821110
2023-09-18,13.74,13.8,13.42,13.64,493640
2023-09-19,13.64,13.64,12.84,13.1,707050
2023-09-20,13.1,13.1,12.14,12.9,2002330
2023-09-21,12.92,12.92,12.34,12.5,848420
2023-09-22,12.48,12.88,12.36,12.88,624490
2023-09-25,12.88,12.9,12.54,12.64,320330
2023-09-26,12.86,12.86,12.28,12.46,583270
2023-09-27,12.5,12.84,12.5,12.58,623870
2023-09-28,12.62,12.72,12.52,12.62,337890
2023-09-29,12.64,12.86,12.62,12.7,508680
2023-10-02,12.8,12.8,12.54,12.64,322370
2023-10-03,12.66,13.3,12.5,13.28,1523080
2023-10-04,13.44,13.52,13.06,13.1,756600
2023-10-05,13.12,13.12,12.74,12.98,346220
2023-10-06,12.98,13.14,12.48,12.58,797200
2023-10-09,12.58,12.88,12.58,12.84,263720
2023-10-10,12.86,12.86,12.64,12.78,188350
2023-10-11,12.74,12.86,12.68,12.74,141370
2023-10-12,12.7,12.78,12.52,12.66,254350
2023-10-13,12.7,12.74,12.54,12.7,159190
2023-10-16,12.7,12.86,12.6,12.78,357620
2023-10-17,12.88,14.42,12.72,13.24,2415630
2023-10-18,13.78,13.78,13.12,13.3,660090
2023-10-19,13.4,13.5,13.24,13.34,295540
2023-10-20,13.34,13.38,12.9,13.04,436660
2023-10-23,13.04,14.16,12.82,13.32,2113670
2023-10-24,13.32,13.54,13.22,13.5,451830
2023-10-25,13.56,14.0,13.48,13.96,749660
2023-10-26,14.0,14.16,13.4,13.62,1232550
2023-10-27,13.62,14.0,13.24,13.44,1012280
2023-10-30,13.5,13.86,13.5,13.66,446070
2023-10-31,13.72,13.72,13.48,13.7,369580
2023-11-01,13.7,13.72,13.38,13.6,369760
2023-11-02,13.64,13.78,13.12,13.24,979730
2023-11-03,13.38,13.58,13.18,13.5,840890
2023-11-06,13.6,14.14,13.58,14.0,746210
2023-11-07,14.06,14.1,13.46,13.66,922760
2023-11-08,13.76,13.88,13.58,13.66,295280
2023-11-09,13.7,13.74,13.1,13.4,809010
2023-11-10,13.5,13.58,13.14,13.18,337230
2023-11-13,13.18,13.42,13.14,13.2,372480
2023-11-14,13.22,13.26,12.92,13.14,515560
2023-11-15,13.14,13.2,12.96,13.06,440800
2023-11-16,13.08,13.26,13.04,13.16,224880
2023-11-17,13.16,13.36,13.02,13.3,245470
2023-11-20,13.1,13.28,13.1,13.22,120180
2023-11-21,13.22,13.3,13.08,13.12,123290
2023-11-22,13.12,13.3,13.1,13.26,378460
2023-11-23,13.22,13.26,13.0,13.08,334780
2023-11-24,13.08,13.2,12.92,13.0,307810
2023-11-27,13.16,13.16,12.82,12.9,488330
2023-11-28,12.9,12.98,12.8,12.98,122910
2023-11-29,13.0,13.0,12.6,12.62,533530
2023-11-30,12.7,12.72,12.08,12.56,701550
2023-12-01,12.62,12.8,12.1,12.54,486810
2023-12-04,12.48,12.58,12.12,12.34,501900
2023-12-05,12.32,12.36,12.1,12.3,267960
2023-12-06,12.3,12.34,12.08,12.18,291110
2023-12-07,12.3,12.34,12.08,12.24,296660
2023-12-08,12.24,12.34,12.14,12.34,231240
2023-12-11,12.36,12.52,12.28,12.48,474300
2023-12-12,12.34,12.92,12.26,12.66,536400
2023-12-13,12.8,12.82,12.46,12.74,562880
2023-12-14,12.74,13.0,12.74,12.96,244160
2023-12-15,12.96,12.96,12.5,12.7,653600
2023-12-18,12.34,12.76,12.34,12.76,628920
2023-12-19,12.76,12.82,12.22,12.42,860670
2023-12-20,12.64,12.76,12.42,12.58,198750
2023-12-21,12.58,12.7,12.44,12.62,375390
2023-12-22,12.62,12.76,12.56,12.76,231350
2023-12-25,12.74,12.76,12.52,12.6,253750
2023-12-26,12.72,12.72,12.42,12.66,303670
2023-12-27,12.66,12.8,12.52,12.7,322420
2023-12-28,12.78,12.96,12.64,12.92,415920
2023-12-29,12.92,12.96,12.74,12.92,310620
2024-01-03,12.98,13.34,12.92,13.3,341900
2024-01-04,13.38,13.42,13.3,13.34,200800
2024-01-05,13.3,13.7,13.22,13.54,363110
2024-01-08,13.56,13.58,13.22,13.48,432650
2024-01-09,13.54,13.58,13.14,13.3,290630
2024-01-10,13.3,13.44,13.2,13.24,245940
2024-01-11,13.24,13.6,13.2,13.34,283840
2024-01-12,13.44,13.84,13.42,13.68,454950
2024-01-15,13.7,14.0,13.7,13.78,305980
2024-01-16,13.98,13.98,13.68,13.88,284530
2024-01-17,13.92,13.94,13.72,13.84,199010
2024-01-18,13.84,13.9,13.74,13.74,169960
2024-01-19,13.8,13.86,13.5,13.76,336830
2024-01-22,13.76,15.1,13.7,14.92,2799050
2024-01-23,15.7,15.72,15.04,15.12,1468770
2024-01-24,15.5,15.98,15.3,15.74,1321140
2024-01-25,15.82,18.76,15.78,18.02,5083280
2024-01-26,17.58,18.48,17.02,17.44,4541060
2024-01-29,17.44,18.1,17.44,17.84,1116680
2024-01-30,17.9,17.9,16.54,17.06,1331420
2024-01-31,17.06,17.2,16.7,17.02,765850
2024-02-01,17.1,17.78,16.9,17.6,811050
2024-02-02,17.6,17.78,17.1,17.5,343630
2024-02-05,17.4,17.92,17.4,17.92,589640
2024-02-06,18.0,19.98,17.92,19.44,4836530
2024-02-07,19.44,19.44,18.3,18.68,1318760
2024-02-08,18.68,19.2,18.36,18.5,807060
2024-02-09,18.76,18.76,17.72,17.98,540330
2024-02-12,17.98,18.14,17.5,18.1,733380
2024-02-13,18.14,18.82,18.1,18.32,409870
2024-02-14,18.32,18.66,18.12,18.12,304860
2024-02-15,18.14,19.5,18.0,18.82,1386240
2024-02-16,18.82,19.06,18.2,18.48,658760
2024-02-19,18.48,18.6,18.04,18.26,458710
2024-02-20,18.3,18.96,17.76,18.6,890650
2024-02-21,18.58,18.68,17.9,18.24,1110250
2024-02-22,18.36,18.84,18.22,18.8,448150
2024-02-26,18.9,19.38,18.62,19.0,920720
2024-02-27,19.1,19.36,18.68,18.82,540560
2024-02-28,18.82,20.2,18.72,20.0,2001460
2024-02-29,20.0,20.4,19.36,19.6,1636600
2024-03-01,19.86,20.36,19.6,19.82,1002430
2024-03-04,19.84,21.8,19.72,20.7,3115240
2024-03-05,20.9,22.48,20.72,22.36,3560640
2024-03-06,22.36,23.98,21.72,23.16,4063120
2024-03-07,23.5,27.88,23.18,26.1,10988540
2024-03-11,26.4,29.24,24.3,24.3,12090440
2024-03-12,24.34,26.0,22.14,22.72,8857070
2024-03-13,22.92,23.18,21.46,21.9,4463380
2024-03-14,21.9,23.04,20.78,21.4,5992470
2024-03-15,21.02,21.66,20.44,20.98,4519180
2024-03-18,21.0,21.32,20.06,20.34,3200260
2024-03-19,20.4,23.5,20.36,22.82,14696360
2024-03-20,23.28,25.2,21.2,21.9,16247580
2024-03-21,21.98,23.2,21.04,21.42,3329220
2024-03-22,21.5,23.0,21.26,21.56,4489360
2024-03-25,21.84,21.92,20.52,20.94,2692990
2024-03-26,21.3,21.3,20.4,20.6,1488210
2024-03-27,20.6,20.66,20.32,20.4,923550
2024-03-28,20.46,20.52,19.42,19.58,3429240
2024-03-29,19.52,21.0,19.52,20.28,3531030
2024-04-01,20.38,20.46,19.82,19.96,1293300
2024-04-02,20.0,20.18,19.9,20.02,746330
2024-04-03,20.1,20.32,19.82,20.3,1122810
2024-04-04,20.5,22.28,20.32,21.86,8121720
2024-04-05,21.72,23.22,21.42,21.54,4439600
2024-04-08,21.82,22.04,21.02,21.2,1872540
2024-04-09,21.2,21.2,20.44,20.8,978960
2024-04-10,21.0,21.0,20.5,20.72,701380
2024-04-11,21.02,22.74,20.9,21.5,3815070
2024-04-12,21.8,21.8,20.92,21.4,1263870
2024-04-15,21.36,21.48,20.42,20.86,1349550
2024-04-16,20.86,20.98,20.5,20.54,940230
2024-04-17,20.78,20.78,20.5,20.58,358600
2024-04-18,20.6,20.96,20.0,20.68,1188030
2024-04-19,20.8,20.88,20.34,20.52,877220
2024-04-22,20.52,20.58,20.02,20.18,971180
2024-04-23,20.18,20.26,19.88,20.0,453260
2024-04-24,19.9,20.14,19.56,19.64,690600
2024-04-25,19.8,19.9,19.18,19.64,965560
2024-04-26,19.6,20.5,19.5,19.78,1252780
2024-04-27,19.94,20.0,19.46,19.64,1216470
2024-04-29,19.3,19.72,19.24,19.56,1219490
2024-04-30,19.62,20.3,19.34,19.72,491840
2024-05-02,20.18,20.18,19.36,19.36,458810
2024-05-03,19.38,19.72,19.26,19.26,767370
2024-05-06,19.5,19.64,19.04,19.34,1161980
2024-05-07,19.34,19.54,19.18,19.26,474930
2024-05-08,19.32,19.38,19.12,19.16,555840
2024-05-10,19.32,19.44,19.04,19.24,588950
2024-05-13,19.16,19.72,19.14,19.52,960860
2024-05-14,19.5,19.5,19.24,19.5,342670
2024-05-15,19.5,20.26,19.5,19.74,1583710
2024-05-16,19.74,21.08,19.56,20.32,3544770
2024-05-17,20.26,20.74,19.38,19.6,1970620
2024-05-20,19.6,19.72,19.26,19.44,896340
2024-05-21,19.46,19.52,19.26,19.26,729590
2024-05-22,19.26,19.56,19.26,19.46,410120
2024-05-23,19.4,19.6,19.36,19.46,120950
2024-05-24,19.46,19.58,19.2,19.34,373250
2024-05-27,19.38,19.56,18.18,18.7,682500
2024-05-28,18.76,19.14,18.24,18.74,1076210
2024-05-29,18.84,18.98,18.6,18.64,268860
2024-05-30,18.78,18.84,18.56,18.66,288310
2024-05-31,18.56,18.56,18.02,18.4,929940
2024-06-03,18.4,18.72,18.0,18.16,733690
2024-06-04,18.3,18.84,18.3,18.76,415700
2024-06-05,19.0,19.0,18.36,18.82,274180
2024-06-06,18.82,18.94,18.58,18.74,129150
2024-06-07,18.74,19.0,18.64,18.9,344810
2024-06-10,18.9,19.08,18.82,18.88,263000
2024-06-11,18.92,19.0,18.46,18.68,435680
2024-06-13,18.3,18.88,17.94,18.76,520800
2024-06-14,18.76,18.98,18.5,18.74,597630
2024-06-17,18.74,19.16,18.5,18.92,1389510
2024-06-18,19.12,19.12,18.72,18.82,612370
2024-06-19,18.8,18.9,18.54,18.7,373480
2024-06-20,18.7,19.18,18.52,19.0,850230
2024-06-21,19.12,19.28,18.78,18.8,421000
2024-06-24,18.72,19.12,18.72,18.84,307140
2024-06-25,18.86,19.16,18.84,19.14,200040
2024-06-26,19.14,19.38,18.98,19.34,347940
2024-06-27,19.34,19.46,19.26,19.38,267180
2024-06-28,19.36,19.48,19.34,19.46,127130
2024-07-01,19.4,19.5,18.98,18.98,408660
2024-07-02,19.14,19.2,18.56,18.98,585610
2024-07-03,18.98,19.58,18.78,19.16,731340
2024-07-04,19.22,19.22,18.22,18.7,367870
2024-07-05,18.7,18.7,18.12,18.38,187750
2024-07-08,18.38,18.66,17.2,17.5,657520
2024-07-09,17.82,17.82,16.0,16.48,937990
2024-07-10,16.38,16.4,15.56,15.6,671750
2024-07-11,15.56,16.3,15.56,16.22,399170
2024-07-12,16.5,16.78,15.68,15.7,515690
2024-07-15,15.82,15.88,15.24,15.24,112900
2024-07-16,15.1,15.9,14.94,15.84,431140
2024-07-17,15.98,15.98,15.7,15.74,106930
2024-07-18,15.84,16.26,15.74,16.24,195110
2024-07-19,16.24,16.88,16.24,16.82,578720
2024-07-22,17.0,17.5,16.5,16.94,419880
2024-07-23,16.94,17.02,16.52,16.72,100680
2024-07-24,16.78,16.78,16.44,16.68,63270
2024-07-25,16.72,17.48,16.32,16.42,554070
2024-07-26,16.46,16.8,15.96,16.2,382630
2024-07-29,16.06,16.34,15.58,15.9,173630
2024-07-30,15.98,16.3,15.88,16.18,75210
2024-07-31,16.28,16.28,15.9,16.08,151990
2024-08-01,16.1,17.04,16.04,17.0,500740
2024-08-02,17.0,17.22,16.54,17.1,234240
2024-08-05,16.8,17.0,15.8,16.28,257270
2024-08-06,16.2,16.54,15.58,15.96,301920
2024-08-07,16.0,16.36,15.8,16.16,117310
2024-08-08,16.1,16.3,15.94,16.3,130190
2024-08-09,16.4,16.66,16.2,16.5,98230
2024-08-12,16.64,16.88,16.38,16.58,145210
2024-08-13,16.58,16.72,16.48,16.68,95640
2024-08-14,16.7,16.86,16.5,16.52,81340
2024-08-15,16.52,16.74,16.48,16.52,73490
2024-08-16,16.52,17.38,16.2,16.3,242270
2024-08-19,16.3,16.3,15.76,15.86,116600
2024-08-20,15.88,15.92,15.6,15.78,140160
2024-08-21,15.78,15.82,15.4,15.54,146840
2024-08-22,15.54,15.64,15.4,15.42,101110
2024-08-23,15.42,15.58,15.2,15.3,116590
2024-08-26,15.32,15.7,14.78,14.78,279400
2024-08-27,14.68,14.68,13.7,13.9,758030
2024-08-28,13.96,14.22,13.38,13.66,380760
2024-08-29,13.8,13.9,13.6,13.74,105440
2024-08-30,13.7,13.7,13.06,13.16,251170
2024-09-02,13.0,13.2,12.66,13.0,374060
2024-09-03,13.18,13.64,13.02,13.58,223450
2024-09-04,13.56,13.58,13.24,13.56,128300
2024-09-05,13.54,13.9,13.48,13.64,180680
2024-09-06,13.62,13.86,13.42,13.46,90790
2024-09-09,13.58,14.08,13.54,13.8,171430
2024-09-10,13.8,14.04,13.52,13.68,252320
2024-09-11,13.74,13.92,13.6,13.68,37710
2024-09-12,13.64,13.78,13.06,13.5,160170
2024-09-13,13.62,13.64,13.4,13.52,67590
2024-09-16,13.5,14.6,13.5,14.02,223260
2024-09-17,14.06,14.28,13.92,14.14,132800
2024-09-18,14.18,14.6,14.16,14.32,100800
2024-09-19,14.36,14.36,13.32,14.3,119140
2024-09-20,14.3,14.5,14.06,14.4,75150
2024-09-23,14.44,15.3,14.4,15.1,201390
2024-09-24,15.08,15.26,15.0,15.04,92320
2024-09-25,15.06,15.16,14.72,14.78,212530
2024-09-26,14.78,14.78,14.16,14.66,67660
2024-09-27,14.68,14.78,14.4,14.46,188160
2024-09-30,14.58,14.58,14.28,14.4,86240
2024-10-01,14.42,14.62,14.2,14.48,182570
2024-10-02,14.5,14.9,14.5,14.66,139830
2024-10-03,14.66,14.8,14.16,14.3,88500
2024-10-04,14.3,14.52,14.28,14.3,36960
2024-10-07,14.48,14.48,14.04,14.1,59620
2024-10-08,14.1,14.32,14.06,14.1,48900
2024-10-09,14.08,14.14,13.78,13.86,83240
2024-10-10,13.84,14.02,13.74,13.78,73910
2024-10-11,13.8,13.86,13.54,13.64,70470
2024-10-14,13.66,13.8,13.5,13.54,142720
2024-10-15,13.58,14.1,13.58,13.98,109660
2024-10-16,14.04,14.1,13.86,13.86,28900
2024-10-17,13.86,13.98,13.66,13.8,79090
2024-10-18,13.76,13.96,13.7,13.78,23140
2024-10-21,13.8,13.86,13.6,13.6,75170
2024-10-22,13.62,13.64,13.36,13.46,45800
2024-10-23,13.5,13.62,13.24,13.36,148820
2024-10-24,13.8,13.96,13.38,13.68,146500
2024-10-25,13.52,13.98,12.72,13.38,202200
2024-10-28,13.2,13.2,12.74,12.8,245180
2024-10-29,12.8,12.8,12.06,12.44,218130
2024-10-30,12.74,12.76,11.68,12.26,1073570
2024-10-31,12.24,12.46,12.0,12.16,84090
2024-11-01,12.1,12.16,11.98,12.04,68190
2024-11-02,12.08,12.48,12.04,12.14,93720
2024-11-05,12.16,12.2,11.98,11.98,223880
2024-11-06,12.0,12.2,11.94,12.08,181310
2024-11-07,12.1,12.18,11.92,12.02,54980
2024-11-08,12.12,12.48,12.04,12.04,91150
2024-11-11,12.12,12.68,12.1,12.66,524830
2024-11-12,12.68,13.44,12.42,13.12,226890
2024-11-13,13.08,13.34,12.72,13.1,148870
2024-11-14,13.06,13.2,12.5,12.6,320820
2024-11-15,12.64,13.08,12.5,12.72,80280
2024-11-18,12.68,12.68,12.38,12.5,79660
2024-11-19,12.54,12.56,12.2,12.22,92620
2024-11-20,12.2,12.56,12.1,12.32,143530
2024-11-21,12.34,13.12,12.34,12.68,315200
2024-11-22,12.72,13.08,12.32,12.42,280830
2024-11-25,12.44,12.68,12.12,12.24,113090
2024-11-26,12.26,12.36,11.88,12.08,193740
2024-11-27,12.08,12.08,11.0,11.92,202040
2024-11-28,11.9,12.2,11.9,12.04,47460
2024-11-29,12.04,12.2,12.02,12.12,53070
2024-12-02,12.12,12.46,12.12,12.3,84900
2024-12-03,12.3,12.32,12.16,12.2,37570
2024-12-04,12.2,12.2,12.02,12.08,67090
2024-12-05,12.1,12.2,11.9,12.12,87810
2024-12-06,12.14,12.18,11.84,12.18,85580
2024-12-09,12.16,12.88,12.02,12.06,94240
2024-12-10,12.06,12.08,11.8,11.92,89750
2024-12-11,11.94,12.0,11.84,11.96,61070
2024-12-12,11.96,12.04,11.62,11.66,122230
2024-12-13,11.68,11.86,11.52,11.56,71350
2024-12-16,11.56,11.56,11.0,11.0,307140
2024-12-17,11.0,11.12,10.94,10.98,74450
