TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,377.0,383.0,374.0,380.0,117607
2023-01-04,379.5,382.5,377.0,379.0,39845
2023-01-05,379.0,381.0,375.0,377.0,48139
2023-01-06,375.0,378.0,375.0,377.0,24936
2023-01-09,379.0,397.5,377.0,389.0,216270
2023-01-10,390.0,394.5,383.0,391.5,127466
2023-01-11,395.5,409.0,391.0,403.5,199093
2023-01-12,404.0,408.0,398.5,404.5,147689
2023-01-13,409.0,416.0,405.5,412.0,225184
2023-01-16,416.0,419.0,407.5,416.0,249319
2023-01-17,417.0,422.0,403.5,405.5,259471
2023-01-18,404.5,416.5,400.0,409.0,192865
2023-01-19,410.0,416.5,400.0,406.0,281321
2023-01-20,408.5,416.0,406.5,413.0,129234
2023-01-23,416.0,424.0,412.0,422.0,160011
2023-01-24,423.5,425.0,409.5,416.5,113736
2023-01-25,416.0,418.0,410.5,417.0,61685
2023-01-26,418.0,418.5,410.0,416.5,96267
2023-01-27,414.5,423.0,414.0,417.5,119813
2023-01-30,419.0,421.5,413.0,419.5,87611
2023-01-31,419.0,424.5,417.0,424.5,105574
2023-02-01,426.0,429.5,421.0,427.5,152318
2023-02-02,428.0,428.0,424.0,426.0,72416
2023-02-03,426.0,426.0,416.0,419.0,140769
2023-02-06,424.0,428.5,411.0,420.5,270406
2023-02-07,422.0,422.0,415.0,419.5,139058
2023-02-08,419.5,420.0,404.0,416.5,284149
2023-02-09,416.5,422.0,412.5,417.5,132046
2023-02-10,417.5,417.5,415.0,416.5,48311
2023-02-13,415.5,419.5,413.5,415.0,87691
2023-02-14,415.5,416.0,402.0,405.0,159084
2023-02-15,405.0,405.0,377.0,383.0,751698
2023-02-16,390.0,391.0,382.5,387.5,206573
2023-02-17,389.0,389.0,382.0,386.0,130306
2023-02-20,386.5,394.5,378.5,392.0,165941
2023-02-21,394.0,398.5,390.0,394.5,235914
2023-02-22,393.0,395.0,389.5,390.0,66137
2023-02-24,391.5,393.0,387.0,389.5,62481
2023-02-27,388.0,393.0,385.0,392.5,103329
2023-02-28,392.0,395.0,388.0,393.5,141744
2023-03-01,395.0,404.5,392.0,403.0,342167
2023-03-02,403.0,412.5,392.0,399.5,564426
2023-03-03,400.0,403.5,398.0,403.0,119230
2023-03-06,403.5,412.0,403.5,409.5,162823
2023-03-07,413.5,413.5,404.0,406.5,129263
2023-03-09,408.0,408.0,401.0,404.0,98170
2023-03-10,404.0,406.0,400.0,402.5,123405
2023-03-13,402.5,408.0,397.0,401.5,226066
2023-03-14,401.0,403.0,398.0,400.5,161177
2023-03-15,401.5,401.5,391.5,394.0,149714
2023-03-16,394.0,397.0,386.0,394.0,154192
2023-03-17,395.5,401.0,392.5,400.0,175866
2023-03-20,401.0,410.0,397.0,405.0,311174
2023-03-21,406.0,408.0,401.5,404.0,188776
2023-03-22,405.0,409.5,401.5,405.5,135288
2023-03-23,408.0,415.0,401.0,405.0,311190
2023-03-24,405.0,414.0,404.0,411.5,269861
2023-03-27,413.0,418.5,409.0,415.5,297320
2023-03-28,415.5,417.0,407.0,410.5,172415
2023-03-29,411.5,423.0,408.0,420.0,368926
2023-03-30,421.0,444.5,421.0,442.0,966773
2023-03-31,442.5,444.5,420.5,434.0,434658
2023-04-03,435.0,437.5,426.5,434.5,230852
2023-04-04,434.5,437.0,430.0,431.0,227946
2023-04-05,430.0,453.0,426.0,446.0,651151
2023-04-06,449.0,479.0,446.0,473.0,943546
2023-04-07,480.0,480.0,460.5,467.5,472161
2023-04-10,467.0,480.0,466.5,478.0,363885
2023-04-11,480.0,483.5,456.0,465.0,468467
2023-04-12,466.5,469.0,454.0,460.0,295889
2023-04-13,461.5,465.0,457.0,460.0,222427
2023-04-14,462.0,462.0,453.0,461.0,138331
2023-04-17,462.0,479.0,461.0,477.5,232405
2023-04-18,477.0,485.0,470.0,484.0,398131
2023-04-19,484.0,495.0,472.0,480.5,540784
2023-04-20,485.5,485.5,470.0,477.0,211014
2023-04-21,480.0,480.0,471.5,474.5,108687
2023-04-24,472.5,482.0,470.5,478.0,139308
2023-04-25,480.0,480.0,471.5,475.5,161134
2023-04-26,475.5,482.0,471.0,472.0,138339
2023-04-27,473.5,475.5,463.5,474.0,312932
2023-04-28,475.5,478.0,460.0,461.0,207927
2023-05-02,456.0,459.5,438.0,442.5,471796
2023-05-03,442.5,443.5,416.5,419.0,353999
2023-05-04,420.0,445.0,419.5,441.5,395495
2023-05-05,441.0,446.5,432.5,435.0,193344
2023-05-08,435.0,439.5,430.0,432.0,35855
2023-05-10,434.0,459.5,432.5,456.0,273300
2023-05-11,457.5,466.0,437.5,447.0,219508
2023-05-12,450.0,450.5,440.0,448.5,97973
2023-05-15,448.5,460.0,448.5,460.0,106243
2023-05-16,462.0,465.0,451.8,458.2,122387
2023-05-17,456.4,466.0,455.0,463.0,180720
2023-05-18,465.0,466.0,452.6,457.6,148314
2023-05-19,454.4,458.6,444.0,454.8,106358
2023-05-22,457.0,468.6,448.0,454.4,189658
2023-05-23,454.6,460.4,449.0,457.8,85471
2023-05-24,460.0,468.0,442.4,444.8,289820
2023-05-25,444.8,449.6,435.6,440.0,264139
2023-05-26,441.2,442.4,437.0,438.8,136010
2023-05-29,440.4,447.8,439.0,446.8,220054
2023-05-30,445.8,446.2,435.0,438.4,249344
2023-05-31,442.8,442.8,432.4,436.2,126862
2023-06-01,438.0,438.0,430.4,435.8,109048
2023-06-02,436.4,443.8,432.0,442.6,254362
2023-06-05,444.0,452.0,437.6,441.0,305955
2023-06-06,437.0,442.8,432.8,441.2,143757
2023-06-07,442.2,453.6,438.0,451.4,237437
2023-06-08,453.0,453.4,445.0,452.2,217416
2023-06-09,454.0,455.8,444.2,446.8,152524
2023-06-13,446.8,465.0,446.4,462.0,323430
2023-06-14,465.0,469.4,456.2,460.0,305181
2023-06-15,460.0,475.8,459.4,471.4,478911
2023-06-16,474.6,476.6,461.0,464.8,259829
2023-06-19,464.8,475.0,462.2,472.0,313861
2023-06-20,473.0,473.0,434.0,467.8,421648
2023-06-21,469.0,496.2,468.4,494.0,1082378
2023-06-22,494.0,494.0,465.2,478.4,534924
2023-06-23,470.0,479.6,457.0,457.6,413850
2023-06-26,465.0,472.4,445.6,459.6,554919
2023-06-27,460.0,467.0,455.6,464.2,178841
2023-06-28,465.0,471.6,458.4,461.8,186719
2023-06-29,463.2,464.8,458.0,460.2,195419
2023-06-30,460.2,469.6,460.0,463.0,410769
2023-07-03,462.0,487.0,462.0,479.4,575767
2023-07-04,480.2,486.2,472.0,475.6,309855
2023-07-05,478.8,500.0,478.8,496.6,1253472
2023-07-06,498.6,504.2,481.0,488.4,720081
