TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,33.68,34.38,33.68,34.23,1191000
2023-01-04,34.43,34.43,34.01,34.09,476400
2023-01-05,34.09,34.19,33.75,33.87,525900
2023-01-06,33.82,34.14,33.8,33.91,546400
2023-01-09,33.91,35.1,33.91,34.92,2832700
2023-01-10,34.91,35.75,34.64,35.15,2236000
2023-01-11,34.55,34.79,33.06,34.09,5151100
2023-01-12,34.1,34.18,33.5,33.79,1443600
2023-01-13,33.79,33.95,33.76,33.8,1007800
2023-01-16,33.95,34.12,33.71,33.94,1902800
2023-01-17,33.97,36.15,33.97,34.63,8719700
2023-01-18,34.9,35.4,34.01,34.7,3532400
2023-01-19,34.7,34.87,33.91,34.04,1757000
2023-01-20,34.27,34.57,33.85,34.01,805800
2023-01-23,34.09,34.5,33.81,34.13,1127800
2023-01-24,34.21,34.35,34.05,34.06,539500
2023-01-25,34.05,34.09,33.85,33.92,486800
2023-01-26,33.88,34.09,33.87,33.89,399900
2023-01-27,33.95,34.2,33.3,33.85,1225300
2023-01-30,33.88,34.07,33.2,33.6,2168400
2023-01-31,33.97,34.19,33.6,33.91,1478300
2023-02-01,33.91,34.29,33.91,34.07,1249100
2023-02-02,34.23,34.24,33.89,34.06,768300
2023-02-03,34.13,34.77,34.08,34.29,1739000
2023-02-06,34.39,34.41,34.01,34.16,897200
2023-02-07,34.23,34.3,34.03,34.09,920900
2023-02-08,34.1,34.33,33.89,33.94,1165000
2023-02-09,33.95,34.07,33.69,33.8,617700
2023-02-10,34.17,34.17,33.75,33.91,608500
2023-02-13,34.05,34.7,33.9,34.09,1871700
2023-02-14,34.03,34.12,32.61,33.34,2206900
2023-02-15,33.34,33.34,32.2,32.28,1743700
2023-02-16,32.35,32.91,32.25,32.48,790000
2023-02-17,32.97,32.97,31.77,32.55,918200
2023-02-20,32.5,32.86,32.0,32.76,763500
2023-02-21,32.77,33.89,32.66,33.1,1483100
2023-02-22,33.2,33.51,32.88,33.25,712300
2023-02-24,33.17,33.55,33.03,33.39,464300
2023-02-27,33.39,33.7,33.22,33.68,636100
2023-02-28,33.76,33.98,33.55,33.84,729200
2023-03-01,33.84,34.02,33.69,33.75,522200
2023-03-02,33.8,33.8,32.91,33.35,1301000
2023-03-03,33.8,33.94,33.5,33.72,439700
2023-03-06,33.78,34.39,33.74,34.05,1741600
2023-03-07,34.3,35.5,34.04,34.72,4144300
2023-03-09,34.98,35.48,34.4,34.96,2090200
2023-03-10,34.81,35.0,34.47,34.58,1304800
2023-03-13,34.58,35.58,34.06,35.1,3758500
2023-03-14,35.1,35.15,34.6,34.88,1369800
2023-03-15,34.99,35.49,34.42,35.23,2530100
2023-03-16,35.29,35.29,34.5,34.93,856600
2023-03-17,34.95,35.45,34.9,35.28,2337900
2023-03-20,35.5,36.78,35.41,36.37,4612000
2023-03-21,36.68,37.0,35.62,36.5,3067600
2023-03-22,36.5,36.5,35.81,36.17,1346900
2023-03-23,36.27,37.19,36.1,37.13,2173500
2023-03-24,37.19,37.3,36.6,37.08,1356700
2023-03-27,37.13,37.88,37.1,37.75,2143700
2023-03-28,37.75,37.85,36.71,37.38,1632100
2023-03-29,37.23,37.76,37.2,37.73,1195000
2023-03-30,37.73,37.78,37.35,37.59,1218300
2023-03-31,37.58,37.65,36.7,37.05,1876100
2023-04-03,37.14,37.57,37.0,37.5,1254900
2023-04-04,37.5,37.67,36.87,37.14,1469100
2023-04-05,37.14,37.59,36.29,37.57,2514700
2023-04-06,37.65,37.72,37.11,37.16,999000
2023-04-07,37.08,50.14,37.04,48.0,127742100
2023-04-10,48.4,51.42,45.59,46.13,42150700
2023-04-11,46.2,46.34,43.21,44.51,10982500
2023-04-12,44.54,46.42,44.05,45.39,8464500
2023-04-13,45.5,45.69,43.63,44.19,4229300
2023-04-14,44.0,44.19,43.31,43.83,1800400
2023-04-17,44.15,46.97,43.85,45.8,6741800
2023-04-18,46.08,46.08,43.89,45.43,9239800
2023-04-19,45.7,49.76,45.5,47.8,31282300
2023-04-20,48.0,48.73,46.56,47.41,4427800
2023-04-21,47.56,48.72,46.6,48.38,3703200
2023-04-24,48.38,50.65,47.39,49.17,13704400
2023-04-25,49.48,50.59,49.0,49.95,7170700
2023-04-26,50.1,51.2,47.7,49.62,6793300
2023-04-27,49.8,49.85,48.47,49.45,3488000
2023-04-28,49.65,49.71,48.09,48.37,2422200
2023-05-02,48.59,49.0,44.1,46.95,3444800
2023-05-03,46.95,47.15,44.2,46.38,4179300
2023-05-04,46.24,47.18,45.56,46.3,3016900
2023-05-05,46.3,46.31,44.94,45.42,1579500
2023-05-08,45.2,46.25,44.74,45.08,1166900
2023-05-10,45.24,48.29,44.2,48.05,3257700
2023-05-11,48.2,49.49,45.9,47.52,5343100
2023-05-12,47.8,48.24,46.5,47.38,1767900
2023-05-15,47.48,49.4,47.45,48.61,4506200
2023-05-16,48.85,48.91,47.06,48.33,1842500
2023-05-17,48.3,49.17,47.55,49.17,3899400
2023-05-18,49.23,49.38,47.76,48.81,2894900
2023-05-19,48.49,48.49,47.58,48.06,2574700
2023-05-22,48.49,48.84,47.77,48.16,2113600
2023-05-23,48.3,54.45,48.2,54.3,21925400
2023-05-24,54.87,56.75,52.1,54.38,18990400
2023-05-25,54.25,54.99,52.53,53.55,6244100
2023-05-26,54.0,55.37,53.03,54.4,8303400
2023-05-29,55.0,57.29,54.64,56.92,11079500
2023-05-30,55.09,59.9,54.1,55.85,20622700
2023-05-31,55.65,62.18,54.73,61.57,30695400
2023-06-01,61.7,64.5,61.7,62.5,24357400
2023-06-02,62.6,65.45,62.12,63.93,15584600
2023-06-05,65.36,65.36,59.12,60.44,14566000
2023-06-06,60.05,63.5,57.33,63.39,12248300
2023-06-07,63.45,64.5,61.6,62.62,4730900
2023-06-08,62.94,63.17,60.55,61.69,4112500
2023-06-09,61.82,62.25,61.01,61.18,2330600
2023-06-13,61.78,64.86,61.5,64.86,6278500
2023-06-14,64.8,66.0,63.5,64.95,6301600
2023-06-15,65.01,65.21,63.02,63.85,4334700
2023-06-16,63.99,64.8,63.06,63.17,3383900
2023-06-19,63.17,63.8,62.25,62.91,2523100
2023-06-20,63.15,63.15,61.0,62.32,3792400
2023-06-21,62.84,65.47,62.4,65.27,6704800
2023-06-22,65.51,69.08,65.51,67.02,18853100
2023-06-23,67.0,68.25,63.1,65.36,7677600
2023-06-26,66.7,67.5,62.5,65.28,7397400
2023-06-27,65.99,67.72,64.4,66.9,3792800
2023-06-28,67.16,67.47,66.09,66.6,2519600
2023-06-29,66.82,67.27,65.8,67.15,2850300
2023-06-30,67.49,68.16,66.07,66.25,2963100
2023-07-03,66.49,67.07,64.65,65.71,3063800
2023-07-04,66.09,66.4,64.78,65.31,2501000
2023-07-05,65.44,67.0,65.44,66.94,2146000
2023-07-06,66.95,67.0,65.86,66.04,1487400
2023-07-07,66.1,66.18,65.29,65.62,1225600
2023-07-10,65.62,67.4,65.4,66.87,3710900
2023-07-11,67.07,69.21,66.8,68.76,8820000
2023-07-12,69.0,69.91,68.3,69.08,6587800
2023-07-13,69.38,69.38,67.7,68.38,2701400
2023-07-14,68.19,68.89,67.9,68.72,2194100
2023-07-17,68.38,72.0,68.01,71.41,10207800
2023-07-18,71.4,72.28,70.97,71.2,4620700
2023-07-19,71.44,71.92,70.12,70.84,2771600
2023-07-20,70.84,71.5,69.54,70.13,3576600
2023-07-21,70.5,74.6,70.13,73.5,10425700
2023-07-24,74.0,79.36,73.52,77.89,13637900
2023-07-25,78.47,79.12,76.66,78.5,6130600
2023-07-26,78.95,78.95,76.55,77.59,4703100
2023-07-27,78.06,79.1,77.59,78.5,4761800
2023-07-28,78.54,78.55,77.8,78.25,2680800
2023-07-31,78.72,88.38,78.7,88.1,23205800
2023-08-01,88.25,100.5,86.02,99.94,39434900
2023-08-02,100.1,129.39,99.18,121.4,108733000
2023-08-03,122.05,125.0,111.3,115.94,32398900
2023-08-04,116.1,117.74,108.03,112.4,13791400
2023-08-07,112.4,119.22,112.0,115.82,20973300
2023-08-08,115.99,115.99,108.2,112.87,10151400
2023-08-09,113.49,113.49,110.61,111.77,4333500
2023-08-10,111.8,113.29,110.2,111.48,4218800
2023-08-11,111.21,118.2,111.2,116.97,14445700
2023-08-14,117.74,118.67,109.88,111.18,11075200
2023-08-15,110.96,114.5,108.36,111.06,5123100
2023-08-16,111.0,111.77,101.02,107.81,15706600
2023-08-17,112.08,115.6,109.38,113.05,16112900
2023-08-18,113.38,114.43,111.1,113.4,5623100
2023-08-21,113.41,117.4,113.41,116.5,10454400
2023-08-22,117.03,118.79,114.39,115.79,9423900
2023-08-23,116.2,116.31,111.0,111.87,7456200
2023-08-24,112.31,114.51,111.81,114.22,2870700
2023-08-25,114.4,114.4,112.03,112.74,6505100
2023-08-28,112.9,113.48,111.29,112.4,7833300
2023-08-29,112.4,112.76,110.5,112.38,8630800
2023-08-30,112.8,112.97,110.0,110.94,4758000
2023-08-31,110.7,111.19,108.33,109.44,6054100
2023-09-01,109.83,112.1,108.12,111.09,11922800
2023-09-04,112.49,112.97,110.2,111.72,12696200
2023-09-05,111.8,111.94,109.57,110.26,7360500
2023-09-06,110.75,111.79,108.68,111.2,9439800
2023-09-07,112.34,112.37,106.0,108.39,12728500
2023-09-08,108.5,109.76,105.34,109.69,6298100
2023-09-11,112.0,114.0,109.24,109.98,14202300
2023-09-12,112.3,113.5,108.31,112.98,13138500
2023-09-13,113.5,113.5,109.7,110.17,5571500
2023-09-14,110.1,110.1,86.53,103.1,28014600
2023-09-15,101.9,106.0,97.46,105.37,8616300
2023-09-18,106.0,106.25,99.91,102.14,9220300
2023-09-19,101.41,101.65,94.9,95.6,13427800
2023-09-20,95.44,99.0,88.8,94.13,20396200
2023-09-21,93.59,95.44,90.51,90.87,7345200
2023-09-22,91.5,97.44,89.44,96.1,7815500
2023-09-25,96.6,99.0,93.81,97.78,9208700
2023-09-26,98.15,98.37,95.38,96.37,4244400
2023-09-27,96.46,100.92,96.1,98.75,10757900
2023-09-28,98.82,104.99,98.75,104.96,12626600
2023-09-29,105.0,105.75,102.0,103.7,6642100
2023-10-02,104.0,104.62,99.55,100.12,6780300
2023-10-03,99.7,102.82,97.21,100.03,6487100
2023-10-04,99.51,104.18,99.25,99.88,12090500
2023-10-05,100.74,101.05,98.92,99.55,2274100
2023-10-06,99.55,99.78,97.24,98.5,4320500
2023-10-09,98.21,99.52,97.54,98.05,3626000
2023-10-10,98.0,98.05,96.45,97.97,2478300
2023-10-11,98.18,98.18,95.06,95.99,2543800
2023-10-12,95.3,96.66,93.86,94.7,2675300
2023-10-13,94.7,96.37,94.7,95.38,2654400
2023-10-16,95.73,97.56,95.08,96.8,2561900
2023-10-17,97.2,99.74,96.43,99.71,8389200
2023-10-18,100.63,100.9,97.02,97.89,4926400
2023-10-19,98.0,98.0,96.51,96.58,2545400
2023-10-20,96.77,96.9,94.99,95.62,2734600
2023-10-23,96.6,97.27,94.54,95.01,2007100
2023-10-24,95.21,96.47,95.01,95.44,2050200
