TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,79.3,82.0,79.3,80.15,389
2023-01-04,80.7,80.7,80.2,80.3,118
2023-01-05,80.3,80.8,79.8,80.25,186
2023-01-06,80.5,80.5,79.65,80.0,311
2023-01-09,79.9,81.9,79.9,81.45,1282
2023-01-10,80.35,81.7,80.0,81.5,310
2023-01-11,81.35,81.65,81.05,81.55,347
2023-01-12,81.55,82.15,65.0,77.7,26268
2023-01-13,77.9,78.15,76.3,77.6,2901
2023-01-16,77.85,78.95,77.5,78.25,1734
2023-01-17,79.05,79.05,77.8,77.8,426
2023-01-18,77.85,78.1,77.35,77.7,733
2023-01-19,77.8,78.0,75.55,76.85,1125
2023-01-20,76.85,77.5,76.25,77.45,319
2023-01-23,77.35,77.55,76.45,77.1,654
2023-01-24,77.3,77.4,76.5,77.15,499
2023-01-25,77.1,77.3,76.8,77.1,189
2023-01-26,77.05,85.0,77.05,80.15,11799
2023-01-27,80.85,83.4,80.0,81.0,6798
2023-01-30,82.85,86.0,81.0,83.8,4878
2023-01-31,85.25,86.0,81.4,82.7,2906
2023-02-01,83.2,84.1,81.6,81.8,2146
2023-02-02,83.55,83.55,81.6,82.05,504
2023-02-03,82.05,83.2,81.6,82.05,495
2023-02-06,81.65,83.0,81.6,82.25,605
2023-02-07,82.0,83.0,82.0,82.95,522
2023-02-08,82.95,83.85,82.0,82.75,710
2023-02-09,84.95,84.95,81.8,83.05,655
2023-02-10,82.75,83.9,82.35,82.85,923
2023-02-13,82.5,83.5,82.45,83.0,249
2023-02-14,82.9,82.9,81.3,81.75,829
2023-02-15,81.25,81.7,81.0,81.0,1132
2023-02-16,81.0,82.3,80.9,81.0,908
2023-02-17,80.65,81.3,80.6,81.3,429
2023-02-20,81.0,82.9,80.25,80.65,575
2023-02-21,80.9,82.5,80.8,81.5,426
2023-02-22,81.8,81.8,81.55,81.8,254
2023-02-24,81.8,82.9,81.8,82.4,286
2023-02-27,81.6,82.1,81.0,82.0,469
2023-02-28,82.2,82.4,81.15,82.35,1137
2023-03-01,82.5,82.5,81.25,82.15,346
2023-03-02,81.9,82.8,81.35,81.95,926
2023-03-03,82.4,82.8,81.95,82.8,618
2023-03-06,82.8,84.4,82.7,83.9,1013
2023-03-07,84.9,84.9,83.5,83.9,808
2023-03-09,83.9,84.3,83.2,83.2,394
2023-03-10,83.15,84.5,83.1,84.15,555
2023-03-13,83.95,84.55,83.65,84.05,457
2023-03-14,84.0,84.2,83.7,84.0,318
2023-03-15,83.55,84.25,82.55,83.5,300
2023-03-16,83.95,84.3,82.7,82.8,772
2023-03-17,82.8,84.1,82.55,83.55,1062
2023-03-20,83.85,85.7,82.8,85.15,2024
2023-03-21,85.85,85.9,84.5,85.9,895
2023-03-22,87.0,87.0,85.4,86.65,938
2023-03-23,86.3,86.9,85.45,85.8,1192
2023-03-24,85.8,85.85,85.0,85.65,655
2023-03-27,85.4,86.2,84.6,85.5,796
2023-03-28,85.5,86.1,85.0,85.3,248
2023-03-29,85.35,85.8,84.0,85.1,525
2023-03-30,85.15,85.5,84.6,84.9,520
2023-03-31,85.0,86.2,84.6,85.1,1090
2023-04-03,85.35,88.8,85.2,87.55,2509
2023-04-04,87.95,88.0,86.25,87.35,738
2023-04-05,86.7,86.9,85.45,86.75,690
2023-04-06,86.5,87.4,85.2,86.6,1048
2023-04-07,86.65,92.0,86.45,90.95,4753
2023-04-10,90.9,91.7,90.5,91.4,801
2023-04-11,91.5,93.0,91.1,91.25,3177
2023-04-12,93.05,93.05,89.2,91.35,1439
2023-04-13,91.35,91.95,90.3,91.8,461
2023-04-14,91.95,92.7,90.2,91.5,1164
2023-04-17,91.55,91.8,90.5,90.95,906
2023-04-18,91.0,91.0,90.2,90.75,683
2023-04-19,90.95,91.0,90.0,90.6,973
2023-04-20,90.95,91.0,89.8,90.15,325
2023-04-21,90.2,90.75,89.7,89.95,544
2023-04-24,90.65,91.0,90.15,90.8,413
2023-04-25,90.95,91.0,90.55,90.6,256
2023-04-26,90.55,91.5,90.55,90.55,1582
2023-04-27,90.55,92.9,90.55,91.75,1295
2023-04-28,91.85,92.75,91.05,91.4,1131
2023-05-02,92.0,92.55,90.0,90.6,3751
2023-05-03,89.65,92.7,88.3,89.25,1355
2023-05-04,89.25,89.75,88.3,89.3,342
2023-05-05,89.3,90.3,87.1,88.35,1683
2023-05-08,89.8,91.0,87.0,87.65,1959
2023-05-10,87.85,89.05,87.65,89.0,479
2023-05-11,89.0,90.05,88.15,88.75,809
2023-05-12,89.85,89.9,87.8,88.1,880
2023-05-15,87.9,88.7,87.25,88.5,808
2023-05-16,89.65,89.65,88.1,89.2,395
2023-05-17,89.2,89.5,88.7,89.3,330
2023-05-18,89.45,89.5,87.8,89.1,661
2023-05-19,90.0,94.45,88.35,93.1,3319
2023-05-22,96.0,106.0,91.1,97.2,12473
2023-05-23,97.45,97.45,91.15,92.25,5265
2023-05-24,94.8,94.8,89.75,92.2,1053
2023-05-25,92.3,92.3,87.1,91.55,2079
2023-05-26,91.55,92.8,90.3,91.1,1895
2023-05-29,91.6,98.75,91.1,95.0,3693
2023-05-30,94.9,97.0,92.5,93.2,2082
2023-05-31,93.2,95.5,93.2,94.8,908
2023-06-01,95.2,95.2,90.5,93.75,639
2023-06-02,94.7,95.1,93.75,94.6,345
2023-06-05,95.2,96.6,93.2,93.85,2838
2023-06-06,92.8,92.9,91.0,92.2,1137
2023-06-07,93.75,99.0,92.0,93.15,1168
2023-06-08,93.1,93.5,92.75,93.1,308
2023-06-09,93.5,93.65,90.0,91.9,1877
2023-06-13,91.95,94.95,91.75,94.8,1919
2023-06-14,95.0,96.8,93.35,94.95,848
2023-06-15,96.3,96.95,94.95,95.3,332
2023-06-16,95.5,95.95,94.5,94.6,519
2023-06-19,95.9,95.9,94.85,95.2,327
2023-06-20,95.65,95.65,94.3,94.4,545
2023-06-21,94.45,96.05,94.3,95.4,524
2023-06-22,94.4,97.65,94.4,96.95,1620
2023-06-23,96.5,98.0,95.3,96.25,1267
2023-06-26,96.9,96.9,92.0,94.25,1703
2023-06-27,97.7,97.7,91.5,94.35,851
2023-06-28,94.4,104.9,94.05,100.1,11411
2023-06-29,100.0,100.0,97.4,98.9,1323
2023-06-30,99.5,99.55,97.4,97.4,2039
2023-07-03,97.5,99.0,96.55,96.85,987
2023-07-04,96.8,97.75,96.1,96.5,509
2023-07-05,96.45,97.1,96.3,96.5,638
2023-07-06,96.6,96.6,95.45,95.45,1465
2023-07-07,95.0,96.5,94.9,95.6,1732
2023-07-10,96.25,97.5,96.0,96.1,2165
2023-07-11,96.3,97.7,96.3,96.7,995
2023-07-12,96.7,97.0,95.7,96.1,1334
2023-07-13,96.35,97.3,95.2,95.5,1403
2023-07-14,95.6,95.8,94.85,95.35,1438
2023-07-17,95.85,95.85,94.0,94.5,1210
2023-07-18,94.5,96.0,94.5,95.0,1475
2023-07-19,95.1,96.0,94.7,95.0,2081
2023-07-20,95.05,95.5,94.3,94.6,2064
2023-07-21,94.55,94.65,93.7,93.9,2050
2023-07-24,94.75,94.75,93.5,93.8,1002
2023-07-25,93.85,94.5,93.75,93.9,1647
2023-07-26,93.9,95.45,93.6,94.0,4270
2023-07-27,94.0,95.0,93.65,94.15,2612
2023-07-28,94.15,95.2,93.7,94.1,3411
2023-07-31,94.45,95.4,93.75,94.1,6914
2023-08-01,94.45,94.6,93.85,94.15,2811
2023-08-02,94.25,95.35,93.75,94.1,10417
2023-08-03,94.1,94.2,93.7,93.95,1874
2023-08-04,93.95,94.35,93.0,93.3,8066
2023-08-07,94.2,94.5,93.6,94.0,10965
2023-08-08,94.1,94.15,92.85,93.25,3059
2023-08-09,93.95,94.9,92.7,94.75,14694
2023-08-10,97.75,100.6,94.75,99.65,23477
2023-08-11,99.7,112.8,98.3,107.65,44359
2023-08-14,110.0,110.95,102.85,105.85,16766
2023-08-15,105.85,107.7,102.95,105.65,6014
2023-08-16,104.6,106.6,97.55,103.25,14817
2023-08-17,103.25,104.55,99.5,103.95,3838
2023-08-18,103.95,106.6,103.0,105.2,5009
2023-08-21,105.6,107.4,105.2,106.4,3529
2023-08-22,106.5,107.7,105.0,106.6,3648
2023-08-23,107.55,107.65,105.35,106.0,4409
2023-08-24,106.15,110.0,106.15,109.95,4367
2023-08-25,110.0,110.5,108.95,110.1,2887
2023-08-28,110.2,110.7,108.85,109.6,2476
2023-08-29,110.6,110.6,108.7,109.45,2216
2023-08-30,110.0,111.8,108.7,110.5,3076
2023-08-31,111.85,111.85,110.65,111.8,3643
2023-09-01,111.8,111.85,110.5,111.0,2531
2023-09-04,111.8,116.4,111.05,112.9,6318
2023-09-05,112.95,125.0,112.95,119.4,16381
2023-09-06,119.8,123.2,115.05,122.4,7472
2023-09-07,123.0,127.9,117.5,118.35,13438
2023-09-08,118.85,120.75,111.9,116.9,5074
2023-09-11,122.4,122.4,117.0,117.55,2794
2023-09-12,122.25,124.1,117.25,120.8,5107
2023-09-13,121.95,122.8,119.7,120.75,3772
2023-09-14,120.95,122.35,119.3,119.7,8790
2023-09-15,118.8,122.65,118.8,122.65,2164
2023-09-18,122.8,140.05,115.7,121.4,26427
2023-09-19,122.9,124.15,117.1,120.25,6671
2023-09-20,130.1,130.1,120.25,126.0,18834
2023-09-21,128.0,128.0,120.25,120.8,10675
2023-09-22,120.25,123.7,119.55,120.9,8837
2023-09-25,118.05,118.05,110.0,112.6,20459
2023-09-26,112.6,112.6,108.3,110.2,5106
2023-09-27,110.05,112.0,109.1,111.45,3505
2023-09-28,114.0,114.0,110.45,110.85,4378
2023-09-29,111.05,112.25,109.3,110.9,1990
2023-10-02,110.0,111.9,109.2,111.25,6216
2023-10-03,120.0,120.0,112.35,120.0,23141
2023-10-04,117.7,119.85,115.4,117.9,3526
2023-10-05,119.45,119.45,117.6,117.6,3154
2023-10-06,119.2,119.2,112.5,114.4,2858
2023-10-09,114.7,114.7,112.5,112.7,1515
2023-10-10,112.6,113.9,111.85,113.25,2366
2023-10-11,112.55,113.85,112.35,112.5,830
2023-10-12,112.3,113.2,111.85,111.95,878
2023-10-13,112.95,113.25,111.4,112.0,1491
2023-10-16,112.3,113.2,111.4,113.2,1250
2023-10-17,112.4,113.2,111.25,112.4,1681
2023-10-18,111.8,112.6,111.65,112.4,466
2023-10-19,112.4,112.4,108.5,110.9,2131
2023-10-20,110.85,111.2,109.45,111.2,1099
2023-10-23,110.9,110.9,108.7,108.8,1774
2023-10-24,108.75,110.8,108.3,109.7,1495
2023-10-25,110.6,110.65,106.75,108.5,1561
2023-10-26,108.6,109.4,108.0,108.05,691
2023-10-27,108.05,108.45,106.4,106.9,1061
2023-10-30,106.75,109.9,106.0,107.7,1626
2023-10-31,107.65,108.65,106.8,108.35,794
2023-11-01,108.3,110.8,107.9,109.0,1778
2023-11-02,108.15,110.45,106.2,106.7,2243
2023-11-03,108.0,108.7,105.8,106.2,1071
2023-11-06,105.35,108.0,105.35,108.0,982
2023-11-07,108.0,108.0,105.5,106.55,1116
2023-11-08,106.55,112.25,106.0,109.4,4452
2023-11-09,110.8,110.8,108.3,108.3,1207
2023-11-10,108.9,109.9,108.3,108.3,1867
2023-11-13,109.9,109.9,108.4,108.65,1053
2023-11-14,108.65,109.6,103.0,104.3,4763
2023-11-15,104.35,105.55,103.95,105.35,670
2023-11-16,104.95,105.5,103.95,105.4,400
2023-11-17,105.4,105.45,103.8,104.1,745
2023-11-20,104.0,105.3,104.0,104.05,361
2023-11-21,104.65,105.25,103.8,104.2,474
2023-11-22,102.65,104.25,100.1,103.7,1220
2023-11-23,104.2,104.2,103.5,103.65,383
2023-11-24,103.65,103.65,102.8,102.85,399
2023-11-27,102.9,103.5,97.75,100.75,1561
2023-11-28,100.65,100.75,99.05,100.7,447
2023-11-29,100.6,100.75,99.75,100.45,423
2023-11-30,100.4,101.5,100.05,100.15,513
2023-12-01,101.15,102.0,99.4,100.15,537
2023-12-04,100.8,100.8,94.1,96.75,1736
2023-12-05,96.3,96.3,93.55,95.0,860
2023-12-06,95.0,97.55,94.5,94.55,830
2023-12-07,94.85,96.55,94.2,94.85,1276
2023-12-08,94.6,96.5,94.6,94.95,735
2023-12-11,95.8,96.4,95.0,96.35,606
2023-12-12,96.05,97.0,95.05,96.05,579
2023-12-13,95.95,100.65,95.95,100.65,6252
2023-12-14,100.45,100.95,98.75,99.5,1833
2023-12-15,99.55,101.05,98.95,100.35,856
2023-12-18,102.8,102.8,99.05,100.8,4026
2023-12-19,102.0,102.0,100.2,101.75,987
2023-12-20,103.0,104.5,101.8,102.05,579
