TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,153.46,155.5,153.18,155.2,44503
2023-01-04,155.5,156.82,155.1,155.74,40812
2023-01-05,155.9,155.9,153.24,153.4,39304
2023-01-06,153.4,154.9,152.5,154.38,36054
2023-01-09,154.38,155.58,152.88,153.7,55382
2023-01-10,153.02,153.48,152.02,153.24,35102
2023-01-11,153.34,154.78,153.2,154.1,40572
2023-01-12,153.82,155.88,152.74,154.4,63802
2023-01-13,154.38,154.4,152.8,153.34,57354
2023-01-16,153.7,155.7,153.4,154.88,72297
2023-01-17,154.96,156.4,152.5,152.94,88577
2023-01-18,152.94,153.98,151.7,153.16,65334
2023-01-19,153.1,153.5,151.02,152.0,47957
2023-01-20,152.1,152.44,150.16,151.54,48598
2023-01-23,146.98,149.96,145.8,149.8,139258
2023-01-24,150.02,150.84,147.24,147.76,95630
2023-01-25,147.6,149.54,146.3,148.82,84182
2023-01-26,149.04,149.42,146.92,148.0,65531
2023-01-27,148.0,150.88,147.2,150.32,93490
2023-01-30,150.36,152.0,150.36,151.5,58518
2023-01-31,151.8,153.1,150.34,151.44,65002
2023-02-01,151.48,153.0,150.8,152.58,66565
2023-02-02,152.9,153.86,151.1,151.64,57173
2023-02-03,151.44,151.56,149.2,149.9,73552
2023-02-06,150.18,150.18,148.4,149.42,102955
2023-02-07,149.54,150.0,148.02,149.6,80472
2023-02-08,149.62,151.38,148.16,148.52,90138
2023-02-09,148.78,149.98,148.14,149.18,68526
2023-02-10,148.9,149.38,146.22,148.4,130208
2023-02-13,148.4,149.86,147.94,148.92,50960
2023-02-14,148.7,149.52,147.6,147.6,51179
2023-02-15,147.56,148.44,144.02,145.0,110582
2023-02-16,145.98,147.38,143.16,143.98,87232
2023-02-17,143.5,145.1,142.82,144.78,52750
2023-02-20,144.78,146.28,142.6,145.4,59861
2023-02-21,145.88,147.3,145.34,147.1,51520
2023-02-22,147.4,147.92,144.44,144.74,63106
2023-02-24,144.72,145.3,143.5,143.9,51427
2023-02-27,143.74,145.98,143.18,145.78,64664
2023-02-28,146.24,146.28,144.18,144.98,50525
2023-03-01,145.2,148.0,144.62,147.34,77509
2023-03-02,147.18,147.34,144.6,145.1,68563
2023-03-03,145.1,145.84,144.5,145.62,32816
2023-03-06,145.96,146.5,145.0,145.6,67473
2023-03-07,145.8,147.84,145.22,146.76,75736
2023-03-09,146.76,147.6,145.02,145.86,78141
2023-03-10,145.5,146.6,144.7,145.76,43693
2023-03-13,146.1,147.2,145.04,145.54,51419
2023-03-14,145.38,146.08,145.1,145.56,40696
2023-03-15,145.56,145.92,143.7,144.64,52754
2023-03-16,144.78,145.36,143.0,144.42,78817
2023-03-17,144.92,146.16,143.34,145.6,82971
2023-03-20,145.74,150.44,144.82,150.44,148583
2023-03-21,150.5,151.08,148.12,148.64,80632
2023-03-22,148.64,150.2,147.5,149.7,60285
2023-03-23,150.2,150.4,149.0,149.32,52586
2023-03-24,149.02,150.96,149.02,150.8,57801
2023-03-27,150.96,152.0,150.9,151.84,70854
2023-03-28,152.02,152.9,151.02,151.86,53345
2023-03-29,151.92,152.06,149.02,150.84,82882
2023-03-30,150.84,150.84,149.04,150.24,45192
2023-03-31,150.5,150.56,149.1,150.1,48393
2023-04-03,150.28,151.5,150.28,150.84,61198
2023-04-04,151.08,153.5,150.86,152.14,97117
2023-04-05,152.2,152.4,150.5,152.0,63321
2023-04-06,152.02,154.88,152.0,153.8,119950
