TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.762,0.7742,0.7603,0.7708,43185000
2023-01-04,0.774,0.774,0.7613,0.7641,26011000
2023-01-05,0.761,0.7672,0.7575,0.7632,19157000
2023-01-06,0.7586,0.7691,0.7561,0.7608,51629000
2023-01-09,0.7608,0.7647,0.7555,0.7632,44313000
2023-01-10,0.7665,0.7665,0.749,0.7597,91260000
2023-01-11,0.7602,0.771,0.757,0.7694,83141000
2023-01-12,0.7684,0.7697,0.76,0.7609,42927000
2023-01-13,0.7644,0.7644,0.7523,0.7614,50823000
2023-01-16,0.762,0.7693,0.759,0.7678,75871000
2023-01-17,0.7678,0.7732,0.7582,0.76,74159000
2023-01-18,0.759,0.7691,0.7546,0.7617,48972000
2023-01-19,0.765,0.765,0.7526,0.7543,49767000
2023-01-20,0.753,0.762,0.753,0.758,34843000
2023-01-23,0.7561,0.7691,0.7561,0.7666,42485000
2023-01-24,0.7691,0.7702,0.759,0.7621,82887000
2023-01-25,0.7621,0.764,0.758,0.7623,32013000
2023-01-26,0.763,0.764,0.756,0.7605,33479000
2023-01-27,0.7615,0.7849,0.7518,0.778,156591000
2023-01-30,0.7818,0.792,0.779,0.785,181283000
2023-01-31,0.7884,0.7884,0.781,0.7838,63928000
2023-02-01,0.7805,0.7856,0.7804,0.7818,45654000
2023-02-02,0.7826,0.7845,0.7741,0.7784,82477000
2023-02-03,0.7751,0.7835,0.7751,0.7815,63519000
2023-02-06,0.7814,0.79,0.7763,0.7866,75011000
2023-02-07,0.788,0.7897,0.7834,0.7857,30917000
2023-02-08,0.7859,0.7933,0.783,0.7873,81604000
2023-02-09,0.7873,0.7921,0.784,0.791,38413000
2023-02-10,0.7919,0.7927,0.7854,0.7862,59048000
2023-02-13,0.7919,0.797,0.7864,0.7942,59976000
2023-02-14,0.7967,0.7967,0.7784,0.7812,93369000
2023-02-15,0.7804,0.7866,0.754,0.7638,161269000
2023-02-16,0.7631,0.7824,0.7631,0.7761,82789000
2023-02-17,0.7736,0.7843,0.765,0.7835,185749000
2023-02-20,0.7865,0.7905,0.78,0.7861,80259000
2023-02-21,0.786,0.8032,0.786,0.7891,104721000
2023-02-22,0.7886,0.7948,0.783,0.7936,37598000
2023-02-24,0.7936,0.7966,0.788,0.7907,25417000
2023-02-27,0.7912,0.7972,0.7875,0.7898,67356000
2023-02-28,0.7915,0.7917,0.7806,0.7867,64897000
2023-03-01,0.7866,0.7925,0.7866,0.7891,39567000
2023-03-02,0.7877,0.7925,0.7861,0.7881,52835000
2023-03-03,0.7897,0.794,0.782,0.791,114452000
2023-03-06,0.7915,0.794,0.7872,0.7885,55085000
2023-03-07,0.7903,0.7903,0.7861,0.7879,34869000
2023-03-09,0.7879,0.7892,0.7796,0.7819,49982000
2023-03-10,0.7819,0.7842,0.7719,0.7809,51428000
2023-03-13,0.7809,0.7889,0.7755,0.7799,51437000
2023-03-14,0.7784,0.7803,0.775,0.7783,33926000
2023-03-15,0.7783,0.7784,0.771,0.7754,55710000
2023-03-16,0.7748,0.778,0.7665,0.7765,87801000
2023-03-17,0.7765,0.785,0.7742,0.7763,65323000
2023-03-20,0.778,0.7884,0.7704,0.7864,82207000
2023-03-21,0.7871,0.7871,0.784,0.7854,59143000
2023-03-22,0.7854,0.7896,0.7853,0.7876,77237000
2023-03-23,0.7862,0.7915,0.7842,0.7903,89688000
2023-03-24,0.79,0.8,0.7892,0.794,82839000
2023-03-27,0.7951,0.8357,0.793,0.8177,597501000
2023-03-28,0.8228,0.8245,0.8051,0.8111,91828000
2023-03-29,0.812,0.8344,0.8066,0.8163,221440000
