TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,8.7,8.88,8.7,8.86,17000
2023-01-04,8.88,8.98,8.84,8.96,78500
2023-01-05,8.96,9.02,8.78,8.88,104400
2023-01-06,8.98,8.98,8.78,8.96,11900
2023-01-09,9.0,9.3,8.82,8.88,373300
2023-01-10,8.94,9.18,8.82,8.9,104700
2023-01-11,8.94,9.08,8.8,9.02,525500
2023-01-12,9.02,9.32,8.9,9.04,41200
2023-01-13,8.94,9.06,8.84,9.0,48400
2023-01-16,9.0,9.26,8.9,9.14,90000
2023-01-17,9.24,9.24,8.9,9.0,97100
2023-01-18,8.92,9.28,8.92,9.2,97600
2023-01-19,9.24,9.3,8.92,9.04,282600
2023-01-20,9.08,9.54,8.72,9.1,222900
2023-01-23,9.16,9.5,9.0,9.26,617200
2023-01-24,9.26,9.42,9.16,9.24,58000
2023-01-25,9.26,9.28,9.08,9.18,45600
2023-01-26,9.12,9.9,8.9,9.6,570000
2023-01-27,9.74,10.74,9.52,10.0,803100
2023-01-30,10.1,10.98,10.1,10.86,474000
2023-01-31,10.86,11.0,10.62,10.88,144600
2023-02-01,10.94,11.1,10.3,10.7,292200
2023-02-02,10.7,11.16,10.58,10.88,250900
2023-02-03,10.92,11.06,10.72,10.76,198600
2023-02-06,10.74,10.94,10.7,10.9,86400
2023-02-07,10.94,11.3,10.7,10.98,607300
2023-02-08,11.0,11.34,10.74,11.14,351600
2023-02-09,11.14,11.88,11.0,11.5,727300
2023-02-10,11.82,11.98,11.32,11.54,199500
2023-02-13,11.52,11.74,11.34,11.64,105600
2023-02-14,11.66,13.0,11.54,12.64,755100
2023-02-15,13.1,13.66,11.4,11.44,418900
2023-02-16,11.44,12.4,11.06,11.56,326600
2023-02-17,11.54,12.9,11.36,12.0,401900
2023-02-20,12.2,12.2,11.4,11.4,147600
2023-02-21,11.56,11.7,11.4,11.64,34200
2023-02-22,11.56,11.68,10.88,11.36,129600
2023-02-24,11.28,11.4,11.02,11.3,28800
2023-02-27,11.24,11.72,11.24,11.5,66000
2023-02-28,11.7,11.7,10.68,11.14,546700
2023-03-01,11.14,11.3,10.98,11.16,132600
2023-03-02,11.18,11.24,11.0,11.0,44400
2023-03-03,11.04,11.18,11.0,11.1,48400
2023-03-06,11.2,11.74,11.0,11.32,166800
2023-03-07,11.38,11.7,11.36,11.56,87000
2023-03-09,11.54,12.4,11.36,11.9,366200
2023-03-10,12.18,12.38,11.62,12.34,273200
2023-03-13,12.38,12.68,12.1,12.32,379300
2023-03-14,12.36,12.36,11.94,12.06,48400
2023-03-15,12.08,12.18,11.86,11.98,60200
2023-03-16,11.9,11.96,11.56,11.7,148100
2023-03-17,11.62,11.86,11.34,11.46,127400
2023-03-20,11.4,11.64,11.3,11.54,326400
2023-03-21,11.62,11.62,11.34,11.58,187100
2023-03-22,11.54,11.56,11.44,11.46,49000
2023-03-23,11.52,12.0,11.4,11.64,124300
2023-03-24,11.64,11.9,11.58,11.86,145900
2023-03-27,11.92,12.88,11.82,12.32,360700
2023-03-28,12.32,13.36,12.24,12.88,898100
2023-03-29,12.72,12.98,12.56,12.96,311100
2023-03-30,12.94,13.82,12.74,13.12,297500
2023-03-31,13.1,13.22,12.76,13.1,174300
2023-04-03,13.18,13.48,13.08,13.26,209500
2023-04-04,13.36,13.42,13.14,13.26,499000
2023-04-05,13.3,13.62,13.12,13.22,473200
2023-04-06,13.22,13.38,13.2,13.22,104000
2023-04-07,13.2,13.36,13.0,13.22,172500
2023-04-10,13.22,13.3,13.18,13.3,115400
2023-04-11,13.3,13.4,13.2,13.26,145900
2023-04-12,13.3,13.38,13.24,13.26,65000
2023-04-13,13.3,14.24,13.3,13.9,662400
2023-04-14,13.96,14.14,13.5,13.92,117700
2023-04-17,13.88,14.28,13.68,13.84,89500
2023-04-18,13.8,14.14,13.7,13.8,65800
2023-04-19,13.82,14.02,13.56,13.66,114600
2023-04-20,13.78,13.8,13.54,13.64,43400
2023-04-21,13.78,13.8,13.54,13.8,12000
2023-04-24,13.84,14.0,13.66,13.8,101100
2023-04-25,13.74,14.02,13.74,13.8,54400
2023-04-26,13.88,13.88,13.5,13.74,55400
2023-04-27,13.8,14.02,13.64,13.8,28900
2023-04-28,13.78,14.02,13.32,13.5,360800
2023-05-02,13.5,13.8,13.2,13.3,168800
2023-05-03,13.24,13.28,12.96,12.96,104400
2023-05-04,12.94,13.1,12.86,13.04,25600
2023-05-05,13.16,13.7,12.88,13.64,74600
2023-05-08,13.56,13.6,13.1,13.6,26600
2023-05-10,14.04,14.04,13.3,13.86,72800
2023-05-11,13.92,14.0,13.64,13.8,71200
2023-05-12,13.72,13.9,13.5,13.6,56300
2023-05-15,13.68,13.9,13.62,13.76,36600
2023-05-16,13.86,13.86,13.46,13.78,51000
2023-05-17,13.68,13.8,13.58,13.76,51900
2023-05-18,13.72,13.94,13.44,13.74,123400
2023-05-19,13.78,15.3,13.7,15.0,754700
2023-05-22,14.82,15.9,14.24,14.34,246000
2023-05-23,14.48,14.5,13.82,14.28,47300
2023-05-24,14.78,14.78,14.28,14.64,84800
2023-05-25,14.74,14.84,14.38,14.48,35300
2023-05-26,14.4,14.5,13.02,13.72,250500
2023-05-29,13.56,13.78,13.46,13.7,41200
2023-05-30,13.62,13.68,13.5,13.5,19800
2023-05-31,13.82,13.82,13.3,13.44,49000
2023-06-01,13.44,13.64,13.4,13.64,13700
2023-06-02,13.58,13.58,13.3,13.54,52700
2023-06-05,13.54,13.84,13.46,13.82,68200
2023-06-06,14.34,14.34,13.56,13.68,21400
2023-06-07,13.68,14.0,13.6,13.98,62700
2023-06-08,14.0,14.2,13.22,13.9,157700
2023-06-09,13.94,14.7,13.8,14.5,108400
2023-06-13,14.48,15.2,13.9,14.9,280400
2023-06-14,14.66,15.48,14.34,15.34,307600
2023-06-15,15.4,15.4,14.8,15.18,103000
2023-06-16,15.3,15.34,14.6,14.88,52700
2023-06-19,14.76,15.24,14.68,14.78,266900
2023-06-20,14.8,14.9,14.68,14.74,61000
2023-06-21,14.88,16.44,14.34,15.24,891800
2023-06-22,15.22,15.4,14.62,15.06,140300
2023-06-23,15.02,15.14,14.62,14.9,68200
