TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,443.8,452.6,443.8,450.0,1650
2023-01-04,443.0,452.4,442.8,452.4,1600
2023-01-05,455.0,458.8,448.0,448.6,1590
2023-01-06,457.4,457.8,442.2,445.0,2860
2023-01-09,448.0,463.0,446.0,455.8,5490
2023-01-10,448.6,464.8,448.4,458.0,4250
2023-01-11,458.8,461.2,450.2,457.0,1930
2023-01-12,459.0,459.8,452.4,456.6,1880
2023-01-13,456.8,461.6,455.0,461.6,2720
2023-01-16,465.0,496.0,460.0,476.0,30860
2023-01-17,470.6,500.0,463.4,475.8,14790
2023-01-18,471.6,483.0,465.0,476.8,7780
2023-01-19,480.0,480.0,461.0,465.0,3400
2023-01-20,467.0,473.0,464.2,468.0,2300
2023-01-23,475.4,475.4,464.2,468.2,2810
2023-01-24,460.2,479.0,460.2,475.6,2400
2023-01-25,483.0,489.4,466.0,481.6,9600
2023-01-26,473.4,495.0,473.4,481.4,4550
2023-01-27,491.4,499.6,478.8,487.4,4150
2023-01-30,478.8,494.8,478.8,487.4,4030
2023-01-31,485.0,499.8,470.6,492.6,9380
2023-02-01,499.8,520.0,492.4,498.0,16210
2023-02-02,529.0,529.0,498.0,506.4,4770
2023-02-03,510.0,519.8,497.0,503.6,5600
2023-02-06,508.8,520.0,502.2,504.6,12440
2023-02-07,505.0,588.4,505.0,567.8,118280
2023-02-08,570.0,583.0,540.2,544.0,49110
2023-02-09,542.4,545.0,525.0,532.0,9160
2023-02-10,532.0,534.4,521.6,524.6,3930
2023-02-13,533.8,540.0,522.0,533.0,6130
2023-02-14,537.2,537.6,523.0,523.2,3800
2023-02-15,520.8,520.8,480.0,481.4,11380
2023-02-16,481.4,660.0,481.4,547.8,771110
2023-02-17,557.4,557.4,512.6,525.2,70270
2023-02-20,528.4,535.0,503.8,512.6,22960
2023-02-21,513.0,527.4,498.4,516.0,15570
2023-02-22,527.2,534.8,504.0,517.2,10840
