TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,150.0,154.0,148.0,149.5,680
2023-01-04,150.0,150.0,149.0,149.0,120
2023-01-05,148.5,148.5,148.0,148.0,80
2023-01-06,149.0,155.0,149.0,149.5,2160
2023-01-09,154.5,154.5,149.5,151.0,460
2023-01-10,150.0,151.5,150.0,150.5,70
2023-01-11,152.0,154.5,149.0,154.0,1570
2023-01-12,157.0,158.0,152.0,154.5,820
2023-01-13,157.5,157.5,153.5,153.5,280
2023-01-16,153.5,159.0,152.0,156.0,450
2023-01-17,158.5,159.0,152.0,154.5,1050
2023-01-18,156.5,156.5,152.5,154.0,200
2023-01-19,154.0,154.0,152.5,153.5,60
2023-01-20,153.0,153.0,153.0,153.0,90
2023-01-23,152.0,154.0,149.5,154.0,750
2023-01-24,151.5,154.0,151.5,152.5,70
2023-01-25,154.0,178.5,153.0,163.5,18840
2023-01-26,160.5,163.0,153.5,160.5,5730
2023-01-27,158.5,166.0,157.0,161.5,720
2023-01-30,161.0,161.0,157.0,157.0,1220
2023-01-31,157.0,162.0,156.5,159.0,2080
2023-02-01,159.0,160.5,158.5,160.5,610
2023-02-02,160.5,161.0,157.5,159.0,430
2023-02-03,159.5,168.0,159.5,161.0,2390
2023-02-06,165.0,165.0,159.5,161.0,920
2023-02-07,161.0,164.0,158.0,161.0,1270
2023-02-08,161.0,161.0,158.0,159.5,400
2023-02-09,160.5,162.5,160.5,160.5,530
2023-02-10,162.0,162.0,160.5,161.5,180
2023-02-13,163.0,163.5,161.5,161.5,580
2023-02-14,164.0,215.0,162.5,169.0,60420
2023-02-15,173.0,183.5,162.5,171.5,18160
2023-02-16,175.5,175.5,165.0,171.5,2430
2023-02-17,169.5,170.0,165.5,170.0,1680
2023-02-20,166.0,169.5,165.0,165.5,340
2023-02-21,166.5,179.5,166.5,170.5,3740
2023-02-22,170.5,173.5,170.5,171.0,60
2023-02-24,173.0,174.5,167.0,168.5,1300
2023-02-27,176.5,204.0,165.5,186.0,24640
2023-02-28,187.0,260.0,186.0,209.0,278620
2023-03-01,204.5,214.5,201.0,203.0,43420
2023-03-02,203.5,207.0,191.5,196.5,12370
2023-03-03,191.5,204.0,186.5,198.5,12500
2023-03-06,196.0,208.0,196.0,204.0,8330
2023-03-07,207.0,207.0,201.0,203.0,2730
2023-03-09,204.0,205.0,199.0,200.5,4120
2023-03-10,199.0,200.5,198.5,200.5,600
2023-03-13,202.0,205.0,197.5,204.0,4530
2023-03-14,204.0,204.0,200.5,200.5,160
2023-03-15,203.5,203.5,195.5,195.5,3060
2023-03-16,196.5,200.0,195.5,197.0,860
2023-03-17,198.0,199.0,195.0,196.0,2720
2023-03-20,199.0,199.5,190.0,193.0,5750
2023-03-21,194.5,195.0,190.0,195.0,1450
2023-03-22,196.0,197.0,192.0,194.0,1440
2023-03-23,195.0,196.5,191.0,194.5,2140
2023-03-24,191.5,194.5,191.5,193.0,540
2023-03-27,195.0,197.5,193.5,197.5,1940
2023-03-28,197.5,206.0,197.5,202.0,3620
2023-03-29,202.0,202.0,198.0,200.5,1070
2023-03-30,205.0,205.0,201.0,202.0,920
2023-03-31,201.0,202.0,200.5,201.0,400
2023-04-03,202.0,206.5,201.0,203.5,2190
2023-04-04,207.0,212.0,199.5,207.5,9160
2023-04-05,209.0,209.0,200.0,204.0,4940
2023-04-06,206.5,274.0,205.0,265.0,125780
2023-04-07,264.0,282.5,224.0,243.0,53990
2023-04-10,245.0,288.5,225.5,243.5,85570
2023-04-11,248.5,253.0,237.0,243.5,13570
2023-04-12,245.0,246.5,240.5,243.0,8200
2023-04-13,246.5,248.0,235.0,240.0,6730
2023-04-14,240.0,240.0,235.0,240.0,1590
2023-04-17,239.5,240.0,235.0,239.0,3670
2023-04-18,239.0,244.0,239.0,242.0,5210
2023-04-19,243.5,243.5,237.0,240.0,2910
2023-04-20,239.5,240.5,237.0,239.5,1830
2023-04-21,239.5,245.5,237.0,240.5,4070
2023-04-24,240.5,247.0,238.0,243.5,3890
2023-04-25,244.0,294.5,240.0,259.5,95700
2023-04-26,257.0,299.0,251.0,269.0,62000
2023-04-27,278.5,281.0,260.0,270.0,13650
2023-04-28,266.5,294.0,260.0,278.0,31180
2023-05-02,287.0,299.5,240.0,267.0,11420
2023-05-03,260.0,278.0,251.0,266.5,10080
2023-05-04,266.5,272.5,240.5,248.5,7160
2023-05-05,253.5,266.5,237.5,243.0,9350
2023-05-08,247.0,248.5,238.0,245.0,1820
2023-05-10,248.0,262.0,243.0,261.0,2580
2023-05-11,262.5,280.5,261.0,269.5,7630
2023-05-12,277.0,285.0,261.0,269.0,4570
2023-05-15,269.5,269.5,253.0,267.0,4790
2023-05-16,266.0,272.5,259.0,266.0,5530
2023-05-17,267.0,275.0,262.5,266.5,3010
2023-05-18,283.5,283.5,252.5,264.0,5540
2023-05-19,264.0,267.5,250.5,265.5,6840
2023-05-22,269.5,279.0,262.0,271.0,6050
2023-05-23,269.0,274.5,265.5,267.5,2430
2023-05-24,242.0,270.0,242.0,266.0,3530
2023-05-25,269.0,280.0,262.5,269.0,8570
2023-05-26,282.0,282.0,267.0,271.0,4760
2023-05-29,272.0,285.0,265.0,275.5,12490
2023-05-30,272.0,284.5,266.0,268.5,14710
2023-05-31,255.0,260.5,250.0,254.5,10690
2023-06-01,255.0,258.5,240.5,249.0,4270
2023-06-02,249.5,263.0,242.5,247.5,3650
2023-06-05,247.5,252.0,240.0,243.5,6250
2023-06-06,242.0,250.5,226.0,244.0,3610
