TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.312,0.314,0.311,0.314,30000
2023-01-04,0.314,0.314,0.306,0.31,100000
2023-01-05,0.314,0.317,0.314,0.317,60000
2023-01-06,0.318,0.318,0.298,0.303,330000
2023-01-09,0.304,0.311,0.304,0.311,150000
2023-01-10,0.313,0.341,0.313,0.33,1010000
2023-01-11,0.324,0.326,0.305,0.317,1740000
2023-01-12,0.325,0.338,0.313,0.321,990000
2023-01-13,0.317,0.331,0.316,0.324,470000
2023-01-16,0.316,0.341,0.316,0.339,1150000
2023-01-17,0.324,0.341,0.324,0.327,410000
2023-01-18,0.324,0.333,0.324,0.329,130000
2023-01-19,0.334,0.334,0.32,0.328,130000
2023-01-20,0.325,0.33,0.324,0.33,280000
2023-01-23,0.33,0.33,0.33,0.33,30000
2023-01-24,0.333,0.346,0.328,0.337,1280000
2023-01-25,0.341,0.341,0.337,0.341,200000
2023-01-26,0.342,0.345,0.335,0.339,690000
2023-01-27,0.341,0.342,0.338,0.338,120000
2023-01-30,0.343,0.347,0.337,0.337,200000
2023-01-31,0.339,0.341,0.336,0.338,190000
2023-02-01,0.343,0.346,0.336,0.339,170000
2023-02-02,0.34,0.34,0.337,0.337,90000
2023-02-03,0.338,0.338,0.331,0.331,320000
2023-02-06,0.331,0.336,0.33,0.336,530000
2023-02-07,0.335,0.336,0.334,0.334,80000
2023-02-08,0.336,0.341,0.336,0.338,150000
2023-02-09,0.34,0.345,0.34,0.345,130000
2023-02-10,0.348,0.348,0.342,0.346,390000
2023-02-13,0.348,0.357,0.345,0.355,380000
2023-02-14,0.351,0.355,0.347,0.349,140000
2023-02-15,0.345,0.376,0.345,0.352,1580000
2023-02-16,0.353,0.356,0.351,0.352,140000
2023-02-17,0.353,0.363,0.349,0.35,580000
2023-02-20,0.351,0.352,0.344,0.344,210000
2023-02-21,0.347,0.347,0.346,0.346,80000
2023-02-22,0.345,0.35,0.345,0.35,110000
2023-02-24,0.351,0.356,0.346,0.35,480000
2023-02-27,0.346,0.35,0.343,0.347,230000
2023-02-28,0.348,0.348,0.344,0.348,80000
2023-03-01,0.348,0.349,0.348,0.349,30000
2023-03-02,0.349,0.349,0.341,0.342,360000
2023-03-03,0.345,0.356,0.345,0.349,610000
2023-03-06,0.349,0.359,0.349,0.358,290000
2023-03-07,0.356,0.36,0.35,0.354,230000
2023-03-09,0.36,0.363,0.352,0.356,590000
2023-03-10,0.353,0.358,0.353,0.354,240000
2023-03-13,0.355,0.36,0.353,0.354,410000
2023-03-14,0.358,0.358,0.345,0.352,270000
2023-03-15,0.349,0.349,0.343,0.343,220000
2023-03-16,0.343,0.348,0.343,0.344,120000
2023-03-17,0.34,0.349,0.34,0.349,210000
2023-03-20,0.355,0.364,0.344,0.351,470000
2023-03-21,0.356,0.36,0.356,0.356,50000
2023-03-22,0.363,0.391,0.356,0.365,4160000
2023-03-23,0.365,0.375,0.358,0.371,420000
2023-03-24,0.368,0.372,0.368,0.371,80000
2023-03-27,0.371,0.372,0.368,0.372,430000
2023-03-28,0.371,0.372,0.368,0.37,260000
2023-03-29,0.371,0.372,0.365,0.369,190000
2023-03-30,0.367,0.369,0.367,0.369,30000
2023-03-31,0.367,0.369,0.364,0.368,80000
2023-04-03,0.369,0.373,0.369,0.37,350000
2023-04-04,0.371,0.374,0.371,0.374,100000
2023-04-05,0.374,0.378,0.374,0.377,250000
2023-04-06,0.379,0.385,0.371,0.385,400000
2023-04-07,0.384,0.39,0.371,0.389,1060000
2023-04-10,0.387,0.39,0.384,0.384,820000
2023-04-11,0.388,0.393,0.383,0.385,1780000
2023-04-12,0.387,0.391,0.387,0.391,290000
2023-04-13,0.391,0.391,0.383,0.388,570000
2023-04-14,0.389,0.39,0.376,0.385,350000
2023-04-17,0.387,0.411,0.385,0.411,1110000
2023-04-18,0.404,0.411,0.402,0.402,1670000
2023-04-19,0.405,0.418,0.385,0.405,1810000
2023-04-20,0.415,0.415,0.39,0.405,450000
2023-04-21,0.398,0.423,0.396,0.419,750000
2023-04-24,0.428,0.478,0.421,0.458,7610000
2023-04-25,0.46,0.578,0.46,0.49,22210000
2023-04-26,0.49,0.493,0.463,0.486,3040000
2023-04-27,0.488,0.497,0.469,0.469,900000
2023-04-28,0.478,0.478,0.446,0.453,980000
2023-05-02,0.454,0.456,0.419,0.427,710000
2023-05-03,0.429,0.431,0.406,0.425,310000
2023-05-04,0.411,0.439,0.411,0.439,390000
2023-05-05,0.439,0.465,0.421,0.43,1010000
2023-05-08,0.448,0.458,0.425,0.425,130000
2023-05-10,0.439,0.443,0.427,0.427,450000
2023-05-11,0.443,0.514,0.44,0.486,10310000
2023-05-12,0.51,0.51,0.458,0.459,3700000
2023-05-15,0.459,0.464,0.446,0.46,530000
2023-05-16,0.462,0.462,0.448,0.457,1150000
2023-05-17,0.452,0.463,0.449,0.459,910000
2023-05-18,0.453,0.469,0.453,0.46,750000
2023-05-19,0.5,0.636,0.463,0.515,33860000
2023-05-22,0.512,0.596,0.5,0.547,6490000
2023-05-23,0.573,0.593,0.525,0.53,2260000
2023-05-24,0.563,0.665,0.534,0.555,20130000
2023-05-25,0.569,0.571,0.532,0.55,2280000
2023-05-26,0.544,0.57,0.517,0.549,1590000
2023-05-29,0.585,0.585,0.546,0.567,960000
2023-05-30,0.559,0.576,0.548,0.549,490000
2023-05-31,0.542,0.561,0.517,0.543,1260000
2023-06-01,0.546,0.555,0.537,0.55,250000
2023-06-02,0.538,0.553,0.538,0.548,230000
2023-06-05,0.544,0.549,0.528,0.541,630000
2023-06-06,0.523,0.54,0.52,0.535,700000
2023-06-07,0.537,0.543,0.536,0.543,220000
2023-06-08,0.541,0.541,0.529,0.535,270000
2023-06-09,0.535,0.536,0.523,0.532,780000
2023-06-13,0.54,0.566,0.538,0.549,980000
2023-06-14,0.549,0.57,0.54,0.57,700000
2023-06-15,0.564,0.568,0.551,0.565,340000
2023-06-16,0.565,0.566,0.553,0.566,630000
2023-06-19,0.557,0.577,0.557,0.577,740000
2023-06-20,0.631,0.807,0.6,0.807,38770000
2023-06-21,0.806,0.807,0.706,0.74,8530000
2023-06-22,0.734,0.734,0.7,0.73,2360000
2023-06-23,0.73,0.73,0.68,0.714,1220000
2023-06-26,0.701,0.713,0.699,0.706,510000
2023-06-27,0.709,0.717,0.708,0.717,400000
2023-06-28,0.712,0.719,0.703,0.705,310000
2023-06-29,0.71,0.716,0.706,0.708,390000
2023-06-30,0.728,0.728,0.714,0.724,240000
2023-07-03,0.729,0.729,0.691,0.716,1210000
2023-07-04,0.722,0.726,0.692,0.703,620000
2023-07-05,0.708,0.712,0.698,0.698,330000
2023-07-06,0.709,0.734,0.693,0.695,1490000
2023-07-07,0.699,0.717,0.699,0.707,550000
2023-07-10,0.712,0.729,0.7,0.707,390000
2023-07-11,0.707,0.717,0.707,0.712,250000
2023-07-12,0.706,0.777,0.697,0.744,3940000
2023-07-13,0.752,0.756,0.718,0.734,1280000
2023-07-14,0.74,0.756,0.716,0.754,1470000
2023-07-17,0.747,0.808,0.738,0.78,1700000
2023-07-18,0.795,0.806,0.759,0.802,750000
2023-07-19,0.78,0.834,0.78,0.834,870000
2023-07-20,0.876,1.167,0.843,1.012,38980000
2023-07-21,0.981,1.064,0.927,0.976,5640000
2023-07-24,0.981,1.045,0.944,1.017,2400000
2023-07-25,1.02,1.043,0.973,1.028,2100000
2023-07-26,0.992,1.071,0.992,1.021,1170000
2023-07-27,1.07,1.11,1.015,1.035,3880000
2023-07-28,1.016,1.029,1.009,1.02,570000
2023-07-31,1.03,1.038,1.019,1.03,280000
2023-08-01,1.035,1.06,1.01,1.05,3370000
2023-08-02,1.06,1.06,1.033,1.051,1880000
2023-08-03,1.052,1.238,1.048,1.148,7680000
2023-08-04,1.17,1.38,1.101,1.208,11990000
2023-08-07,1.328,1.685,1.25,1.685,21300000
2023-08-08,1.738,2.357,1.738,1.999,17760000
2023-08-09,2.189,2.189,1.945,1.998,9790000
2023-08-10,2.149,2.177,1.3,1.577,10310000
2023-08-11,1.607,1.699,1.381,1.543,4310000
2023-08-14,1.511,1.779,1.511,1.72,7140000
2023-08-15,1.727,1.891,1.577,1.77,4940000
2023-08-16,1.663,1.814,1.497,1.591,2940000
2023-08-17,1.592,1.592,1.432,1.5,2130000
2023-08-18,1.519,1.549,1.454,1.505,1310000
2023-08-21,1.55,1.653,1.55,1.653,2180000
2023-08-22,1.68,1.8,1.581,1.737,4100000
2023-08-23,1.87,1.909,1.654,1.681,5100000
2023-08-24,1.685,1.845,1.685,1.757,2750000
2023-08-25,1.84,1.958,1.795,1.93,14400000
2023-08-28,1.957,2.623,1.85,2.354,57510000
2023-08-29,2.4,2.47,2.22,2.29,12030000
2023-08-30,2.359,2.359,2.201,2.27,1840000
2023-08-31,2.334,2.334,2.206,2.206,1230000
2023-09-01,2.274,2.399,2.206,2.297,5920000
2023-09-04,2.344,2.455,2.223,2.409,4510000
2023-09-05,2.331,2.453,2.26,2.349,2980000
2023-09-06,2.37,2.42,2.264,2.27,860000
2023-09-07,2.297,2.355,2.05,2.073,3880000
2023-09-08,2.166,2.166,1.927,2.029,780000
2023-09-11,2.079,2.376,2.017,2.08,4140000
2023-09-12,2.08,2.288,2.05,2.191,2950000
2023-09-13,2.248,2.769,2.201,2.278,52420000
2023-09-14,2.307,2.705,1.756,2.09,30240000
2023-09-15,2.021,2.247,1.923,2.164,4730000
2023-09-18,2.163,2.165,2.037,2.065,3530000
2023-09-19,2.127,2.127,1.835,1.839,1460000
2023-09-20,1.839,1.893,1.615,1.74,2480000
2023-09-21,1.738,1.81,1.651,1.7,500000
2023-09-22,1.698,1.808,1.697,1.78,830000
