TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2025-06-19,1704,1758,1704,1712,6
2025-06-20,1700,1700,1676,1694,15
2025-06-23,1652,1652,1600,1630,50
2025-06-24,1616,1620,1554,1620,20
2025-06-25,1644,1766,1626,1626,102
2025-06-26,1730,1752,1730,1742,11
2025-06-27,1726,1726,1706,1706,8
2025-06-30,1734,1752,1706,1706,63
2025-07-01,1720,1720,1720,1720,5
2025-07-02,1692,1734,1600,1660,29
2025-07-03,1692,1750,1660,1750,75
2025-07-04,1704,1750,1704,1748,209
2025-07-07,1740,1754,1680,1754,119
2025-07-08,1718,1754,1660,1704,1064
2025-07-09,1662,1748,1660,1748,939
2025-07-10,1706,1780,1660,1694,906
2025-07-11,1720,1756,1604,1652,910
2025-07-14,1604,1652,1600,1652,48
2025-07-15,1660,1686,1660,1662,29
2025-07-16,1664,1664,1600,1650,301
2025-07-17,1644,1756,1626,1716,472
2025-07-18,1652,1714,1652,1690,57
2025-07-21,1654,1758,1634,1634,835
2025-07-22,1652,1654,1594,1600,667
2025-07-23,1600,1614,1570,1600,66
2025-07-24,1614,1754,1600,1624,2137
2025-07-25,1606,1754,1596,1612,1399
2025-07-28,1618,1662,1596,1612,194
2025-07-29,1596,1628,1580,1604,46
2025-07-30,1622,1652,1584,1628,80
2025-07-31,1590,1606,1562,1606,71
2025-08-01,1614,1614,1600,1614,4
2025-08-04,1586,1768,1584,1702,5204
2025-08-05,1698,1698,1600,1648,681
2025-08-06,1624,1648,1598,1622,461
2025-08-07,1618,1620,1602,1620,27
2025-08-08,1628,1758,1590,1718,2929
2025-08-11,1650,1706,1650,1688,325
2025-08-12,1656,1684,1624,1638,148
2025-08-13,1668,1668,1636,1638,20
2025-08-14,1664,1664,1630,1630,70
2025-08-15,1630,1668,1596,1606,3616
2025-08-18,1610,1652,1598,1640,681
2025-08-19,1602,1640,1602,1628,437
2025-08-20,1628,1628,1608,1628,31
2025-08-21,1602,1630,1592,1620,191
2025-08-22,1602,1620,1602,1604,31
2025-08-25,1614,1616,1598,1616,18
2025-08-26,1600,1644,1600,1620,56
2025-08-27,1618,1618,1604,1604,26
2025-08-28,1604,1604,1604,1604,16
2025-08-29,1610,1610,1600,1606,49
2025-09-01,1608,1608,1592,1600,53
2025-09-02,1594,1612,1594,1610,113
2025-09-03,1592,1600,1592,1600,12
2025-09-04,1592,1602,1590,1590,43
2025-09-05,1590,1722,1590,1696,2120
2025-09-06,1698,1710,1620,1684,234
2025-09-07,1706,1708,1614,1622,357
2025-09-08,1656,1760,1628,1760,1174
2025-09-09,1760,1760,1698,1748,20
2025-09-10,1716,1738,1716,1724,9
2025-09-11,1720,1776,1720,1728,393
2025-09-12,1730,1742,1720,1720,84
2025-09-15,1728,1760,1720,1760,360
2025-09-16,1730,1730,1720,1722,13
2025-09-17,1740,1754,1724,1726,9
2025-09-18,1744,1744,1600,1632,1503
2025-09-19,1646,1646,1600,1610,661
2025-09-22,1612,1636,1610,1636,4
2025-09-23,1636,1636,1584,1584,257
2025-09-24,1604,1690,1600,1614,150
2025-09-25,1652,1652,1602,1620,108
