TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,321.0,400.0,317.0,380.0,94790
2023-01-04,381.5,399.5,349.0,363.5,26500
2023-01-05,365.0,368.0,341.5,351.0,5110
2023-01-06,355.0,369.0,320.0,334.5,11250
2023-01-09,346.0,346.0,330.0,336.0,4240
2023-01-10,336.5,345.5,325.0,334.5,4290
2023-01-11,336.0,340.5,330.0,336.0,1930
2023-01-12,331.0,341.0,320.5,336.5,3490
2023-01-13,339.0,359.5,336.0,338.0,7460
2023-01-16,349.5,349.5,330.5,336.0,4180
2023-01-17,331.0,343.5,331.0,334.0,820
2023-01-18,334.0,344.5,331.5,336.0,1280
2023-01-19,335.0,335.0,326.0,330.0,1940
2023-01-20,330.5,331.5,326.5,330.0,180
2023-01-23,330.0,331.5,326.0,331.5,330
2023-01-24,331.5,332.5,320.0,329.0,1660
2023-01-25,325.0,330.0,320.0,330.0,680
2023-01-26,329.5,331.0,327.5,328.0,160
2023-01-27,332.5,336.0,323.5,328.0,1080
2023-01-30,331.5,332.5,326.5,330.0,830
2023-01-31,327.0,452.0,325.5,400.0,187350
2023-02-01,401.5,401.5,366.0,370.5,43610
2023-02-02,373.0,445.0,356.5,394.0,132790
2023-02-03,393.5,525.0,393.5,447.5,286810
2023-02-06,469.5,619.0,463.5,607.5,273210
2023-02-07,623.0,835.0,623.0,829.5,254110
2023-02-08,839.5,1079.0,837.0,1020.0,242070
2023-02-09,1061.0,1061.0,690.0,700.5,105470
2023-02-10,700.5,700.5,571.0,572.0,44480
2023-02-13,567.5,627.5,567.5,627.5,24570
2023-02-14,650.0,667.5,574.5,587.5,18230
2023-02-15,570.5,589.0,509.5,542.5,12480
2023-02-16,488.5,595.5,488.5,595.5,19920
2023-02-17,627.0,654.0,589.0,592.5,20180
2023-02-20,596.0,603.0,520.0,553.0,8960
2023-02-21,569.0,608.0,540.0,608.0,20190
2023-02-22,607.0,635.0,588.5,595.0,15210
2023-02-24,608.5,622.5,585.5,589.0,3270
2023-02-27,589.0,590.5,580.5,587.0,2380
2023-02-28,587.5,607.5,585.5,597.5,3570
2023-03-01,600.0,640.0,597.5,624.0,15840
2023-03-02,633.0,665.0,620.0,631.0,24240
2023-03-03,680.5,879.0,660.0,860.0,250310
2023-03-06,860.0,870.5,805.5,837.5,82370
2023-03-07,857.0,858.0,812.0,840.0,13010
2023-03-09,845.0,845.5,815.0,820.5,4090
2023-03-10,816.5,823.0,750.0,803.0,7060
2023-03-13,803.5,824.0,767.5,810.0,8790
2023-03-14,800.0,819.0,795.0,819.0,4450
2023-03-15,845.0,847.0,800.0,810.0,10070
2023-03-16,809.5,817.5,791.0,800.0,2240
2023-03-17,800.0,815.5,780.5,791.0,4080
2023-03-20,784.5,799.5,781.0,786.5,3570
2023-03-21,784.5,789.5,768.0,776.5,4120
2023-03-22,770.0,836.0,750.0,805.5,33660
2023-03-23,809.0,811.0,795.0,795.0,3390
2023-03-24,794.0,800.0,770.0,789.0,3970
2023-03-27,785.0,809.0,771.0,790.5,4300
2023-03-28,790.0,803.5,787.0,794.5,3730
2023-03-29,789.0,808.0,788.0,793.5,6660
2023-03-30,794.0,814.5,791.5,796.5,4080
2023-03-31,796.0,796.0,784.5,784.5,2740
2023-04-03,786.5,797.5,785.0,795.0,1670
2023-04-04,797.5,811.0,792.5,800.0,5690
2023-04-05,800.0,801.0,784.5,792.0,2330
2023-04-06,792.5,835.0,792.5,808.5,14630
2023-04-07,815.5,884.0,805.0,807.0,36590
2023-04-10,811.0,840.0,807.0,817.0,6380
2023-04-11,819.5,822.0,650.0,798.5,9430
2023-04-12,795.0,799.5,778.5,787.0,2250
2023-04-13,787.0,793.0,781.0,789.0,880
2023-04-14,778.5,803.5,778.5,784.0,1610
2023-04-17,795.0,795.0,779.0,786.0,1600
2023-04-18,789.0,790.0,700.0,782.0,3860
2023-04-19,786.5,786.5,763.0,779.5,840
2023-04-20,771.0,783.5,770.0,779.0,920
2023-04-21,781.5,781.5,770.0,773.5,810
2023-04-24,780.0,780.0,750.0,764.0,1650
2023-04-25,765.0,782.0,751.0,770.0,3750
2023-04-26,812.0,812.0,750.0,765.0,2170
2023-04-27,768.0,774.0,762.0,762.0,670
2023-04-28,762.0,765.0,755.0,756.0,330
2023-05-02,753.0,762.0,681.0,700.0,3150
2023-05-03,720.0,754.0,700.0,700.0,2960
2023-05-04,701.0,712.0,701.0,710.0,220
2023-05-05,710.0,711.0,702.0,702.0,460
2023-05-08,702.0,707.0,675.0,687.0,620
2023-05-10,678.0,708.0,678.0,691.0,410
2023-05-11,686.0,711.0,685.0,704.0,310
2023-05-12,709.0,780.0,681.0,695.0,4440
2023-05-15,698.0,709.0,693.0,694.0,1210
2023-05-16,717.0,717.0,698.0,699.0,540
2023-05-17,707.0,712.0,704.0,711.0,580
2023-05-18,711.0,712.0,707.0,712.0,440
2023-05-19,707.0,710.0,701.0,702.0,600
