TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,20.0,20.39,19.57,19.82,298310
2023-01-04,19.8,19.97,19.72,19.95,113570
2023-01-05,19.99,20.02,19.52,19.74,301990
2023-01-06,19.67,21.44,19.66,20.41,3308530
2023-01-09,20.6,21.2,20.3,20.87,1163360
2023-01-10,20.87,21.7,20.51,21.0,1370320
2023-01-11,21.17,23.84,21.02,22.81,8190340
2023-01-12,23.0,23.3,21.73,22.1,1605660
2023-01-13,22.3,22.83,21.27,21.98,1756050
2023-01-16,22.08,22.35,21.97,22.12,413620
2023-01-17,22.12,22.19,21.33,21.54,492620
2023-01-18,21.33,21.66,21.26,21.3,451280
2023-01-19,21.5,21.59,20.8,20.94,576920
2023-01-20,20.94,21.23,20.81,21.05,611040
2023-01-23,21.23,23.47,21.1,22.16,6992840
2023-01-24,22.5,24.34,21.95,22.47,8976830
2023-01-25,22.41,29.97,22.0,27.62,73689900
2023-01-26,28.0,29.83,24.9,25.18,31866130
2023-01-27,25.81,25.82,23.53,23.86,7399260
2023-01-30,24.0,24.98,23.73,24.29,5724200
2023-01-31,24.55,25.45,24.1,24.58,3207330
2023-02-01,24.68,25.07,24.28,24.5,1866190
2023-02-02,24.58,25.74,24.32,24.5,4403940
2023-02-03,24.45,24.45,23.92,24.16,919310
2023-02-06,24.61,26.44,24.06,25.3,12029240
2023-02-07,25.39,34.2,24.57,32.84,95678490
2023-02-08,33.0,36.78,29.06,33.01,74011060
2023-02-09,34.0,36.4,30.01,30.2,24964190
2023-02-10,30.2,30.66,26.68,27.25,7716340
2023-02-13,27.4,33.3,27.4,31.0,45534860
2023-02-14,31.47,33.7,28.4,29.29,19963690
2023-02-15,29.79,31.43,27.53,28.9,8878290
2023-02-16,29.3,30.6,28.03,28.6,3184800
2023-02-17,28.02,32.2,28.02,28.88,26645810
2023-02-20,29.5,30.12,28.3,28.47,4186760
2023-02-21,28.98,29.6,28.21,28.85,2235290
2023-02-22,29.11,30.28,28.8,29.15,4737690
2023-02-24,29.53,29.8,29.05,29.23,1047350
2023-02-27,29.35,31.22,29.12,30.41,12665150
2023-02-28,30.32,31.17,30.32,30.68,2434770
2023-03-01,31.0,31.0,29.03,30.36,2570730
2023-03-02,30.46,30.5,29.0,29.52,3472090
2023-03-03,29.79,29.89,29.16,29.58,1035280
2023-03-06,29.8,30.8,29.58,30.28,3351990
2023-03-07,30.65,30.99,29.98,30.2,3193560
2023-03-09,30.28,30.39,30.1,30.15,689600
2023-03-10,30.18,30.76,30.0,30.05,3052970
2023-03-13,30.21,30.4,29.2,29.9,1883420
2023-03-14,30.0,30.3,29.8,29.98,791660
2023-03-15,29.98,30.15,29.26,29.52,736720
2023-03-16,29.5,29.52,29.0,29.36,572220
2023-03-17,29.38,30.08,29.15,29.39,1098350
2023-03-20,29.9,29.9,29.15,29.43,811850
2023-03-21,29.75,30.62,29.4,30.01,4062800
2023-03-22,30.27,31.78,29.79,30.38,6402540
2023-03-23,30.4,31.24,30.11,30.78,3847780
2023-03-24,31.47,31.55,30.3,30.5,2926260
2023-03-27,30.54,30.95,30.43,30.7,1034120
2023-03-28,30.78,30.96,30.23,30.45,827580
2023-03-29,30.64,30.79,30.3,30.58,698230
2023-03-30,30.83,31.0,30.3,30.51,1638070
2023-03-31,30.58,30.66,30.08,30.42,1363610
2023-04-03,30.88,35.3,30.6,34.07,35597400
2023-04-04,34.68,34.68,32.49,33.11,4917550
2023-04-05,33.0,34.09,31.89,32.75,5339200
2023-04-06,32.8,33.97,32.5,32.64,3838770
2023-04-07,32.91,33.64,32.51,32.8,2415670
2023-04-10,33.08,33.46,32.69,33.17,2199650
2023-04-11,33.15,33.15,30.16,32.23,2810400
2023-04-12,32.1,32.94,31.97,32.21,1275250
2023-04-13,32.35,33.38,31.94,32.0,2271760
2023-04-14,32.0,32.99,31.95,32.63,1486180
2023-04-17,32.75,33.2,32.2,32.63,2315450
2023-04-18,32.75,33.17,31.83,32.26,2965830
2023-04-19,32.26,32.73,31.7,31.79,2873070
2023-04-20,32.15,32.59,31.81,32.03,2600480
2023-04-21,32.05,32.23,31.42,31.56,1178740
2023-04-24,32.0,32.17,31.58,31.8,1102230
2023-04-25,31.8,33.0,31.66,31.77,3008990
2023-04-26,31.7,32.11,31.67,31.75,758200
2023-04-27,31.9,31.91,31.36,31.61,790870
2023-04-28,31.5,31.7,30.31,30.94,1336650
2023-05-02,31.02,32.0,28.22,29.17,1725070
2023-05-03,29.19,29.46,26.95,27.42,4341400
2023-05-04,27.45,27.82,27.37,27.43,655850
2023-05-05,27.52,28.35,27.46,27.6,1108210
2023-05-08,27.7,28.27,27.58,28.0,557480
2023-05-10,28.29,28.75,27.86,28.63,876870
2023-05-11,28.85,29.35,28.7,29.12,1088780
2023-05-12,29.25,29.41,28.2,28.57,958640
2023-05-15,28.8,29.1,28.12,28.65,608270
2023-05-16,28.9,29.03,28.69,28.76,338020
2023-05-17,28.76,31.0,28.65,30.5,3326170
2023-05-18,30.74,31.37,29.6,29.91,1864280
2023-05-19,29.9,30.77,29.68,30.0,1546770
2023-05-22,30.5,30.5,29.71,29.87,479470
2023-05-23,30.18,30.47,28.53,29.63,1132890
2023-05-24,29.78,29.88,29.5,29.74,287410
2023-05-25,29.75,29.9,29.02,29.44,230850
2023-05-26,29.44,32.5,28.28,28.3,8488950
2023-05-29,28.55,28.57,27.12,28.31,1049380
2023-05-30,28.08,28.29,27.73,27.88,403460
2023-05-31,27.95,28.08,27.5,27.88,350770
2023-06-01,27.89,28.0,27.25,27.49,495540
2023-06-02,27.55,28.28,27.53,27.96,774160
2023-06-05,28.01,28.24,27.72,27.77,580950
2023-06-06,27.89,27.89,27.27,27.71,263160
2023-06-07,27.73,27.96,27.58,27.65,311550
2023-06-08,27.71,29.5,27.53,29.49,2447210
2023-06-09,29.07,29.9,28.84,29.27,1298530
2023-06-13,29.89,31.36,29.39,30.6,4965430
2023-06-14,30.6,31.17,29.84,30.04,1276840
2023-06-15,29.98,29.99,29.4,29.6,1056770
2023-06-16,29.62,30.32,29.5,29.68,1038450
2023-06-19,29.72,30.37,29.72,30.01,618670
2023-06-20,30.18,30.18,29.32,29.77,616740
2023-06-21,29.81,30.33,29.77,30.09,994730
2023-06-22,30.36,30.81,29.89,30.1,1310320
2023-06-23,30.2,30.2,29.44,29.87,658020
2023-06-26,30.0,30.09,29.34,29.55,685920
2023-06-27,29.55,30.95,29.41,30.17,1880280
2023-06-28,30.44,30.64,29.53,29.89,821220
2023-06-29,30.02,30.11,29.64,29.85,374780
2023-06-30,29.87,30.2,29.68,29.82,454400
2023-07-03,30.05,30.18,29.79,29.81,308470
2023-07-04,29.81,29.82,28.72,29.46,852730
2023-07-05,29.46,29.58,29.16,29.22,264450
2023-07-06,29.23,29.46,29.0,29.14,431250
2023-07-07,29.3,29.3,29.02,29.08,183450
2023-07-10,29.07,29.6,28.5,29.06,502610
2023-07-11,29.15,29.19,28.78,28.96,335530
2023-07-12,29.08,29.08,28.74,28.96,428200
2023-07-13,28.96,29.02,28.7,28.89,292390
2023-07-14,29.04,29.04,28.5,28.9,386020
2023-07-17,28.99,29.4,28.71,29.22,751720
2023-07-18,29.26,29.39,29.0,29.23,546600
2023-07-19,29.34,31.7,28.5,31.4,5124280
2023-07-20,32.1,33.86,29.8,30.26,16413930
2023-07-21,30.26,30.42,29.22,30.23,1594900
2023-07-24,30.38,31.5,30.25,30.79,1877520
2023-07-25,31.04,31.45,30.82,31.14,1249320
2023-07-26,31.21,31.49,30.42,30.67,1061500
2023-07-27,30.69,31.45,30.37,31.26,1573210
2023-07-28,31.5,32.86,31.05,32.2,3528460
2023-07-31,32.69,33.0,31.88,32.33,1320570
2023-08-01,32.4,32.82,32.0,32.49,1104900
2023-08-02,32.11,32.75,32.1,32.28,1144100
2023-08-03,32.24,33.78,32.22,33.16,3550840
2023-08-04,33.5,35.19,30.75,31.45,8589600
2023-08-07,32.34,32.87,30.51,31.14,3403260
2023-08-08,31.16,31.29,30.5,31.02,1146630
2023-08-09,31.1,33.5,31.02,33.0,5637710
2023-08-10,33.1,33.9,32.15,32.36,1659280
2023-08-11,32.64,32.69,32.14,32.36,842540
2023-08-14,32.78,33.98,31.6,31.82,3839010
2023-08-15,31.61,33.2,30.33,32.05,2133510
2023-08-16,32.01,33.0,30.33,30.93,2746030
2023-08-17,31.34,32.6,31.05,31.93,2449160
2023-08-18,32.24,32.33,31.28,31.53,761390
2023-08-21,31.55,32.8,31.23,32.59,3025950
2023-08-22,32.99,33.8,32.33,32.57,2213950
2023-08-23,32.5,33.47,31.52,32.41,2940870
2023-08-24,32.45,33.1,31.83,32.48,2868250
2023-08-25,32.5,32.59,32.1,32.3,737210
2023-08-28,32.58,33.25,32.3,33.25,2035430
2023-08-29,33.55,33.56,32.61,32.9,1925340
2023-08-30,32.83,32.99,32.53,32.72,663170
2023-08-31,32.72,34.3,32.57,33.3,5394930
2023-09-01,33.3,35.1,32.81,34.3,9562960
2023-09-04,34.5,35.88,33.8,34.88,6132260
2023-09-05,35.24,40.2,35.11,40.08,31065510
2023-09-06,40.78,43.6,38.1,40.57,29233110
2023-09-07,40.57,40.99,35.2,36.4,11814180
2023-09-08,36.35,38.88,35.05,38.1,5565860
2023-09-11,38.0,38.8,36.01,37.07,3499500
2023-09-12,38.23,38.23,36.54,37.09,1493950
2023-09-13,37.24,39.22,36.65,38.88,3858280
2023-09-14,39.0,39.47,28.14,34.68,12234350
2023-09-15,34.57,37.0,32.69,35.89,4343800
2023-09-18,35.9,38.3,35.9,36.63,6027330
2023-09-19,36.52,36.66,33.2,34.14,5974580
2023-09-20,33.03,34.09,30.2,31.67,9299380
2023-09-21,31.5,32.85,30.84,31.45,3419900
2023-09-22,31.45,32.4,30.53,32.01,1924530
2023-09-25,32.68,32.68,31.7,32.25,1691690
2023-09-26,32.35,32.35,31.5,32.15,1215650
2023-09-27,32.29,33.16,32.1,32.58,2314560
2023-09-28,32.5,34.0,32.5,33.36,3473970
2023-09-29,33.36,33.87,32.34,32.76,1637020
2023-10-02,32.95,34.34,32.95,33.35,3182890
2023-10-03,33.3,33.65,32.25,33.06,1151800
2023-10-04,33.06,33.3,31.9,32.45,800040
2023-10-05,32.45,33.25,32.3,32.4,970330
2023-10-06,32.33,32.5,31.9,31.99,389340
2023-10-09,32.03,32.4,31.34,31.75,883110
2023-10-10,31.75,31.93,31.02,31.69,455770
2023-10-11,31.75,31.75,31.1,31.32,608610
2023-10-12,31.02,31.18,30.1,30.84,505160
2023-10-13,31.1,31.33,30.35,30.56,917250
2023-10-16,30.56,31.2,30.26,31.2,759150
2023-10-17,31.3,31.5,31.11,31.36,473740
2023-10-18,31.5,31.79,31.04,31.49,1390480
2023-10-19,31.49,31.77,30.68,31.4,1087010
2023-10-20,31.58,31.69,31.15,31.4,429700
2023-10-23,31.48,31.94,31.21,31.66,823520
2023-10-24,31.65,32.98,31.5,32.15,1680160
2023-10-25,32.17,33.0,32.16,32.95,933180
2023-10-26,32.95,33.42,31.61,31.73,1081250
2023-10-27,32.16,32.16,31.18,31.46,370750
2023-10-30,31.84,32.0,31.45,31.57,220000
2023-10-31,31.73,31.73,30.67,30.8,279810
2023-11-01,30.8,31.09,30.67,30.94,129030
2023-11-02,30.97,31.46,30.97,31.01,277150
2023-11-03,31.01,31.22,30.5,30.56,309130
2023-11-06,30.97,31.14,30.45,30.7,167390
2023-11-07,30.7,30.95,30.54,30.83,183280
2023-11-08,30.91,31.09,30.77,30.91,151390
2023-11-09,30.91,31.09,30.62,30.72,147650
2023-11-10,30.81,31.25,30.56,30.98,576070
2023-11-13,30.97,31.19,29.2,29.65,1106100
2023-11-14,29.56,29.56,27.12,27.93,1023420
2023-11-15,27.12,29.56,26.82,29.45,1274570
2023-11-16,29.45,29.92,28.7,29.03,527830
2023-11-17,29.11,29.3,28.36,28.71,186960
2023-11-20,28.8,29.1,28.4,28.88,150420
2023-11-21,28.85,28.85,28.33,28.56,225040
2023-11-22,28.6,28.98,28.57,28.81,215330
2023-11-23,28.81,29.2,27.59,27.97,450630
2023-11-24,28.57,28.57,27.5,27.66,155520
2023-11-27,27.49,27.58,25.85,26.13,1021670
2023-11-28,26.13,26.25,25.85,26.16,199490
2023-11-29,26.24,27.31,26.1,26.45,858700
2023-11-30,26.59,26.59,25.72,25.87,405380
2023-12-01,25.92,26.06,25.27,25.34,196800
2023-12-04,25.3,25.33,24.21,24.53,444830
2023-12-05,24.67,25.48,22.99,23.58,1214790
2023-12-06,24.29,24.46,23.0,23.31,418790
2023-12-07,23.31,24.0,22.5,23.64,608380
2023-12-08,24.1,24.5,23.31,23.8,274020
2023-12-11,23.94,23.94,23.04,23.1,245450
2023-12-12,23.1,23.84,22.81,23.04,623170
2023-12-13,23.04,23.53,22.84,23.45,160060
2023-12-14,23.45,24.79,23.34,24.35,2236250
2023-12-15,24.09,25.0,23.85,24.72,802880
2023-12-18,25.0,25.49,24.5,25.16,893400
2023-12-19,25.16,25.82,24.9,25.37,1330100
2023-12-20,25.55,25.81,25.1,25.51,497620
2023-12-21,25.51,25.54,24.66,24.9,813270
2023-12-22,25.07,25.29,24.91,24.98,388650
2023-12-25,25.25,26.5,25.02,25.69,1643890
2023-12-26,25.99,27.44,25.6,27.27,7975770
2023-12-27,27.3,27.57,26.42,26.48,1812310
2023-12-28,26.79,26.79,25.51,25.6,1079440
2023-12-29,25.77,26.96,25.52,26.53,2796150
2024-01-03,26.79,27.19,26.17,26.73,540380
2024-01-04,26.73,26.97,26.5,26.82,421840
2024-01-05,26.99,28.24,26.62,27.83,4384720
2024-01-08,28.0,28.4,27.6,27.8,1190980
2024-01-09,27.8,28.45,27.3,27.89,1403460
2024-01-10,27.89,27.97,27.32,27.71,635270
2024-01-11,27.65,28.75,27.41,28.45,1385020
2024-01-12,28.51,28.7,28.03,28.45,846560
2024-01-15,28.41,29.4,28.3,28.98,1493480
2024-01-16,28.9,29.0,27.98,28.32,1407330
2024-01-17,28.49,28.68,28.3,28.6,403290
2024-01-18,28.61,28.72,28.01,28.26,397250
2024-01-19,28.27,28.42,27.3,27.74,735570
2024-01-22,28.16,28.16,27.5,27.67,485010
2024-01-23,27.67,27.89,27.55,27.71,330160
2024-01-24,27.73,28.13,27.65,27.9,352650
2024-01-25,27.99,28.08,27.01,27.24,676470
2024-01-26,27.38,28.12,27.18,27.45,1333050
2024-01-29,27.95,27.95,27.52,27.55,285570
2024-01-30,27.62,29.9,27.56,29.9,14005510
2024-01-31,30.05,30.3,28.89,29.26,4732460
2024-02-01,29.3,29.5,28.91,28.94,740800
2024-02-02,28.94,29.12,28.53,28.9,645020
