TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1500,1550,1495,1535,2884
2023-01-04,1535,1555,1510,1525,4100
2023-01-05,1520,1535,1510,1515,1578
2023-01-06,1520,1525,1495,1495,1973
2023-01-09,1505,1530,1485,1510,4793
2023-01-10,1515,1525,1510,1515,2999
2023-01-11,1510,1525,1510,1510,3859
2023-01-12,1520,2080,1515,1735,336799
2023-01-13,1850,2040,1750,1755,213928
2023-01-16,1800,1865,1750,1800,43721
2023-01-17,1800,1800,1725,1745,16175
2023-01-18,1745,1915,1695,1795,72302
2023-01-19,1800,1945,1780,1830,69466
2023-01-20,1840,1850,1785,1795,14314
2023-01-23,1800,1815,1735,1775,17440
2023-01-24,1775,1795,1740,1745,12700
2023-01-25,1760,1990,1750,1860,187056
2023-01-26,1885,1935,1800,1825,46085
2023-01-27,1850,1850,1770,1780,13860
2023-01-30,1810,1870,1770,1805,30343
2023-01-31,1820,1830,1795,1830,8875
2023-02-01,1835,1835,1800,1810,11257
2023-02-02,1820,1915,1805,1805,53051
2023-02-03,1810,1825,1800,1800,12647
2023-02-06,1800,1820,1800,1815,7993
2023-02-07,1825,1825,1810,1820,6987
2023-02-08,1820,1845,1815,1820,11725
2023-02-09,1840,1955,1815,1830,73262
2023-02-10,1850,1865,1825,1825,8323
2023-02-13,1865,1865,1825,1830,9065
2023-02-14,1835,1865,1825,1840,13177
2023-02-15,1840,2760,1835,2710,815508
2023-02-16,2980,3980,2385,3600,2563370
2023-02-17,3245,3800,2760,2800,1900989
2023-02-20,2675,3075,2540,2560,418766
2023-02-21,2620,2690,2420,2465,105512
2023-02-22,2505,2655,2455,2510,106490
2023-02-24,2520,2535,2405,2415,24928
2023-02-27,2450,2570,2425,2475,52972
2023-02-28,2520,2590,2475,2535,54985
2023-03-01,2555,2590,2510,2540,48108
2023-03-02,2550,2560,2415,2485,27488
2023-03-03,2500,2690,2460,2645,68061
2023-03-06,2800,2905,2665,2905,171814
2023-03-07,2995,3145,2905,2925,166553
2023-03-09,2925,2960,2755,2835,54442
2023-03-10,2820,3005,2770,2890,99841
2023-03-13,2895,2990,2895,2935,43580
2023-03-14,2940,2970,2790,2880,39630
2023-03-15,2890,2945,2820,2890,31471
2023-03-16,2890,2955,2855,2910,21161
2023-03-17,2945,2945,2885,2915,23509
2023-03-20,2930,3080,2915,3010,130781
2023-03-21,3045,3305,2965,3305,213388
2023-03-22,3300,3625,3125,3430,494736
2023-03-23,3410,3535,3225,3300,106975
2023-03-24,3250,3345,3225,3295,23649
2023-03-27,3320,3325,3250,3300,13921
2023-03-28,3305,3325,3245,3290,9573
2023-03-29,3300,3305,3210,3255,14347
2023-03-30,3230,3425,3230,3325,71269
2023-03-31,3335,3365,3255,3275,15049
2023-04-03,3275,3365,3230,3290,20279
2023-04-04,3290,3530,3290,3410,180173
2023-04-05,3455,3905,3355,3620,432598
2023-04-06,3625,3640,3515,3540,47661
2023-04-07,3555,3670,3505,3560,75041
2023-04-10,3560,3605,3515,3585,25253
2023-04-11,3595,3735,3250,3510,85613
2023-04-12,3515,3615,3460,3505,30575
2023-04-13,3480,3525,3455,3480,12065
2023-04-14,3535,3695,3470,3510,106304
2023-04-17,3530,3630,3510,3570,33211
2023-04-18,3575,3670,3535,3570,35261
