TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,13550,13580,13040,13420,1343
2023-01-04,13560,13560,13280,13370,748
2023-01-05,13470,13470,13120,13280,588
2023-01-06,13250,13370,13220,13260,302
2023-01-09,13260,13820,13210,13390,1568
2023-01-10,13380,13880,13300,13450,2233
2023-01-11,13500,13560,13300,13410,872
2023-01-12,13410,15470,13350,13970,24093
2023-01-13,14200,14840,14150,14310,9230
2023-01-16,14380,14700,14350,14410,2190
2023-01-17,14470,14600,14060,14170,1630
2023-01-18,14180,14500,14130,14310,1938
2023-01-19,14470,14600,14250,14300,2101
2023-01-20,14330,14410,14140,14310,698
2023-01-23,14390,14390,14230,14230,401
2023-01-24,14290,14350,14240,14250,519
2023-01-25,14340,15030,14200,14370,9312
2023-01-26,14500,14690,14310,14350,1345
2023-01-27,14350,14500,14200,14310,981
2023-01-30,14340,14380,13900,14230,2197
2023-01-31,14350,14350,14150,14270,591
2023-02-01,14340,14350,14180,14210,776
2023-02-02,14340,14580,14250,14310,2711
2023-02-03,14330,14500,14290,14350,1221
2023-02-06,14250,14470,14250,14280,1063
2023-02-07,14300,14440,13910,14200,960
2023-02-08,14320,14320,14110,14240,1059
2023-02-09,14220,14470,14090,14200,3087
2023-02-10,14340,14340,14100,14140,809
2023-02-13,14130,14230,14100,14160,493
2023-02-14,14160,14220,13630,13850,1237
2023-02-15,13900,17230,13850,15260,49532
2023-02-16,15940,16480,14330,14880,58437
2023-02-17,15060,15480,14170,14200,8648
2023-02-20,14500,18710,14250,15990,127470
2023-02-21,16620,17300,15040,15400,21712
2023-02-22,15500,16200,15100,15280,9293
2023-02-24,15370,15880,14920,15210,2449
2023-02-27,15210,15350,15120,15210,1714
2023-02-28,15210,15900,15210,15390,5390
2023-03-01,15420,15500,15290,15290,1866
2023-03-02,15370,15430,14890,15050,2270
2023-03-03,15160,15300,14880,15200,1853
2023-03-06,15300,18150,15300,17700,67696
2023-03-07,17660,17660,16600,16630,18167
2023-03-09,16720,17010,16300,16450,3263
2023-03-10,16410,17460,16410,16700,8037
