TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,8.61,9.14,8.46,8.78,12376300
2023-01-04,8.94,8.99,8.6,8.67,5382200
2023-01-05,8.34,8.64,8.26,8.52,4282800
2023-01-06,8.53,8.55,8.35,8.48,1835200
2023-01-09,8.5,8.98,8.43,8.57,6949200
2023-01-10,8.71,8.72,8.48,8.6,2515700
2023-01-11,8.7,12.03,8.55,12.03,151838100
2023-01-12,12.25,12.36,9.78,9.91,54280800
2023-01-13,10.07,10.8,10.01,10.15,20991400
2023-01-16,10.28,10.46,10.11,10.17,4901400
2023-01-17,10.3,10.3,9.56,9.92,3368500
2023-01-18,9.82,11.52,9.61,10.55,102521900
2023-01-19,10.6,10.75,10.02,10.21,9780400
2023-01-20,10.26,10.82,10.03,10.18,18335900
2023-01-23,10.31,10.92,10.23,10.46,15098900
2023-01-24,10.53,10.78,10.42,10.57,6801800
2023-01-25,10.68,11.19,10.58,10.66,12243800
2023-01-26,10.73,10.73,10.19,10.52,4174300
2023-01-27,10.45,10.5,10.2,10.42,3348800
2023-01-30,10.56,10.57,10.37,10.5,1993400
2023-01-31,10.51,10.9,10.43,10.55,5449700
2023-02-01,10.73,10.74,10.42,10.58,4540300
2023-02-02,10.5,10.69,10.17,10.62,3932000
2023-02-03,10.63,11.19,10.53,10.62,17512700
2023-02-06,10.69,10.92,10.62,10.73,3234600
2023-02-07,10.75,11.79,10.74,11.23,34370700
2023-02-08,11.28,11.55,11.0,11.31,11032300
2023-02-09,11.31,12.88,11.2,11.6,41657100
2023-02-10,11.59,12.3,11.3,11.39,10267600
2023-02-13,11.47,11.73,11.22,11.49,3591800
2023-02-14,11.6,11.6,11.0,11.2,4140400
2023-02-15,11.2,11.2,10.22,10.3,4462800
2023-02-16,10.3,11.26,10.23,10.49,6937900
2023-02-17,10.58,10.89,10.36,10.41,4008700
2023-02-20,10.55,11.15,10.33,10.79,13541200
2023-02-21,10.84,10.99,10.57,10.79,3799400
2023-02-22,10.79,11.2,10.73,10.77,2242200
2023-02-24,10.7,10.89,10.7,10.8,886100
2023-02-27,10.85,11.4,10.81,10.93,6726700
2023-02-28,11.06,11.31,10.96,11.16,3570000
2023-03-01,11.11,11.33,11.11,11.23,2848700
2023-03-02,11.23,11.23,10.79,10.93,3052500
2023-03-03,10.84,11.13,10.84,11.03,1820100
2023-03-06,11.2,11.41,11.04,11.26,3566700
2023-03-07,11.28,11.31,11.08,11.19,1243900
2023-03-09,11.24,11.84,11.18,11.37,9645800
2023-03-10,11.45,11.46,11.21,11.27,1363300
2023-03-13,11.43,11.43,11.01,11.26,2202600
2023-03-14,11.26,11.29,11.01,11.13,1384000
2023-03-15,11.2,11.21,10.9,10.96,1222300
2023-03-16,10.95,11.25,10.95,11.1,2897800
2023-03-17,11.11,11.19,11.0,11.05,1726800
2023-03-20,11.06,11.2,10.98,11.04,1935800
2023-03-21,11.04,11.21,11.01,11.05,4035500
2023-03-22,11.05,11.25,11.03,11.17,2557600
2023-03-23,11.21,11.7,11.17,11.5,6902900
2023-03-24,11.5,11.9,11.49,11.6,6489800
2023-03-27,11.73,12.48,11.67,12.4,22514200
2023-03-28,12.64,12.88,12.1,12.36,10508900
2023-03-29,12.34,12.4,11.75,12.1,6980900
2023-03-30,12.08,12.3,11.85,11.96,3492100
2023-03-31,12.03,12.11,11.77,11.85,2924800
2023-04-03,11.99,12.24,11.9,12.1,2803100
2023-04-04,12.18,16.87,12.13,16.8,162163300
2023-04-05,16.85,17.38,15.02,15.2,23195400
2023-04-06,15.35,15.35,14.61,15.01,3634300
2023-04-07,15.04,15.68,14.89,15.08,5823600
2023-04-10,15.21,15.9,15.15,15.58,6982000
2023-04-11,15.68,15.84,15.11,15.2,3477200
2023-04-12,15.2,15.78,15.2,15.73,6615800
