TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,4.74,4.85,4.66,4.85,31000
2023-01-04,4.85,4.85,4.71,4.74,50800
2023-01-05,4.79,4.79,4.71,4.71,12000
2023-01-06,4.79,4.79,4.72,4.75,2900
2023-01-09,4.78,4.87,4.73,4.84,122100
2023-01-10,4.81,5.0,4.79,4.91,228600
2023-01-11,4.98,5.05,4.9,4.97,40400
2023-01-12,5.03,5.27,4.9,5.03,248500
2023-01-13,5.03,5.27,4.98,5.08,92300
2023-01-16,5.05,5.16,4.93,5.0,50000
2023-01-17,5.05,5.2,4.82,4.89,122600
2023-01-18,4.9,4.97,4.83,4.91,69000
2023-01-19,4.9,4.99,4.78,4.81,288000
2023-01-20,4.81,4.88,4.7,4.8,172800
2023-01-23,4.8,4.88,4.74,4.83,102400
2023-01-24,4.85,4.88,4.7,4.8,113200
2023-01-25,4.8,4.85,4.74,4.81,61100
2023-01-26,4.8,4.96,4.75,4.93,150300
2023-01-27,4.93,4.93,4.79,4.88,260500
2023-01-30,4.85,4.9,4.84,4.87,38300
2023-01-31,4.93,4.99,4.85,4.89,149500
2023-02-01,4.9,4.93,4.87,4.89,13700
2023-02-02,4.92,4.94,4.84,4.93,38400
2023-02-03,4.93,4.93,4.72,4.85,144100
2023-02-06,4.86,4.94,4.85,4.91,50100
2023-02-07,4.91,4.91,4.82,4.89,41900
2023-02-08,4.9,4.92,4.82,4.86,447100
2023-02-09,4.89,4.89,4.81,4.82,305400
2023-02-10,4.87,4.89,4.79,4.85,125300
2023-02-13,4.87,4.98,4.85,4.95,287100
2023-02-14,4.91,4.98,4.81,4.91,261800
2023-02-15,4.95,4.96,4.75,4.89,529300
2023-02-16,4.78,4.94,4.78,4.86,203800
2023-02-17,4.88,4.91,4.82,4.89,121000
2023-02-20,4.9,4.9,4.76,4.82,99600
2023-02-21,4.78,4.86,4.75,4.84,109800
2023-02-22,4.84,4.89,4.79,4.81,53100
2023-02-24,4.83,4.92,4.78,4.85,129900
2023-02-27,4.84,4.89,4.8,4.86,46000
2023-02-28,4.86,4.89,4.82,4.82,81900
2023-03-01,4.86,4.89,4.83,4.85,61600
2023-03-02,4.87,5.07,4.83,4.92,435900
2023-03-03,4.93,6.56,4.93,5.93,7317700
2023-03-06,6.0,6.3,5.5,5.93,1745600
2023-03-07,5.83,5.88,5.68,5.74,225900
2023-03-09,5.82,5.92,5.38,5.49,1343100
2023-03-10,5.65,5.65,5.28,5.39,350000
2023-03-13,5.42,5.49,5.3,5.46,317500
2023-03-14,5.33,5.43,5.3,5.33,114900
2023-03-15,5.37,5.42,5.33,5.37,172800
2023-03-16,5.34,5.39,5.12,5.28,306300
2023-03-17,5.35,5.35,5.11,5.26,167100
2023-03-20,5.19,5.36,5.12,5.28,197700
2023-03-21,5.22,5.33,5.21,5.29,70300
2023-03-22,5.3,5.34,5.2,5.28,681000
2023-03-23,5.27,5.31,5.2,5.27,224100
2023-03-24,5.3,5.3,5.16,5.2,479300
2023-03-27,5.24,5.4,5.2,5.24,2198100
2023-03-28,5.36,5.36,5.12,5.24,1195600
2023-03-29,5.23,5.27,5.18,5.25,594300
2023-03-30,5.25,5.33,5.21,5.24,547700
2023-03-31,5.35,5.35,5.17,5.21,500300
2023-04-03,5.21,5.28,5.2,5.24,284300
2023-04-04,5.29,5.29,5.24,5.28,122000
2023-04-05,5.28,5.34,5.21,5.31,679100
2023-04-06,5.31,5.45,5.28,5.41,1772700
2023-04-07,5.44,5.75,5.31,5.53,1207600
2023-04-10,5.55,5.9,5.5,5.67,1718100
2023-04-11,5.58,6.45,5.58,6.0,5651100
2023-04-12,5.94,6.99,5.84,6.54,6832400
2023-04-13,6.59,6.7,6.14,6.34,874000
2023-04-14,6.28,6.6,6.21,6.3,464900
2023-04-17,6.43,6.43,6.15,6.36,588700
2023-04-18,6.25,6.41,6.25,6.35,198900
2023-04-19,6.34,6.34,6.09,6.17,359000
2023-04-20,6.17,6.22,5.91,6.12,430600
2023-04-21,6.12,6.31,6.06,6.2,570000
2023-04-24,6.3,6.48,6.07,6.23,957200
2023-04-25,6.33,6.35,6.04,6.13,1605100
2023-04-26,6.14,6.3,6.08,6.3,791100
2023-04-27,6.4,6.4,6.08,6.17,1268600
2023-04-28,6.23,6.23,5.95,6.0,704200
2023-05-02,6.03,6.03,5.47,5.5,1025700
2023-05-03,5.58,5.6,5.3,5.41,368100
2023-05-04,5.47,5.58,5.32,5.51,312300
2023-05-05,5.49,5.6,5.43,5.47,105900
2023-05-08,5.43,5.55,5.37,5.55,127300
2023-05-10,5.55,5.72,5.2,5.64,195200
2023-05-11,5.64,5.98,5.64,5.82,647500
2023-05-12,5.85,5.96,5.68,5.82,233200
2023-05-15,5.82,5.91,5.72,5.79,211100
2023-05-16,5.81,5.85,5.7,5.75,204900
2023-05-17,5.66,5.75,5.59,5.59,725700
2023-05-18,5.63,5.81,5.5,5.72,480500
2023-05-19,5.72,6.1,5.68,5.8,1135400
2023-05-22,5.8,6.02,5.6,5.7,382200
2023-05-23,5.73,5.74,5.58,5.58,133000
2023-05-24,5.6,5.76,5.58,5.7,219700
2023-05-25,5.71,5.72,5.56,5.64,206200
2023-05-26,5.65,5.77,5.65,5.7,115500
2023-05-29,5.73,5.78,5.66,5.69,112900
2023-05-30,5.67,5.73,5.6,5.65,178600
2023-05-31,5.64,5.75,5.33,5.58,556000
2023-06-01,5.59,5.64,5.4,5.47,237200
2023-06-02,5.47,6.1,5.41,5.79,833500
2023-06-05,5.85,6.04,5.6,5.71,454700
2023-06-06,5.85,5.89,5.47,5.89,410700
2023-06-07,5.93,5.93,5.6,5.73,294300
2023-06-08,5.73,5.75,5.52,5.63,153300
2023-06-09,5.62,5.74,5.46,5.57,841500
2023-06-13,5.57,5.68,5.55,5.58,493300
2023-06-14,5.64,5.64,5.37,5.59,747300
2023-06-15,5.6,5.75,5.54,5.64,1123100
2023-06-16,5.65,5.73,5.58,5.64,327800
2023-06-19,5.71,5.74,5.6,5.68,412100
2023-06-20,5.69,5.9,5.63,5.8,1370300
2023-06-21,5.89,6.1,5.77,5.94,1112200
2023-06-22,6.0,6.1,5.87,5.94,592300
2023-06-23,5.95,5.95,5.78,5.81,306700
2023-06-26,5.5,5.94,5.47,5.78,745400
2023-06-27,5.72,5.8,5.55,5.71,448600
2023-06-28,5.62,5.76,5.62,5.72,225000
2023-06-29,5.73,5.75,5.57,5.64,566700
2023-06-30,5.64,5.68,5.5,5.6,639100
2023-07-03,5.63,5.73,5.62,5.67,543800
2023-07-04,5.68,5.75,5.63,5.7,186600
2023-07-05,5.7,5.73,5.59,5.7,369800
2023-07-06,5.7,5.73,5.66,5.72,257200
2023-07-07,5.72,5.75,5.56,5.65,512000
2023-07-10,5.66,5.69,5.6,5.68,550900
2023-07-11,5.69,5.71,5.55,5.66,1016000
2023-07-12,5.66,5.71,5.66,5.69,304500
2023-07-13,5.7,5.86,5.62,5.72,812600
2023-07-14,5.8,5.9,5.7,5.82,614900
2023-07-17,5.88,5.95,5.81,5.88,423700
2023-07-18,5.9,6.17,5.87,6.15,1410400
2023-07-19,6.2,6.24,6.05,6.21,1364200
2023-07-20,6.22,6.22,6.06,6.14,634800
2023-07-21,6.22,6.37,6.07,6.28,623200
2023-07-24,6.35,6.36,6.19,6.3,626800
2023-07-25,6.29,6.4,6.11,6.29,1063700
2023-07-26,6.3,6.46,6.29,6.44,872100
2023-07-27,6.46,6.6,6.4,6.58,1016700
2023-07-28,6.58,6.76,6.5,6.74,1642200
2023-07-31,6.74,6.75,6.45,6.63,2144600
2023-08-01,6.63,6.63,6.5,6.59,1066100
2023-08-02,6.59,6.97,6.59,6.91,3864000
2023-08-03,6.99,7.0,6.7,6.95,1358400
2023-08-04,7.04,7.38,6.5,6.75,3194700
2023-08-07,6.75,7.79,6.61,7.79,3292100
2023-08-08,8.1,8.38,7.26,8.29,4043900
2023-08-09,8.4,11.13,8.35,10.5,11002600
2023-08-10,10.9,10.9,7.9,8.3,11811200
2023-08-11,8.6,8.97,8.12,8.64,2896100
2023-08-14,8.71,8.88,8.3,8.4,3737200
2023-08-15,8.15,8.43,7.62,8.14,2343200
2023-08-16,8.19,8.29,7.3,7.55,2941800
2023-08-17,7.59,7.69,7.31,7.48,741400
2023-08-18,7.53,7.68,7.31,7.57,1066100
2023-08-21,7.88,8.1,7.54,8.02,2768300
2023-08-22,8.04,8.38,7.9,8.07,3545500
2023-08-23,8.1,8.2,7.77,7.97,1389500
2023-08-24,7.9,7.9,7.61,7.87,755700
2023-08-25,7.91,8.15,7.68,8.12,2116000
2023-08-28,8.16,8.38,8.01,8.3,4020300
2023-08-29,8.36,8.45,8.0,8.16,2328100
2023-08-30,8.17,8.34,8.02,8.16,2279900
2023-08-31,8.16,8.18,7.85,8.0,2698600
2023-09-01,8.06,8.2,7.9,8.18,2900700
2023-09-04,8.3,8.45,8.12,8.33,5732400
2023-09-05,8.5,9.19,8.2,8.36,17895000
2023-09-06,8.39,8.39,8.0,8.22,2675300
2023-09-07,8.22,8.34,7.5,7.72,4487100
2023-09-08,7.74,8.0,7.34,7.96,1827300
2023-09-11,7.96,8.17,7.74,7.92,1355900
2023-09-12,7.92,8.17,7.88,8.05,1169400
2023-09-13,8.05,8.19,7.75,7.83,1328800
2023-09-14,7.9,7.9,6.19,7.15,3137100
2023-09-15,7.25,8.11,6.99,7.48,2746100
2023-09-18,7.58,7.63,7.21,7.29,790500
2023-09-19,7.3,7.78,6.7,7.04,2233600
2023-09-20,7.03,7.03,6.3,6.77,1592100
2023-09-21,6.53,7.2,6.52,6.66,710200
