TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,423.9,433.9,416.7,432.6,13428
2023-01-04,433.9,433.9,429.6,432.0,12456
2023-01-05,433.0,445.0,431.0,439.1,42663
2023-01-06,443.9,443.9,431.0,436.9,13748
2023-01-09,441.7,441.7,431.6,432.1,28036
2023-01-10,426.2,445.0,425.6,435.9,21845
2023-01-11,438.0,442.0,434.2,439.5,31654
2023-01-12,439.1,441.9,439.0,440.0,13434
2023-01-13,441.0,443.7,435.6,437.1,20622
2023-01-16,439.1,440.0,436.5,438.4,22706
2023-01-17,438.6,439.4,431.0,437.2,20384
2023-01-18,438.0,455.4,434.2,446.4,111880
2023-01-19,446.3,458.0,440.0,448.9,58930
2023-01-20,451.9,452.0,441.0,446.9,13743
2023-01-23,448.2,451.9,445.6,450.0,20458
2023-01-24,452.0,454.8,448.0,448.7,21646
2023-01-25,451.7,454.6,439.6,447.2,35159
2023-01-26,447.5,450.1,442.9,445.0,8141
2023-01-27,445.0,455.0,444.0,451.0,35159
2023-01-30,455.0,460.0,455.0,460.0,38272
2023-01-31,460.1,472.3,460.1,468.0,57166
2023-02-01,472.3,481.9,468.2,481.0,82250
2023-02-02,484.7,484.7,468.0,478.3,48891
2023-02-03,481.9,481.9,470.0,477.4,37389
2023-02-06,483.8,485.0,463.8,472.5,188812
2023-02-07,473.0,475.8,467.0,470.8,24607
2023-02-08,470.8,474.8,463.8,466.9,32502
2023-02-09,463.8,470.0,457.6,469.5,28585
2023-02-10,467.1,470.9,467.1,468.6,10900
2023-02-13,470.0,474.8,468.1,474.0,26924
2023-02-14,474.9,480.9,454.0,462.2,32214
2023-02-15,462.2,462.4,435.1,441.0,53470
2023-02-16,440.0,446.7,437.5,442.4,20156
2023-02-17,442.5,450.0,441.0,447.3,17526
2023-02-20,448.5,451.0,436.0,444.4,37737
2023-02-21,451.0,459.8,444.0,449.1,32369
2023-02-22,449.1,451.0,445.0,447.8,7420
2023-02-24,450.1,469.0,450.1,455.6,52400
2023-02-27,455.6,462.8,444.4,459.5,23745
2023-02-28,459.5,463.5,457.8,459.9,12194
2023-03-01,459.9,466.2,459.0,463.9,24360
2023-03-02,465.0,469.0,453.0,461.4,45011
2023-03-03,465.0,474.0,460.1,469.5,43858
2023-03-06,473.0,475.0,470.8,472.0,18954
2023-03-07,473.1,478.1,470.5,474.3,17921
2023-03-09,477.0,477.0,470.0,473.3,16613
2023-03-10,471.5,475.4,460.8,468.0,28433
2023-03-13,469.0,477.7,465.0,466.0,10117
2023-03-14,469.8,484.0,466.2,478.4,76906
2023-03-15,479.5,485.0,469.8,470.1,27163
2023-03-16,470.3,471.4,456.4,464.8,20737
2023-03-17,466.8,474.5,464.9,468.9,20214
2023-03-20,471.0,484.3,469.2,480.0,41976
2023-03-21,480.0,484.0,472.0,475.8,28018
2023-03-22,475.8,494.9,474.2,490.0,97333
2023-03-23,490.0,510.0,488.1,499.8,189139
2023-03-24,501.0,508.5,493.2,493.5,42735
2023-03-27,498.3,509.0,496.0,503.4,83378
2023-03-28,505.3,508.5,490.4,499.7,50271
2023-03-29,499.7,540.0,499.0,532.7,409948
2023-03-30,535.0,552.2,529.4,537.0,495319
2023-03-31,537.0,541.2,530.5,534.5,119522
2023-04-03,540.8,541.1,532.6,537.5,92663
2023-04-04,537.0,537.0,515.9,522.5,111342
2023-04-05,523.0,536.1,522.1,531.1,69008
2023-04-06,531.1,538.9,516.5,527.0,46524
