TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,866,866,838,856,4057
2023-01-04,858,900,854,858,9595
2023-01-05,866,888,854,860,6871
2023-01-06,864,886,816,830,24536
2023-01-09,836,870,834,844,15063
2023-01-10,852,982,844,882,150954
2023-01-11,880,928,860,868,26084
2023-01-12,874,948,870,884,39154
2023-01-13,904,946,874,892,28727
2023-01-16,898,930,890,912,17766
2023-01-17,930,930,896,906,6867
2023-01-18,906,912,896,900,5208
2023-01-19,902,904,874,878,5582
2023-01-20,878,938,872,894,22350
2023-01-23,886,926,886,906,13575
2023-01-24,920,938,906,922,14238
2023-01-25,926,930,906,912,4305
2023-01-26,924,1220,912,1062,519452
2023-01-27,1076,1076,972,984,108936
2023-01-30,1010,1064,984,1018,78809
2023-01-31,1024,1026,990,1000,16879
2023-02-01,1008,1012,982,994,9872
2023-02-02,998,1006,980,992,11788
2023-02-03,990,1048,974,984,45040
2023-02-06,990,1186,984,1098,308842
2023-02-07,1120,1538,1032,1538,932065
2023-02-08,1692,2086,1592,1790,1303957
2023-02-09,1860,1880,1214,1320,807864
2023-02-10,1230,1276,1120,1140,212608
2023-02-13,1148,1288,1140,1240,239153
2023-02-14,1270,1282,1162,1180,51207
2023-02-15,1180,1194,1086,1132,63823
2023-02-16,1132,1228,1112,1136,75605
2023-02-17,1136,1336,1120,1192,327629
2023-02-20,1226,1238,1128,1160,35567
2023-02-21,1148,1228,1138,1188,58375
2023-02-22,1204,1268,1188,1208,86657
2023-02-24,1224,1224,1190,1200,10802
2023-02-27,1200,1312,1178,1240,289030
2023-02-28,1272,1272,1242,1252,36853
2023-03-01,1254,1330,1244,1292,141743
2023-03-02,1300,1436,1270,1326,354895
2023-03-03,1334,1376,1274,1340,99778
2023-03-06,1358,1404,1352,1390,86471
2023-03-07,1390,1436,1364,1384,66918
2023-03-09,1390,1408,1342,1362,28030
2023-03-10,1360,1380,1340,1348,22101
2023-03-13,1350,1376,1250,1318,43408
2023-03-14,1324,1328,1290,1328,22463
2023-03-15,1350,1368,1290,1294,37693
2023-03-16,1304,1322,1278,1298,24522
2023-03-17,1316,1316,1260,1272,30501
2023-03-20,1274,1310,1266,1272,30366
2023-03-21,1272,1278,1238,1254,20890
2023-03-22,1256,1348,1246,1286,124181
2023-03-23,1300,1336,1292,1302,27025
2023-03-24,1310,1328,1292,1314,27935
2023-03-27,1326,1348,1300,1332,36054
2023-03-28,1358,1358,1304,1324,19942
2023-03-29,1334,1334,1308,1312,9444
2023-03-30,1312,1368,1312,1322,44284
2023-03-31,1326,1336,1290,1298,24843
2023-04-03,1322,1404,1308,1376,247277
2023-04-04,1380,1386,1340,1366,42928
2023-04-05,1378,1420,1342,1392,100009
2023-04-06,1412,1498,1398,1434,229436
2023-04-07,1452,1480,1402,1414,55623
2023-04-10,1422,1584,1416,1500,256362
2023-04-11,1506,1542,1368,1438,113704
2023-04-12,1430,1456,1400,1420,53494
2023-04-13,1420,1430,1380,1388,20961
2023-04-14,1396,1426,1382,1408,23191
2023-04-17,1418,1546,1408,1542,228740
2023-04-18,1542,1578,1474,1486,199682
2023-04-19,1494,1496,1422,1462,41566
2023-04-20,1466,1470,1416,1448,32835
2023-04-21,1448,1478,1440,1448,18097
2023-04-24,1454,1464,1430,1438,9079
2023-04-25,1450,1450,1430,1434,7004
2023-04-26,1434,1446,1426,1434,7580
2023-04-27,1438,1438,1408,1410,11931
2023-04-28,1410,1418,1354,1378,18345
2023-05-02,1382,1390,1222,1342,35205
2023-05-03,1334,1336,1252,1282,30294
2023-05-04,1262,1334,1262,1286,18681
2023-05-05,1290,1308,1272,1272,7170
2023-05-08,1280,1282,1270,1270,2844
2023-05-10,1270,1316,1270,1298,10556
2023-05-11,1376,1478,1344,1464,103303
2023-05-12,1404,1442,1280,1288,156017
2023-05-15,1290,1320,1270,1288,47391
2023-05-16,1288,1300,1288,1292,9932
2023-05-17,1298,1302,1290,1294,5440
2023-05-18,1298,1298,1282,1286,10325
2023-05-19,1282,1292,1254,1270,10790
2023-05-22,1278,1284,1222,1234,18163
2023-05-23,1234,1250,1200,1236,19609
2023-05-24,1240,1256,1230,1236,5002
2023-05-25,1246,1246,1204,1212,5190
2023-05-26,1224,1242,1212,1216,5175
2023-05-29,1220,1230,1208,1216,4895
2023-05-30,1214,1214,1204,1206,3436
2023-05-31,1204,1206,1176,1192,9732
2023-06-01,1198,1198,1160,1168,10229
2023-06-02,1172,1274,1140,1232,60921
2023-06-05,1256,1256,1202,1212,12650
2023-06-06,1214,1214,1150,1184,19494
2023-06-07,1192,1224,1178,1182,12149
2023-06-08,1190,1224,1178,1202,12112
2023-06-09,1202,1238,1182,1208,21367
2023-06-13,1230,1230,1210,1222,3349
2023-06-14,1230,1236,1218,1222,8244
2023-06-15,1236,1236,1202,1214,5171
2023-06-16,1228,1228,1210,1214,7259
2023-06-19,1216,1226,1178,1198,11743
2023-06-20,1198,1200,1174,1186,10249
2023-06-21,1192,1216,1190,1194,10231
2023-06-22,1200,1234,1194,1206,30920
2023-06-23,1200,1212,1188,1198,7141
2023-06-26,1196,1202,1156,1190,9731
2023-06-27,1190,1200,1186,1196,4525
2023-06-28,1200,1200,1168,1184,8810
2023-06-29,1184,1192,1180,1182,4333
2023-06-30,1180,1204,1170,1176,12776
2023-07-03,1176,1192,1174,1176,5222
2023-07-04,1182,1188,1164,1168,5854
2023-07-05,1174,1188,1166,1170,5981
2023-07-06,1168,1184,1166,1170,4737
2023-07-07,1170,1174,1162,1168,2626
2023-07-10,1170,1230,1168,1210,48652
2023-07-11,1208,1214,1184,1192,14296
2023-07-12,1192,1242,1192,1230,42665
2023-07-13,1242,1264,1212,1214,34860
2023-07-14,1226,1270,1214,1250,66009
2023-07-17,1250,1270,1242,1266,16394
2023-07-18,1266,1326,1252,1308,69751
2023-07-19,1308,1318,1280,1296,21870
2023-07-20,1310,1316,1254,1272,20184
2023-07-21,1270,1280,1222,1272,12112
2023-07-24,1280,1282,1240,1274,16060
2023-07-25,1280,1348,1274,1294,58268
2023-07-26,1292,1318,1274,1284,22012
2023-07-27,1282,1338,1276,1320,41994
2023-07-28,1324,1420,1318,1348,146131
2023-07-31,1354,1410,1346,1368,62335
2023-08-01,1388,1388,1328,1354,27491
2023-08-02,1354,1370,1334,1346,21850
2023-08-03,1352,1362,1324,1350,17484
2023-08-04,1360,1430,1324,1360,106322
2023-08-07,1380,1394,1354,1366,23238
2023-08-08,1366,1380,1320,1350,30958
2023-08-09,1356,1378,1346,1364,16864
2023-08-10,1370,1414,1358,1374,32098
2023-08-11,1382,1388,1362,1370,9667
2023-08-14,1378,1414,1308,1322,36330
2023-08-15,1340,1704,1306,1470,692557
2023-08-16,1474,1538,1362,1392,90834
2023-08-17,1382,1518,1382,1452,95821
2023-08-18,1454,1458,1400,1428,21525
2023-08-21,1442,1510,1432,1504,48143
2023-08-22,1512,1528,1460,1496,33749
2023-08-23,1498,1550,1450,1480,68164
2023-08-24,1466,1546,1444,1454,138315
2023-08-25,1468,1500,1456,1468,42518
2023-08-28,1490,1530,1470,1500,54124
2023-08-29,1512,1542,1500,1510,43480
2023-08-30,1512,1772,1512,1590,536021
2023-08-31,1594,1628,1542,1580,55779
2023-09-01,1592,1600,1552,1588,32400
2023-09-04,1592,1760,1590,1716,214107
2023-09-05,1716,1896,1682,1894,232586
2023-09-06,1910,1910,1814,1826,69031
2023-09-07,1826,1918,1640,1740,155417
2023-09-08,1768,1862,1700,1802,107574
2023-09-11,1830,1830,1746,1758,34538
2023-09-12,1802,1818,1746,1786,24174
2023-09-13,1788,1794,1750,1760,26837
2023-09-14,1780,1840,1682,1768,114936
2023-09-15,1770,1800,1712,1774,32651
2023-09-18,1796,1842,1772,1792,46495
2023-09-19,1768,1802,1700,1740,39856
2023-09-20,1730,1792,1604,1726,84546
2023-09-21,1702,1732,1656,1674,23407
2023-09-22,1660,1708,1646,1694,16132
2023-09-25,1704,1780,1692,1738,29478
2023-09-26,1740,1746,1704,1726,9421
2023-09-27,1736,1754,1716,1728,12501
2023-09-28,1730,1786,1728,1740,18204
2023-09-29,1740,1750,1730,1738,6203
2023-10-02,1752,1762,1702,1702,17149
2023-10-03,1700,1716,1660,1702,17987
2023-10-04,1704,1750,1684,1732,24358
2023-10-05,1720,1734,1662,1706,10144
2023-10-06,1688,1718,1682,1694,5161
2023-10-09,1706,1712,1676,1686,8246
2023-10-10,1682,1714,1656,1692,15281
2023-10-11,1692,1700,1662,1678,5534
2023-10-12,1662,1684,1660,1660,5913
2023-10-13,1662,1676,1652,1660,3315
2023-10-16,1660,1688,1646,1666,7106
2023-10-17,1686,1686,1654,1666,5116
2023-10-18,1668,1672,1612,1628,18249
2023-10-19,1634,1644,1592,1606,18361
2023-10-20,1608,1630,1560,1630,25098
2023-10-23,1646,1692,1616,1658,44644
2023-10-24,1666,1696,1630,1690,21839
2023-10-25,1688,1714,1670,1680,17452
2023-10-26,1688,1700,1640,1650,10747
2023-10-27,1652,1678,1646,1660,9675
2023-10-30,1670,1686,1650,1650,7369
2023-10-31,1652,1664,1610,1622,7661
2023-11-01,1618,1650,1616,1622,4722
2023-11-02,1634,1640,1618,1622,7419
2023-11-03,1620,1630,1596,1602,8172
2023-11-06,1604,1624,1594,1618,5990
2023-11-07,1620,1626,1600,1606,4117
2023-11-08,1606,1658,1596,1640,23004
2023-11-09,1684,1684,1618,1624,14389
2023-11-10,1614,1630,1598,1602,7126
2023-11-13,1602,1614,1518,1554,18376
2023-11-14,1554,1554,1484,1506,11731
2023-11-15,1504,1580,1494,1560,19134
2023-11-16,1556,1568,1518,1532,10105
2023-11-17,1532,1532,1502,1510,5620
2023-11-20,1526,1562,1512,1524,9058
2023-11-21,1524,1608,1518,1550,32296
2023-11-22,1560,1606,1554,1572,8195
2023-11-23,1572,1578,1534,1538,4779
2023-11-24,1550,1550,1522,1540,4349
2023-11-27,1542,1548,1458,1482,13175
2023-11-28,1494,1514,1422,1446,14491
2023-11-29,1458,1458,1422,1430,7854
2023-11-30,1430,1504,1370,1418,29069
2023-12-01,1428,1478,1396,1408,7079
2023-12-04,1404,1408,1316,1344,20627
2023-12-05,1350,1354,1262,1294,19603
2023-12-06,1296,1318,1256,1258,12327
2023-12-07,1252,1282,1224,1276,11383
2023-12-08,1282,1284,1248,1268,12842
2023-12-11,1270,1282,1206,1222,11113
2023-12-12,1232,1298,1212,1238,15494
2023-12-13,1240,1270,1202,1242,10158
2023-12-14,1242,1294,1230,1260,12272
2023-12-15,1260,1300,1242,1288,11704
2023-12-18,1300,1372,1298,1360,15784
2023-12-19,1358,1450,1332,1368,20174
2023-12-20,1374,1410,1368,1386,8567
2023-12-21,1376,1444,1372,1390,16461
2023-12-22,1402,1418,1362,1388,19314
2023-12-25,1394,1420,1350,1368,13856
2023-12-26,1368,1428,1348,1360,30171
2023-12-27,1372,1404,1350,1358,23349
2023-12-28,1358,1360,1304,1306,25684
2023-12-29,1312,1318,1290,1290,10211
2024-01-03,1310,1346,1298,1328,13980
2024-01-04,1330,1426,1322,1400,58615
2024-01-05,1398,1414,1362,1378,9460
2024-01-08,1388,1418,1378,1394,11020
2024-01-09,1396,1486,1390,1438,65190
2024-01-10,1438,1474,1418,1436,15632
2024-01-11,1430,1476,1402,1432,29099
2024-01-12,1428,1454,1426,1434,7712
2024-01-15,1462,1496,1438,1448,27635
2024-01-16,1458,1462,1422,1438,8266
2024-01-17,1440,1582,1436,1536,101358
2024-01-18,1540,1592,1506,1542,35192
2024-01-19,1556,1556,1504,1512,10965
2024-01-22,1522,1554,1484,1524,18647
2024-01-23,1528,1564,1524,1550,13831
2024-01-24,1550,1560,1516,1524,8817
2024-01-25,1526,1536,1472,1502,15439
2024-01-26,1502,1508,1486,1492,5068
2024-01-29,1494,1536,1494,1500,7431
2024-01-30,1508,1512,1494,1506,9095
2024-01-31,1506,1526,1494,1508,5333
2024-02-01,1504,1530,1474,1486,13103
2024-02-02,1490,1558,1486,1546,39378
2024-02-05,1546,1550,1512,1522,7269
2024-02-06,1530,1530,1502,1516,4757
2024-02-07,1516,1536,1494,1504,10135
2024-02-08,1508,1510,1446,1454,47259
2024-02-09,1460,1468,1424,1436,14504
2024-02-12,1464,1466,1402,1412,16274
2024-02-13,1402,1452,1402,1428,11631
2024-02-14,1438,1468,1424,1428,9486
2024-02-15,1432,1436,1410,1424,3889
2024-02-16,1424,1434,1406,1412,5365
2024-02-19,1418,1432,1400,1404,7149
2024-02-20,1410,1410,1380,1396,6346
2024-02-21,1394,1454,1294,1328,53906
2024-02-22,1336,1362,1328,1334,7316
2024-02-26,1352,1400,1352,1364,9814
2024-02-27,1368,1392,1340,1360,11530
2024-02-28,1366,1396,1362,1370,11034
2024-02-29,1360,1390,1360,1376,4635
2024-03-01,1380,1392,1362,1368,3179
2024-03-04,1378,1398,1364,1376,10512
2024-03-05,1380,1418,1376,1394,6447
2024-03-06,1410,1416,1396,1398,6881
2024-03-07,1410,1410,1394,1394,3159
2024-03-11,1404,1414,1386,1408,7052
2024-03-12,1410,1410,1392,1396,2860
2024-03-13,1410,1410,1374,1384,4495
2024-03-14,1396,1396,1338,1348,13450
2024-03-15,1348,1364,1342,1346,3582
2024-03-18,1350,1410,1344,1372,15802
2024-03-19,1360,1380,1336,1340,5179
2024-03-20,1356,1356,1310,1326,11418
2024-03-21,1336,1348,1330,1334,4862
2024-03-22,1342,1346,1314,1322,3192
2024-03-25,1314,1322,1300,1320,3727
2024-03-26,1324,1340,1320,1330,4629
2024-03-27,1340,1340,1312,1320,2923
2024-03-28,1330,1330,1300,1312,7553
2024-03-29,1312,1336,1302,1326,6825
2024-04-01,1340,1360,1332,1354,9134
2024-04-02,1358,1378,1352,1360,5709
2024-04-03,1360,1384,1348,1352,9067
2024-04-04,1362,1362,1340,1346,4295
2024-04-05,1354,1370,1328,1340,8676
2024-04-08,1360,1398,1350,1394,20847
2024-04-09,1394,1398,1354,1366,8052
2024-04-10,1366,1370,1352,1368,2722
2024-04-11,1368,1376,1358,1370,2719
2024-04-12,1370,1394,1368,1370,3604
2024-04-15,1376,1500,1364,1476,142427
2024-04-16,1476,1476,1438,1448,15274
2024-04-17,1454,1456,1396,1418,10380
2024-04-18,1424,1472,1416,1430,22959
2024-04-19,1430,1440,1388,1408,14720
2024-04-22,1408,1438,1392,1416,12694
2024-04-23,1424,1430,1400,1402,8375
2024-04-24,1400,1462,1382,1446,18711
2024-04-25,1452,1458,1402,1420,10595
2024-04-26,1422,1442,1420,1422,6648
2024-04-27,1422,1440,1410,1438,6847
2024-04-29,1438,1444,1424,1436,2219
2024-04-30,1438,1460,1420,1420,4977
2024-05-02,1422,1426,1400,1408,4607
2024-05-03,1406,1450,1402,1406,7122
2024-05-06,1410,1430,1402,1412,4573
2024-05-07,1416,1434,1412,1412,3138
2024-05-08,1420,1500,1412,1448,32082
2024-05-10,1458,1462,1436,1446,2362
2024-05-13,1448,1468,1430,1448,6113
2024-05-14,1452,1452,1424,1428,4129
2024-05-15,1448,1518,1438,1466,54787
2024-05-16,1488,1488,1440,1444,10123
2024-05-17,1456,1478,1426,1426,12465
2024-05-20,1424,1426,1380,1396,14405
2024-05-21,1370,1372,1272,1292,72078
2024-05-22,1298,1298,1266,1270,13552
2024-05-23,1270,1272,1244,1272,12363
2024-05-24,1272,1280,1248,1250,5612
2024-05-27,1250,1254,1202,1208,13294
2024-05-28,1208,1272,1206,1252,7660
2024-05-29,1252,1264,1208,1220,7766
2024-05-30,1220,1232,1182,1208,6750
2024-05-31,1200,1206,1144,1148,12269
2024-06-03,1170,1174,1070,1120,13612
2024-06-04,1120,1174,1114,1158,6649
2024-06-05,1172,1214,1164,1182,5849
2024-06-06,1180,1220,1168,1186,3683
2024-06-07,1210,1216,1176,1180,5468
2024-06-10,1204,1240,1160,1164,18143
2024-06-11,1182,1182,1122,1138,5844
2024-06-13,1088,1142,1076,1130,6004
2024-06-14,1134,1166,1124,1162,3295
2024-06-17,1168,1170,1144,1158,2390
2024-06-18,1162,1162,1118,1122,5748
2024-06-19,1122,1126,1050,1058,16300
2024-06-20,1058,1112,1042,1076,7618
2024-06-21,1088,1114,1060,1082,4613
2024-06-24,1078,1078,1016,1034,11187
2024-06-25,1044,1136,1034,1112,22444
2024-06-26,1102,1146,1090,1124,8558
2024-06-27,1120,1132,1106,1114,2926
2024-06-28,1106,1122,1102,1104,1594
2024-07-01,1110,1118,1102,1112,1586
2024-07-02,1112,1128,1104,1118,2110
2024-07-03,1122,1122,1102,1102,993
2024-07-04,1100,1108,1068,1070,4282
2024-07-05,1076,1078,1026,1042,6824
2024-07-08,1036,1054,1032,1040,1982
2024-07-09,1036,1038,998,1004,5048
2024-07-10,1004,1004,954,964,4955
2024-07-11,962,1016,936,1004,6866
2024-07-12,1008,1034,982,996,3759
2024-07-15,1002,1008,986,986,1642
2024-07-16,992,998,958,990,4847
2024-07-17,990,1012,964,984,8487
2024-07-18,984,1000,964,990,6762
2024-07-19,996,1028,972,1000,12281
2024-07-22,1002,1058,1002,1024,12233
2024-07-23,1026,1086,1000,1038,22175
2024-07-24,1038,1070,1022,1038,4786
2024-07-25,1036,1044,1030,1036,2387
2024-07-26,1034,1056,992,996,10839
2024-07-29,1002,1002,960,964,5698
2024-07-30,972,992,968,988,2809
2024-07-31,990,998,982,984,1373
2024-08-01,986,1008,984,990,3919
2024-08-02,988,992,972,980,6167
2024-08-05,976,976,950,968,4309
2024-08-06,974,992,962,970,2843
2024-08-07,976,980,954,978,2532
2024-08-08,974,984,972,978,1304
2024-08-09,974,984,968,976,1959
2024-08-12,976,1130,956,1094,59335
2024-08-13,1084,1310,1070,1248,197545
2024-08-14,1248,1248,1116,1116,78340
2024-08-15,1094,1170,1080,1098,38844
2024-08-16,1096,1130,1054,1068,32209
2024-08-19,1070,1072,1030,1038,12555
2024-08-20,1038,1068,1020,1030,9883
2024-08-21,1024,1044,1006,1016,8686
2024-08-22,1020,1060,984,996,24567
2024-08-23,990,1126,958,992,34499
2024-08-26,1010,1080,1002,1010,10744
2024-08-27,1016,1038,978,992,8994
2024-08-28,988,1020,980,996,6225
2024-08-29,994,1020,988,1000,5419
