TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,15.7,15.7,15.5,15.6,3500
2023-01-04,15.5,16.6,15.4,15.9,23900
2023-01-05,15.9,16.2,15.6,15.7,11200
2023-01-06,15.7,15.8,15.6,15.8,2700
2023-01-09,15.8,15.8,15.6,15.8,4700
2023-01-10,15.7,16.2,15.6,15.9,8500
2023-01-11,15.7,16.5,15.7,16.4,33800
2023-01-12,16.4,17.4,16.2,17.0,86500
2023-01-13,16.8,17.3,16.5,17.0,13500
2023-01-16,16.9,17.0,16.4,17.0,20900
2023-01-17,17.0,17.0,16.7,17.0,18100
2023-01-18,16.8,16.8,16.5,16.8,4800
2023-01-19,16.6,16.8,16.6,16.7,1300
2023-01-20,16.8,16.8,16.6,16.8,400
2023-01-23,16.8,17.1,16.8,17.0,3300
2023-01-24,17.0,17.1,16.9,17.0,3200
2023-01-25,17.1,17.1,16.9,17.0,1300
2023-01-26,16.9,17.1,16.5,17.0,12100
2023-01-27,16.8,16.8,15.9,16.3,47400
2023-01-30,16.3,16.4,16.2,16.4,3800
2023-01-31,16.3,16.8,16.1,16.7,19300
2023-02-01,16.5,16.8,16.5,16.7,4600
2023-02-02,16.7,16.8,16.2,16.7,8200
2023-02-03,16.6,16.7,16.5,16.7,2200
2023-02-06,16.5,17.1,16.5,17.0,21400
2023-02-07,16.9,18.1,16.7,17.9,56100
2023-02-08,17.9,18.0,17.4,17.9,16100
2023-02-09,17.9,18.0,17.2,17.9,30200
2023-02-10,17.9,18.0,17.6,17.9,3100
2023-02-13,18.0,19.0,17.5,18.7,36600
2023-02-14,20.0,20.1,17.2,18.9,238000
2023-02-15,18.4,20.3,18.3,18.9,119100
2023-02-16,18.7,18.9,18.6,18.9,7700
2023-02-17,18.7,18.8,18.0,18.3,24600
2023-02-20,18.2,18.5,18.1,18.5,5200
2023-02-21,18.2,18.8,18.1,18.8,4500
2023-02-22,18.8,19.4,18.8,19.2,20300
2023-02-24,19.5,20.0,18.4,19.7,50000
2023-02-27,19.5,19.9,19.5,19.9,4000
2023-02-28,19.8,20.1,19.2,20.1,38400
2023-03-01,20.1,20.4,19.9,20.2,41400
2023-03-02,20.3,20.6,19.8,19.9,73300
2023-03-03,19.9,21.1,18.9,20.5,217000
2023-03-06,21.1,27.4,21.1,21.9,331300
2023-03-07,22.0,22.1,21.1,21.5,56200
2023-03-09,21.8,22.3,20.7,21.1,43100
2023-03-10,21.2,21.4,20.7,20.8,21300
2023-03-13,20.8,21.3,20.7,20.8,16600
2023-03-14,20.8,21.4,20.6,20.7,20700
2023-03-15,20.8,20.9,20.1,20.4,41300
2023-03-16,20.2,21.0,20.1,20.1,18900
2023-03-17,20.2,20.8,20.1,20.1,19800
2023-03-20,20.5,20.5,19.8,19.8,53100
2023-03-21,19.9,20.3,19.8,20.1,8200
2023-03-22,20.3,20.3,19.8,20.1,13100
2023-03-23,20.0,20.3,20.0,20.3,8300
2023-03-24,20.1,20.9,20.1,20.2,16000
2023-03-27,20.4,20.6,20.4,20.6,7300
2023-03-28,20.6,20.7,20.4,20.7,8000
2023-03-29,20.8,20.9,20.7,20.9,10100
2023-03-30,20.9,21.0,20.7,20.8,14900
2023-03-31,20.7,22.8,20.6,20.7,210700
2023-04-03,20.9,20.9,20.2,20.6,37300
2023-04-04,20.6,22.5,20.4,22.0,83900
2023-04-05,21.9,22.7,21.0,22.3,70000
2023-04-06,22.9,27.5,22.2,24.8,380600
2023-04-07,25.1,34.4,23.2,31.4,884200
2023-04-10,28.3,33.6,27.1,30.1,411000
2023-04-11,30.2,30.5,29.1,29.8,52100
2023-04-12,30.1,30.4,27.6,29.4,59100
2023-04-13,29.2,29.5,28.8,29.2,6000
2023-04-14,29.0,29.7,28.0,28.9,55800
2023-04-17,29.1,30.0,26.8,28.5,133900
2023-04-18,28.8,29.2,27.1,28.0,93000
2023-04-19,28.2,31.0,28.2,29.4,87400
2023-04-20,29.1,29.1,28.2,28.9,41400
2023-04-21,28.9,29.0,28.1,28.5,13700
2023-04-24,28.6,29.4,28.2,28.5,19300
2023-04-25,28.9,29.3,28.2,29.0,41500
2023-04-26,29.1,40.5,28.4,40.5,1346100
2023-04-27,41.0,51.0,36.5,37.3,951900
2023-04-28,38.3,43.9,37.5,38.4,300000
2023-05-02,38.4,38.4,35.3,35.9,63200
2023-05-03,35.5,35.8,33.2,35.8,21900
2023-05-04,35.7,36.5,35.0,35.5,35300
2023-05-05,35.6,35.8,33.6,34.6,31300
2023-05-08,34.8,36.3,33.9,35.1,33100
2023-05-10,35.5,39.0,34.5,37.0,386700
2023-05-11,37.0,40.1,37.0,38.0,313100
2023-05-12,37.3,37.9,36.7,37.0,21300
2023-05-15,37.4,37.4,35.8,36.7,62700
2023-05-16,36.4,36.8,35.7,36.3,24300
2023-05-17,36.3,36.3,34.0,35.2,47700
2023-05-18,35.4,38.8,34.0,34.6,200400
2023-05-19,35.0,35.0,33.5,33.7,39900
