TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,95.4,96.15,94.9,95.55,1337090
2023-01-04,95.55,95.96,95.0,95.8,1145050
2023-01-05,95.96,96.18,95.0,95.79,1174080
2023-01-06,95.8,96.4,95.02,95.19,2606720
2023-01-09,95.0,95.79,95.0,95.53,1961240
2023-01-10,95.5,95.56,94.4,94.92,2509940
2023-01-11,95.15,98.8,94.81,98.59,6226870
2023-01-12,98.59,99.65,97.55,98.25,3857990
2023-01-13,98.55,99.41,97.72,98.98,2357940
2023-01-16,99.35,105.32,99.02,105.06,11280370
2023-01-17,105.62,105.62,102.22,102.78,8599660
2023-01-18,102.21,103.87,102.06,103.15,4326190
2023-01-19,102.79,103.24,99.64,100.25,5177420
2023-01-20,100.25,101.2,99.42,101.19,3978550
2023-01-23,101.35,102.28,100.52,101.7,3869230
2023-01-24,101.99,104.4,101.56,102.5,5357730
2023-01-25,102.24,103.06,101.73,102.55,2213220
2023-01-26,102.95,104.2,102.65,103.92,2148140
2023-01-27,104.0,104.0,103.02,103.74,1946570
2023-01-30,103.76,104.71,103.1,104.18,2067650
2023-01-31,104.24,108.4,104.24,107.35,7659240
2023-02-01,107.77,108.76,106.05,107.66,4860150
2023-02-02,107.94,109.11,107.23,107.97,4016870
2023-02-03,107.93,108.48,106.31,107.63,3850930
2023-02-06,107.16,109.98,107.02,109.77,3607350
2023-02-07,109.8,110.49,108.6,109.1,3066790
2023-02-08,109.1,109.84,107.78,108.39,3061260
2023-02-09,108.51,108.76,106.8,108.1,2870070
2023-02-10,107.47,108.24,107.22,108.2,1506700
2023-02-13,107.97,108.86,107.4,108.49,1376750
2023-02-14,108.29,108.68,106.35,106.73,3226790
2023-02-15,106.36,106.49,101.57,102.88,5749960
2023-02-16,103.15,105.36,102.84,104.22,3188950
2023-02-17,103.62,107.2,103.0,107.12,5870160
2023-02-20,106.56,107.8,104.52,106.6,4917330
2023-02-21,106.67,110.54,106.67,109.27,7031940
2023-02-22,109.25,109.25,107.66,108.6,2707860
2023-02-24,108.5,110.88,108.26,110.49,3706620
2023-02-27,109.85,116.0,109.51,115.41,12833090
2023-02-28,115.5,116.34,114.3,115.33,7385670
2023-03-01,115.49,117.5,115.47,117.1,7524200
2023-03-02,117.1,117.96,114.82,115.48,11364400
2023-03-03,115.5,117.99,115.5,117.95,4791860
2023-03-06,119.0,123.99,118.58,123.87,16956310
2023-03-07,124.0,124.92,122.41,123.23,10791770
2023-03-09,123.25,124.62,121.7,123.24,8197150
2023-03-10,123.29,123.89,116.26,117.0,43663540
2023-03-13,117.0,117.39,112.35,113.9,32453310
2023-03-14,113.8,114.7,112.54,113.76,10834740
2023-03-15,114.31,114.31,111.01,111.38,11108690
2023-03-16,111.48,112.11,109.34,111.71,13890780
2023-03-17,112.89,113.89,112.01,112.89,14821140
2023-03-20,113.0,114.15,111.79,113.88,10071510
2023-03-21,114.0,114.45,112.22,112.72,6381350
2023-03-22,112.34,113.63,112.21,113.04,2865980
2023-03-23,113.0,113.4,112.21,112.26,3626640
2023-03-24,112.49,113.4,112.1,112.68,4936740
2023-03-27,113.05,113.22,112.42,112.89,5206230
2023-03-28,113.14,113.16,112.02,112.47,3206790
2023-03-29,112.52,112.8,111.8,112.5,4602270
2023-03-30,112.7,112.7,112.11,112.41,3329460
2023-03-31,112.45,113.45,111.23,112.55,8532440
2023-04-03,112.86,114.32,112.1,113.86,6483160
2023-04-04,114.2,114.95,112.5,112.77,7951080
2023-04-05,112.62,113.04,111.51,112.58,4146030
2023-04-06,112.7,112.98,111.81,112.07,4051860
2023-04-07,111.9,112.92,111.17,112.27,4847360
2023-04-10,112.5,112.5,111.81,112.14,5028200
2023-04-11,112.28,112.34,111.02,111.11,7460020
2023-04-12,111.28,111.5,110.2,110.8,4724640
2023-04-13,110.83,110.9,110.05,110.65,3401290
2023-04-14,110.62,112.0,110.36,111.81,4150070
2023-04-17,112.09,112.94,111.81,112.04,3993030
2023-04-18,112.05,112.99,111.31,112.17,5493380
2023-04-19,112.19,112.2,110.2,110.9,5244580
2023-04-20,110.9,112.68,109.81,110.86,7989850
2023-04-21,111.2,111.36,110.56,110.97,2667040
2023-04-24,111.11,111.8,110.74,110.81,3678650
2023-04-25,110.99,111.05,110.57,110.74,2620870
2023-04-26,110.9,111.53,110.6,111.09,2395280
2023-04-27,111.25,111.25,110.57,110.68,2793770
2023-04-28,110.53,110.67,108.0,110.04,5879720
2023-05-02,109.88,110.27,108.0,108.37,4025720
2023-05-03,108.4,109.47,106.21,106.72,5706880
2023-05-04,107.0,109.38,106.82,109.22,3806970
2023-05-05,109.3,110.49,108.72,109.65,4341150
2023-05-08,109.35,109.74,107.75,108.0,2010550
2023-05-10,107.82,110.97,107.76,110.67,4201040
2023-05-11,110.12,111.5,108.32,109.55,5428340
2023-05-12,109.84,110.5,108.5,109.17,2957160
2023-05-15,109.5,110.8,109.41,110.63,2111180
2023-05-16,110.96,112.35,110.6,111.99,5388740
2023-05-17,111.99,112.77,111.78,112.52,4101440
2023-05-18,112.75,113.1,111.53,112.44,4260860
2023-05-19,112.3,113.82,111.3,113.82,5075840
2023-05-22,114.4,116.15,114.04,115.17,11405370
2023-05-23,115.2,115.28,112.4,114.02,6156040
2023-05-24,114.25,114.25,112.64,113.3,3351140
2023-05-25,113.71,114.75,112.7,113.53,2567850
2023-05-26,113.3,114.85,113.3,114.3,2758490
2023-05-29,114.99,115.91,114.3,115.61,4859260
2023-05-30,114.99,115.7,113.72,114.41,5961440
2023-05-31,114.16,117.19,113.26,116.32,6163110
2023-06-01,116.76,117.31,115.02,115.59,3985030
2023-06-02,115.85,121.7,115.66,120.88,15378880
2023-06-05,121.79,123.49,119.0,119.98,11641560
2023-06-06,119.89,121.87,118.14,121.53,5800450
2023-06-07,121.51,123.99,120.56,122.45,6643730
2023-06-08,122.45,123.7,121.8,123.0,3100430
2023-06-09,122.55,126.93,122.55,126.2,12741560
2023-06-13,127.0,127.84,125.51,126.88,8965510
2023-06-14,126.57,128.65,126.53,128.3,10290010
2023-06-15,124.28,124.87,123.32,124.26,17231000
