TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,11.84,11.94,11.72,11.82,80030
2023-01-04,11.8,11.92,11.7,11.86,85040
2023-01-05,11.86,11.92,11.72,11.78,55850
2023-01-06,11.76,11.88,11.76,11.84,48410
2023-01-09,11.86,12.56,11.82,12.0,277140
2023-01-10,12.0,12.2,11.84,12.06,218230
2023-01-11,11.98,16.0,11.94,13.9,4937030
2023-01-12,14.0,14.36,12.66,13.04,825160
2023-01-13,13.08,13.3,12.72,12.94,245970
2023-01-16,12.84,13.16,12.84,13.02,126940
2023-01-17,13.02,13.06,12.34,12.76,179160
2023-01-18,12.78,13.84,12.5,13.22,647000
2023-01-19,13.32,13.32,12.52,12.74,321720
2023-01-20,12.76,13.88,12.76,13.06,436750
2023-01-23,13.1,13.88,13.02,13.2,594630
2023-01-24,13.28,13.62,13.24,13.54,335070
2023-01-25,13.56,14.28,13.28,14.0,391320
2023-01-26,13.96,14.5,13.72,13.86,168710
2023-01-27,13.88,14.04,13.42,13.66,144580
2023-01-30,13.88,14.1,13.48,13.5,132190
2023-01-31,13.5,14.14,13.46,13.66,298920
2023-02-01,13.64,14.48,13.64,13.8,290390
2023-02-02,13.76,14.02,13.5,13.66,217450
2023-02-03,13.66,13.7,13.5,13.5,79990
2023-02-06,13.62,14.04,13.5,13.78,123380
2023-02-07,13.8,14.08,13.5,13.66,108970
2023-02-08,13.68,13.82,13.42,13.64,226350
2023-02-09,13.64,14.48,13.58,14.22,387780
2023-02-10,14.44,15.5,14.16,14.76,934550
2023-02-13,14.76,15.18,14.24,14.82,83270
2023-02-14,14.84,15.48,14.04,14.76,158570
2023-02-15,14.76,14.76,12.86,12.86,639480
2023-02-16,13.0,13.84,13.0,13.44,384160
2023-02-17,13.44,13.6,13.02,13.36,51820
2023-02-20,13.34,13.6,12.82,13.16,236690
2023-02-21,13.3,13.62,13.1,13.42,141330
2023-02-22,13.4,13.78,13.28,13.46,107150
2023-02-24,13.42,13.58,13.18,13.34,57990
2023-02-27,13.32,13.68,13.1,13.58,91560
2023-02-28,13.66,13.94,13.34,13.72,84060
2023-03-01,13.72,14.1,13.72,13.84,62700
2023-03-02,13.8,13.94,13.32,13.42,140250
2023-03-03,13.62,13.7,13.44,13.62,45600
2023-03-06,13.7,13.98,13.62,13.82,115680
2023-03-07,13.84,14.12,13.7,13.94,124380
2023-03-09,14.14,14.82,13.92,14.4,365850
2023-03-10,14.7,15.2,14.4,14.62,314850
2023-03-13,14.58,14.8,14.02,14.26,115230
2023-03-14,14.14,14.48,13.9,13.98,200970
2023-03-15,13.96,14.16,13.62,13.74,161340
2023-03-16,13.68,13.78,13.6,13.72,87790
2023-03-17,13.76,14.2,13.6,13.88,188370
2023-03-20,13.88,14.04,13.62,13.9,161440
2023-03-21,13.94,14.2,13.88,13.98,144460
2023-03-22,13.96,14.44,13.96,14.06,82420
2023-03-23,14.06,14.78,13.88,14.38,262460
2023-03-24,14.38,14.84,14.2,14.32,80520
2023-03-27,14.36,14.66,14.34,14.62,165480
2023-03-28,14.66,14.7,14.2,14.56,75880
2023-03-29,14.58,14.98,14.4,14.56,128130
2023-03-30,14.7,15.8,14.7,15.5,604130
2023-03-31,15.66,16.6,14.7,14.8,556060
2023-04-03,15.02,16.2,15.02,15.7,513710
2023-04-04,15.76,16.14,15.62,15.98,433190
2023-04-05,16.12,16.5,15.8,16.06,139560
2023-04-06,16.0,16.1,15.84,15.94,70330
2023-04-07,16.0,16.64,15.82,15.96,198950
2023-04-10,16.1,17.6,15.94,16.96,559150
2023-04-11,17.38,18.0,16.56,17.02,396310
2023-04-12,17.02,17.44,16.6,16.8,180390
2023-04-13,16.98,17.76,16.9,17.38,120990
2023-04-14,17.62,17.62,17.02,17.28,60240
2023-04-17,17.32,17.7,16.22,16.98,248430
