TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.1956,0.1976,0.1938,0.1942,44340000
2023-01-04,0.1938,0.1946,0.1844,0.1908,58890000
2023-01-05,0.1744,0.185,0.1744,0.1786,61220000
2023-01-06,0.1786,0.1798,0.1754,0.176,12950000
2023-01-09,0.179,0.179,0.175,0.1758,19550000
2023-01-10,0.1758,0.1758,0.17,0.174,21980000
2023-01-11,0.174,0.18,0.1738,0.1778,34040000
2023-01-12,0.1762,0.1884,0.1762,0.1802,55150000
2023-01-13,0.1708,0.1816,0.1708,0.1782,16950000
2023-01-16,0.178,0.1788,0.1734,0.1786,12500000
2023-01-17,0.1786,0.179,0.176,0.177,8000000
2023-01-18,0.178,0.1782,0.1752,0.178,6940000
2023-01-19,0.178,0.179,0.1752,0.176,4350000
2023-01-20,0.177,0.1858,0.1752,0.1792,79070000
2023-01-23,0.1818,0.1838,0.1784,0.182,34410000
2023-01-24,0.1808,0.1852,0.1808,0.1826,22850000
2023-01-25,0.1836,0.1854,0.1802,0.1814,33530000
2023-01-26,0.1812,0.1828,0.1778,0.1808,16630000
2023-01-27,0.1816,0.1816,0.177,0.179,16100000
2023-01-30,0.1796,0.1808,0.177,0.1782,21650000
2023-01-31,0.184,0.2166,0.1796,0.1892,1191480000
2023-02-01,0.1924,0.1924,0.1802,0.1866,137080000
2023-02-02,0.19,0.19,0.1852,0.1862,32740000
2023-02-03,0.186,0.1864,0.184,0.1842,12410000
2023-02-06,0.1852,0.1864,0.1832,0.1854,14400000
2023-02-07,0.187,0.187,0.182,0.1834,29620000
2023-02-08,0.184,0.1866,0.183,0.185,30600000
2023-02-09,0.187,0.1878,0.1838,0.1854,17270000
2023-02-10,0.1818,0.1848,0.1818,0.1838,16910000
2023-02-13,0.1852,0.1866,0.1826,0.184,31150000
2023-02-14,0.1844,0.185,0.1802,0.1808,16690000
2023-02-15,0.18,0.1808,0.1754,0.176,17570000
2023-02-16,0.1772,0.1802,0.1752,0.1764,9620000
2023-02-17,0.1776,0.1788,0.1714,0.175,13060000
2023-02-20,0.1762,0.1964,0.1702,0.1752,136770000
2023-02-21,0.1748,0.187,0.1744,0.1806,69810000
2023-02-22,0.182,0.184,0.1806,0.1812,10530000
2023-02-24,0.1816,0.1848,0.18,0.1818,22540000
2023-02-27,0.183,0.193,0.1804,0.1848,48550000
2023-02-28,0.1864,0.198,0.185,0.187,185430000
2023-03-01,0.187,0.1938,0.1858,0.1912,58120000
2023-03-02,0.19,0.1914,0.1814,0.1854,73290000
2023-03-03,0.1856,0.1886,0.1854,0.1862,27260000
2023-03-06,0.187,0.195,0.187,0.1928,85360000
2023-03-07,0.1938,0.1946,0.1908,0.1918,15190000
2023-03-09,0.195,0.198,0.191,0.1934,60020000
2023-03-10,0.1928,0.1972,0.1902,0.1934,33240000
2023-03-13,0.1936,0.2,0.1924,0.1938,31710000
2023-03-14,0.1948,0.1948,0.19,0.1934,10740000
2023-03-15,0.1936,0.1936,0.192,0.1922,5210000
2023-03-16,0.1922,0.1928,0.1882,0.1908,8780000
2023-03-17,0.1884,0.1932,0.1884,0.1916,7900000
2023-03-20,0.1922,0.1944,0.1916,0.1938,9200000
2023-03-21,0.1948,0.1966,0.1926,0.1934,10240000
2023-03-22,0.1922,0.2016,0.1896,0.1944,49040000
2023-03-23,0.1946,0.2,0.1944,0.1958,14570000
2023-03-24,0.1958,0.198,0.1954,0.1958,5660000
2023-03-27,0.1964,0.1998,0.191,0.195,34410000
2023-03-28,0.1994,0.1996,0.1922,0.1946,18950000
2023-03-29,0.1936,0.196,0.1936,0.195,8950000
2023-03-30,0.1944,0.2016,0.1924,0.1996,39320000
2023-03-31,0.1988,0.2056,0.1988,0.2002,32290000
2023-04-03,0.2016,0.2056,0.201,0.2032,34580000
2023-04-04,0.2034,0.2084,0.202,0.204,28450000
2023-04-05,0.204,0.2042,0.1996,0.2026,31030000
2023-04-06,0.2028,0.209,0.2008,0.2054,43110000
2023-04-07,0.2052,0.2138,0.203,0.2058,61080000
2023-04-10,0.2074,0.2174,0.206,0.2172,79180000
