TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.02645,0.02655,0.0261,0.02645,107920000
2023-01-04,0.02625,0.0274,0.02615,0.02665,295020000
2023-01-05,0.02685,0.0279,0.02665,0.02705,681570000
2023-01-06,0.02705,0.0272,0.02615,0.02675,199880000
2023-01-09,0.02735,0.02735,0.0268,0.0272,218500000
2023-01-10,0.0272,0.0274,0.0265,0.02715,201800000
2023-01-11,0.02745,0.0295,0.02675,0.0284,1135230000
2023-01-12,0.0281,0.03045,0.0281,0.0293,2799090000
2023-01-13,0.0297,0.03,0.02825,0.02955,966650000
2023-01-16,0.0325,0.0325,0.02955,0.0299,2068740000
2023-01-17,0.0299,0.03005,0.0285,0.02875,886500000
2023-01-18,0.02865,0.02905,0.0281,0.02875,338620000
2023-01-19,0.0286,0.029,0.02785,0.02815,392860000
2023-01-20,0.02835,0.0305,0.02825,0.0286,1287860000
2023-01-23,0.0288,0.0292,0.0286,0.0287,234050000
2023-01-24,0.0289,0.02945,0.0283,0.0291,776830000
2023-01-25,0.02945,0.03,0.0291,0.02935,711340000
2023-01-26,0.02955,0.0298,0.02905,0.02925,260280000
2023-01-27,0.0293,0.0297,0.02895,0.0296,539010000
2023-01-30,0.03015,0.0304,0.02945,0.0297,326780000
2023-01-31,0.02955,0.0302,0.0295,0.02985,371290000
2023-02-01,0.02985,0.03005,0.0293,0.0294,306820000
2023-02-02,0.02935,0.02965,0.02915,0.0294,171940000
2023-02-03,0.02945,0.02955,0.02865,0.0292,418610000
2023-02-06,0.02915,0.02975,0.0289,0.02925,239730000
2023-02-07,0.0293,0.02965,0.0291,0.0294,203400000
2023-02-08,0.0293,0.02995,0.0292,0.02945,652430000
2023-02-09,0.02945,0.02975,0.0294,0.02965,267060000
2023-02-10,0.02975,0.03065,0.02955,0.0298,597020000
2023-02-13,0.0298,0.0315,0.02975,0.0304,1078890000
2023-02-14,0.0305,0.0308,0.02915,0.03015,513690000
2023-02-15,0.0302,0.0302,0.028,0.0284,568330000
2023-02-16,0.02845,0.0295,0.0282,0.02905,565550000
2023-02-17,0.0292,0.02965,0.02875,0.0293,209020000
2023-02-20,0.0294,0.02985,0.02865,0.02905,181420000
2023-02-21,0.02875,0.0295,0.02875,0.02925,166760000
2023-02-22,0.0291,0.03,0.0291,0.02945,276200000
2023-02-24,0.02955,0.02965,0.029,0.0292,135020000
2023-02-27,0.02945,0.02965,0.02905,0.02945,158930000
2023-02-28,0.0297,0.0299,0.0295,0.0299,154070000
2023-03-01,0.0299,0.03015,0.0298,0.03,157140000
2023-03-02,0.03015,0.0302,0.02905,0.0294,319330000
2023-03-03,0.0294,0.0298,0.0293,0.02975,149580000
2023-03-06,0.0299,0.03035,0.0298,0.0301,328750000
2023-03-07,0.03025,0.0309,0.03005,0.03055,470290000
2023-03-09,0.0307,0.0356,0.03035,0.032,4902890000
2023-03-10,0.032,0.0329,0.03135,0.03175,859610000
2023-03-13,0.03175,0.0338,0.0317,0.0321,1347520000
2023-03-14,0.0322,0.0329,0.0318,0.03205,476840000
2023-03-15,0.0323,0.0323,0.031,0.0314,658030000
2023-03-16,0.0316,0.03205,0.031,0.03145,299150000
2023-03-17,0.0315,0.03185,0.03135,0.03145,215090000
2023-03-20,0.03145,0.0322,0.0312,0.03185,412990000
2023-03-21,0.032,0.0335,0.0318,0.03205,1141390000
2023-03-22,0.03185,0.03225,0.03165,0.0322,446200000
2023-03-23,0.03235,0.0326,0.03195,0.03245,353860000
2023-03-24,0.0325,0.0329,0.0324,0.03245,312650000
2023-03-27,0.0326,0.0332,0.03235,0.0332,219840000
2023-03-28,0.03325,0.03365,0.0328,0.03345,374040000
2023-03-29,0.0335,0.0337,0.03305,0.03325,211780000
2023-03-30,0.0333,0.0348,0.0329,0.03415,504880000
2023-03-31,0.03425,0.0371,0.03365,0.03595,2297710000
2023-04-03,0.03645,0.03875,0.0357,0.03705,1309570000
2023-04-04,0.03735,0.03845,0.03705,0.03775,610690000
2023-04-05,0.03705,0.03825,0.0362,0.0369,741410000
2023-04-06,0.0371,0.0387,0.03655,0.03695,964290000
2023-04-07,0.03695,0.03925,0.0369,0.0369,1171100000
2023-04-10,0.0369,0.0384,0.0369,0.0378,863000000
2023-04-11,0.0388,0.03925,0.037,0.0372,1131790000
2023-04-12,0.03795,0.03795,0.03665,0.03715,472940000
2023-04-13,0.03715,0.03755,0.03655,0.03675,295820000
2023-04-14,0.0368,0.0378,0.0368,0.037,458380000
2023-04-17,0.0371,0.0375,0.037,0.0372,209880000
2023-04-18,0.03725,0.03745,0.0369,0.0371,264780000
2023-04-19,0.037,0.0374,0.03675,0.0372,573340000
2023-04-20,0.037,0.0372,0.03645,0.03695,238440000
2023-04-21,0.03715,0.03715,0.0367,0.03695,196420000
2023-04-24,0.03695,0.03785,0.03695,0.03745,630730000
2023-04-25,0.03765,0.0391,0.0372,0.03875,894480000
2023-04-26,0.03875,0.0442,0.03875,0.0435,3526340000
2023-04-27,0.0435,0.0439,0.04015,0.0421,1471320000
2023-04-28,0.04195,0.0426,0.0403,0.0409,1268720000
2023-05-02,0.0411,0.04155,0.03665,0.038,890990000
2023-05-03,0.03835,0.0395,0.0369,0.0375,579580000
2023-05-04,0.0395,0.0395,0.03705,0.03805,407770000
2023-05-05,0.038,0.03855,0.03765,0.03785,172540000
2023-05-08,0.0379,0.0385,0.03625,0.0373,563760000
2023-05-10,0.0371,0.03895,0.03705,0.0381,321370000
2023-05-11,0.03865,0.0405,0.0384,0.03955,802790000
2023-05-12,0.0398,0.0398,0.0372,0.0383,852890000
2023-05-15,0.03755,0.03885,0.03755,0.03825,387630000
2023-05-16,0.03895,0.03895,0.0377,0.03845,249860000
2023-05-17,0.03865,0.0389,0.0383,0.03865,268430000
2023-05-18,0.0387,0.04,0.03785,0.03835,343270000
2023-05-19,0.03835,0.03845,0.03725,0.0378,218250000
2023-05-22,0.03775,0.03865,0.0375,0.03755,203130000
2023-05-23,0.0384,0.0385,0.03765,0.03845,347770000
2023-05-24,0.0384,0.0402,0.03785,0.0394,966050000
2023-05-25,0.03925,0.0405,0.03885,0.039,364660000
2023-05-26,0.03915,0.0425,0.03855,0.0411,1493090000
