TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.316,0.318,0.316,0.318,50000
2023-01-04,0.317,0.32,0.312,0.317,350000
2023-01-05,0.32,0.323,0.319,0.32,530000
2023-01-06,0.32,0.322,0.32,0.322,90000
2023-01-09,0.323,0.323,0.32,0.323,330000
2023-01-10,0.323,0.337,0.323,0.328,2120000
2023-01-11,0.328,0.344,0.323,0.34,1250000
2023-01-12,0.339,0.36,0.331,0.344,1900000
2023-01-13,0.344,0.35,0.334,0.344,750000
2023-01-16,0.347,0.352,0.334,0.338,500000
2023-01-17,0.348,0.349,0.322,0.333,830000
2023-01-18,0.331,0.334,0.331,0.332,90000
2023-01-19,0.33,0.331,0.329,0.331,180000
2023-01-20,0.33,0.332,0.33,0.332,80000
2023-01-23,0.334,0.338,0.33,0.338,500000
2023-01-24,0.337,0.342,0.335,0.339,260000
2023-01-25,0.338,0.344,0.338,0.338,220000
2023-01-26,0.336,0.35,0.335,0.335,500000
2023-01-27,0.338,0.339,0.33,0.33,450000
2023-01-30,0.33,0.333,0.328,0.332,590000
2023-01-31,0.339,0.342,0.329,0.336,980000
2023-02-01,0.342,0.352,0.335,0.34,1110000
2023-02-02,0.347,0.35,0.332,0.339,700000
2023-02-03,0.344,0.36,0.336,0.339,1150000
2023-02-06,0.348,0.352,0.339,0.348,350000
2023-02-07,0.344,0.353,0.341,0.345,490000
2023-02-08,0.347,0.352,0.341,0.345,370000
2023-02-09,0.347,0.36,0.347,0.354,630000
2023-02-10,0.356,0.377,0.35,0.36,4160000
2023-02-13,0.368,0.38,0.353,0.359,1280000
2023-02-14,0.361,0.397,0.35,0.356,4810000
2023-02-15,0.363,0.42,0.35,0.354,18660000
2023-02-16,0.352,0.366,0.34,0.346,1810000
2023-02-17,0.343,0.352,0.341,0.352,600000
2023-02-20,0.347,0.351,0.335,0.344,960000
2023-02-21,0.341,0.357,0.341,0.349,410000
2023-02-22,0.353,0.353,0.35,0.35,750000
2023-02-24,0.35,0.354,0.349,0.349,80000
2023-02-27,0.353,0.353,0.349,0.35,200000
2023-02-28,0.353,0.353,0.346,0.351,560000
2023-03-01,0.357,0.372,0.352,0.361,950000
2023-03-02,0.361,0.368,0.353,0.358,660000
2023-03-03,0.366,0.366,0.356,0.362,550000
2023-03-06,0.361,0.366,0.36,0.36,970000
2023-03-07,0.364,0.373,0.362,0.362,860000
2023-03-09,0.366,0.368,0.362,0.366,330000
2023-03-10,0.362,0.369,0.352,0.364,630000
2023-03-13,0.363,0.375,0.363,0.37,380000
2023-03-14,0.366,0.369,0.361,0.361,460000
2023-03-15,0.365,0.365,0.358,0.363,450000
2023-03-16,0.355,0.362,0.351,0.36,550000
2023-03-17,0.356,0.36,0.353,0.355,350000
2023-03-20,0.352,0.357,0.344,0.357,860000
2023-03-21,0.355,0.368,0.351,0.359,1230000
2023-03-22,0.357,0.362,0.356,0.362,400000
2023-03-23,0.367,0.371,0.36,0.36,650000
2023-03-24,0.365,0.374,0.363,0.369,960000
2023-03-27,0.372,0.38,0.369,0.376,780000
2023-03-28,0.377,0.377,0.364,0.371,650000
2023-03-29,0.374,0.378,0.368,0.373,430000
2023-03-30,0.373,0.376,0.372,0.375,600000
2023-03-31,0.373,0.374,0.366,0.371,960000
2023-04-03,0.366,0.39,0.366,0.382,2100000
2023-04-04,0.384,0.4,0.38,0.38,1200000
2023-04-05,0.382,0.39,0.379,0.385,390000
2023-04-06,0.394,0.408,0.389,0.402,2640000
2023-04-07,0.403,0.406,0.39,0.395,2530000
2023-04-10,0.406,0.407,0.391,0.403,2570000
2023-04-11,0.406,0.41,0.391,0.391,1880000
2023-04-12,0.392,0.396,0.386,0.395,440000
2023-04-13,0.395,0.401,0.389,0.394,1000000
2023-04-14,0.395,0.406,0.39,0.406,1580000
2023-04-17,0.41,0.418,0.403,0.415,2860000
2023-04-18,0.415,0.423,0.411,0.411,1240000
2023-04-19,0.412,0.44,0.405,0.407,7200000
2023-04-20,0.407,0.52,0.407,0.481,110940000
2023-04-21,0.486,0.575,0.484,0.528,85910000
2023-04-24,0.528,0.545,0.49,0.534,24450000
2023-04-25,0.558,0.677,0.519,0.596,119490000
2023-04-26,0.61,0.611,0.545,0.569,20120000
2023-04-27,0.577,0.631,0.532,0.558,21860000
2023-04-28,0.558,0.563,0.517,0.543,10520000
2023-05-02,0.548,0.548,0.485,0.512,9320000
2023-05-03,0.52,0.521,0.462,0.479,10000000
2023-05-04,0.48,0.498,0.461,0.478,4890000
2023-05-05,0.471,0.53,0.471,0.493,16000000
2023-05-08,0.496,0.507,0.461,0.472,1920000
2023-05-10,0.466,0.506,0.466,0.501,3960000
2023-05-11,0.502,0.528,0.499,0.511,4240000
2023-05-12,0.502,0.524,0.5,0.524,1470000
2023-05-15,0.517,0.567,0.487,0.533,19800000
2023-05-16,0.534,0.55,0.506,0.539,10870000
2023-05-17,0.53,0.575,0.52,0.544,11840000
2023-05-18,0.551,0.584,0.549,0.57,15300000
2023-05-19,0.581,0.583,0.52,0.531,18590000
2023-05-22,0.541,0.545,0.506,0.53,5060000
2023-05-23,0.532,0.551,0.512,0.539,3710000
2023-05-24,0.539,0.575,0.521,0.568,12110000
2023-05-25,0.563,0.577,0.541,0.563,5730000
2023-05-26,0.568,0.576,0.55,0.566,2480000
2023-05-29,0.578,0.58,0.555,0.569,3250000
2023-05-30,0.561,0.568,0.541,0.553,2890000
2023-05-31,0.549,0.56,0.54,0.551,2170000
2023-06-01,0.545,0.56,0.545,0.553,630000
2023-06-02,0.55,0.559,0.548,0.55,1180000
2023-06-05,0.554,0.556,0.539,0.554,3630000
2023-06-06,0.536,0.549,0.536,0.542,1920000
2023-06-07,0.545,0.558,0.538,0.558,2140000
2023-06-08,0.555,0.563,0.532,0.551,5400000
2023-06-09,0.547,0.558,0.502,0.522,38790000
2023-06-13,0.524,0.53,0.499,0.52,16500000
2023-06-14,0.524,0.531,0.516,0.523,7730000
2023-06-15,0.529,0.551,0.523,0.529,18170000
2023-06-16,0.537,0.64,0.53,0.57,61070000
2023-06-19,0.579,0.588,0.531,0.58,19790000
2023-06-20,0.598,0.614,0.562,0.585,17710000
2023-06-21,0.588,0.646,0.588,0.618,23290000
2023-06-22,0.62,0.638,0.6,0.617,7750000
2023-06-23,0.618,0.62,0.59,0.599,5710000
2023-06-26,0.595,0.598,0.564,0.586,7710000
2023-06-27,0.587,0.62,0.584,0.61,9600000
2023-06-28,0.607,0.62,0.592,0.62,5860000
2023-06-29,0.626,0.64,0.597,0.61,5810000
2023-06-30,0.615,0.616,0.597,0.607,4390000
2023-07-03,0.608,0.629,0.594,0.623,10080000
2023-07-04,0.629,0.634,0.595,0.595,13850000
2023-07-05,0.6,0.606,0.559,0.559,17400000
2023-07-06,0.536,0.567,0.526,0.552,8370000
2023-07-07,0.552,0.565,0.548,0.56,3390000
2023-07-10,0.56,0.564,0.555,0.56,2180000
2023-07-11,0.561,0.572,0.55,0.562,3830000
2023-07-12,0.563,0.583,0.563,0.578,4200000
2023-07-13,0.582,0.585,0.572,0.583,3040000
2023-07-14,0.583,0.592,0.575,0.582,4050000
2023-07-17,0.579,0.584,0.56,0.578,2830000
2023-07-18,0.582,0.582,0.55,0.57,5030000
2023-07-19,0.568,0.61,0.555,0.593,20940000
2023-07-20,0.595,0.623,0.572,0.6,8920000
2023-07-21,0.598,0.668,0.59,0.603,19200000
2023-07-24,0.617,0.7,0.607,0.664,45180000
2023-07-25,0.665,0.7,0.65,0.684,7250000
2023-07-26,0.682,0.714,0.665,0.692,17720000
2023-07-27,0.7,0.709,0.619,0.67,37050000
2023-07-28,0.677,0.677,0.642,0.668,9940000
2023-07-31,0.669,0.679,0.652,0.667,6280000
