TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1.75,1.7705,1.743,1.757,5635000
2023-01-04,1.77,1.77,1.755,1.767,3772000
2023-01-05,1.768,1.7725,1.7605,1.769,3605000
2023-01-06,1.7695,1.805,1.7595,1.781,10777000
2023-01-09,1.7915,1.801,1.7605,1.766,15481000
2023-01-10,1.773,1.7735,1.6915,1.71,100803000
2023-01-11,1.72,1.7385,1.7,1.724,86145000
2023-01-12,1.729,1.768,1.718,1.733,47012000
2023-01-13,1.73,1.7445,1.7205,1.734,12172000
2023-01-16,1.75,1.75,1.7395,1.745,11609000
2023-01-17,1.7455,1.748,1.7315,1.74,9991000
2023-01-18,1.7335,1.7475,1.7335,1.742,7743000
2023-01-19,1.742,1.747,1.72,1.7305,13896000
2023-01-20,1.7375,1.7765,1.7285,1.742,28446000
2023-01-23,1.747,1.7895,1.747,1.7695,21367000
2023-01-24,1.7795,1.7795,1.7645,1.774,11446000
2023-01-25,1.7995,1.7995,1.7545,1.76,9429000
2023-01-26,1.76,1.79,1.7575,1.7615,10291000
2023-01-27,1.77,1.7775,1.761,1.7715,12342000
2023-01-30,1.769,1.772,1.7605,1.766,6672000
2023-01-31,1.7715,1.7845,1.7665,1.772,11133000
2023-02-01,1.7795,1.7975,1.7725,1.782,15192000
2023-02-02,1.797,1.797,1.775,1.791,6696000
2023-02-03,1.7965,1.7965,1.776,1.784,7726000
2023-02-06,1.784,1.968,1.784,1.914,229642000
2023-02-07,1.915,1.93,1.86,1.887,35661000
2023-02-08,1.8995,2.06,1.88,1.967,106577000
2023-02-09,1.97,1.98,1.8685,1.926,35179000
2023-02-10,1.926,2.037,1.9005,1.994,92415000
2023-02-13,1.995,2.0285,1.9705,1.99,44393000
2023-02-14,2.0,2.017,1.92,1.9485,31258000
2023-02-15,1.939,1.9395,1.8765,1.915,25777000
2023-02-16,1.91,1.9685,1.91,1.9375,17393000
2023-02-17,1.9595,1.96,1.9235,1.96,11484000
2023-02-20,1.9625,1.9625,1.9145,1.9395,8913000
2023-02-21,1.9395,1.999,1.9395,1.9805,20045000
2023-02-22,1.9865,1.995,1.97,1.989,7428000
2023-02-24,1.989,2.017,1.981,1.992,10317000
2023-02-27,1.97,2.023,1.97,1.9985,11968000
2023-02-28,1.998,2.0195,1.9825,2.0075,11070000
2023-03-01,2.02,2.02,2.0,2.0,8053000
2023-03-02,1.9975,2.012,1.982,1.993,9605000
2023-03-03,2.0085,2.0235,1.9915,2.0235,9055000
2023-03-06,2.04,2.45,2.04,2.3165,1256722000
2023-03-07,2.32,2.35,2.2235,2.2415,201628000
2023-03-09,2.248,2.25,2.2,2.21,54051000
2023-03-10,2.203,2.239,2.1815,2.208,41244000
2023-03-13,2.208,2.252,2.191,2.2105,34151000
2023-03-14,2.22,2.224,2.1525,2.1765,29008000
2023-03-15,2.1765,2.186,2.105,2.138,21976000
2023-03-16,2.15,2.33,2.1315,2.1845,248585000
2023-03-17,2.198,2.239,2.1525,2.205,49193000
2023-03-20,2.2315,2.242,2.2105,2.236,26313000
2023-03-21,2.236,2.3935,2.199,2.3285,254922000
2023-03-22,2.3285,2.3395,2.2715,2.293,47488000
2023-03-23,2.295,2.333,2.284,2.3125,30034000
2023-03-24,2.3295,2.377,2.3125,2.3375,52697000
2023-03-27,2.34,2.3655,2.321,2.347,29238000
2023-03-28,2.3655,2.385,2.2675,2.334,60147000
2023-03-29,2.3495,2.379,2.328,2.3485,36974000
2023-03-30,2.35,2.3585,2.295,2.3195,29383000
2023-03-31,2.33,2.3365,2.2805,2.3015,22600000
2023-04-03,2.32,2.3215,2.2935,2.307,16568000
2023-04-04,2.32,2.3595,2.3,2.3295,30596000
2023-04-05,2.3335,2.378,2.291,2.314,40748000
2023-04-06,2.31,2.456,2.282,2.31,241417000
2023-04-07,2.31,2.356,2.3015,2.3215,51342000
2023-04-10,2.33,2.368,2.3135,2.338,39243000
2023-04-11,2.346,2.393,2.302,2.3085,73058000
2023-04-12,2.325,2.3295,2.254,2.2965,33976000
2023-04-13,2.303,2.3215,2.273,2.29,17452000
2023-04-14,2.28,2.3,2.26,2.288,14432000
2023-04-17,2.296,2.324,2.2855,2.296,18587000
2023-04-18,2.303,2.3385,2.286,2.298,38326000
