TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,105.75,109.29,104.05,108.24,1929430
2023-01-04,108.51,109.28,106.2,109.18,1467101
2023-01-05,109.48,111.0,107.6,108.28,1505690
2023-01-06,108.55,110.5,105.99,105.99,3285837
2023-01-09,106.4,107.49,105.2,105.95,1468314
2023-01-10,105.93,105.94,104.22,105.05,1001374
2023-01-11,105.08,107.0,105.05,106.18,1040995
2023-01-12,106.55,107.75,106.1,106.73,1221463
2023-01-13,106.74,108.3,106.54,107.09,943363
2023-01-16,107.15,108.2,106.7,107.64,1237239
2023-01-17,107.85,108.64,106.2,107.0,1770720
2023-01-18,107.45,107.46,106.1,106.5,948732
2023-01-19,106.5,106.5,102.34,104.24,2252553
2023-01-20,104.07,104.75,102.74,104.65,1060394
2023-01-23,104.99,105.64,103.52,103.96,1438407
2023-01-24,104.32,106.97,104.1,104.51,2322970
2023-01-25,104.5,107.38,104.11,107.07,1375770
2023-01-26,107.39,110.01,107.04,110.01,3144172
2023-01-27,110.6,115.77,110.6,114.48,5996546
2023-01-30,115.0,118.87,112.55,113.77,3788077
2023-01-31,113.51,115.14,112.5,113.95,2196134
2023-02-01,113.89,117.9,113.55,117.4,3446928
2023-02-02,117.2,122.95,117.19,122.87,5935888
2023-02-03,122.59,122.82,120.35,122.2,4257022
2023-02-06,122.1,125.9,122.01,125.13,4412926
2023-02-07,125.99,128.47,124.05,126.9,6166740
2023-02-08,127.42,128.69,124.11,124.77,4473079
2023-02-09,125.0,125.48,122.5,124.53,2665315
2023-02-10,124.49,125.52,123.81,124.55,2033967
2023-02-13,124.41,125.79,124.12,124.83,1309203
2023-02-14,124.8,124.8,120.68,121.7,3423333
2023-02-15,121.0,121.0,115.16,115.66,3030403
2023-02-16,116.25,119.8,116.25,118.8,3340296
2023-02-17,118.11,119.5,117.41,119.44,1346360
2023-02-20,119.61,119.79,116.11,118.4,1669154
2023-02-21,119.01,124.93,118.65,122.54,2735882
2023-02-22,122.83,122.87,120.51,121.0,1114587
2023-02-24,120.95,123.0,120.16,122.04,1077793
2023-02-27,121.88,125.99,121.71,125.16,3763225
2023-02-28,125.55,127.3,125.55,126.76,2473544
2023-03-01,127.2,129.43,125.53,125.63,3078764
2023-03-02,125.66,127.2,124.05,124.91,4022033
2023-03-03,124.8,128.4,124.71,128.39,1559187
2023-03-06,128.57,129.98,127.79,129.29,2012186
2023-03-07,129.5,133.0,128.61,132.79,3010973
2023-03-09,133.49,136.9,131.52,136.14,4042322
2023-03-10,135.79,141.71,134.55,140.78,6414279
2023-03-13,141.1,144.47,136.43,139.26,8149620
2023-03-14,139.01,141.6,137.34,138.67,3988949
2023-03-15,139.0,140.5,135.16,136.23,4213803
2023-03-16,135.3,139.34,133.62,138.91,5176544
2023-03-17,139.98,141.29,138.92,140.69,4060313
2023-03-20,141.0,146.13,140.12,145.87,4019437
2023-03-21,145.8,147.65,141.1,143.5,4057182
2023-03-22,143.6,144.06,141.42,143.23,1422938
2023-03-23,143.3,144.79,139.92,140.7,4190556
2023-03-24,140.0,141.97,138.1,141.29,2247957
2023-03-27,141.79,143.89,140.33,143.3,2826774
2023-03-28,143.52,151.72,141.72,151.09,10301433
2023-03-29,151.63,157.0,149.05,155.78,11562034
2023-03-30,154.88,155.5,153.04,154.86,3702922
2023-03-31,154.99,155.81,150.1,153.82,4126221
2023-04-03,155.01,157.01,154.5,156.8,3640851
2023-04-04,157.1,159.22,152.32,152.85,9000452
2023-04-05,152.0,153.84,147.58,152.83,7307892
2023-04-06,152.85,153.15,150.27,150.71,3143624
2023-04-07,150.5,156.0,150.48,155.99,4830906
2023-04-10,155.79,164.68,154.32,162.78,8724443
2023-04-11,162.78,172.85,161.28,166.24,19133450
2023-04-12,166.63,174.0,165.6,173.6,12321090
2023-04-13,174.22,181.35,174.05,176.93,18408906
2023-04-14,177.8,177.97,173.83,176.01,6221248
2023-04-17,176.96,181.99,174.99,181.75,8752930
2023-04-18,182.06,198.63,179.13,196.19,28019066
2023-04-19,195.84,208.44,191.61,198.26,40727914
2023-04-20,199.0,202.45,191.0,194.38,19105997
2023-04-21,195.0,197.84,190.63,196.94,9499596
2023-04-24,196.9,203.38,195.0,200.51,8189485
2023-04-25,201.11,201.75,195.48,195.92,4211309
2023-04-26,195.27,198.51,192.0,193.82,5959616
2023-04-27,193.85,196.9,193.12,194.49,3490762
2023-04-28,194.73,195.39,187.82,191.49,5811971
2023-05-02,188.9,189.73,175.13,179.7,12991881
2023-05-03,179.66,180.48,166.36,167.57,15837636
2023-05-04,167.5,179.77,167.01,179.7,18152387
2023-05-05,180.0,184.84,176.5,180.38,15653769
2023-05-08,180.38,182.8,175.3,176.62,5129236
2023-05-10,177.0,189.89,176.73,189.6,10328744
2023-05-11,190.1,198.67,176.02,187.11,22136787
2023-05-12,187.4,191.85,182.02,186.89,9593620
2023-05-15,188.0,191.58,186.95,190.44,6757858
2023-05-16,192.34,192.8,187.1,188.6,3859304
2023-05-17,188.11,191.8,186.24,190.27,3607134
2023-05-18,191.0,194.8,188.56,191.69,4859901
2023-05-19,190.9,190.9,187.54,188.37,2591762
2023-05-22,190.0,190.49,185.0,186.52,2606363
2023-05-23,186.5,187.52,182.04,185.67,3354402
2023-05-24,187.59,191.92,185.25,191.38,4077912
2023-05-25,191.05,191.48,187.51,189.85,2106642
2023-05-26,189.0,193.7,188.72,191.18,4067050
2023-05-29,193.5,193.5,186.86,188.62,7252811
2023-05-30,187.9,188.4,182.05,183.36,5427727
2023-05-31,182.02,182.4,175.88,177.2,9075588
2023-06-01,177.54,178.7,170.3,171.98,8184357
2023-06-02,171.53,179.0,171.0,173.7,11473197
2023-06-05,174.15,174.37,167.8,168.17,5535655
2023-06-06,168.0,168.38,161.87,168.14,10421775
2023-06-07,168.2,176.99,168.0,176.3,10063028
2023-06-08,176.0,179.0,171.81,174.16,6250071
2023-06-09,175.38,175.38,172.4,173.9,2633057
2023-06-13,174.02,177.0,173.39,175.49,3222503
2023-06-14,176.5,176.59,172.83,173.82,2387878
2023-06-15,174.24,181.81,173.1,181.42,6519122
2023-06-16,182.0,183.0,177.77,180.27,3820262
2023-06-19,180.29,180.71,173.9,178.53,4348919
2023-06-20,178.55,178.87,175.5,177.81,2244763
2023-06-21,177.98,184.9,176.29,183.89,6358147
2023-06-22,183.89,186.2,179.2,180.22,4365413
2023-06-23,179.6,181.43,174.55,176.93,4491950
2023-06-26,177.5,179.49,172.5,176.22,4300205
2023-06-27,177.0,179.4,175.55,178.6,2180841
2023-06-28,179.38,180.79,176.21,178.77,2747351
2023-06-29,179.0,182.53,177.57,180.69,3271408
2023-06-30,181.64,183.92,178.05,179.92,3823986
2023-07-03,180.55,182.0,178.71,179.31,2498062
2023-07-04,179.0,179.38,177.08,177.12,2061648
2023-07-05,177.28,188.98,176.2,188.55,12946309
2023-07-06,189.31,194.15,182.02,186.32,12370526
2023-07-07,186.28,187.85,182.99,185.29,4458749
2023-07-10,186.43,191.5,185.29,191.19,4891563
2023-07-11,190.86,192.44,187.76,189.36,3361330
2023-07-12,189.99,193.0,188.0,191.39,3749645
2023-07-13,191.39,193.87,188.36,189.87,3093306
2023-07-14,189.37,191.0,187.53,190.33,2132838
2023-07-17,189.5,192.37,184.85,187.09,11725404
2023-07-18,187.28,192.42,186.84,191.79,5767340
