TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,232.5,236.0,232.0,235.0,2020
2023-01-04,236.5,238.0,231.5,235.0,3760
2023-01-05,233.5,236.0,228.5,233.5,2440
2023-01-06,233.5,236.0,233.0,234.0,1520
2023-01-09,235.0,252.0,233.0,247.0,23830
2023-01-10,251.5,260.0,242.0,249.0,10630
2023-01-11,249.0,260.0,244.5,250.5,8110
2023-01-12,262.0,262.5,247.0,253.0,8410
2023-01-13,256.5,260.5,251.0,259.0,5050
2023-01-16,264.0,289.0,261.0,273.0,37570
2023-01-17,287.0,287.0,274.0,276.0,13010
2023-01-18,276.5,280.0,273.5,280.0,3220
2023-01-19,284.0,290.0,272.0,279.0,11050
2023-01-20,278.5,278.5,267.0,275.5,5550
2023-01-23,275.5,284.0,272.0,279.5,4720
2023-01-24,276.5,285.0,276.0,278.0,3950
2023-01-25,279.5,280.0,273.0,279.0,4110
2023-01-26,282.5,282.5,274.0,279.0,3400
2023-01-27,280.0,281.0,273.0,278.0,5280
2023-01-30,274.5,280.0,274.5,278.5,1950
2023-01-31,274.5,310.0,274.5,294.5,70300
2023-02-01,294.5,305.0,291.0,291.5,26690
2023-02-02,292.5,303.0,292.5,296.5,6320
2023-02-03,298.5,298.5,283.0,288.0,11490
2023-02-06,287.5,292.0,285.0,288.0,4610
2023-02-07,288.0,294.0,281.0,287.5,5250
2023-02-08,286.5,316.0,286.5,300.0,24810
2023-02-09,301.5,309.5,287.0,299.5,8260
2023-02-10,298.0,311.5,295.0,296.5,12590
2023-02-13,302.5,304.0,295.0,299.0,4660
2023-02-14,298.5,303.0,285.0,286.5,6970
2023-02-15,284.0,284.5,267.5,268.5,7150
2023-02-16,270.0,281.0,269.0,276.0,10430
2023-02-17,276.5,279.0,272.5,277.0,3160
2023-02-20,278.5,278.5,259.0,272.5,5130
2023-02-21,272.5,308.0,269.5,291.0,20930
2023-02-22,292.5,296.5,287.5,292.5,3020
2023-02-24,291.0,299.0,288.5,290.0,2490
2023-02-27,289.5,319.0,289.0,306.0,20500
2023-02-28,306.0,320.0,304.0,313.0,22410
2023-03-01,316.5,318.5,305.5,310.5,5850
2023-03-02,312.0,312.0,297.0,299.0,14270
2023-03-03,299.5,306.5,299.5,305.5,4630
2023-03-06,304.0,309.0,303.0,306.0,4410
2023-03-07,306.5,315.0,304.5,308.5,6100
2023-03-09,309.0,319.5,305.5,311.5,7600
2023-03-10,308.0,319.5,303.0,315.0,16430
2023-03-13,316.5,322.5,306.0,315.5,13700
2023-03-14,317.0,321.0,305.0,309.0,11310
2023-03-15,315.5,315.5,302.0,305.0,6240
2023-03-16,302.0,311.0,295.0,302.0,10250
2023-03-17,304.0,312.0,298.0,303.0,8320
2023-03-20,303.0,312.5,291.5,304.0,26890
2023-03-21,306.0,311.0,298.0,305.0,8170
2023-03-22,305.5,314.5,305.0,308.5,3890
2023-03-23,311.5,317.0,301.0,312.5,10020
2023-03-24,315.0,331.5,311.0,326.5,31280
2023-03-27,331.5,342.5,327.5,333.0,30080
2023-03-28,331.5,335.5,320.5,328.5,15040
2023-03-29,324.0,332.5,320.0,324.0,18270
2023-03-30,325.5,327.0,321.0,325.0,8570
2023-03-31,324.5,326.5,317.5,322.0,7630
2023-04-03,324.0,370.0,315.5,348.0,104840
2023-04-04,350.5,359.0,342.0,346.5,32790
2023-04-05,345.5,435.5,335.0,383.0,273060
2023-04-06,386.0,412.0,379.0,381.0,62060
2023-04-07,382.5,399.0,370.0,375.0,20510
2023-04-10,380.5,397.0,375.0,381.5,20360
2023-04-11,384.5,389.0,370.5,378.0,18920
2023-04-12,378.0,380.5,370.0,371.5,13950
2023-04-13,372.0,376.0,362.5,370.0,8690
2023-04-14,376.0,413.5,373.0,377.0,64760
2023-04-17,379.0,394.0,378.0,387.0,23410
2023-04-18,389.0,389.0,380.0,385.0,11480
2023-04-19,387.5,387.5,366.0,374.0,30080
2023-04-20,376.0,387.0,374.0,375.5,19020
2023-04-21,376.0,394.5,373.0,394.5,14980
2023-04-24,385.0,408.0,382.0,405.0,38380
2023-04-25,408.0,440.0,395.0,419.5,70010
2023-04-26,421.5,433.5,399.5,404.5,73560
2023-04-27,410.0,410.0,382.5,403.0,18290
2023-04-28,402.0,423.0,399.0,400.0,22830
2023-05-02,401.5,409.0,363.5,408.0,40560
2023-05-03,402.0,402.0,376.0,384.0,13400
2023-05-04,392.5,408.0,386.5,407.5,11440
2023-05-05,407.0,407.0,390.0,393.5,5570
2023-05-08,393.0,397.5,384.0,384.0,7280
2023-05-10,390.5,396.5,384.0,394.5,8150
2023-05-11,394.0,402.0,391.0,393.5,6210
2023-05-12,395.0,395.0,385.5,394.0,3430
2023-05-15,394.5,410.0,388.0,408.5,19900
2023-05-16,414.0,419.5,402.0,405.5,12940
2023-05-17,406.5,410.0,403.0,407.5,6310
2023-05-18,409.0,412.0,401.5,406.0,10750
2023-05-19,406.0,406.0,363.0,394.5,19420
2023-05-22,397.5,405.0,388.0,401.0,8040
2023-05-23,400.0,404.5,390.5,394.0,5620
2023-05-24,395.5,396.0,388.5,389.0,4030
2023-05-25,391.0,398.0,382.0,388.0,8060
2023-05-26,386.5,397.5,378.0,384.0,11650
2023-05-29,384.0,393.5,368.0,384.5,11160
2023-05-30,382.0,392.5,375.0,378.5,10270
2023-05-31,378.0,383.5,367.5,381.5,13140
2023-06-01,385.0,387.0,367.5,370.5,8210
2023-06-02,370.5,379.0,366.0,371.5,10370
2023-06-05,371.0,376.5,366.5,368.0,5920
2023-06-06,367.5,367.5,351.0,362.0,9720
2023-06-07,361.5,373.0,358.0,366.0,7720
2023-06-08,367.0,369.5,360.5,363.0,4690
2023-06-09,363.5,379.0,363.0,370.5,9610
2023-06-13,369.5,375.0,363.5,369.0,8610
2023-06-14,369.0,372.0,367.0,372.0,3210
2023-06-15,372.0,378.0,364.5,372.5,10990
2023-06-16,378.0,378.0,352.5,365.5,12710
