TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,289.5,297.0,289.5,293.5,2950
2023-01-04,295.0,296.5,290.5,293.0,1340
2023-01-05,294.0,294.5,292.5,293.5,1160
2023-01-06,293.0,294.0,290.0,291.5,1710
2023-01-09,298.0,305.0,292.0,295.5,16340
2023-01-10,303.0,344.0,295.0,308.0,161370
2023-01-11,309.0,332.5,302.0,310.0,57650
2023-01-12,311.0,316.0,305.5,310.5,6690
2023-01-13,311.0,311.0,305.5,305.5,2160
2023-01-16,307.5,314.5,305.0,308.0,7760
2023-01-17,311.5,344.5,306.5,312.5,69920
2023-01-18,313.5,314.0,310.0,313.5,8650
2023-01-19,313.5,313.5,308.5,310.0,4890
2023-01-20,310.0,322.5,288.0,308.5,17390
2023-01-23,309.5,322.0,307.0,312.5,10310
2023-01-24,312.0,315.5,306.5,310.0,8120
2023-01-25,310.0,313.5,305.5,312.0,5630
2023-01-26,313.0,315.0,305.0,310.5,7990
2023-01-27,311.5,315.0,308.0,311.0,5960
2023-01-30,313.0,339.0,309.5,327.5,205720
2023-01-31,327.0,330.5,318.5,323.0,17960
2023-02-01,320.0,323.0,314.0,315.0,15410
2023-02-02,319.0,319.0,316.0,318.5,4550
2023-02-03,319.5,319.5,312.5,317.5,4680
2023-02-06,319.5,333.0,319.0,326.0,34620
2023-02-07,330.0,331.5,322.5,327.0,12980
2023-02-08,331.5,350.0,320.0,326.5,85590
2023-02-09,327.0,336.5,320.5,328.5,11220
2023-02-10,325.0,333.0,321.0,324.0,10710
2023-02-13,323.5,331.0,322.5,326.0,8120
2023-02-14,326.5,345.0,317.5,323.5,30240
2023-02-15,319.0,324.5,305.0,308.0,19600
2023-02-16,313.0,313.0,306.0,309.5,5440
2023-02-17,310.0,316.5,308.5,311.5,4200
2023-02-20,310.0,312.5,300.0,310.0,13330
2023-02-21,310.0,315.5,303.0,311.5,9680
2023-02-22,311.5,311.5,309.0,309.0,2050
2023-02-24,309.5,316.0,309.5,314.0,2860
2023-02-27,314.5,317.5,311.5,317.0,4430
2023-02-28,317.5,328.5,311.5,320.0,11660
2023-03-01,316.5,324.5,316.5,319.0,4960
2023-03-02,320.0,442.5,319.5,395.0,2712550
2023-03-03,396.5,419.0,364.0,369.5,582020
2023-03-06,383.0,383.0,361.0,370.0,66800
2023-03-07,368.5,374.5,363.5,371.5,18980
2023-03-09,370.5,388.0,367.5,372.0,71940
2023-03-10,374.0,387.0,367.0,372.0,80510
2023-03-13,373.5,382.5,365.5,374.5,64210
2023-03-14,380.0,402.0,375.0,383.5,290940
2023-03-15,384.0,385.0,376.5,378.0,22830
2023-03-16,379.5,394.0,373.0,377.5,54980
2023-03-17,371.5,378.0,371.5,375.5,15390
2023-03-20,377.5,378.5,370.5,376.5,20990
2023-03-21,377.0,387.5,372.5,376.0,36830
2023-03-22,377.0,377.0,369.5,376.0,13340
2023-03-23,377.0,381.0,374.5,378.5,16430
2023-03-24,378.5,391.0,373.5,380.5,43500
2023-03-27,384.5,396.0,379.0,390.0,37530
2023-03-28,391.0,392.0,379.0,386.5,16530
2023-03-29,387.5,391.5,382.5,383.5,7010
2023-03-30,389.5,392.0,383.0,384.0,15340
2023-03-31,392.0,409.5,378.5,385.0,140320
2023-04-03,388.5,397.0,383.5,391.0,18040
2023-04-04,392.0,404.0,382.0,389.0,30110
2023-04-05,393.5,393.5,383.0,393.0,17200
2023-04-06,395.0,398.0,389.5,392.0,14820
2023-04-07,394.0,408.0,388.0,392.0,46800
2023-04-10,399.0,422.0,396.5,401.5,76090
2023-04-11,406.5,419.0,396.0,398.5,76360
2023-04-12,401.0,439.0,397.5,415.5,357080
2023-04-13,420.0,421.0,402.0,410.0,26690
2023-04-14,410.0,414.0,406.0,407.5,7900
2023-04-17,411.0,413.5,405.0,408.0,21600
2023-04-18,409.0,413.0,405.0,407.0,11730
2023-04-19,407.0,410.0,395.0,402.0,14700
2023-04-20,404.5,404.5,393.0,396.5,16810
2023-04-21,399.5,404.5,394.0,394.0,8380
2023-04-24,398.5,400.5,394.5,398.0,4910
2023-04-25,401.0,403.0,385.0,397.0,11520
2023-04-26,398.0,402.0,389.0,398.0,9550
2023-04-27,398.5,405.5,395.5,397.0,9180
2023-04-28,398.0,402.5,385.0,391.5,8730
2023-05-02,391.5,391.5,365.5,372.5,26180
2023-05-03,372.5,384.0,367.0,373.5,11930
2023-05-04,372.5,382.5,365.0,374.5,7400
2023-05-05,374.0,379.0,368.0,371.5,5820
2023-05-08,381.5,381.5,372.0,373.5,1620
2023-05-10,372.0,380.0,372.0,377.0,10390
2023-05-11,386.0,390.0,380.0,383.5,20870
2023-05-12,384.0,386.5,372.0,376.0,6850
2023-05-15,377.0,381.0,373.5,376.5,7940
2023-05-16,375.0,390.0,374.5,380.0,7610
2023-05-17,389.5,397.0,380.5,395.0,22200
2023-05-18,397.0,401.0,387.0,392.0,9560
2023-05-19,388.5,392.0,383.0,389.0,3790
2023-05-22,392.0,393.5,380.0,385.0,5240
2023-05-23,382.5,387.0,380.5,382.5,4900
2023-05-24,383.0,385.5,373.0,377.0,6190
2023-05-25,376.5,392.0,374.0,381.5,8430
2023-05-26,382.0,399.0,372.0,387.0,33150
2023-05-29,389.5,402.0,386.5,392.5,7200
2023-05-30,387.0,413.0,382.5,389.5,69040
2023-05-31,391.0,402.0,390.5,395.0,18300
2023-06-01,395.0,397.5,390.0,390.0,4430
2023-06-02,392.0,400.0,390.0,396.5,15060
2023-06-05,401.0,401.0,392.0,394.0,9690
2023-06-06,394.5,400.0,391.0,398.0,8870
2023-06-07,400.0,410.0,393.5,396.5,9820
2023-06-08,397.0,400.0,393.0,399.0,5520
2023-06-09,399.0,417.5,395.0,404.5,30790
2023-06-13,413.0,413.0,400.0,408.0,14540
2023-06-14,410.0,412.5,408.0,411.0,6600
2023-06-15,412.5,415.0,408.5,410.0,5240
2023-06-16,410.0,414.0,408.0,410.0,3400
2023-06-19,413.5,413.5,400.5,406.0,8510
2023-06-20,407.0,431.5,407.0,418.0,57880
2023-06-21,427.5,584.0,420.5,584.0,1278730
2023-06-22,642.0,806.5,597.5,762.0,1698960
2023-06-23,720.0,744.0,670.0,677.0,436730
2023-06-26,675.0,698.0,630.5,661.5,98040
2023-06-27,684.0,684.0,638.0,649.5,69200
2023-06-28,650.5,668.5,641.0,643.5,48640
2023-06-29,644.0,707.5,638.0,701.0,335950
2023-06-30,699.5,756.0,686.5,707.0,408950
2023-07-03,709.5,752.0,709.5,729.5,196710
2023-07-04,731.5,740.0,690.0,709.0,116380
2023-07-05,711.5,734.0,703.0,718.0,55850
2023-07-06,705.5,722.0,681.0,683.0,41770
2023-07-07,681.5,696.0,662.5,673.5,36450
2023-07-10,679.0,737.0,679.0,712.5,176230
2023-07-11,705.0,726.5,687.0,711.0,61140
2023-07-12,703.5,775.5,703.5,755.0,192130
2023-07-13,758.5,803.5,757.0,785.0,203270
2023-07-14,790.0,806.5,758.5,770.0,116230
2023-07-17,774.5,1103.5,772.0,1103.5,2234530
2023-07-18,1142.0,1500.0,1130.0,1411.0,1990320
2023-07-19,1422.0,1489.0,1160.5,1196.0,580000
2023-07-20,1250.0,1295.0,1201.0,1275.0,352870
2023-07-21,1290.0,1295.0,1164.0,1237.5,108150
2023-07-24,1259.0,1268.0,1188.5,1226.5,64450
2023-07-25,1230.5,1244.5,1201.0,1226.0,90750
2023-07-26,1239.0,1239.0,1191.0,1202.5,41120
2023-07-27,1206.5,1208.5,1180.0,1184.0,41340
2023-07-28,1186.0,1186.0,1145.0,1163.5,40610
2023-07-31,1168.0,1169.0,1140.0,1149.5,43640
2023-08-01,1143.5,1225.0,1141.0,1205.0,151440
2023-08-02,1266.5,1418.5,1225.0,1331.5,596290
2023-08-03,1334.5,1344.0,1284.5,1304.0,78160
2023-08-04,1309.0,1323.5,1145.0,1252.0,77340
2023-08-07,1252.0,1308.0,1252.0,1295.0,57570
2023-08-08,1295.0,1320.0,1200.0,1236.0,60120
2023-08-09,1240.0,1300.0,1238.5,1263.0,50860
2023-08-10,1283.0,1283.0,1230.0,1254.5,42980
2023-08-11,1256.5,1281.0,1246.5,1267.5,38130
2023-08-14,1300.0,1378.5,1268.0,1308.5,243040
2023-08-15,1280.0,1344.5,1226.0,1306.5,86780
2023-08-16,1323.5,1364.0,1171.5,1256.5,169730
2023-08-17,1290.0,1600.0,1270.5,1410.5,1639140
2023-08-18,1439.5,1441.5,1313.5,1342.0,124890
2023-08-21,1360.0,1445.0,1354.0,1398.0,196200
2023-08-22,1411.0,1435.0,1324.5,1392.0,66100
2023-08-23,1400.0,1429.0,1351.5,1385.0,82860
2023-08-24,1384.0,1419.0,1338.0,1391.0,61920
2023-08-25,1403.5,1481.0,1377.0,1432.0,246300
2023-08-28,1475.0,1520.0,1435.5,1471.0,158790
2023-08-29,1490.5,1617.0,1410.0,1538.0,387050
2023-08-30,1567.0,1583.5,1512.5,1527.5,89130
2023-08-31,1530.0,1553.0,1491.0,1508.5,53200
2023-09-01,1509.0,2000.0,1442.5,1950.0,1362120
2023-09-04,2059.0,2668.0,2055.0,2290.0,1874780
2023-09-05,2125.0,2294.0,2125.0,2165.0,219740
2023-09-06,2165.0,2341.5,2050.0,2190.0,251990
2023-09-07,2270.0,2344.0,2000.5,2111.0,179650
2023-09-08,2063.0,2137.5,1970.0,2031.0,105190
2023-09-11,2048.5,2150.0,1980.0,2045.0,96230
2023-09-12,2020.5,2185.5,2020.5,2135.5,163460
2023-09-13,2139.0,2234.0,2100.0,2109.5,85610
2023-09-14,2120.0,2120.0,1471.5,1869.5,309460
2023-09-15,1850.0,2046.5,1707.0,2033.5,181760
2023-09-18,2051.0,2212.5,1967.5,2102.0,239580
2023-09-19,2102.5,2145.5,1950.0,1974.5,76070
2023-09-20,1974.5,1974.5,1651.0,1841.5,172210
2023-09-21,1840.0,1840.0,1643.0,1650.5,81350
2023-09-22,1646.0,1798.5,1563.0,1701.5,123260
2023-09-25,1745.0,1798.0,1665.5,1720.0,57060
2023-09-26,1720.0,1753.0,1674.5,1690.5,40010
2023-09-27,1718.5,1725.0,1632.0,1671.0,197700
2023-09-28,1680.0,1710.0,1591.5,1624.0,135340
2023-09-29,1635.0,1645.5,1565.5,1599.5,72470
2023-10-02,1613.0,1629.5,1540.0,1552.0,89290
2023-10-03,1550.0,1582.5,1467.0,1502.0,116500
2023-10-04,1510.0,1708.5,1483.0,1647.0,461430
2023-10-05,1647.0,1690.0,1543.0,1550.0,187060
2023-10-06,1558.5,1587.0,1490.0,1509.5,114520
2023-10-09,1525.0,1550.0,1480.0,1485.0,96130
2023-10-10,1499.0,1499.0,1442.5,1449.0,65290
2023-10-11,1462.0,1482.0,1385.5,1393.0,125090
2023-10-12,1350.0,1373.5,1274.0,1300.5,192020
2023-10-13,1301.0,1416.0,1276.5,1314.5,401980
2023-10-16,1325.0,1437.0,1309.0,1378.0,265450
2023-10-17,1380.0,1429.0,1330.5,1348.5,89330
2023-10-18,1391.0,1432.5,1350.0,1405.0,287220
2023-10-19,1415.5,1419.0,1363.0,1373.0,82950
2023-10-20,1374.5,1378.0,1313.0,1327.0,78200
2023-10-23,1327.5,1390.0,1305.5,1349.0,134070
2023-10-24,1354.5,1356.5,1319.0,1329.0,57390
2023-10-25,1330.0,1347.5,1320.0,1328.5,55400
2023-10-26,1328.5,1333.5,1259.0,1280.0,91820
2023-10-27,1275.0,1285.0,1212.0,1240.0,120020
2023-10-30,1242.0,1256.0,1210.0,1215.5,79120
2023-10-31,1215.0,1238.5,1160.0,1165.0,92110
2023-11-01,1169.5,1243.0,1151.5,1180.0,145370
2023-11-02,1198.5,1259.5,1172.5,1179.0,158180
2023-11-03,1199.0,1200.0,1135.0,1144.0,124490
2023-11-06,1145.0,1150.5,1116.0,1130.0,42380
2023-11-07,1134.0,1145.0,1107.0,1108.5,56980
2023-11-08,1115.0,1175.0,1089.0,1149.0,178580
2023-11-09,1153.5,1154.0,1104.0,1115.0,74570
2023-11-10,1107.5,1115.0,1011.5,1022.0,158840
2023-11-13,1040.0,1065.0,870.0,892.5,313240
2023-11-14,890.0,893.0,726.5,770.0,242650
2023-11-15,768.5,898.5,731.5,882.0,278600
2023-11-16,894.5,1075.0,890.0,1068.0,684590
2023-11-17,1057.5,1062.5,958.5,1005.0,218720
2023-11-20,1015.0,1050.0,982.0,1012.0,72010
2023-11-21,1029.5,1029.5,977.0,1000.0,42850
2023-11-22,1001.0,1099.0,990.0,1099.0,315410
2023-11-23,1136.5,1195.0,1063.0,1101.5,426150
2023-11-24,1115.0,1115.0,992.0,1000.0,228200
2023-11-27,1000.0,1016.0,890.0,909.0,190490
2023-11-28,910.0,990.0,885.0,978.5,213580
2023-11-29,978.0,978.0,932.5,935.0,60430
2023-11-30,934.0,940.0,900.0,910.0,54970
