TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,549,549,536,547,162
2023-01-04,544,550,544,545,110
2023-01-05,543,547,543,545,45
2023-01-06,545,558,544,558,103
2023-01-09,558,568,551,567,252
2023-01-10,568,574,551,571,105
2023-01-11,576,600,563,600,921
2023-01-12,600,700,600,619,3671
2023-01-13,656,656,576,615,1086
2023-01-16,616,624,610,623,45
2023-01-17,620,626,601,616,40
2023-01-18,606,621,605,618,10
2023-01-19,609,620,585,601,199
2023-01-20,604,609,599,609,21
2023-01-23,613,613,593,608,7
2023-01-24,601,629,601,613,116
2023-01-25,624,625,610,618,195
2023-01-26,601,632,601,622,177
2023-01-27,630,630,600,621,163
2023-01-30,609,616,606,609,86
2023-01-31,612,628,612,623,76
2023-02-01,613,622,613,622,17
2023-02-02,614,623,613,620,48
2023-02-03,619,650,616,632,250
2023-02-06,647,729,625,637,3085
2023-02-07,637,642,623,639,294
2023-02-08,629,651,629,651,255
2023-02-09,631,661,631,661,353
2023-02-10,645,658,639,658,242
2023-02-13,655,664,650,663,119
2023-02-14,664,749,652,670,2745
2023-02-15,670,719,604,627,1451
2023-02-16,636,644,617,627,185
2023-02-17,628,642,600,611,787
2023-02-20,628,628,585,620,443
2023-02-21,620,670,608,630,1051
2023-02-22,631,654,630,630,137
2023-02-24,630,644,614,625,220
2023-02-27,622,629,614,628,191
2023-02-28,631,649,620,630,249
2023-03-01,649,660,633,639,333
2023-03-02,658,839,658,686,17193
2023-03-03,690,691,644,669,1484
2023-03-06,679,714,673,689,1366
2023-03-07,699,700,682,688,268
2023-03-09,686,697,658,696,780
2023-03-10,677,709,675,685,169
2023-03-13,689,712,685,688,174
2023-03-14,689,697,685,687,68
2023-03-15,689,689,672,687,171
2023-03-16,688,689,677,684,33
2023-03-17,677,687,676,681,63
2023-03-20,679,686,669,675,437
2023-03-21,678,679,658,670,384
2023-03-22,671,674,665,672,62
2023-03-23,663,793,663,685,7222
2023-03-24,685,700,676,681,719
2023-03-27,697,704,689,699,268
2023-03-28,698,698,689,689,217
2023-03-29,685,700,672,695,216
2023-03-30,696,697,690,697,56
2023-03-31,700,704,692,703,180
2023-04-03,704,710,696,702,236
2023-04-04,709,726,705,719,330
2023-04-05,723,723,707,716,63
2023-04-06,709,829,708,772,3664
2023-04-07,799,860,750,758,4591
2023-04-10,765,830,750,770,1255
2023-04-11,775,780,742,761,455
2023-04-12,753,770,740,758,200
2023-04-13,756,774,756,769,61
2023-04-14,758,782,758,770,173
2023-04-17,770,777,764,775,35
2023-04-18,775,783,767,768,126
2023-04-19,783,800,774,792,232
2023-04-20,795,795,775,787,163
2023-04-21,776,803,751,780,304
2023-04-24,799,850,784,830,1175
2023-04-25,818,893,818,858,1274
2023-04-26,880,1113,880,953,21180
2023-04-27,1020,1028,888,908,4428
2023-04-28,937,1016,908,960,5372
2023-05-02,937,941,893,916,814
2023-05-03,918,939,858,862,599
2023-05-04,862,877,847,875,223
2023-05-05,875,924,875,880,983
2023-05-08,881,928,876,913,382
2023-05-10,902,948,857,948,502
2023-05-11,959,1040,949,968,1697
2023-05-12,968,968,940,945,196
2023-05-15,948,954,916,931,359
2023-05-16,918,932,901,921,567
2023-05-17,931,931,863,906,698
2023-05-18,899,1140,899,992,8853
2023-05-19,980,983,900,912,1829
2023-05-22,920,930,910,916,373
2023-05-23,916,934,915,927,348
2023-05-24,935,1039,928,959,2535
2023-05-25,944,1000,935,982,570
2023-05-26,982,1002,956,982,406
2023-05-29,1004,1008,967,991,196
2023-05-30,981,1000,954,964,360
2023-05-31,953,958,911,938,410
2023-06-01,934,944,912,943,66
2023-06-02,948,958,920,948,91
2023-06-05,951,952,923,938,105
2023-06-06,936,1040,917,947,1941
2023-06-07,948,957,911,934,609
2023-06-08,932,940,917,940,116
2023-06-09,925,932,913,932,197
2023-06-13,936,938,924,936,212
2023-06-14,938,969,936,954,381
2023-06-15,955,995,937,959,627
2023-06-16,974,998,943,972,559
2023-06-19,979,1034,969,979,2024
2023-06-20,982,1023,974,1010,719
2023-06-21,1106,1411,1043,1094,26017
2023-06-22,1138,1138,1048,1059,4594
2023-06-23,1060,1072,1011,1030,1665
2023-06-26,1028,1055,1014,1045,734
2023-06-27,1046,1100,1031,1095,1569
2023-06-28,1095,1100,1060,1085,569
2023-06-29,1093,1100,1072,1091,317
2023-06-30,1099,1107,1070,1086,892
2023-07-03,1087,1125,1078,1110,1178
2023-07-04,1125,1125,1061,1097,401
2023-07-05,1100,1235,1072,1085,7130
2023-07-06,1091,1108,1090,1095,168
2023-07-07,1101,1105,1065,1101,454
2023-07-10,1089,1103,1073,1080,669
2023-07-11,1084,1118,1073,1092,544
2023-07-12,1087,1127,1079,1106,614
2023-07-13,1110,1119,1091,1105,143
2023-07-14,1110,1111,1099,1104,240
2023-07-17,1100,1200,1099,1159,2389
2023-07-18,1169,1170,1116,1144,969
2023-07-19,1133,1197,1131,1167,1862
2023-07-20,1172,1210,1170,1178,1733
2023-07-21,1199,1232,1168,1189,862
2023-07-24,1196,1300,1191,1240,2322
2023-07-25,1269,1318,1246,1300,2135
2023-07-26,1308,1496,1300,1416,5360
2023-07-27,1444,1495,1410,1424,1978
2023-07-28,1438,1438,1351,1416,1176
2023-07-31,1430,1480,1370,1476,2639
2023-08-01,1478,1600,1449,1580,3874
2023-08-02,1582,1950,1545,1758,12731
2023-08-03,1798,1934,1722,1910,5537
2023-08-04,1933,2657,1933,2468,18437
2023-08-07,2715,3517,2609,3517,14140
2023-08-08,3800,3867,3400,3851,8100
2023-08-09,3880,4235,3870,4235,3698
2023-08-10,4326,4656,2700,3230,17432
2023-08-11,3250,3370,2723,3254,2953
2023-08-14,3170,3355,3100,3182,1539
2023-08-15,3100,3117,2865,2976,1920
2023-08-16,2977,3177,2497,2751,2289
2023-08-17,2840,2840,2513,2579,686
2023-08-18,2579,2828,2501,2737,716
2023-08-21,2700,2989,2700,2989,1981
2023-08-22,3050,3996,3000,3680,10143
2023-08-23,3937,3995,3256,3500,4011
2023-08-24,3301,3559,3215,3528,1088
2023-08-25,3528,3550,3330,3428,1392
2023-08-28,3714,3714,3303,3500,2003
2023-08-29,3560,3599,3300,3351,1497
2023-08-30,3426,3449,3267,3329,754
2023-08-31,3399,3414,3320,3330,405
2023-09-01,3311,3389,3306,3311,527
2023-09-04,3351,3459,3349,3400,820
2023-09-05,3410,3446,3349,3377,660
2023-09-06,3379,3400,3301,3355,533
2023-09-07,3303,3334,3050,3066,1357
2023-09-08,3067,3232,2747,3036,1004
2023-09-11,3036,3137,3003,3015,288
2023-09-12,3123,3160,3000,3070,370
2023-09-13,3102,3104,3005,3013,378
2023-09-14,3011,3011,1941,2712,1064
2023-09-15,2558,2994,2558,2950,645
2023-09-18,3000,3093,2733,2876,446
2023-09-19,2949,2949,2605,2697,663
2023-09-20,2697,2698,2261,2458,1495
2023-09-21,2465,2607,2358,2459,490
2023-09-22,2350,2455,2301,2432,311
2023-09-25,2458,2513,2434,2480,116
2023-09-26,2444,2530,2432,2433,347
