TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1735,1735,1730,1730,4
2023-01-04,1755,1755,1715,1735,42
2023-01-05,1730,1750,1710,1720,107
2023-01-06,1725,1750,1725,1740,41
2023-01-09,1755,1815,1750,1790,135
2023-01-10,1790,1815,1765,1800,146
2023-01-11,1805,1920,1805,1890,288
2023-01-12,1920,2450,1880,1960,4498
2023-01-13,1955,1990,1850,1875,398
2023-01-16,1850,1890,1800,1830,494
2023-01-17,1880,1890,1790,1855,167
2023-01-18,1855,1895,1850,1850,33
2023-01-19,1875,1920,1825,1825,105
2023-01-20,1825,1895,1770,1890,116
2023-01-23,1865,1980,1850,1885,224
2023-01-24,1855,1895,1830,1880,74
2023-01-25,1950,1950,1875,1875,60
2023-01-26,1880,1895,1850,1895,53
2023-01-27,1875,1895,1860,1895,25
2023-01-30,1900,1900,1865,1875,58
2023-01-31,1890,1895,1880,1880,50
2023-02-01,1890,1895,1885,1895,18
2023-02-02,1895,1900,1880,1900,57
2023-02-03,1905,1990,1885,1895,156
2023-02-06,1970,2200,1915,1940,1388
2023-02-07,1940,1990,1930,1940,40
2023-02-08,1935,1960,1930,1955,47
2023-02-09,1960,2030,1960,2000,180
2023-02-10,1970,2020,1970,1995,35
2023-02-13,2000,2025,1945,2025,59
2023-02-14,2000,2400,1950,2025,1433
2023-02-15,2100,2185,1955,2020,380
2023-02-16,2040,2045,1975,2010,92
2023-02-17,2025,2030,2005,2005,19
2023-02-20,2025,2025,1915,1945,77
2023-02-21,1950,2185,1945,2040,284
2023-02-22,2045,2045,1985,2000,37
2023-02-24,2040,2090,1950,2060,58
2023-02-27,2140,2145,2025,2070,128
2023-02-28,2100,2165,2055,2135,264
2023-03-01,2140,2215,2130,2135,97
2023-03-02,2195,2670,2180,2240,7802
2023-03-03,2280,2325,2185,2260,312
2023-03-06,2240,2290,2210,2250,316
2023-03-07,2285,2300,2235,2245,127
2023-03-09,2250,2260,2205,2210,121
2023-03-10,2210,2230,2205,2210,50
2023-03-13,2220,2275,2195,2215,153
2023-03-14,2225,2245,2185,2195,152
2023-03-15,2190,2215,2170,2190,84
2023-03-16,2185,2200,2175,2185,90
2023-03-17,2180,2255,2180,2195,156
2023-03-20,2215,2235,2195,2215,82
2023-03-21,2205,2230,2205,2215,33
2023-03-22,2215,2220,2170,2200,132
2023-03-23,2240,2820,2215,2480,4140
2023-03-24,2480,2500,2370,2440,493
2023-03-27,2450,2450,2400,2420,112
2023-03-28,2410,2410,2355,2375,353
2023-03-29,2415,2435,2380,2400,122
2023-03-30,2405,2420,2400,2405,73
2023-03-31,2405,2405,2375,2405,52
2023-04-03,2420,2425,2380,2400,82
2023-04-04,2420,2455,2420,2445,175
2023-04-05,2460,2460,2360,2405,220
2023-04-06,2415,2735,2375,2610,2197
2023-04-07,2660,2740,2440,2530,1632
2023-04-10,2585,2670,2535,2540,188
2023-04-11,2540,2580,2400,2490,420
2023-04-12,2450,2530,2435,2525,69
2023-04-13,2525,2560,2515,2560,44
2023-04-14,2560,2570,2550,2550,76
2023-04-17,2580,2580,2415,2535,246
2023-04-18,2550,2570,2530,2540,96
2023-04-19,2565,2590,2505,2535,109
2023-04-20,2530,2610,2455,2505,155
2023-04-21,2500,2610,2480,2545,59
2023-04-24,2535,2635,2505,2625,513
2023-04-25,2615,2745,2585,2735,867
2023-04-26,2755,3365,2690,2930,11275
2023-04-27,2990,3090,2700,2785,1821
2023-04-28,2745,3150,2700,3010,1993
2023-05-02,3095,3095,2600,2690,795
2023-05-03,2725,2730,2515,2535,235
2023-05-04,2400,2650,2400,2485,218
2023-05-05,2530,2785,2490,2580,484
2023-05-08,2555,2660,2555,2565,85
2023-05-10,2555,2630,2545,2630,55
2023-05-11,2695,2880,2630,2745,718
2023-05-12,2645,2735,2590,2650,246
2023-05-15,2690,2695,2515,2575,562
2023-05-16,2600,2760,2545,2725,514
2023-05-17,2735,2760,2710,2720,66
2023-05-18,2775,3185,2725,2940,4034
2023-05-19,2940,2970,2610,2730,912
2023-05-22,2735,2775,2605,2775,214
2023-05-23,2720,2750,2665,2750,71
2023-05-24,2660,2920,2660,2710,589
2023-05-25,2730,2780,2620,2675,170
2023-05-26,2690,2740,2690,2725,41
2023-05-29,2725,2845,2725,2785,252
2023-05-30,2785,2840,2680,2730,362
2023-05-31,2745,2790,2725,2760,69
2023-06-01,2755,2780,2755,2770,36
2023-06-02,2765,2785,2755,2755,21
2023-06-05,2760,2795,2760,2760,68
2023-06-06,2695,2875,2650,2725,200
2023-06-07,2780,2780,2665,2710,120
2023-06-08,2730,2780,2670,2705,69
2023-06-09,2725,2750,2560,2695,347
2023-06-13,2655,2710,2630,2705,117
2023-06-14,2705,2760,2665,2750,160
2023-06-15,2760,2875,2755,2850,538
2023-06-16,2845,2895,2840,2855,125
2023-06-19,2870,2955,2840,2890,567
2023-06-20,2940,2945,2805,2810,383
2023-06-21,3090,3665,2965,2990,11270
2023-06-22,3285,3290,3015,3155,1333
2023-06-23,3095,3140,3080,3100,81
2023-06-26,3115,3115,2965,3060,108
2023-06-27,3055,3180,2980,3175,311
2023-06-28,3185,3195,3060,3105,176
2023-06-29,3170,3170,3090,3120,114
2023-06-30,3120,3180,3110,3135,312
2023-07-03,3130,3290,3115,3170,331
2023-07-04,3150,3165,3070,3100,232
2023-07-05,3260,3565,3045,3145,3022
2023-07-06,3130,3155,3100,3135,195
2023-07-07,3135,3160,3130,3130,49
2023-07-10,3120,3165,3105,3160,84
2023-07-11,3130,3400,3095,3155,913
2023-07-12,3180,3200,2990,3155,990
2023-07-13,3120,3165,3080,3125,167
2023-07-14,3155,3165,3150,3155,34
2023-07-17,3140,3250,3120,3180,473
2023-07-18,3190,3190,3160,3190,206
2023-07-19,3205,3480,3195,3380,1947
2023-07-20,3465,3470,3200,3305,480
2023-07-21,3325,3470,3270,3300,502
2023-07-24,3385,3450,3315,3395,348
2023-07-25,3455,3950,3410,3585,1914
2023-07-26,3595,4300,3565,4170,2334
2023-07-27,4170,4175,3915,4065,1245
2023-07-28,4065,4135,3780,4020,838
2023-07-31,4020,4330,3905,4110,1423
2023-08-01,4160,4740,4095,4470,2983
2023-08-02,4505,6000,4295,5510,5935
2023-08-03,5595,6480,5185,6140,3381
2023-08-04,6590,8500,6440,7525,7216
