TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,24.32,24.66,24.02,24.43,290780
2023-01-04,24.49,25.49,24.35,24.85,489040
2023-01-05,24.8,25.96,24.55,24.69,557190
2023-01-06,24.69,25.45,24.56,24.81,238030
2023-01-09,24.78,25.25,24.66,24.78,161760
2023-01-10,24.78,25.0,24.55,24.69,121510
2023-01-11,24.75,25.5,24.75,25.13,522280
2023-01-12,25.49,25.92,25.06,25.51,343680
2023-01-13,25.53,27.0,25.52,25.8,909210
2023-01-16,26.97,26.97,25.8,26.27,659220
2023-01-17,26.45,26.45,25.54,25.63,329460
2023-01-18,26.15,26.29,25.65,25.93,267700
2023-01-19,25.9,26.06,25.46,25.6,113320
2023-01-20,25.75,25.81,25.35,25.54,83240
2023-01-23,25.6,26.2,25.6,25.99,255130
2023-01-24,26.65,26.77,25.85,25.96,370470
2023-01-25,26.0,26.17,25.61,25.93,134430
2023-01-26,26.1,26.51,25.84,26.2,457100
2023-01-27,26.6,28.37,26.24,27.38,2340670
2023-01-30,27.5,29.0,27.01,28.39,2899640
2023-01-31,29.0,29.0,26.55,27.26,2647200
2023-02-01,27.44,27.44,26.1,26.75,634950
2023-02-02,26.68,27.4,26.68,26.99,543400
2023-02-03,26.94,27.4,26.71,26.82,423990
2023-02-06,26.82,27.08,26.25,26.7,327050
2023-02-07,26.7,26.92,26.59,26.68,197720
2023-02-08,27.37,27.37,26.36,26.51,249560
2023-02-09,26.52,26.92,26.52,26.69,202110
2023-02-10,26.7,26.81,26.5,26.51,146850
2023-02-13,26.51,26.77,26.4,26.5,92430
2023-02-14,26.5,26.5,25.53,25.85,379090
2023-02-15,25.85,25.94,25.0,25.11,191570
2023-02-16,25.1,25.45,25.05,25.07,115760
2023-02-17,25.14,25.14,24.76,24.89,168860
2023-02-20,24.89,24.92,23.71,24.56,303200
2023-02-21,25.15,25.34,24.21,25.06,261210
2023-02-22,25.0,25.01,24.64,24.9,49950
2023-02-24,24.9,25.32,24.9,24.93,52260
2023-02-27,24.85,25.0,24.81,24.98,84220
2023-02-28,24.98,26.17,24.95,25.61,575250
2023-03-01,25.64,26.08,25.6,25.61,230430
2023-03-02,25.67,25.78,25.27,25.32,169550
2023-03-03,25.32,25.56,25.31,25.48,42290
2023-03-06,25.5,26.81,25.15,26.07,405030
2023-03-07,26.23,26.72,25.91,26.14,213870
2023-03-09,26.79,32.19,26.43,27.95,17197600
2023-03-10,27.99,29.42,27.0,27.55,3412240
