TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,4940,4985,4920,4985,19
2023-01-04,4950,5000,4940,4995,34
2023-01-05,5000,5125,5000,5000,73
2023-01-06,5050,6350,5050,5355,3033
2023-01-09,5450,5470,5165,5250,205
2023-01-10,5225,5225,5100,5195,38
2023-01-11,5275,5460,5180,5250,91
2023-01-12,5235,5350,5030,5240,84
2023-01-13,5365,5365,5160,5185,34
2023-01-16,5140,5340,5140,5240,35
2023-01-17,5250,5290,5160,5205,71
2023-01-18,5210,5885,5175,5445,758
2023-01-19,5595,5665,5235,5370,167
2023-01-20,5485,5485,5200,5245,141
2023-01-23,5485,5800,5245,5560,312
2023-01-24,5705,5840,5330,5530,253
2023-01-25,5535,6160,5375,5920,471
2023-01-26,6250,7420,6065,6850,3111
2023-01-27,6410,6800,6205,6730,861
2023-01-30,6705,6820,6355,6820,237
2023-01-31,6820,6820,6270,6470,289
2023-02-01,6485,6605,6340,6455,178
2023-02-02,6380,6515,6355,6355,133
2023-02-03,6365,6530,6365,6500,41
2023-02-06,6500,6510,6335,6455,210
2023-02-07,6355,6970,6355,6695,1135
2023-02-08,6750,8045,6750,7495,2593
2023-02-09,7400,7445,6760,7135,561
2023-02-10,7035,7415,6815,6990,213
2023-02-13,7085,7400,6880,6955,227
2023-02-14,6895,6995,6800,6865,106
2023-02-15,6815,6970,6365,6365,142
2023-02-16,6565,6565,6300,6410,88
2023-02-17,6320,6730,6320,6400,73
2023-02-20,6360,7200,6315,6580,510
2023-02-21,6360,6955,6360,6670,89
2023-02-22,6670,6815,6620,6620,27
2023-02-24,6670,6790,6650,6650,11
2023-02-27,6690,6690,6175,6600,169
2023-02-28,6640,6970,6310,6730,120
2023-03-01,6720,7000,6635,6875,117
2023-03-02,6840,7045,6475,6800,233
2023-03-03,6770,7170,6750,6800,246
2023-03-06,6860,7040,6750,6830,227
2023-03-07,6880,6975,6705,6805,35
2023-03-09,6760,6960,6760,6820,19
2023-03-10,6825,6825,6750,6750,10
2023-03-13,6570,7150,6400,6725,172
2023-03-14,6780,6780,6515,6615,63
2023-03-15,6550,6705,6550,6680,27
2023-03-16,6720,6915,6585,6660,125
2023-03-17,6700,6780,6700,6710,28
2023-03-20,6630,6705,6545,6700,157
2023-03-21,6660,6825,6600,6825,149
2023-03-22,6605,6955,6600,6790,87
2023-03-23,6985,7800,6780,7800,836
2023-03-24,7900,10760,7710,9740,9693
2023-03-27,10000,10690,9060,9330,1835
2023-03-28,9780,12730,9110,10730,10057
2023-03-29,11135,12930,10740,12225,6701
2023-03-30,12570,13700,11500,11940,2583
2023-03-31,12145,12170,11450,11695,746
2023-04-03,11450,11900,11055,11640,726
2023-04-04,11790,11790,11265,11550,382
2023-04-05,11555,11600,11300,11465,137
2023-04-06,11480,11700,11125,11310,241
2023-04-07,11325,11480,11230,11370,93
2023-04-10,11375,11530,11310,11460,143
2023-04-11,11540,11540,11120,11225,152
2023-04-12,11150,11395,11070,11385,88
2023-04-13,11255,11350,11155,11245,34
2023-04-14,11360,11395,11175,11195,19
2023-04-17,11220,11545,11220,11345,218
2023-04-18,11490,11495,11345,11415,84
2023-04-19,11470,11485,11285,11345,148
2023-04-20,11260,11435,11180,11230,58
2023-04-21,11265,11265,11010,11190,52
2023-04-24,11320,11425,11040,11145,78
2023-04-25,11150,11150,11000,11095,100
2023-04-26,11025,11025,10175,10685,192
2023-04-27,10740,10765,9405,10000,178
2023-04-28,9885,10005,9505,10005,159
2023-05-02,10000,10355,9840,10355,115
2023-05-03,10355,11075,9820,10650,185
2023-05-04,10380,10750,10275,10320,42
2023-05-05,10105,10350,9290,9720,212
2023-05-08,9720,9885,9465,9755,46
2023-05-10,9640,11000,9480,10485,245
2023-05-11,10165,10580,10075,10500,199
2023-05-12,10255,10470,10005,10310,68
2023-05-15,10480,10480,10100,10280,27
2023-05-16,10270,10485,10205,10215,17
2023-05-17,10110,10500,10110,10470,90
2023-05-18,10275,10480,10220,10330,38
2023-05-19,10345,10400,10335,10335,13
2023-05-22,10490,12290,10405,11200,3089
2023-05-23,11300,11300,10025,10200,746
2023-05-24,10350,10490,9990,10025,274
2023-05-25,10025,10290,10025,10090,157
2023-05-26,9960,10095,9955,10065,86
2023-05-29,10095,10350,10025,10140,83
2023-05-30,10145,10145,9900,9990,117
2023-05-31,9980,10030,9950,9950,62
2023-06-01,9925,9995,9925,9985,14
2023-06-02,9915,9915,9880,9880,30
2023-06-05,9830,9885,9710,9885,50
2023-06-06,9860,9860,9020,9650,174
2023-06-07,9665,10660,9665,9705,506
2023-06-08,9845,10050,9750,10000,117
2023-06-09,10000,10015,9600,9820,96
2023-06-13,9700,9950,9695,9855,60
2023-06-14,9915,9950,9820,9950,49
2023-06-15,9985,10185,9880,9930,92
2023-06-16,9890,10320,9890,9970,81
2023-06-19,10335,10385,9995,10100,101
2023-06-20,10120,10490,10030,10205,79
2023-06-21,10320,10320,9900,9900,134
2023-06-22,9980,10250,9950,10060,208
2023-06-23,10190,11200,10145,10225,1109
2023-06-26,10235,10305,10045,10150,92
2023-06-27,10090,10300,10070,10200,30
2023-06-28,10345,10405,10190,10250,75
2023-06-29,10200,10285,10125,10130,14
2023-06-30,10195,10355,10130,10195,44
2023-07-03,10160,10340,10160,10185,53
2023-07-04,10170,10170,9750,10000,113
2023-07-05,10000,10250,10000,10070,34
2023-07-06,10090,12100,10005,11085,2076
2023-07-07,11000,11610,10155,10575,894
2023-07-10,10805,10805,10085,10480,218
2023-07-11,10485,10515,10070,10100,230
2023-07-12,10700,10700,10205,10415,241
2023-07-13,10600,10650,10200,10300,155
2023-07-14,10400,10500,10330,10390,73
2023-07-17,10300,10690,10300,10470,80
2023-07-18,10460,10750,10450,10690,107
2023-07-19,10730,10780,10490,10500,222
2023-07-20,10530,10530,10250,10350,86
2023-07-21,10445,10890,10445,10695,194
2023-07-24,10795,11800,10650,10930,691
2023-07-25,10980,11515,10980,11000,192
2023-07-26,11185,11360,11010,11360,108
2023-07-27,11355,11700,11275,11375,170
2023-07-28,11440,11480,11115,11245,73
2023-07-31,11450,12330,11250,11360,459
2023-08-01,11340,11655,11340,11445,159
2023-08-02,11445,12300,11440,11845,444
2023-08-03,11835,12370,11415,12065,264
2023-08-04,12065,12290,11345,11710,623
2023-08-07,11710,12180,11545,11710,124
2023-08-08,11680,11825,11350,11660,151
2023-08-09,11710,11820,11500,11705,127
2023-08-10,11875,13640,11555,12995,864
2023-08-11,12995,12995,12030,12725,661
2023-08-14,12730,15930,12525,13555,1228
2023-08-15,13375,16420,12760,15300,1746
2023-08-16,15000,21400,15000,21300,2629
2023-08-17,21300,22700,18280,19010,1308
2023-08-18,19805,19810,18405,19510,201
2023-08-21,18705,19405,18240,18510,666
2023-08-22,18510,18890,18100,18500,237
2023-08-23,18495,19330,18450,18895,371
2023-08-24,18500,19250,18425,18655,106
2023-08-25,18845,19490,18640,19175,419
2023-08-28,19455,19455,18920,19040,128
2023-08-29,19045,19930,19045,19620,270
2023-08-30,19245,19865,19100,19380,177
2023-08-31,19485,19740,19155,19740,133
2023-09-01,19710,20805,19405,19800,303
2023-09-04,19880,20800,19500,19975,222
2023-09-05,19975,20400,19035,19940,373
2023-09-06,20120,20155,18870,19445,192
2023-09-07,19490,20080,16530,18385,279
2023-09-08,18000,19370,17450,18655,244
2023-09-11,19110,19540,18115,18485,70
2023-09-12,18620,19110,18570,18700,39
2023-09-13,18800,19000,18000,18300,98
2023-09-14,18085,18145,14625,16520,199
2023-09-15,16515,17990,16215,17595,160
2023-09-18,17885,18500,17165,18135,154
2023-09-19,17560,18075,17025,17290,64
2023-09-20,16605,16800,15105,16680,124
2023-09-21,15805,16910,15805,16525,40
2023-09-22,15865,16805,15805,16800,49
2023-09-25,16790,16985,16490,16795,43
2023-09-26,16870,16870,16500,16505,16
2023-09-27,16550,16805,16480,16615,13
2023-09-28,16615,17380,16445,17360,65
2023-09-29,18050,18050,16860,17045,47
2023-10-02,16840,17650,16715,17270,52
2023-10-03,16530,17020,16530,16995,9
2023-10-04,16995,17385,16845,16845,27
2023-10-05,16815,16835,16300,16430,51
2023-10-06,16425,16425,16160,16160,13
2023-10-09,16275,16890,16025,16175,49
2023-10-10,16340,16585,15955,16320,79
2023-10-11,15990,16425,15990,16400,19
2023-10-12,16420,16425,16000,16020,33
2023-10-13,16020,16155,15710,16005,50
2023-10-16,15875,16060,15700,15970,70
2023-10-17,15850,16140,15835,16050,20
2023-10-18,16030,16045,15740,15900,123
2023-10-19,15815,16275,15810,15955,63
2023-10-20,16275,18500,15950,17030,972
2023-10-23,17830,18450,16540,18295,743
2023-10-24,18340,22125,17715,22125,2422
2023-10-25,24000,24320,20230,21010,2078
2023-10-26,21000,21000,19010,19045,495
2023-10-27,19010,19200,18580,19105,193
2023-10-30,19305,20600,19205,19470,452
2023-10-31,19010,19260,18065,18525,304
2023-11-01,18780,18820,17600,18480,170
2023-11-02,17520,18480,17520,18140,49
2023-11-03,18040,18080,17540,17840,49
2023-11-06,17960,18620,17740,18300,175
2023-11-07,18120,19500,18120,18720,252
2023-11-08,19360,19360,18220,18620,92
2023-11-09,18460,19280,17000,18000,251
2023-11-10,17860,18560,16800,17600,151
2023-11-13,17060,17560,16480,17060,239
2023-11-14,16780,16780,15000,15480,195
2023-11-15,15460,16800,14640,16680,102
2023-11-16,16580,17540,16500,16820,133
2023-11-17,16860,16860,16020,16520,32
2023-11-20,16540,16540,16140,16320,31
2023-11-21,16060,16240,15140,16000,57
2023-11-22,16180,16540,15960,16000,39
2023-11-23,16080,16080,15500,15560,29
2023-11-24,15460,15780,15140,15140,49
2023-11-27,15380,15380,14800,14800,24
2023-11-28,14860,15800,13360,14640,210
2023-11-29,14760,14780,13800,14280,42
2023-11-30,14280,14900,13920,14180,38
2023-12-01,14180,14280,13420,13580,68
2023-12-04,13440,13440,12900,12900,37
2023-12-05,12920,12920,11560,12200,113
2023-12-06,12060,12420,11520,11520,27
2023-12-07,11700,14120,11700,13240,414
2023-12-08,13220,13600,11920,12960,217
2023-12-11,13040,13180,12500,12740,66
2023-12-12,12520,12520,12100,12400,42
2023-12-13,12720,12720,12060,12260,52
2023-12-14,12680,14300,12680,13020,395
2023-12-15,13940,13960,12320,12640,75
2023-12-18,12940,13600,12720,13220,121
2023-12-19,12860,13900,12800,13680,63
2023-12-20,13880,14860,13880,14500,114
2023-12-21,14620,15140,14280,14360,73
2023-12-22,14780,14780,14380,14380,48
2023-12-25,14500,14600,13520,14060,74
2023-12-26,14100,14100,13560,13580,76
2023-12-27,13780,15080,13560,14620,107
2023-12-28,14800,14900,14560,14820,71
2023-12-29,15420,15420,13340,13760,171
2024-01-03,14700,14700,14120,14280,21
2024-01-04,15240,15240,13800,14160,173
2024-01-05,14280,14560,14220,14280,71
2024-01-08,14920,14940,14600,14600,62
2024-01-09,14900,15800,14640,15300,199
2024-01-10,14840,15400,14840,15300,61
2024-01-11,15380,15540,15020,15060,59
2024-01-12,15280,15400,14740,14920,149
2024-01-15,14980,15160,14960,15020,33
2024-01-16,15060,15100,14540,14840,106
2024-01-17,14840,15120,14740,14740,51
2024-01-18,14820,15680,14760,15040,124
2024-01-19,15200,15360,14780,14900,105
2024-01-22,14960,15200,14840,14940,37
2024-01-23,14880,15000,14880,14920,18
2024-01-24,14960,14980,14700,14700,71
2024-01-25,14920,14920,14700,14700,57
2024-01-26,14640,14640,14000,14360,139
2024-01-29,14440,15000,14440,14520,75
2024-01-30,14900,15720,14240,14500,210
2024-01-31,14500,14880,14500,14640,41
2024-02-01,14780,14780,14440,14520,67
2024-02-02,14420,14420,14220,14380,95
2024-02-05,14380,14380,14080,14220,35
2024-02-06,14340,14340,14180,14260,7
2024-02-07,14240,14380,14040,14100,52
2024-02-08,14080,14200,14080,14100,22
2024-02-09,13980,14200,13960,13960,35
2024-02-12,14000,14380,13940,14080,41
2024-02-13,14100,14100,13820,13920,24
2024-02-14,13840,14140,13840,14000,24
2024-02-15,13960,14120,13860,14100,8
2024-02-16,14100,14660,14100,14300,70
2024-02-19,14340,14420,13920,14160,60
2024-02-20,14160,14160,13900,14000,17
2024-02-21,14000,14000,13040,13520,72
2024-02-22,13500,13940,13420,13600,20
2024-02-26,13580,14080,13420,13660,43
2024-02-27,13800,13860,13440,13460,45
2024-02-28,13520,13520,13040,13280,54
2024-02-29,13320,13440,13300,13420,9
2024-03-01,13340,13760,13140,13260,76
2024-03-04,13200,13420,13020,13200,46
2024-03-05,13340,13980,13140,13480,97
2024-03-06,13680,13800,13480,13560,22
2024-03-07,13740,13760,13560,13600,14
2024-03-11,13840,13920,13720,13780,12
2024-03-12,13720,13720,13520,13720,8
2024-03-13,13720,13980,13680,13700,26
2024-03-14,13720,13720,13200,13280,52
2024-03-15,13300,14280,13300,13540,123
2024-03-18,13640,13640,13180,13460,43
2024-03-19,13340,13560,13340,13560,31
2024-03-20,13540,13540,13020,13200,44
2024-03-21,13260,13680,13200,13240,28
2024-03-22,13260,13280,13260,13280,4
2024-03-25,13120,13120,13120,13120,2
2024-03-26,13120,15000,13020,13440,371
2024-03-27,13540,16380,13540,16380,1346
2024-03-28,17980,18000,17200,18000,541
2024-03-29,19680,19760,18240,19760,725
2024-04-01,21680,21680,20240,21680,318
2024-04-02,23000,23820,22860,23820,504
2024-04-03,24000,26160,24000,26160,347
