TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,5220,5420,5140,5280,43
2023-01-04,5180,5280,5180,5280,6
2023-01-05,5260,5320,5220,5280,15
2023-01-06,5260,5280,5220,5280,5
2023-01-09,5320,5360,5320,5360,7
2023-01-10,5360,5480,5180,5340,41
2023-01-11,5220,5440,5220,5440,18
2023-01-12,5420,5420,5280,5280,7
2023-01-13,5380,5600,5280,5300,85
2023-01-16,5380,5440,5240,5300,33
2023-01-17,5380,6440,5380,5440,1659
2023-01-18,5600,6560,5600,5600,1824
2023-01-19,5780,5900,5380,5500,163
2023-01-20,5500,5720,5480,5600,127
2023-01-23,5540,5660,5500,5540,52
2023-01-24,5560,5640,5520,5520,43
2023-01-25,5640,5680,5540,5600,90
2023-01-26,5620,5780,5600,5600,47
2023-01-27,5780,6880,5660,6000,2730
2023-01-30,6160,6160,5880,6120,295
2023-01-31,6120,6660,6000,6100,901
2023-02-01,6220,6380,6060,6200,273
2023-02-02,6220,6500,6140,6280,249
2023-02-03,6220,6280,6040,6140,171
2023-02-06,6140,6260,6100,6180,92
2023-02-07,6120,6360,6120,6240,208
2023-02-08,6240,6700,6240,6440,217
2023-02-09,6400,6860,6320,6820,441
2023-02-10,6900,7360,6400,6680,1076
2023-02-13,6640,6900,6540,6640,164
2023-02-14,6620,6620,6320,6380,123
2023-02-15,6300,6380,5840,6120,347
2023-02-16,6100,6260,6020,6140,101
2023-02-17,6060,6200,6060,6120,20
2023-02-20,6160,6200,5660,6140,145
2023-02-21,5960,6780,5960,6460,244
2023-02-22,6460,6600,6160,6240,51
2023-02-24,6240,6320,6160,6300,40
2023-02-27,6160,6360,6160,6260,36
2023-02-28,6300,7200,6300,6640,667
2023-03-01,6600,6800,6460,6640,158
2023-03-02,6620,6640,6300,6440,112
2023-03-03,6420,6580,6400,6540,55
2023-03-06,6580,6640,6400,6520,74
2023-03-07,6460,6600,6440,6480,25
2023-03-09,6540,6560,6400,6500,41
2023-03-10,6420,6500,6380,6460,34
2023-03-13,6500,6500,6380,6400,69
2023-03-14,6420,6420,6300,6300,34
2023-03-15,6300,6420,6260,6380,18
2023-03-16,6400,6400,6300,6340,22
2023-03-17,6400,6440,6200,6420,212
2023-03-20,6420,6420,6120,6340,87
2023-03-21,6320,6480,6320,6320,51
2023-03-22,6280,6320,6220,6320,54
2023-03-23,6320,6560,6320,6420,136
2023-03-24,6400,6480,6320,6360,59
2023-03-27,6440,6640,6320,6500,206
2023-03-28,6380,6680,6380,6540,124
2023-03-29,6480,6700,6480,6560,88
2023-03-30,6620,6700,6440,6520,151
2023-03-31,6560,6640,6460,6580,95
2023-04-03,6620,7320,6520,7000,958
2023-04-04,6920,7000,6820,6920,111
2023-04-05,6860,7740,6700,7100,1207
2023-04-06,7440,7700,6780,6920,765
2023-04-07,7000,7080,6700,7000,178
2023-04-10,7020,7260,6960,7100,221
2023-04-11,7100,7300,6800,6960,319
2023-04-12,6980,7140,6900,6920,110
2023-04-13,6980,6980,6720,6820,93
2023-04-14,6840,6900,6740,6900,50
2023-04-17,6900,7040,6800,6940,163
2023-04-18,7140,7140,6820,6900,75
2023-04-19,6960,7080,6780,6880,114
2023-04-20,6860,6880,6760,6860,52
2023-04-21,6840,6860,6760,6860,20
2023-04-24,6860,6920,6780,6900,78
2023-04-25,6900,6940,6800,6840,81
2023-04-26,6820,6900,6800,6840,39
2023-04-27,6800,6900,6800,6820,32
2023-04-28,6800,7240,6800,6940,336
2023-05-02,6960,6980,6400,6440,143
2023-05-03,6560,6580,5740,6280,130
2023-05-04,6220,6540,6220,6540,70
2023-05-05,6560,6560,6460,6460,4
2023-05-08,6520,6560,6280,6380,34
2023-05-10,6360,6400,6140,6400,110
2023-05-11,6380,6500,6260,6360,72
2023-05-12,6380,6480,6360,6360,54
2023-05-15,6500,8420,6500,7400,5710
2023-05-16,7260,7600,6900,7060,782
2023-05-17,7080,7640,6900,7380,819
2023-05-18,7400,7540,7100,7300,198
2023-05-19,7320,7440,7120,7400,142
2023-05-22,7400,7420,7300,7380,148
2023-05-23,7440,7440,7040,7140,164
2023-05-24,7140,7200,6800,7200,241
2023-05-25,7020,7400,6960,7060,202
2023-05-26,7120,7420,7020,7220,254
2023-05-29,7340,7400,7120,7300,182
2023-05-30,7260,7320,7060,7120,81
2023-05-31,7100,7240,7060,7160,104
2023-06-01,7140,7160,6940,7020,57
2023-06-02,7020,7140,6960,7120,102
2023-06-05,7100,7120,7000,7120,24
2023-06-06,7200,7380,7080,7220,60
2023-06-07,7240,7300,7220,7220,28
2023-06-08,7280,7320,7120,7280,51
2023-06-09,7300,7300,7080,7220,42
2023-06-13,7260,7340,7120,7200,89
2023-06-14,7180,7280,7180,7280,29
2023-06-15,7340,7340,7080,7220,53
2023-06-16,7260,7360,7220,7360,55
2023-06-19,7340,7480,7220,7320,171
2023-06-20,7460,7480,7260,7300,112
2023-06-21,7360,8280,7320,7740,2471
2023-06-22,7780,7880,7500,7620,240
2023-06-23,7640,8300,7540,7920,737
2023-06-26,7780,7860,7540,7660,232
2023-06-27,7640,7660,7500,7540,63
2023-06-28,7620,7760,7580,7620,103
2023-06-29,7520,7660,7520,7620,37
2023-06-30,7620,7660,7540,7600,66
2023-07-03,7600,7640,7540,7640,54
2023-07-04,7560,7740,7540,7600,168
2023-07-05,7620,8600,7540,8080,1326
2023-07-06,8080,11220,7900,11220,7861
2023-07-07,11340,14320,10460,10700,13240
2023-07-10,11620,11980,10980,11980,2290
2023-07-11,12800,13160,11600,12100,3525
2023-07-12,12400,12500,11460,11800,1078
2023-07-13,11800,12160,11140,11320,543
2023-07-14,11560,11980,11320,11320,471
2023-07-17,11800,11960,11200,11360,534
2023-07-18,11460,11460,10940,11140,455
2023-07-19,11200,11240,10960,11100,167
2023-07-20,11240,11240,11000,11180,263
2023-07-21,11100,11920,11040,11560,674
2023-07-24,11800,11800,11120,11400,529
2023-07-25,11540,11680,11280,11380,241
2023-07-26,11540,12000,11320,11540,345
2023-07-27,11880,12460,11520,11920,797
2023-07-28,12240,12320,11820,11980,321
2023-07-31,12180,12680,11960,12400,1002
2023-08-01,12400,12680,12140,12280,327
2023-08-02,12300,12400,12220,12300,154
2023-08-03,12260,12320,12000,12260,146
2023-08-04,12260,12280,11680,11800,390
2023-08-07,11640,12480,11440,11780,672
2023-08-08,11720,11720,11300,11500,131
2023-08-09,11620,11760,11340,11620,186
2023-08-10,11720,12000,10920,11500,355
2023-08-11,11600,11640,11420,11620,181
2023-08-14,11700,12100,11440,11580,350
2023-08-15,11920,12280,11460,11820,607
2023-08-16,11820,14240,11740,12780,2477
2023-08-17,12780,12780,11720,12400,461
2023-08-18,12900,17080,12900,14600,8767
2023-08-21,15000,19800,14000,17600,7123
2023-08-22,17600,19800,16340,19000,3769
2023-08-23,19460,24440,19460,22980,5165
2023-08-24,22980,25500,19760,22720,3236
2023-08-25,23880,24100,22500,22780,668
2023-08-28,20520,24000,20520,21960,1478
2023-08-29,22500,22560,20280,21100,570
